"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I0504",640,671,836,2321,2275,2625
"BP1026B_I0505",1704,1318,1583,3254,3191,3865
"predicted RNA",259,206,210,501,450,525
"BP1026B_I0506",2785,2714,3041,8025,8215,9785
"BP1026B_I0507",3465,3010,3550,9857,10238,11638
"BP1026B_I0509",134,145,175,186,183,207
"BP1026B_I0508",456,476,514,624,641,697
"BP1026B_I0510",1503,1536,1792,2503,2555,2968
"BP1026B_I0511",1129,1390,1579,2553,2554,3007
"BP1026B_I0512",708,636,690,1000,947,1160
"BP1026B_I0513",2960,2521,3133,3811,3848,4313
"BP1026B_I0514",1828,1916,2360,2502,2556,3062
"BP1026B_I0515",1228,1210,1320,1574,1633,1875
"BP1026B_I0516",731,850,913,885,901,1093
"BP1026B_I0517",508,608,692,605,677,840
"BP1026B_I0518",824,907,1005,1081,1184,1286
"BP1026B_I0519",558,303,346,443,413,483
"BP1026B_I0520",558,458,500,613,616,701
"BP1026B_I0521",7482,4298,4710,6125,6039,6673
"BP1026B_I0522",1841,828,1001,1469,1408,1550
"predicted RNA",101,52,64,78,72,89
"BP1026B_I0523",2189,1215,1416,1698,1661,1849
"BP1026B_I0524",532,322,321,419,394,435
"BP1026B_I0525",344,200,221,225,235,240
"BP1026B_I0526",123,82,98,93,94,91
"BP1026B_I0527",49,37,28,47,47,53
"BP1026B_I0528",1,2,5,10,10,10
"BP1026B_I0529",12,7,20,32,25,29
"BP1026B_I0530",264,167,210,216,204,221
"BP1026B_I0531",126,76,96,109,96,99
"BP1026B_I0532",140,93,103,122,131,131
"BP1026B_I0533",47,38,38,52,51,56
"BP1026B_I0534",178,118,138,174,190,166
"BP1026B_I0535",90,56,44,76,96,81
"BP1026B_I0536",122,97,106,116,137,131
"BP1026B_I0537",66,53,66,57,55,77
"BP1026B_I0539",155,102,106,116,110,125
"BP1026B_I0538",132,88,92,105,116,119
"BP1026B_I0541",243,218,206,235,235,259
"BP1026B_I0540",249,144,164,178,185,210
"BP1026B_I0542",230,150,213,157,157,191
"BP1026B_I0543",389,289,376,193,200,193
"BP1026B_I0544",41,35,26,26,23,32
"BP1026B_I0545",85,66,80,81,81,83
"BP1026B_I0546",70,147,146,112,124,117
"BP1026B_I0547",25450,13585,16028,13860,14142,15568
"BP1026B_I0548",12315,9906,11700,9741,9496,10699
"BP1026B_I0549",6732,4289,5097,4107,4126,4980
"BP1026B_I0550",1226,646,680,664,660,737
"BP1026B_I0551",365,278,333,305,324,300
"BP1026B_I0552",855,673,694,691,713,847
"BP1026B_I0553",449,307,348,253,267,282
"BP1026B_I0554",459,300,347,254,269,263
"BP1026B_I0555",3462,3529,4263,3533,3654,4081
"BP1026B_I0556",505,502,552,491,525,545
"BP1026B_I0557",126,80,91,100,89,116
"BP1026B_I0558",68,41,65,66,56,83
"BP1026B_I0559",181,120,119,118,127,142
"BP1026B_I0560",67,55,52,60,57,54
"BP1026B_I0561",172,157,139,143,141,142
"BP1026B_I0562",819,517,634,371,362,416
"BP1026B_I0563",1137,889,1045,688,664,678
"BP1026B_I0564",13853,11954,13625,8180,8254,9196
"BP1026B_I0565",30243,26316,31780,22737,22511,26451
"predicted RNA",823,1168,1082,604,640,672
"BP1026B_I0566",1009,837,932,943,947,1081
"BP1026B_I0567",4162,2595,3072,4834,4779,5413
"BP1026B_I0568",463,226,273,444,418,465
"BP1026B_I0569",407,269,305,329,310,362
"predicted RNA",671,266,329,293,317,309
"BP1026B_I0571",2264,1715,1862,1694,1864,1995
"BP1026B_I0570",2,6,6,9,10,9
"BP1026B_I0572",3913,3479,3940,737,739,851
"BP1026B_I0573",2307,1763,1885,669,647,682
"BP1026B_I0574",152,104,121,44,29,42
"BP1026B_I0575",1028,609,657,360,341,406
"BP1026B_I0577",1175,871,927,543,526,626
"BP1026B_I0576",659,435,509,347,332,367
"BP1026B_I0578",305,130,144,170,200,172
"BP1026B_I0579",626,293,342,301,295,314
"BP1026B_I0580",131,95,103,99,104,99
"BP1026B_I0581",1271,1056,1195,1451,1462,1569
"predicted RNA",88,72,89,98,101,125
"BP1026B_I0582",11652,7101,8433,11637,11444,12845
"BP1026B_I0583",3812,2159,2409,1549,1567,1734
"BP1026B_I0584",2907,1480,1635,1278,1131,1279
"BP1026B_I0585",249,148,187,146,124,153
"BP1026B_I0586",588,372,395,399,391,408
"BP1026B_I0587",154,87,99,91,77,75
"BP1026B_I0588",151,91,108,66,77,83
"BP1026B_I0589",166,103,126,86,96,115
"BP1026B_I0590",704,324,374,314,369,366
"predicted RNA",1474,581,697,601,574,731
"BP1026B_I0591",1000,504,544,640,616,694
"BP1026B_I0592",364,157,173,242,207,241
"BP1026B_I0593",368,162,188,228,210,220
"BP1026B_I0594",574,303,296,359,342,347
"BP1026B_I0595",926,460,548,628,652,628
"BP1026B_I0596",1191,567,701,699,720,808
"BP1026B_I0597",329,171,244,206,184,225
"BP1026B_I0598",1338,1073,1282,563,505,579
"BP1026B_I0599",2764,1764,2043,1251,1206,1340
"BP1026B_I0600",4,3,1,1,2,3
"BP1026B_I0601",66,17,44,42,34,49
"BP1026B_I0602",682,535,597,524,489,588
"BP1026B_I0603",348,237,278,307,324,342
"BP1026B_I0604",429,286,324,438,471,449
"BP1026B_I0605",519,343,412,360,358,381
"BP1026B_I0606",391,183,212,212,223,260
"BP1026B_I0607",54,33,29,48,55,56
"BP1026B_I0608",176,99,97,162,171,183
"BP1026B_I0609",210,211,251,242,241,259
"BP1026B_I0610",437,332,385,511,519,560
"predicted RNA",42545,16500,21424,39841,38621,47980
"BP1026B_I0611",880,744,794,902,809,944
"BP1026B_I0612",728,577,677,564,502,577
"BP1026B_I0613",414,259,326,213,219,226
"predicted RNA",55,21,24,6,7,7
"BP1026B_I0614",3604,2027,2465,575,584,635
"predicted RNA",879,585,678,119,97,127
"BP1026B_I0615",539,328,353,309,308,328
"BP1026B_I0616",1301,972,1051,973,980,992
"BP1026B_I0617",1997,1382,1612,2799,2829,3235
"predicted RNA",20,17,19,45,37,39
"BP1026B_I0618",18,15,13,19,21,31
"BP1026B_I0619",54,54,43,112,103,142
"BP1026B_I0620",271,157,167,282,274,301
"BP1026B_I0621",35596,43602,50258,35505,36354,39534
"BP1026B_I0622",380855,377048,453365,330530,325168,365472
"BP1026B_I0623",2750,1773,2042,1969,1871,2085
"BP1026B_I0624",2682,1734,1966,1605,1556,1899
"BP1026B_I0625",6652,3477,3835,3613,3414,3727
"predicted RNA",101,63,53,50,50,58
"BP1026B_I0626",21842,16462,18978,18312,18785,20620
"BP1026B_I0627",4318,3078,3528,3625,3584,3857
"BP1026B_I0628",2895,1618,1822,2039,1762,1940
"BP1026B_I0629",2853,1932,2300,1866,1880,2169
"predicted RNA",244,137,125,68,60,81
"BP1026B_I0630",6466,3756,3914,3009,2917,3072
"BP1026B_I0631",4697,2246,2447,2396,2349,2608
"BP1026B_I0632",3039,1941,2272,1984,1923,2120
"BP1026B_I0633",1660,1565,1872,1186,1214,1265
"BP1026B_I0634",2123,1614,1883,1657,1663,1867
"BP1026B_I0635",687,830,962,796,825,931
"BP1026B_I0636",733,814,949,850,878,982
"BP1026B_I0637",485,555,714,900,839,988
"BP1026B_I0638",1337,1256,1624,1609,1620,1829
"BP1026B_I0639",927,907,995,1312,1332,1541
"BP1026B_I0640",932,910,1101,1033,1078,1216
"BP1026B_I0641",2683,2301,2721,2575,2575,3023
"BP1026B_I0642",3312,3187,3847,4102,4129,4681
"BP1026B_I0643",1854,1719,2009,2511,2538,2906
"BP1026B_I0644",1367,1207,1567,1905,1974,2176
"BP1026B_I0645",799,610,761,765,815,922
"BP1026B_I0646",584,434,563,602,635,694
"BP1026B_I0647",1336,1060,1259,1385,1345,1537
"BP1026B_I0648",848,659,717,821,851,855
"BP1026B_I0649",2546,1667,1920,1982,2008,2126
"BP1026B_I0650",465,250,325,413,383,421
"BP1026B_I0651",403,225,260,282,287,347
"BP1026B_I0652",656,445,526,613,568,649
"BP1026B_I0653",7270,5173,6144,5457,5296,6077
"BP1026B_I0654",2006,1042,1139,1186,1163,1308
"BP1026B_I0655",4337,2530,2987,2469,2557,2683
"BP1026B_I0656",2159,1126,1178,1285,1233,1308
"BP1026B_I0657",174,121,131,102,117,119
"BP1026B_I0658",317,150,169,189,191,191
"BP1026B_I0659",245,115,145,184,188,202
"BP1026B_I0660",137,94,114,149,137,173
"BP1026B_I0661",13,7,16,14,17,18
"BP1026B_I0662",46,24,34,24,18,32
"BP1026B_I0663",414,223,261,244,247,257
"BP1026B_I0664",85,42,48,49,43,52
"BP1026B_I0665",18,17,22,19,18,28
"BP1026B_I0666",14,15,10,13,16,19
"BP1026B_I0667",53,26,38,37,31,40
"BP1026B_I0668",40,35,41,51,42,45
"BP1026B_I0669",1730,1164,1343,736,803,867
"BP1026B_I0670",2883,1387,1624,1325,1335,1444
"BP1026B_I0671",8193,4444,5083,3845,3854,4174
"BP1026B_I0672",847,452,495,342,351,366
"BP1026B_I0673",4633,3284,3803,3434,3281,3742
"BP1026B_I0674",417,200,199,172,179,193
"BP1026B_I0675",507,298,391,312,303,385
"BP1026B_I0676",9458,5591,6482,6785,6740,7514
"BP1026B_I0677",1709,1159,1093,1218,1185,1265
"BP1026B_I0678",28,26,21,34,42,46
"BP1026B_I0679",344,202,243,218,211,237
"BP1026B_I0680",287,177,212,195,199,230
"BP1026B_I0681",1285,805,955,956,1012,1127
"predicted RNA",483,293,308,373,355,414
"BP1026B_I0683",261,188,222,197,219,224
"BP1026B_I0682",367,276,315,250,226,267
"BP1026B_I0684",665,591,625,676,633,622
"BP1026B_I0685",1199,587,627,567,520,554
"BP1026B_I0687",152,140,128,85,82,96
"BP1026B_I0686",2089,1389,1587,904,901,999
"BP1026B_I0688",576,278,359,307,288,287
"BP1026B_I0689",609,410,441,409,388,464
"BP1026B_I0690",6593,4602,5191,4131,3997,4487
"BP1026B_I0691",1450,946,1050,812,887,896
"BP1026B_I0692",3561,2365,2726,2148,2044,2240
"BP1026B_I0693",5922,3647,4388,3027,3017,3452
"BP1026B_I0694",2958,1953,2442,2188,2167,2399
"predicted RNA",122,49,57,40,33,42
"BP1026B_I0695",3828,2266,2741,1933,1990,2108
"BP1026B_I0696",7688,4732,5509,3650,3542,3939
"BP1026B_I0697",9611,7138,8112,6175,6358,6866
"BP1026B_I0698",278,171,191,141,147,130
"BP1026B_I0699",121,92,93,87,88,92
"BP1026B_I0700",710,438,500,438,449,423
"BP1026B_I0701",266,132,135,131,107,131
"BP1026B_I0702",136,86,105,93,100,113
"BP1026B_I0703",98,65,69,61,78,70
"BP1026B_I0704",72,46,55,56,66,56
"BP1026B_I0705",139,136,155,136,127,152
"BP1026B_I0706",44,27,40,36,40,34
"BP1026B_I0707",1851,1235,1376,1346,1320,1512
"BP1026B_I0708",1168,678,723,945,905,964
"BP1026B_I0709",1785,1593,1825,2057,2017,2177
"BP1026B_I0710",2832,2215,2582,2134,2144,2375
"BP1026B_I0711",761,675,745,986,998,1096
"BP1026B_I0712",540,451,567,758,784,834
"BP1026B_I0713",1504,1137,1389,1617,1593,1756
"BP1026B_I0714",594,329,397,521,488,540
"BP1026B_I0715",643,387,402,374,341,419
"BP1026B_I0716",4622,4134,4769,4316,4229,4774
"BP1026B_I0717",7184,4576,5029,6258,6271,6976
"predicted RNA",558,358,363,314,302,331
"BP1026B_I0718",2258,2204,2457,1998,2088,2094
"BP1026B_I0719",1575,1127,1378,1151,1135,1271
"BP1026B_I0720",190,165,157,123,133,143
"BP1026B_I0721",4543,3916,4365,3946,3936,4617
"BP1026B_I0722",203,167,181,143,150,167
"BP1026B_I0723",5620,5260,6393,3229,3165,3690
"BP1026B_I0725",1225,1039,1095,984,1023,1111
"BP1026B_I0726",1353,696,815,815,742,954
"predicted RNA",85,41,45,31,32,37
"BP1026B_I0727",2263,1851,2159,1853,1878,2113
"BP1026B_I0728",231,210,232,154,152,184
"BP1026B_I0729",153,98,104,106,112,113
"BP1026B_I0730",57,40,41,30,38,45
"BP1026B_I0731",855,506,628,692,670,785
"BP1026B_I0732",2161,943,994,963,1010,1070
"BP1026B_I0733",457,225,251,282,254,322
"BP1026B_I0734",325,150,187,239,259,273
"BP1026B_I0735",255,171,200,256,223,277
"BP1026B_I0736",31,30,23,25,23,33
"BP1026B_I0737",72,49,58,65,72,64
"BP1026B_I0738",264,137,160,198,175,189
"BP1026B_I0739",41,29,38,32,39,44
"BP1026B_I0740",1624,1131,1298,1074,1112,1139
"BP1026B_I0741",2599,1360,1484,1503,1328,1496
"BP1026B_I0742",3947,2315,2653,2574,2546,2637
"BP1026B_I0743",7866,5400,6115,6934,6767,7533
"BP1026B_I0744",5335,3536,4309,4375,4311,4866
"BP1026B_I0745",3011,2489,2820,2640,2798,2982
"BP1026B_I0746",11721,9665,11428,12097,12207,13555
"BP1026B_I0747",595,404,507,390,409,525
"BP1026B_I0748",373,297,326,259,316,324
"BP1026B_I0749",2577,2028,2280,2010,1968,2290
"BP1026B_I0750",71972,65345,77669,46185,45650,50812
"BP1026B_I0751",795,815,924,581,585,660
"BP1026B_I0752",82461,62810,73296,131371,129421,162158
"BP1026B_I0753",1313,831,1013,980,944,1041
"BP1026B_I0754",397,253,254,248,212,232
"BP1026B_I0755",310,252,232,206,249,243
"BP1026B_I0756",769,443,510,512,506,511
"BP1026B_I0757",1015,689,886,562,584,680
"BP1026B_I0758",209,120,142,216,190,185
"BP1026B_I0759",103,60,62,93,106,91
"BP1026B_I0760",1340,2076,2405,2483,2507,2758
"BP1026B_I0761",11,8,6,9,9,7
"BP1026B_I0762",19,8,14,15,10,19
"BP1026B_I0763",23,28,26,15,20,22
"BP1026B_I0764",9,12,17,17,16,11
"BP1026B_I0765",2688,1968,2481,1760,1780,1960
"BP1026B_I0766",150,106,115,142,125,155
"BP1026B_I0767",269,172,176,139,143,187
"BP1026B_I0768",4389,3508,4029,2826,2839,3033
"BP1026B_I0769",4989,3199,3650,2657,2658,3000
"predicted RNA",782,475,481,304,278,237
"BP1026B_I0770",1259,621,743,600,578,645
"BP1026B_I0771",370,220,253,215,222,246
"BP1026B_I0772",335,257,312,335,337,318
"BP1026B_I0773",464,303,365,311,290,344
"BP1026B_I0774",395,222,280,227,229,267
"BP1026B_I0775",287,263,318,291,291,298
"BP1026B_I0776",529,312,322,295,299,298
"BP1026B_I0777",10903,6257,7037,6763,6498,7409
"BP1026B_I0778",826,565,654,557,544,614
"BP1026B_I0779",1197,633,716,743,672,755
"BP1026B_I0780",3974,2372,2772,1864,1832,1981
"BP1026B_I0781",621,446,493,424,451,482
"BP1026B_I0782",2283,1526,1677,1564,1578,1686
"BP1026B_I0783",412,248,301,308,309,318
"BP1026B_I0784",318,152,220,296,277,333
"BP1026B_I0785",960,409,478,490,526,570
"BP1026B_I0786",1726,1842,2157,1360,1386,1546
"predicted RNA",424,275,266,179,174,174
"BP1026B_I0787",1172,598,680,581,540,598
"BP1026B_I0788",42,28,29,31,28,29
"BP1026B_I0789",1100,606,675,667,631,751
"BP1026B_I0790",1179,956,1192,1096,1156,1164
"BP1026B_I0791",101104,114352,138533,146661,145712,167296
"BP1026B_I0792",17483,12792,15256,14556,14905,16162
"BP1026B_I0793",63840,42008,51381,52478,50731,58089
"BP1026B_I0794",3761,2868,3414,2889,2857,3124
"predicted RNA",128,108,123,117,103,125
"BP1026B_I0795",4038,2654,3087,2684,2520,2873
"BP1026B_I0796",3126,1729,1931,2089,2007,2156
"predicted RNA",65,26,27,25,25,25
"BP1026B_I0797",1615,1059,1165,1417,1388,1589
"BP1026B_I0798",3221,2879,3276,5300,5316,6077
"BP1026B_I0799",569,856,935,1196,1246,1288
"BP1026B_I0800",1765,1305,1531,1441,1470,1677
"BP1026B_I0801",3677,2135,2383,2449,2346,2714
"BP1026B_I0802",3019,1429,1697,2047,2079,2417
"BP1026B_I0803",1031,861,990,996,924,1055
"BP1026B_I0804",840,353,445,441,444,542
"BP1026B_I0805",151,85,81,60,65,69
"BP1026B_I0806",3280,2820,3372,2935,2936,3316
"BP1026B_I0807",3838,2190,2549,2654,2596,2861
"BP1026B_I0808",2465,1793,2129,1903,1911,2063
"BP1026B_I0809",874,436,558,460,498,523
"BP1026B_I0810",1310,876,1035,1253,1232,1395
"BP1026B_I0811",536,433,458,601,607,610
"BP1026B_I0812",942,813,921,771,780,897
"BP1026B_I0813",14263,10002,11869,11566,11386,13402
"BP1026B_I0814",5326,4803,5681,4752,4476,5371
"predicted RNA",475,506,594,428,475,513
"BP1026B_I0815",7502,6808,8065,6070,5936,6770
"BP1026B_I0816",4420,3151,3548,2329,2329,2574
"BP1026B_I0817",5692,3331,3988,4488,4314,5124
"BP1026B_I0818",1522,946,1036,959,972,991
"BP1026B_I0819",258,174,213,186,171,203
"BP1026B_I0820",2266,1127,1353,1332,1329,1460
"predicted RNA",117,177,210,243,233,275
"BP1026B_I0821",5402,5222,5977,5850,5671,6466
"BP1026B_I0822",3986,3183,3631,4043,3833,4439
"BP1026B_I0823",289,188,240,254,292,279
"BP1026B_I0825",54,32,40,33,33,31
"BP1026B_I0824",996,657,720,779,748,831
"BP1026B_I0826",3118,1764,2021,1885,1802,1967
"predicted RNA",156,78,88,48,57,63
"BP1026B_I0827",554,229,238,245,226,262
"BP1026B_I0828",1138,659,713,678,712,731
"BP1026B_I0829",1771,1220,1470,1648,1710,1891
"BP1026B_I0830",2248,1462,1603,1675,1678,1851
"BP1026B_I0831",1950,1170,1396,1088,1094,1201
"BP1026B_I0832",2081,1157,1298,1175,1172,1315
"BP1026B_I0833",3240,2332,2735,1977,1882,2174
"BP1026B_I0834",589,350,441,381,398,421
"BP1026B_I0835",374,186,205,199,237,244
"BP1026B_I0836",112,69,71,81,112,108
"BP1026B_I0837",42,11,24,29,34,33
"BP1026B_I0838",884,501,607,503,475,571
"BP1026B_I0839",2542,2036,2401,1930,1936,2105
"BP1026B_I0840",1093,673,687,627,617,640
"BP1026B_I0841",205,109,122,119,104,115
"BP1026B_I0842",35,37,56,52,50,54
"BP1026B_I0843",403,233,267,242,232,248
"BP1026B_I0844",2011,1443,1735,909,889,973
"BP1026B_I0845",977,570,682,717,688,756
"BP1026B_I0846",91,110,122,108,120,107
"BP1026B_I0847",242,243,342,277,249,302
"BP1026B_I0848",10184,6955,7724,7247,7127,7692
"BP1026B_I0849",485,302,343,351,320,383
"BP1026B_I0850",520,776,879,496,512,552
"BP1026B_I0851",137,250,286,175,181,206
"BP1026B_I0852",667,706,857,627,641,714
"BP1026B_I0853",1279,954,1094,856,825,919
"BP1026B_I0854",3748,2111,2452,2549,2531,2751
"BP1026B_I0855",2891,1988,2450,2546,2517,2806
"BP1026B_I0856",1254,947,1057,805,783,842
"BP1026B_I0857",1745,1159,1350,1213,1143,1349
"BP1026B_I0858",1331,994,1242,820,849,881
"BP1026B_I0859",1191,926,1053,760,704,828
"BP1026B_I0860",3343,1689,1987,1795,1749,1857
"BP1026B_I0861",3553,1656,1812,2065,2018,2280
"BP1026B_I0862",7571,4771,5741,7516,7511,8269
"BP1026B_I0863",4505,3022,3344,3413,3442,3623
"BP1026B_I0864",1922,1212,1377,1086,1114,1244
"BP1026B_I0865",2541,1889,2172,2240,2257,2407
"BP1026B_I0866",1235,689,833,781,722,770
"BP1026B_I0867",1366,711,739,770,812,845
"BP1026B_I0868",6791,3732,4195,4764,4792,5293
"BP1026B_I0869",2321,1205,1329,1358,1350,1445
"BP1026B_I0871",882,406,534,490,516,526
"BP1026B_I0870",1674,1414,1710,1327,1411,1533
"BP1026B_I0872",1045,1333,1626,1925,2077,2013
"BP1026B_I0873",3398,2299,2820,2776,2766,3246
"BP1026B_I0874",3177,2403,2796,2896,2922,3259
"predicted RNA",348,266,316,217,209,265
"BP1026B_I0875",3981,2559,3074,2791,2507,2999
"BP1026B_I0876",2668,2309,2667,2274,2300,2585
"BP1026B_I0877",147,165,204,192,202,212
"BP1026B_I0878",22718,26217,30129,34154,34558,40360
"BP1026B_I0879",8989,9483,11051,11906,11579,13438
"BP1026B_I0880",9890,7551,8700,7364,7431,8344
"BP1026B_I0881",1463,864,912,868,854,821
"BP1026B_I0882",6213,4428,5040,4731,4790,5521
"BP1026B_I0883",4760,3378,3931,2318,2287,2387
"BP1026B_I0884",9932,6108,6982,4711,4868,5187
"BP1026B_I0885",13313,9158,10271,6080,6083,6478
"BP1026B_I0886",2642,1437,1598,1018,998,1221
"BP1026B_I0887",5193,3677,4434,3546,3562,4091
"BP1026B_I0888",2750,2498,2955,2913,2850,3177
"BP1026B_I0889",4661,3209,3693,2780,2819,3125
"BP1026B_I0890",1541,991,1164,862,842,1017
"BP1026B_I0891",1075,635,652,624,552,646
"BP1026B_I0892",2070,1019,1228,1045,1001,1143
"BP1026B_I0893",700,347,440,372,343,385
"BP1026B_I0894",842,574,691,581,581,667
"predicted RNA",404,166,177,127,118,153
"BP1026B_I0895",7757,3984,4512,4633,4621,5210
"BP1026B_I0896",121,80,115,110,127,138
"BP1026B_I0897",8260,7968,9668,9832,9860,11136
"BP1026B_I0898",1602,897,991,933,965,1036
"BP1026B_I0899",2305,1191,1359,1178,1240,1394
"BP1026B_I0900",823,614,690,665,704,757
"BP1026B_I0901",294,238,264,175,223,223
"BP1026B_I0902",801,381,489,462,431,585
"BP1026B_I0903",255,276,332,188,193,225
"BP1026B_I0904",361,277,360,199,200,232
"BP1026B_I0905",527,350,390,725,718,769
"BP1026B_I0906",144,88,114,207,205,223
"BP1026B_I0907",745,489,592,627,673,679
"BP1026B_I0908",1477,845,1021,968,896,1062
"BP1026B_I0909",802,676,769,648,631,680
"BP1026B_I0910",647,356,393,348,334,364
"BP1026B_I0911",2126,1154,1322,1082,1037,1224
"BP1026B_I0912",1438,990,1086,781,801,848
"BP1026B_I0913",1388,764,918,899,903,1018
"BP1026B_I0914",738,527,670,637,676,718
"predicted RNA",1114,653,753,585,569,647
"BP1026B_I0915",4233,2890,3402,2498,2475,2794
"BP1026B_I0916",864,491,489,641,619,686
"BP1026B_I0917",452,284,351,302,316,369
"BP1026B_I0918",335,169,200,158,167,164
"BP1026B_I0919",51,34,40,38,30,41
"BP1026B_I0920",679,578,677,286,273,280
"BP1026B_I0922",664,545,611,542,549,531
"BP1026B_I0921",588,369,416,312,315,350
"BP1026B_I0923",251,120,143,113,123,139
"BP1026B_I0924",2863,1468,1675,1792,1813,1960
"BP1026B_I0925",2136,2164,2527,1918,1881,2163
"BP1026B_I0926",756,484,576,581,574,654
"BP1026B_I0927",1075,602,653,772,809,805
"predicted RNA",223,111,128,106,119,134
"BP1026B_I0928",247,178,207,198,207,207
"BP1026B_I0930",214,160,160,162,179,222
"BP1026B_I0929",166,150,196,193,177,224
"BP1026B_I0931",703,512,620,531,550,634
"BP1026B_I0932",431,326,385,316,346,388
"BP1026B_I0933",86,64,65,48,48,57
"BP1026B_I0934",1867,1731,2046,2022,1993,2276
"BP1026B_I0935",1161,795,815,899,839,990
"BP1026B_I0936",1670,1016,1172,1066,1070,1216
"BP1026B_I0937",5118,3294,3658,3062,3002,3358
"BP1026B_I0938",5893,3159,3636,2954,2867,3278
"BP1026B_I0939",3554,1728,1893,1572,1483,1584
"BP1026B_I0940",886,558,614,549,451,524
"BP1026B_I0941",4488,3692,4300,3061,3075,3465
"predicted RNA",758,339,365,528,495,539
"predicted RNA",288,234,206,340,373,334
"BP1026B_I0942",2203,1827,2209,2946,2925,3270
"predicted RNA",129,121,143,207,231,212
"BP1026B_I0943",2092,1819,2314,3541,3458,3722
"BP1026B_I0944",2693,2129,2293,3812,3791,4011
"BP1026B_I0945",8188,7097,8611,11741,11846,13194
"BP1026B_I0946",2951,2276,2814,2991,2900,3274
"BP1026B_I0947",25,9,18,15,23,25
"BP1026B_I0948",2535,2092,2450,2837,2730,2991
"BP1026B_I0949",11080,7041,8710,18926,18870,21282
"BP1026B_I0950",1445,1031,1268,7730,7748,8843
"BP1026B_I0951",575,418,483,1792,1704,1789
"BP1026B_I0952",261,145,204,598,586,650
"BP1026B_I0953",528,340,342,984,913,968
"BP1026B_I0954",373,248,277,926,929,1016
"BP1026B_I0955",203,186,181,904,896,949
"BP1026B_I0956",755,529,579,4066,3963,4506
"predicted RNA",74,37,54,256,248,252
"BP1026B_I0957",2564,2013,2275,12902,12845,13504
"BP1026B_I0958",277,99,120,678,669,776
"predicted RNA",434,156,192,679,685,815
"BP1026B_I0959",18497,14231,16142,17208,16907,18749
"BP1026B_I0960",7292,5084,5777,8502,8404,9273
"BP1026B_I0961",2660,2027,2362,3223,3240,3404
"BP1026B_I0962",3676,1935,2145,3498,3375,3598
"BP1026B_I0963",6323,4567,5315,5240,5369,5654
"BP1026B_I0964",9789,5942,7023,5332,5532,6045
"BP1026B_I0965",5750,3774,4456,3380,3440,3741
"BP1026B_I0966",3621,2554,2665,1836,1856,2088
"BP1026B_I0967",3733,2390,2704,1831,1798,2053
"BP1026B_I0968",3314,2320,2629,1613,1596,1656
"BP1026B_I0969",3364,2602,3064,1540,1523,1752
"BP1026B_I0970",4573,3676,4502,3882,4004,4378
"predicted RNA",320,168,146,222,176,207
"BP1026B_I0971",2716,1864,2080,3505,3529,3658
"BP1026B_I0972",782,296,307,789,782,742
"BP1026B_I0973",39,29,23,91,100,111
"BP1026B_I0974",1465,1330,1516,8511,8177,9101
"BP1026B_I0975",291,222,231,289,256,317
"BP1026B_I0976",658,361,379,308,307,289
"BP1026B_I0977",524,367,437,332,375,380
"BP1026B_I0978",22,16,28,14,16,21
"BP1026B_I0980",1078,580,672,397,415,462
"BP1026B_I0979",1106,503,546,447,417,445
"BP1026B_I0981",291,166,186,145,138,145
"BP1026B_I0982",3337,2622,3125,2002,1987,2180
"BP1026B_I0983",1222,921,988,598,648,715
"BP1026B_I0984",3313,3351,4057,2052,1981,2142
"BP1026B_I0985",1289,730,793,558,563,576
"BP1026B_I0986",1487,845,925,542,545,622
"BP1026B_I0987",969,473,526,349,305,345
"BP1026B_I0988",491,301,382,265,294,309
"BP1026B_I0989",48,42,38,30,29,25
"predicted RNA",1105,884,984,666,745,857
"BP1026B_I0990",218,153,159,127,122,106
"BP1026B_I0991",297,169,203,149,135,159
"BP1026B_I0992",540,382,467,263,267,307
"BP1026B_I0993",430,365,421,286,250,269
"BP1026B_I0994",170,147,139,172,157,199
"BP1026B_I0995",21,22,20,23,28,35
"BP1026B_I0996",67,34,58,44,47,42
"BP1026B_I0998",83,69,72,106,76,85
"BP1026B_I0997",80,42,54,79,80,77
"BP1026B_I0999",117,67,75,83,80,88
"BP1026B_I1000",130,68,74,106,89,96
"BP1026B_I1001",1463,1790,2080,2312,2278,2541
"BP1026B_I1002",1656,1026,1128,1115,1160,1208
"BP1026B_I1003",2532,1491,1708,1817,1850,1998
"BP1026B_I1004",653,446,598,600,608,644
"BP1026B_I1005",748,524,651,699,683,793
"BP1026B_I1006",171,125,134,131,138,158
"BP1026B_I1007",739,508,612,439,447,513
"BP1026B_I1008",889,755,849,682,687,742
"BP1026B_I1009",14870,16881,19543,14610,14682,15914
"BP1026B_I1010",768,806,858,632,635,738
"BP1026B_I1011",1012,741,809,599,611,610
"BP1026B_I1012",328,277,361,271,299,339
"BP1026B_I1013",2025,1208,1377,1564,1481,1656
"BP1026B_I1014",5967,2838,3331,4222,3994,4259
"BP1026B_I1015",302,225,289,581,612,653
"BP1026B_I1016",218,149,148,330,336,341
"BP1026B_I1017",672,530,578,1402,1397,1573
"BP1026B_I1018",3674,2513,2993,8845,8661,9905
"BP1026B_I1019",308,282,322,1326,1316,1381
"BP1026B_I1020",243,176,236,744,782,803
"BP1026B_I1021",3,8,5,2,6,1
