"gene_id","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3"
"Afu2g13250",2026,1510,1612,2838,2688,1750,6792,7432,6354,5609,4657,6645
"Afu2g13260",2350,2029,2081,2506,1644,1893,3819,3579,3366,1713,1443,2179
"Afu2g13265",235,192,197,94,45,85,1187,913,1002,584,434,617
"Afu2g13270",2425,2087,1937,2413,2058,1567,718,1161,644,1052,946,1277
"Afu2g13280",76,61,82,57,53,33,33,39,35,31,31,44
"Afu2g13290",2928,2405,2167,5009,5141,3165,2898,3408,2723,3970,3184,4735
"Afu2g13295",1776,1369,1314,1765,4432,1051,710,830,701,1754,1450,2089
"Afu2g13300",163,149,169,117,167,118,164,307,145,176,159,225
"Afu2g13310",3456,3085,3049,3250,3607,2271,1487,1899,1330,924,922,1360
"Afu2g13320",1953,1659,1637,1663,1567,1206,1232,1400,1134,939,1041,1319
"Afu2g13330",1143,922,915,592,616,428,491,433,427,213,244,385
"Afu2g13340",253,222,175,306,258,149,175,218,170,207,201,259
"Afu2g13350",102,69,57,153,125,82,63,99,59,60,56,113
"Afu2g13360",2129,1978,1927,2348,1874,1510,624,629,584,219,236,364
"Afu2g13370",1650,1362,1422,1632,1217,985,1032,1087,997,516,490,706
"Afu2g13380",1712,1297,1340,1591,1668,1128,1302,1351,1171,717,617,975
"Afu2g13390",125,136,107,110,117,141,55,59,41,45,68,69
"Afu2g13400",4542,4089,3932,4876,5844,3484,2336,3176,2126,1864,1744,2310
"Afu2g13410",1106,931,840,1146,1379,841,349,499,299,392,355,461
"Afu2g13420",433,382,366,196,179,99,155,240,144,138,138,168
"Afu2g13430",10593,9094,8689,18282,12767,13346,15592,16446,13841,9477,7987,10443
"Afu2g13440",10791,9460,9658,21961,15487,16274,12557,13051,10710,8274,7165,9385
"Afu2g13450",1396,1169,1148,1167,779,733,1302,1024,1172,966,877,1109
"Afu2g13460",331,277,221,202,139,146,1531,941,1417,3033,2404,3132
"Afu2g13470",847,632,664,655,561,471,861,942,749,946,1007,1364
"Afu2g13480",1765,1419,1402,1171,1085,770,1354,1398,1177,1364,1380,1699
"Afu2g13490",3728,3226,3183,4896,4017,3057,5421,4578,4871,2662,2284,3375
"Afu2g13500",11851,10347,11207,7963,8944,4987,8021,7777,7403,6549,5952,8755
"Afu2g13512",6526,5638,5697,7106,5338,4910,2650,2800,2287,2175,2186,2639
"Afu2g13520",2721,2556,2494,3557,2288,2390,1396,1534,1231,1196,1057,1460
"Afu2g13530",42216,29064,30945,39671,34681,23917,53749,58496,49083,78769,62741,86788
"Afu2g13540",900,718,682,1259,1138,811,1144,1402,929,976,953,1453
"Afu2g13550",691,546,527,251,191,172,162,202,136,139,135,178
"Afu2g13560",543,425,426,323,200,205,287,297,227,198,154,233
"Afu2g13570",1578,1311,1161,2723,3064,2098,691,912,643,1136,1071,1400
"Afu2g13580",1544,1278,1259,5643,5214,3815,856,903,777,713,705,927
"Afu2g13590",10798,9548,9010,7906,6123,6216,5204,3756,4514,2258,2819,3275
"Afu2g13600",962,959,897,1219,1082,731,648,690,617,501,550,735
"Afu2g13610",669,473,527,571,647,326,314,244,288,240,214,304
"Afu2g13615",463,551,545,618,442,453,18,137,15,30,27,50
"Afu2g13620",1454,1213,1250,917,651,598,352,455,288,284,227,336
"Afu2g13630",14813,13078,13516,6688,10331,4995,1989,3104,1740,1688,1574,2295
"Afu2g13640",1523,1359,1283,1619,1026,1087,575,619,490,354,333,462
"Afu2g13650",402,365,361,636,340,445,127,191,91,94,113,117
"Afu2g13660",314,264,247,155,85,92,121,156,109,43,53,99
"Afu2g13680",11875,10282,10141,10959,8189,8261,4307,6124,3965,4154,3678,5037
"Afu2g13690",1812,1459,1409,5407,8984,3975,1017,1345,904,791,636,984
"Afu2g13710",3540,2652,2702,3843,3639,2527,6249,6447,5902,6400,5867,8112
"Afu2g13720",808,615,547,1093,1439,985,458,557,383,660,647,934
"Afu2g13730",1736,1492,1507,2784,2353,2201,719,1012,596,713,644,906
"Afu2g13740",2204,1848,1807,1961,1602,1365,745,674,652,517,367,553
"Afu2g13750",2444,2091,2168,2572,1750,1646,1070,1369,909,774,668,926
"Afu2g13760",4639,4028,3914,3547,2655,2619,2245,3221,1971,2242,1634,2260
"Afu2g13770",6849,5684,6527,2086,1930,1719,764,1790,705,432,431,654
"Afu2g13780",4554,3824,3675,5900,5203,4354,3573,3546,3311,3157,2708,3821
"Afu2g13790",26,14,13,15,8,16,19,16,14,15,12,20
"Afu2g13800",33,30,21,12,9,7,9,7,11,4,3,8
"Afu2g13810",85,54,38,75,61,59,346,273,293,557,394,585
"Afu2g13820",1725,1479,1387,1679,1344,1272,1631,1799,1485,1340,1393,1791
"Afu2g13830",2701,2732,2805,2995,2676,2458,3561,3367,3158,2250,1910,2448
"Afu2g13840",32,40,25,30,21,27,310,186,297,422,351,372
"Afu2g13850",16301,13369,14556,16294,10910,12032,35928,21688,32383,13309,10955,14771
"Afu2g13860",9851,7836,7835,10993,10566,7768,4327,4359,3783,3924,3641,4951
"Afu2g13870",1209,1201,1121,980,1054,662,1036,1091,938,712,688,947
"Afu2g13880",1561,1531,1592,1506,1221,950,1518,1528,1405,923,899,1251
"Afu2g13890",4392,4547,4577,3050,2866,1861,1371,3179,1236,729,680,1232
"Afu2g13900",11,10,13,3,10,1,0,5,2,1,0,5
"Afu2g13910",1089,907,897,1235,1468,852,389,413,332,293,338,395
"Afu2g13920",398,308,273,139,132,110,149,130,128,74,76,110
"Afu2g13930",5816,4294,4725,7392,13502,4859,37,60,42,25,40,56
"Afu2g13940",3080,2212,2160,2524,1830,1617,502,1020,487,271,475,573
"Afu2g13950",96,96,81,78,56,53,43,42,37,32,39,52
"Afu2g13960",546,417,449,466,424,366,504,423,403,438,368,509
"Afu2g13970",1061,800,860,1252,1074,641,911,792,912,574,486,710
"Afu2g13980",838,621,668,1321,1358,1078,361,544,332,385,363,504
"Afu2g13985",1609,1270,1284,756,533,609,574,717,444,248,259,341
"Afu2g13990",1432,1176,1120,531,565,461,1106,1415,919,385,400,562
"Afu2g14000",2313,1665,1653,469,337,346,941,1210,791,670,647,856
"Afu2g14010",3243,2725,2641,2951,3098,2199,1883,1879,1651,876,824,1282
"Afu2g14020",426,397,409,174,118,130,203,317,157,129,136,154
"Afu2g14030",3978,3102,3166,3915,3905,2704,2376,3125,2137,3573,2976,4225
"Afu2g14040",1144,1329,1325,738,1019,533,212,452,182,213,247,304
"Afu2g14060",1156,884,843,967,918,670,4757,2602,4107,3665,2862,4026
"Afu2g14070",841,634,677,633,463,432,1090,852,1006,754,690,974
"Afu2g14080",3035,2574,2676,4376,2802,3256,1883,2546,1766,1989,2089,2530
"Afu2g14090",1118,794,951,1754,2025,1306,666,771,575,523,643,767
"Afu2g14100",945,847,879,1149,1026,753,523,364,366,303,280,320
"Afu2g14110",2648,2252,2268,2946,2996,2028,2810,2294,2500,1214,1026,1516
"Afu2g14120",579,485,463,457,758,370,93,116,77,59,57,86
"Afu2g14130",3490,3187,3175,6877,5726,4752,2580,2857,2206,1904,1719,2302
"Afu2g14140",546,506,491,744,1333,556,76,129,80,72,77,86
"Afu2g14150",3546,3147,3301,1339,1328,837,577,1377,530,174,190,236
"Afu2g14160",3912,3717,3539,4215,3195,2864,1900,2345,1669,1459,1274,2000
"Afu2g14170",23,33,36,10,8,9,16,53,14,9,7,13
"Afu2g14180",549,409,425,443,357,357,471,537,430,424,363,501
"Afu2g14190",1706,1344,1303,3218,3571,2472,1537,1262,1256,1271,1349,1855
"Afu2g14200",2642,2246,2104,2429,2013,1578,1239,1558,1110,475,535,831
"Afu2g14210",1068,813,772,1538,1359,874,2473,2945,2178,4389,3864,5622
"Afu2g14220",485,414,390,642,681,409,835,781,781,716,619,885
"Afu2g14230",176,151,134,135,133,51,721,478,690,309,269,352
"Afu2g14240",1097,968,919,970,693,655,681,773,634,470,485,598
"Afu2g14250",1984,1503,1621,1743,2116,1158,828,916,739,470,467,608
"Afu2g14260",2400,1919,1781,2586,2329,1827,1232,1122,1143,1170,1013,1417
"Afu2g14270",3114,2409,2435,3174,2776,2019,3972,4336,3706,4772,3794,5599
"Afu2g14280",2393,1869,1902,1023,720,649,1373,1358,1251,1263,1174,1628
"Afu2g14290",889,876,923,1059,746,703,247,416,247,209,199,284
"Afu2g14300",125,130,149,109,179,86,33,73,42,24,19,37
"Afu2g14310",2145,1736,1876,1545,1848,1074,1180,1178,966,534,623,796
"Afu2g14320",98,83,84,39,47,31,49,61,41,33,38,26
"Afu2g14330",140,87,64,33,26,20,49,37,36,30,23,26
"Afu2g14340",1651,1601,1618,2021,1640,1603,1066,869,908,822,847,1053
"Afu2g14350",639,606,567,995,843,1030,166,153,122,109,107,128
"Afu2g14360",1176,1031,918,2311,2130,1718,332,379,283,299,319,406
"Afu2g14370",515,369,452,315,214,170,1182,1165,1088,1220,1047,1417
"Afu2g14380",304,258,227,163,114,101,183,212,178,154,152,220
"Afu2g14390",2436,1877,1750,1109,719,704,770,1406,690,643,511,785
"Afu2g14400",4403,4056,3936,1864,1104,1349,300,1347,262,170,224,265
"Afu2g14410",272,198,238,198,120,118,57,48,37,35,35,22
"Afu2g14420",65,58,59,36,48,27,53,44,40,71,52,69
"Afu2g14430",1065,881,669,338,118,295,1507,951,1299,3795,3190,4082
"Afu2g14440",433,391,370,283,136,253,512,351,406,1042,887,1179
"Afu2g14450",1900,1833,1572,1237,471,1354,1509,1082,1267,1319,1159,1498
"Afu2g14460",2308,1830,1751,1499,856,980,1114,1295,1005,1173,1082,1404
"Afu2g14470",1768,1319,1209,742,409,648,786,1000,757,1353,994,1481
"Afu2g14480",2012,1648,1495,645,293,595,197,328,167,229,175,223
"Afu2g14490",4379,3614,3649,977,1270,864,7475,5147,6730,5022,4988,6610
"Afu2g14497",165,99,109,52,31,37,70,78,73,40,41,53
"Afu2g14510",3244,2764,2818,2723,2147,1664,2529,2007,2414,1117,1048,1488
"Afu2g14520",1638,1456,1380,585,973,488,45,144,39,41,47,57
"Afu2g14525",3,7,7,5,21,7,3,4,3,5,1,8
"Afu2g14530",157,143,134,174,98,95,28,41,28,19,21,30
"Afu2g14540",480,422,352,183,177,133,182,155,155,154,155,213
"Afu2g14547",28,23,23,4,10,5,5,4,4,4,5,6
"Afu2g14560",669,493,432,419,367,217,818,598,801,430,341,478
"Afu2g14570",2204,1951,1848,2439,2115,1865,3272,4114,2920,2164,1860,2803
"Afu2g14580",1983,1638,1557,2372,1851,1625,1746,1484,1536,1312,1106,1576
"Afu2g14590",330,267,198,208,231,172,4728,4856,4199,1745,1532,2066
"Afu2g14600",381,279,332,324,416,149,645,1231,596,393,396,587
"Afu2g14610",572,462,438,625,489,368,147,239,135,107,89,126
"Afu2g14620",7354,5915,5569,6377,4234,4097,538,1126,464,387,393,547
"Afu2g14630",118,97,103,174,102,89,93,112,77,57,42,86
"Afu2g14640",100,103,97,3,10,40,76,94,57,20,36,60
"Afu2g14650",773,737,720,211,255,161,442,605,320,405,271,382
"Afu2g14655",3235,2434,2500,252,230,235,376,593,304,662,785,868
"Afu2g14661",2907,2338,2425,170,165,152,180,351,165,95,129,169
"Afu2g14670",2167,1722,1580,2969,3307,2182,3013,4004,2856,4995,4069,6039
"Afu2g14680",6264,5792,5620,4070,2752,3537,3075,4655,2759,3579,3277,4243
"Afu2g14690",1986,1647,1564,1343,1170,857,870,786,879,577,523,755
"Afu2g14700",913,702,720,499,503,302,334,256,324,217,224,280
"Afu2g14710",2730,2270,2268,3526,2912,2278,2773,3239,2543,2235,2037,2680
"Afu2g14720",4225,3339,3209,2130,2775,1873,2417,3210,2145,1959,1830,2520
"Afu2g14730",1385,1087,1237,1424,1273,955,822,684,663,604,545,756
"Afu2g14740",1045,899,921,219,114,116,486,624,444,324,428,548
"Afu2g14750",4353,3258,3277,438,434,235,106,609,95,139,123,163
"Afu2g14760",5705,4541,4996,5092,2909,3325,1004,1314,882,969,951,1314
"Afu2g14770",2219,1940,1942,1776,1552,1222,1284,1233,999,576,546,743
"Afu2g14780",320,208,203,132,122,68,79,113,69,33,30,58
"Afu2g14790",977,991,976,964,801,793,977,793,856,1347,1265,1790
"Afu2g14800",9722,7516,7417,9088,5397,5995,4094,4294,3587,2339,2221,3070
"Afu2g14810",1753,1397,1360,2269,1832,1798,1853,1848,1602,2268,2173,2861
"Afu2g14820",743,682,685,1106,631,652,781,802,679,496,433,615
"Afu2g14830",584,523,571,915,638,560,531,402,485,294,223,320
"Afu2g14840",879,649,622,607,450,328,553,387,513,324,236,333
"Afu2g14850",975,839,667,507,454,409,123,208,109,118,112,175
"Afu2g14860",237,231,256,227,139,173,290,197,245,185,169,244
"Afu2g14870",207,176,235,88,75,42,32,63,23,20,12,36
"Afu2g14880",1177,941,956,1169,988,789,544,674,485,257,270,391
"Afu2g14890",354,252,219,347,312,204,215,257,160,135,138,208
"Afu2g14900",1234,1134,1184,1320,1075,859,644,756,540,549,481,687
"Afu2g14905",1794,1498,1484,1286,1126,1069,2235,2202,1906,2660,2629,3245
"Afu2g14910",1179,1026,958,847,759,621,716,635,586,403,378,493
"Afu2g14920",7006,5903,5807,4654,3230,3191,4322,3763,3880,3239,2745,3763
"Afu2g14930",1245,972,953,995,610,815,549,646,505,884,916,1072
"Afu2g14940",1527,1233,1195,1472,1208,1113,666,739,607,415,404,572
"Afu2g14950",646,525,531,1073,1399,786,546,498,482,503,426,567
"Afu2g14960",1272,893,963,1862,2747,1220,2761,3037,2452,2910,2589,3629
"Afu2g14970",3846,3043,2926,2872,2083,2086,10283,9373,9008,11222,9438,13287
"Afu2g14980",521,422,475,586,570,351,447,450,396,288,282,415
"Afu2g14990",3960,3163,2949,2849,2125,1887,4458,4227,3969,4034,3127,4729
"Afu2g15000",935,888,951,1239,1188,767,710,1085,634,367,285,439
"Afu2g15010",8613,7979,7574,10194,6969,6464,7548,7066,6832,6618,5127,7428
"Afu2g15020",339,296,275,125,90,114,295,279,230,223,187,244
"Afu2g15030",1673,1342,1381,1697,1317,1149,2180,2471,1807,2141,1961,2525
"Afu2g15040",572,496,447,444,309,292,490,459,459,252,244,330
"Afu2g15050",4578,4503,4802,6506,5131,4561,2755,2521,2259,1810,1569,2108
"Afu2g15060",877,720,715,582,404,308,667,1028,664,460,514,751
"Afu2g15070",2732,2399,2226,3231,2572,2453,2037,2312,1769,2116,1843,2418
"Afu2g15080",1002,751,780,1132,934,783,610,609,474,423,425,514
"Afu2g15085",47,48,33,33,28,35,11,17,12,4,4,7
"Afu2g15090",3700,2604,2366,1508,1407,956,1467,1341,1302,720,625,839
"Afu2g15100",906,707,715,427,343,252,119,156,90,63,52,78
"Afu2g15110",1733,1190,1282,589,718,389,820,712,744,220,157,263
"Afu2g15120",92,60,87,74,78,75,18,36,15,12,5,6
"Afu2g15130",11613,11449,11595,16798,10435,12442,2746,3213,2380,1404,1400,1920
"Afu2g15140",456,326,310,249,244,207,234,245,210,147,152,194
"Afu2g15150",98,75,86,52,99,48,17,28,20,27,16,10
"Afu2g15160",1022,884,810,329,200,290,221,220,170,183,141,219
"Afu2g15165",1188,956,940,478,460,338,628,883,565,720,552,770
"Afu2g15170",20891,17415,17248,13777,12911,10768,8813,9914,7991,7331,6253,8636
"Afu2g15180",4536,4016,3879,3149,3833,2471,3452,5094,2912,3058,3258,4293
"Afu2g15190",888,759,832,705,639,430,1361,1292,1406,1079,775,1237
"Afu2g15200",9647,9285,9694,6353,5446,3795,6118,5559,5623,6300,5365,7997
"Afu2g15210",1258,966,1012,1635,1552,1199,857,807,724,791,877,1045
"Afu2g15220",674,555,499,977,781,655,404,397,373,286,332,425
"Afu2g15230",3121,2512,2466,2234,1814,1371,429,685,344,344,304,491
"Afu2g15240",206,148,136,24,32,18,1226,821,1114,135,89,123
"Afu2g15255",145,136,114,127,67,87,280,226,259,95,71,130
"Afu2g15270",59,64,58,5,1,6,1,16,2,4,4,6
"Afu2g15280",599,631,614,173,167,120,121,179,92,83,83,113
"Afu2g15290",17339,15260,15981,4083,2527,4088,1148,7997,1053,1593,1605,2068
"Afu2g15312",79,113,159,11,10,17,22,68,18,13,14,20
"Afu2g15320",12,6,9,10,5,10,1,6,5,4,2,2
"Afu2g15330",2,0,4,0,2,1,1,2,2,0,0,1
"Afu2g15340",100,85,73,13,6,11,17,21,17,12,9,26
"Afu2g15350",2,3,5,0,2,1,8,6,6,0,4,2
"Afu2g15360",16,12,22,11,3,13,16,15,12,12,17,12
"Afu2g15370",1809,1497,1559,2150,1623,1369,1316,1497,1149,989,925,1352
"Afu2g15380",546,461,506,315,207,256,566,557,465,502,429,602
"Afu2g15390",712,522,558,665,420,427,583,780,499,495,502,653
"Afu2g15400",39,15,10,20,28,9,6,10,14,11,7,9
"Afu2g15410",372,236,220,95,80,70,47,52,46,45,39,47
"Afu2g15420",340,349,350,422,416,250,154,141,120,73,75,115
"Afu2g15430",3098,3058,3280,2161,1974,1508,1456,2511,1242,1745,1631,2151
"Afu2g15440",903,833,849,706,560,644,275,348,247,225,187,255
"Afu2g15450",112,147,117,83,60,62,35,35,29,26,11,26
"Afu2g15470",268,243,218,164,125,103,83,101,92,54,50,59
"Afu2g15480",340,264,260,191,154,108,191,199,170,166,125,176
"Afu2g15490",2093,1810,1774,1718,1301,852,5165,3783,4414,3714,3012,4141
"Afu2g15500",1304,1084,1138,1517,1544,1146,891,965,743,872,1002,1146
"Afu2g15510",3050,2629,2541,2527,2321,1988,947,1409,741,1101,1155,1429
"Afu2g15520",3518,2968,2754,2075,1871,1456,559,801,532,450,377,558
"Afu2g15530",270,206,254,46,38,28,41,66,37,37,46,65
"Afu2g15540",4460,4960,4827,2244,2015,1891,1220,1748,1173,1036,1151,1459
"Afu2g15550",1301,1014,1034,1207,859,789,1136,1360,1020,1048,954,1391
"Afu2g15560",1927,1665,1557,2175,1706,1559,1929,1792,1665,1049,1329,1504
"Afu2g15570",2808,2395,2524,4535,3334,3500,2657,2456,2232,1628,1680,2161
"Afu2g15580",2313,1644,1836,2830,2096,1614,3953,4074,3768,2257,2033,3069
"Afu2g15590",2193,1839,1805,3208,2363,2235,7535,8939,6681,6036,5552,7862
"Afu2g15600",686,564,479,1037,1069,917,340,360,286,441,443,574
"Afu2g15610",2052,1700,1609,2967,3259,2200,2010,1773,1819,1669,1616,2164
"Afu2g15620",3788,3245,3180,4079,3288,2478,1137,1129,1047,634,511,795
"Afu2g15630",1300,1117,1092,1146,1030,767,509,481,410,288,259,358
"Afu2g15640",1531,1204,1199,795,655,492,1225,1419,1062,1022,1043,1388
"Afu2g15650",4870,4897,5215,3336,1706,2464,1443,3220,1327,866,772,1071
"Afu2g15660",2212,1764,1736,3465,2878,2369,2603,2510,2354,2125,1882,2521
"Afu2g15670",586,422,556,606,482,425,382,262,297,146,130,184
"Afu2g15680",2410,1982,2016,2859,3825,2294,860,1078,726,667,865,1024
"Afu2g15690",335,317,318,420,664,335,117,229,98,186,163,267
"Afu2g15700",4146,3579,3730,3481,3186,2449,2224,1728,1940,1283,1142,1635
"Afu2g15710",1298,1102,1098,945,675,667,1668,1567,1410,1079,900,1316
"Afu2g15720",67,49,50,25,15,9,12,17,5,5,7,17
"Afu2g15730",1088,886,938,1036,925,639,500,433,524,291,217,375
"Afu2g15740",411,330,302,336,387,215,215,178,206,165,101,173
"Afu2g15750",2590,2178,2192,3025,2140,1946,1328,1083,1166,1098,927,1232
"Afu2g15760",9337,8159,8443,14166,11477,9834,5945,6974,5275,6298,5254,7312
"Afu2g15770",3599,3671,3572,5312,5414,4803,2000,2233,1563,1689,1722,2259
"Afu2g15780",1858,1612,1653,2023,2329,1576,922,959,781,670,646,899
"Afu2g15790",1488,1154,1255,1382,2182,999,603,540,492,427,473,585
"Afu2g15800",16477,13668,13715,15148,16647,11729,8094,9230,7267,6919,6018,8279
"Afu2g15810",1208,1159,1238,972,1509,695,129,319,100,92,93,163
"Afu2g15820",1929,1658,1722,1911,1688,1376,984,1282,841,624,630,886
"Afu2g15830",2766,2353,2368,2800,2676,2079,1207,1384,1052,676,638,946
"Afu2g15840",3869,3750,3554,5310,4420,3686,1986,2443,1694,1815,1661,2238
"Afu2g15850",4038,3725,3476,10317,12527,7154,2973,3037,2717,5721,4871,6360
"Afu2g15860",453,298,290,277,1003,192,934,871,846,335,290,408
"Afu2g15870",2023,1521,1641,1541,1080,918,2494,2413,2216,2362,1886,2621
"Afu2g15880",7475,5852,5994,5357,6446,3758,4403,4170,4173,3159,2948,3908
"Afu2g15890",4200,3611,3617,2917,2971,1895,437,406,361,137,162,230
"Afu2g15900",7469,5600,5838,15712,17040,10500,244,301,215,483,516,703
"Afu2g15905",692,548,555,728,899,538,178,188,179,209,175,214
"Afu2g15910",1924,1581,1620,1737,1555,1299,1125,1146,1070,739,708,934
"Afu2g15915",1103,836,828,814,589,610,1790,1641,1452,974,914,1271
"Afu2g15920",16,8,14,9,3,4,52,56,66,11,12,21
"Afu2g15930",210,155,154,71,36,47,421,377,323,175,170,210
"Afu2g15940",2086,1463,1566,3306,3093,1957,2192,2576,2105,2968,2434,3498
"Afu2g15950",7271,6355,6504,5905,6677,4809,3132,3067,2495,1998,2078,2401
"Afu2g15960",1753,1490,1409,1810,1809,1199,1557,1534,1328,956,793,1155
"Afu2g15970",5758,4977,4837,7722,6977,5811,6220,5790,5584,7780,6497,8462
"Afu2g15975",0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g15980",275,255,211,313,280,242,184,234,155,270,232,374
"Afu2g15990",60,31,48,62,39,22,46,37,39,26,35,38
"Afu2g16000",202,184,159,130,140,121,334,161,297,353,248,375
"Afu2g16010",5793,4212,4330,4962,4274,2925,4697,5290,4208,5692,4737,6838
"Afu2g16020",3072,2458,2428,4717,4307,3860,2322,2782,2024,3256,2985,3700
"Afu2g16030",1532,1137,1089,1373,997,940,635,840,484,572,522,660
"Afu2g16040",1489,1198,1062,2313,2342,1865,820,879,698,1138,1000,1395
"Afu2g16050",581,415,414,605,577,507,232,467,219,393,374,509
"Afu2g16060",1929,1501,1460,560,418,423,4391,3889,3859,2741,2479,3325
"Afu2g16070",6887,6947,6773,9809,8189,6355,354,510,322,1204,1256,1549
"Afu2g16080",2766,2548,2552,3098,1766,2108,1698,1908,1460,1469,1351,1862
"Afu2g16090",9818,7390,7433,11070,10288,6900,5248,6079,4831,4447,4001,5523
"Afu2g16100",1170,945,931,827,637,542,439,424,331,370,348,438
"Afu2g16110",55,49,58,40,52,24,32,35,24,24,13,17
"Afu2g16120",3081,2434,2592,2183,1556,1316,2447,2079,2280,1856,1585,2251
"Afu2g16130",842,701,667,512,338,371,187,248,143,141,157,171
"Afu2g16140",1155,1038,1032,1298,1085,798,445,574,429,398,323,480
"Afu2g16150",2282,1913,1924,594,396,440,1027,1310,980,1038,913,1329
"Afu2g16160",2838,2380,2400,2620,1812,1865,2942,2464,2644,1802,1591,2173
"Afu2g16170",541,457,440,776,780,429,444,488,433,603,482,773
"Afu2g16180",704,598,640,681,908,592,1185,979,966,473,454,648
"Afu2g16190",321,251,224,88,83,62,51,77,39,54,42,57
"Afu2g16200",2516,1884,1828,1194,852,644,1674,2182,1444,1193,1177,1493
"Afu2g16210",457,369,303,628,661,365,476,435,421,398,354,502
"Afu2g16220",3841,3089,3094,4797,5966,3705,2210,2276,1815,2027,1802,2417
"Afu2g16230",9923,8806,9051,15934,15048,10356,7240,8845,6401,6313,5999,8230
"Afu2g16240",6803,6116,6045,9373,6661,6048,8033,6191,7451,5465,4567,6094
"Afu2g16250",792,619,591,814,705,549,560,680,501,572,553,737
"Afu2g16260",1812,1389,1506,553,386,380,643,717,583,699,635,813
"Afu2g16280",353,253,241,328,296,249,366,439,335,437,365,570
"Afu2g16290",1199,991,970,1572,1542,1198,725,873,664,791,821,1156
"Afu2g16300",504,456,472,537,355,321,268,500,208,205,166,267
"Afu2g16310",176,211,179,351,156,271,109,130,92,88,81,127
"Afu2g16320",140,171,141,221,137,160,103,106,94,106,118,149
"Afu2g16330",208,205,204,1388,1194,1074,145,148,133,131,132,182
"Afu2g16340",1065,1021,889,1893,2282,1561,480,1094,436,238,392,560
"Afu2g16350",255,216,197,222,185,163,62,99,54,52,69,87
"Afu2g16360",2723,2085,1918,1816,1937,1357,2875,2717,2585,4608,3766,5589
"Afu2g16370",7228,5236,5071,3960,3644,2859,8425,8083,7495,13349,12022,16414
"Afu2g16380",934,717,842,817,460,566,480,608,388,524,438,576
"Afu2g16390",1162,1044,1143,766,653,572,703,1002,601,229,260,458
"Afu2g16400",2949,2327,2332,4960,5060,3524,2375,2840,2151,3047,2599,3570
"Afu2g16410",301,267,265,519,400,420,203,183,149,149,178,232
"Afu2g16420",3581,3567,3727,4292,2710,3056,1748,2125,1682,1419,1247,1733
"Afu2g16430",1462,2190,2082,762,1146,599,335,1538,315,532,491,769
"Afu2g16440",210,294,292,138,204,95,47,209,45,88,80,112
"Afu2g16462",1021,929,896,1105,898,722,633,608,534,508,447,624
"Afu2g16470",454,369,355,436,351,227,281,484,277,214,221,331
"Afu2g16480",3426,3092,2900,4144,3204,2887,1897,2233,1630,1111,1035,1404
"Afu2g16490",5788,5200,4829,4518,3276,3377,2216,3346,1967,1607,1435,2084
"Afu2g16500",2270,1758,1689,2692,2498,1831,2528,2337,2171,2035,1763,2646
"Afu2g16510",2617,2404,2615,1719,1455,1102,1723,2277,1491,1133,1055,1642
"Afu2g16520",7022,6496,5911,9571,6803,6748,7497,10902,6643,6698,4859,6524
"Afu2g16530",2706,2332,2276,1590,1059,1305,1545,1970,1273,997,911,1155
"Afu2g16540",33,40,39,24,13,9,45,37,23,15,15,20
"Afu2g16550",135,102,96,145,129,61,92,122,74,100,120,143
"Afu2g16560",146,108,91,61,34,43,14,20,7,6,10,20
"Afu2g16570",78,48,66,612,321,408,5,13,4,2,3,9
"Afu2g16580",290,297,315,5532,3239,3174,14,55,14,10,5,9
"Afu2g16590",252,197,200,125,87,107,63,60,61,44,38,66
"Afu2g16600",2774,2295,2339,2608,1736,1929,1074,1485,915,857,791,1118
"Afu2g16610",356,259,311,190,179,105,72,112,65,64,68,101
"Afu2g16620",713,591,637,779,637,529,328,305,242,188,176,263
"Afu2g16630",831,727,604,263,173,213,344,464,312,356,305,413
"Afu2g16640",2121,2072,2301,2153,1926,1555,430,571,384,186,185,280
"Afu2g16650",678,531,606,1160,1095,714,211,211,180,173,144,206
"Afu2g16660",1416,1181,1232,1779,1368,1246,650,705,535,551,504,665
"Afu2g16670",2652,2084,1986,2850,2477,1866,1574,1693,1425,1125,975,1358
"Afu2g16692",1641,1415,1479,2009,1540,1461,642,680,562,614,534,729
"Afu2g16700",1189,959,963,1365,1145,1031,431,495,421,395,375,451
"Afu2g16710",1694,1372,1287,1334,780,1225,393,628,321,464,412,597
"Afu2g16720",2358,1919,1753,813,523,586,311,511,234,232,222,337
"Afu2g16730",927,919,870,822,715,429,300,368,249,260,219,380
"Afu2g16740",1309,1006,1035,1976,1438,1293,1427,1320,1161,1427,1250,1637
"Afu2g16750",2359,1954,1980,4481,5351,4329,1010,1216,814,1194,1206,1509
"Afu2g16760",421,343,290,701,767,607,213,260,165,240,249,367
"Afu2g16770",2096,1734,1737,1074,1090,722,1019,1999,969,921,980,1430
"Afu2g16780",1554,1306,1260,1399,927,971,602,811,624,730,630,853
"Afu2g16790",798,562,591,427,429,315,456,515,408,436,424,570
"Afu2g16800",1846,1497,1476,926,669,611,1331,1366,1232,1145,924,1344
"Afu2g16810",1288,1047,1118,1411,989,842,753,824,690,519,480,650
"Afu2g16820",5607,4642,4570,5360,3598,3712,5136,5760,4584,6680,5956,7617
"Afu2g16830",996,850,809,751,514,565,292,393,307,257,262,317
"Afu2g16840",3441,2776,2817,3005,2568,2254,2221,1968,1988,1586,1386,1875
