"gene_id","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3"
"Afu1g02500",715,528,462,840,713,549,642,749,642,526,518,749
"Afu1g02510",8657,7193,7644,4920,3517,3306,5950,4363,5173,3187,2808,3507
"Afu1g02520",5,4,3,0,0,0,0,2,0,3,2,3
"Afu1g02530",375,262,278,321,402,233,587,612,632,729,563,863
"Afu1g02540",5035,4463,4271,6328,4440,4170,4628,5182,4220,4238,3479,4934
"Afu1g02550",8268,5454,5615,5688,5132,3576,21242,21074,19595,24089,19588,27901
"Afu1g02560",539,393,408,379,464,232,250,453,233,184,174,234
"Afu1g02570",5945,9417,7816,5909,6217,4164,2718,6571,2552,2192,2157,3543
"Afu1g02580",1662,1868,1939,755,802,469,1765,2443,1585,900,849,1443
"Afu1g02590",1707,1229,1108,2434,2688,1760,787,725,661,415,412,591
"Afu1g02600",9790,7759,7763,3987,4721,2774,4942,4220,4513,4419,3897,4939
"Afu1g02610",1201,902,806,1041,1361,950,325,551,272,422,434,543
"Afu1g02620",306,294,239,565,516,488,359,305,310,407,501,607
"Afu1g02630",1213,919,836,1687,1858,1337,502,607,426,908,810,1005
"Afu1g02640",1331,1080,1162,1215,888,828,609,602,527,283,236,324
"Afu1g02650",746,605,644,210,129,131,251,271,212,224,192,239
"Afu1g02660",168,150,162,19,18,12,7,7,10,4,2,11
"Afu1g02670",4221,3532,3451,5095,4020,3993,2667,3113,2157,3030,3223,3662
"Afu1g02680",811,625,614,1300,1402,1140,768,963,674,686,716,889
"Afu1g02685",0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02700",1461,1137,1256,1511,1106,1040,156,305,144,95,114,152
"Afu1g02710",1629,1497,1542,3191,3544,2222,464,615,406,341,343,455
"Afu1g02720",749,553,522,647,604,387,352,436,343,336,324,480
"Afu1g02730",131,114,110,121,124,129,469,455,399,619,586,666
"Afu1g02740",11,21,12,6,1,9,5,4,3,10,3,7
"Afu1g02750",7,2,6,1,0,3,5,6,11,3,5,7
"Afu1g02760",6653,5468,5648,6524,5753,4872,4848,3994,4519,3386,2810,3620
"Afu1g02770",13574,11401,11480,2690,3176,2090,257,738,196,122,148,219
"Afu1g02780",151,167,178,93,85,76,374,197,332,103,84,132
"Afu1g02800",4227,3240,3283,2862,2388,2079,958,1152,912,894,757,1080
"Afu1g02810",709,577,545,723,693,426,337,348,311,155,135,228
"Afu1g02820",1132,840,950,556,557,349,374,534,335,321,285,441
"Afu1g02830",2913,2764,2738,3316,2736,2299,1735,2117,1505,1641,1387,1982
"Afu1g02840",2421,1894,1956,1032,828,708,1136,1340,1049,925,863,1312
"Afu1g02850",2473,1904,1866,1050,1293,807,372,370,284,210,186,260
"Afu1g02860",33,39,37,11,17,12,16,15,11,3,3,5
"Afu1g02870",4041,3403,3280,2686,1526,1796,3409,2546,3064,1860,1634,2317
"Afu1g02880",1078,963,830,571,426,356,953,1201,811,888,846,1042
"Afu1g02890",1706,1332,1179,848,614,616,874,1570,779,996,954,1364
"Afu1g02900",241,215,178,217,166,163,371,403,332,205,177,282
"Afu1g02910",3841,3175,3006,7177,5282,4699,5638,6095,5099,3812,3071,4574
"Afu1g02920",791,677,718,722,506,512,1044,778,939,446,422,621
"Afu1g02930",950,745,795,582,564,392,884,834,812,842,855,1073
"Afu1g02940",922,737,758,986,866,684,557,497,537,369,397,454
"Afu1g02950",2216,1971,1722,1159,919,926,1826,2750,1579,798,783,1191
"Afu1g02960",505,532,524,380,279,244,516,660,450,222,250,343
"Afu1g02970",2846,2240,2167,489,300,347,858,1572,704,333,305,479
"Afu1g02980",6484,6109,6122,3364,2912,2231,3464,5941,3165,5075,3937,5592
"Afu1g02985",897,711,703,863,618,524,530,654,518,501,423,613
"Afu1g02990",3960,4034,3753,3570,2960,2508,3065,3364,2729,2560,2134,2838
"Afu1g03000",219,227,193,310,470,234,97,141,101,100,115,157
"Afu1g03010",1441,1131,1105,2237,2594,1458,1029,1135,935,603,573,824
"Afu1g03020",681,619,533,602,581,505,1004,937,960,927,854,1228
"Afu1g03030",6170,5544,5612,5936,5545,3430,1964,2021,1757,691,751,990
"Afu1g03035",245,172,178,259,272,173,330,394,301,219,188,306
"Afu1g03040",31887,22987,24594,30748,29479,19225,17404,22903,15265,12283,9770,13104
"Afu1g03050",1782,1601,1565,1626,986,1253,945,1608,844,610,680,982
"Afu1g03060",2668,2182,2204,2776,2158,1942,1911,2268,1731,1982,1863,2600
"Afu1g03070",2170,1800,1795,3312,2923,2310,1350,1537,1122,1154,983,1482
"Afu1g03080",837,639,682,769,568,434,533,507,513,422,413,517
"Afu1g03090",3790,4042,4295,4030,6422,2825,1048,2551,984,922,920,1360
"Afu1g03100",3870,2892,3088,2188,1686,1463,5475,4902,4977,5888,5246,7568
"Afu1g03110",4291,3370,3217,3088,2962,2560,4589,4273,3931,6727,7109,8894
"Afu1g03120",527,404,382,426,279,236,690,712,648,717,631,858
"Afu1g03130",1011,912,879,1133,1052,987,959,1276,871,628,660,953
"Afu1g03140",997,847,803,579,334,377,680,645,584,420,333,485
"Afu1g03150",235,164,162,3128,1525,2144,1230,1003,1004,1107,1229,1612
"Afu1g03160",27,18,24,46,20,26,25,19,27,6,11,8
"Afu1g03170",172,179,162,118,64,77,55,64,45,41,49,59
"Afu1g03180",76,81,74,234,206,224,434,239,367,171,164,195
"Afu1g03190",106,111,112,40,37,47,9,16,9,6,6,9
"Afu1g03195",16,18,26,2,3,7,77,70,73,46,40,56
"Afu1g03200",13,16,8,1,3,8,943,841,875,639,492,675
"Afu1g03210",2901,2250,2529,1136,1249,745,170,324,151,166,130,207
"Afu1g03215",8,3,2,0,0,3,0,1,0,0,0,4
"Afu1g03220",20,25,28,1,1,9,2,3,3,8,2,4
"Afu1g03230",69,57,54,5,16,15,1,0,1,5,6,6
"Afu1g03240",32,23,28,3,4,13,1,0,0,0,1,1
"Afu1g03250",146,121,126,3,8,49,1,6,2,6,6,6
"Afu1g03260",96,74,92,1,2,54,2,10,4,17,15,14
"Afu1g03270",6,8,11,1,2,7,2,2,0,1,3,2
"Afu1g03280",46,43,35,42,17,38,10,15,9,9,5,12
"Afu1g03290",12,8,10,9,3,16,7,7,4,5,3,3
"Afu1g03300",48,34,34,108,52,83,27,27,14,18,9,14
"Afu1g03310",0,2,3,0,0,0,2,1,2,1,1,1
"Afu1g03320",20,22,19,26,15,18,23,36,29,36,15,35
"Afu1g03336",0,1,0,0,1,0,1,2,0,1,2,0
"Afu1g03352",36,29,21,5,9,11,1428,611,1268,3543,3179,4500
"Afu1g03360",92,90,72,46,39,47,285,141,234,667,598,675
"Afu1g03370",2187,1813,1924,1737,1198,1171,880,616,733,680,578,775
"Afu1g03380",9042,8347,7823,9662,7946,6525,4739,5306,4441,3782,3069,4361
"Afu1g03390",6544,4416,4429,2308,2675,1546,6938,7052,6660,12819,11340,15321
"Afu1g03400",4207,3261,3473,5866,3933,3961,4856,4783,4315,4398,3796,5287
"Afu1g03405",0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03410",1277,944,919,882,626,659,543,753,457,526,423,660
"Afu1g03420",1703,1362,1345,1432,1044,1104,702,720,627,427,454,595
"Afu1g03430",1013,853,842,1028,845,786,383,444,334,389,353,465
"Afu1g03440",1355,1361,1284,942,698,661,558,707,442,451,438,608
"Afu1g03450",1919,1660,1649,1866,1286,1130,1421,1067,1309,859,799,1056
"Afu1g03460",1973,1753,1794,1551,1055,1032,1232,1633,1159,1169,1114,1535
"Afu1g03470",37,26,29,3,3,3,12,19,17,4,6,4
"Afu1g03480",47,45,46,15,9,6,27,31,15,8,4,7
"Afu1g03490",3018,2464,2561,2791,2199,1712,1691,1487,1370,913,811,1083
"Afu1g03500",5420,4717,4861,6995,5324,5024,4026,4392,3425,3134,3118,3928
"Afu1g03510",8379,6096,6553,5908,4890,4039,11428,10181,10125,12160,11082,15582
"Afu1g03520",31,19,40,7,7,3,15,18,16,8,11,6
"Afu1g03530",539,521,590,632,399,423,368,303,310,259,251,368
"Afu1g03540",1334,1100,1101,1706,1353,1183,801,698,705,493,452,677
