"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"SAR0290",609,437,405,1181,1420,1532,708,628,862,1261,1008,1063
"SAR0291",912,1288,940,3565,2685,2868,999,1090,1360,2388,1553,1525
"SAR0292",221,433,323,712,599,741,179,273,359,490,262,216
"SAR0293",7,19,10,15,19,16,19,26,18,16,16,34
"SAR0294",4,29,16,28,19,35,29,33,20,30,57,45
"SAR0295",2,24,16,27,11,8,17,22,22,7,21,20
"SAR0297",0,32,24,29,20,21,17,11,25,11,20,31
"SAR0299",238,183,120,67,78,108,96,85,113,149,128,119
"SAR0301",1965,2224,2001,1668,1366,1947,580,711,654,972,385,388
"SAR0302",1474,2429,1936,1530,2229,1961,2619,1321,808,1823,829,848
"SAR0303",1224,1354,1137,2148,2039,2216,4525,4025,3200,3045,2613,2531
"SAR0304",8571,10045,9151,5034,5725,5772,3651,2613,3107,4434,1380,1653
"SAR0305",6059,5544,5077,10248,18430,16807,7611,6040,5831,13761,10872,9939
"SAR0306",6183,7033,6080,12984,18054,16799,6677,5708,4614,11690,7568,6320
"SAR0307",750,1772,1458,1798,1542,2082,3502,3094,5179,4469,2213,2503
"SAR0308",47,104,90,59,61,76,42,56,36,66,203,144
"SAR0309",41,110,81,92,72,65,58,63,52,97,210,135
"SAR0310",77,133,116,103,120,168,105,122,138,105,333,231
"SAR0311",210,418,277,414,376,400,334,584,291,386,442,275
"SAR0312",113,172,99,158,203,231,151,259,165,232,216,180
"SAR0313",37,113,86,140,178,202,186,309,142,107,153,138
"SAR0314",7,0,112,0,52,34,0,1,0,11,51,14
"SAR0315",56,134,141,139,203,208,233,338,256,222,342,288
"SAR0316",50,452,399,103,91,146,67,114,73,56,153,64
"SAR0318",370,318,298,606,976,896,807,885,735,1244,1585,1448
"SAR0319",222,280,251,642,740,641,490,665,444,861,1101,1070
"SAR0320",254,542,361,903,611,607,720,773,633,851,1245,1146
"SAR0321",130,374,287,654,328,386,325,364,261,365,526,412
"SAR0322",137,315,250,518,422,407,507,550,421,540,695,656
"SAR0323",191,274,261,511,453,480,588,601,516,646,979,931
"SAR0324",198,399,327,600,461,479,629,580,676,728,1144,918
"SAR0325",3176,4645,3876,4749,2855,2938,2288,2580,1977,4961,4429,4130
"SAR0327",112,370,307,523,582,596,120,126,105,137,93,47
"SAR0328",261,345,307,495,901,780,241,189,215,238,149,100
"SAR0329",1562,2056,1818,3104,4948,4848,1370,992,1376,2253,997,613
"SAR0330",268,549,400,126,211,129,555,1001,451,341,678,743
"SAR0331",60,196,157,168,180,132,539,1102,700,334,1091,1298
"SAR0332",13,23,16,25,45,35,58,92,74,41,136,156
"SAR0334",245,849,688,1086,1255,1315,904,1145,679,786,1253,1160
"SAR0335",538,1690,1217,2132,2210,2363,1734,1951,1315,1474,2433,2299
"SAR0336",187,504,443,668,750,696,668,757,461,530,988,925
"SAR0338",79,151,103,315,526,664,628,625,987,832,879,774
"SAR0339",26,74,65,98,166,219,131,148,101,160,234,235
"SAR0340",2,40,29,13,10,22,19,13,12,34,62,52
"SAR0341",47,93,91,203,218,185,84,111,125,234,302,266
"SAR0342",70,192,149,437,431,456,202,287,337,428,629,448
"SAR0343",77,136,108,419,681,721,556,511,800,856,1203,1176
"SAR0344",22,30,17,69,139,141,122,133,147,170,257,263
"SAR0345",25,18,21,134,219,236,226,169,255,273,549,626
"SAR0346",90,114,85,132,67,106,103,142,110,168,101,114
"SAR0347",579,841,653,781,684,692,858,926,1003,1056,685,779
"SAR0348",828,1118,856,836,840,780,1172,1377,1317,1436,990,1070
"SAR0349",1092,1796,1475,1287,1086,1231,1484,1556,1672,1739,1197,1310
"SAR0350",115,113,90,356,506,567,671,824,1442,1109,1585,1673
"SAR0352",110,431,307,420,411,474,366,257,451,244,163,200
"SAR0354",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0355",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0356",0,0,0,0,0,0,0,0,0,111,582,313
"SAR0357",31,63,44,94,119,135,232,246,166,247,1851,1349
"SAR0358",151,191,137,316,360,340,756,860,1056,740,2327,1857
"SAR0359",43,53,36,63,98,81,187,186,252,158,324,291
"SAR0360",1374,2537,2029,3422,3543,3807,4534,5657,6746,6789,7619,6834
"SAR0361",93,119,89,111,191,176,176,210,171,202,2268,1596
"SAR0365",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0366",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0367",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0368",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0369",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0370",0,1,0,0,1,0,0,3,4,0,12,14
"SAR0371",0,0,0,0,0,0,0,0,0,2,5,3
"SAR0372",11,13,8,7,13,5,19,32,12,9,268,202
"SAR0373",0,0,1,0,0,0,0,1,0,0,0,3
"SAR0374",1304,1613,1342,2148,3592,3672,2113,2192,2488,3172,2576,2175
"SAR0375",89,135,92,145,190,173,150,176,117,183,843,592
"SAR0376",7,22,13,14,8,10,16,40,19,27,124,88
"SAR0377",42,70,30,60,55,60,85,140,102,118,303,247
"SAR0378",907,842,808,142,232,144,1331,1504,381,336,551,483
"SAR0379",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0380",474,526,460,278,296,317,851,1111,349,591,571,575
"SAR0381",261,297,236,145,163,184,364,478,159,238,230,275
"SAR0382",364,833,697,615,447,473,630,828,328,591,545,531
"SAR0383",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0384",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0385",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0386",45,72,54,104,95,82,131,158,144,117,366,282
"SAR0387",26,43,19,49,50,65,68,80,78,76,225,169
"SAR0389",3,2,1,5,2,6,7,9,7,7,85,65
"SAR0390",18158,11915,9113,16611,17595,19608,13213,7722,7282,25468,16072,19463
"SAR0391",248,273,253,374,878,967,614,487,403,1031,913,1014
"SAR0392",43544,69299,52312,194998,143268,163144,37097,33538,29103,75778,33711,34811
"SAR0393",1,5,11,3,3,3,3,5,3,3,64,34
"SAR0394",264,287,229,271,329,348,584,551,654,663,631,625
"SAR0395",191,291,224,210,289,312,296,396,385,303,204,211
"SAR0396",336,236,184,252,444,518,1117,1149,1083,763,606,728
"SAR0397",180,349,265,441,632,693,1203,1152,1274,873,966,912
"SAR0400",1448,4040,3387,5039,6267,7092,3152,3770,3148,4557,5519,5663
"SAR0401",1801,1924,1726,5468,5582,4886,3538,5303,1934,1515,2134,1623
"SAR0401a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0402",128,299,239,548,514,594,541,674,505,672,399,374
"SAR0403",3013,5079,4423,7212,9789,10253,10229,11325,8953,12503,9019,8123
"SAR0404",726,728,692,1361,3456,3608,3498,3237,2432,3694,2504,2718
"SAR0405",15543,15279,13863,26032,45310,44597,13034,10969,9819,20638,11055,11244
"SAR0411",26,41,43,49,70,47,45,48,26,53,112,79
"SAR0412",19,19,23,27,27,37,24,26,9,16,78,108
"SAR0414",1,0,3,5,3,1,4,1,2,1,1,3
"SAR0414a",0,0,1,0,0,0,0,0,0,0,0,0
"SAR0415",0,1,0,6,4,1,2,6,5,2,8,10
"SAR0416",4,13,15,27,15,22,12,11,10,16,58,42
"SAR0418",2,4,3,10,10,16,7,9,13,5,12,9
"SAR0419",0,4,3,7,3,10,3,3,1,2,3,4
"SAR0420",287,577,486,826,1271,1146,825,995,510,729,1251,1061
"SAR0421",484,1480,1122,2285,3528,3240,2036,2573,1235,1979,3085,2946
"SAR0422",31,46,58,73,86,88,208,181,222,157,591,541
"SAR0423",5,19,28,16,19,20,15,18,16,18,192,166
"SAR0424",16,95,85,72,66,77,73,90,109,101,333,199
"SAR0425",36,96,94,33,28,37,45,58,31,45,337,159
"SAR0426",0,0,0,0,0,0,0,0,0,0,1,1
"SAR0432",0,0,0,0,0,0,0,0,0,0,1,0
"SAR0433",464,898,796,1516,2057,2024,2025,2894,2263,3082,2212,2164
"SAR0434",320,607,492,966,990,1011,1686,2020,1671,2154,1240,1369
"SAR0435",2,18,20,12,7,17,17,16,16,2,26,33
"SAR0436",105,86,93,153,180,175,257,312,190,226,366,320
"SAR0437",6927,11299,8639,16683,9529,9108,441,677,401,456,383,429
"SAR0438",0,20,16,11,6,2,3,5,5,0,3,4
"SAR0439",2,51,35,21,4,20,19,10,11,5,28,12
"SAR0440",3,32,20,21,13,8,14,21,18,11,31,29
"SAR0442",12,39,22,18,4,11,27,29,21,9,44,45
"SAR0443",25,70,41,31,37,41,85,75,69,36,102,107
"SAR0444",31,104,88,73,35,68,136,135,81,76,142,133
"SAR0445",411,735,532,651,731,862,898,1022,689,434,495,454
"SAR0446",491,1530,1147,1870,1607,1748,1561,1961,1030,865,858,734
"SAR0447",19,52,59,70,77,72,120,123,67,51,61,48
"SAR0448",21,68,37,52,73,67,109,146,96,28,51,48
"SAR0449",56,173,119,130,135,120,156,184,145,114,91,80
"SAR0450",65,142,144,120,120,147,188,541,198,169,604,465
"SAR0451",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0452",669,1403,1053,3290,5002,5568,13521,11709,6999,7862,3922,3330
"SAR0453",2477,5636,5182,8405,20609,23584,40155,32709,18013,23184,7938,6001
"SAR0454",261,953,791,930,1205,1589,2129,1957,1365,1291,487,514
"SAR0455",4,13,1,17,34,11,43,43,37,16,18,24
"SAR0456",246,459,305,614,750,972,2168,1971,1924,1097,1055,1026
"SAR0457",336,637,520,909,1214,1488,3277,2990,2736,1765,1629,1523
"SAR0457a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0458",77,118,83,680,2271,1725,562,1688,2328,613,2083,1997
"SAR0459",71,109,93,1874,1622,1991,850,1190,1376,887,1650,1327
"SAR0460",338,240,186,2861,2944,2934,1996,2655,2493,2726,4133,3403
"SAR0461",119,161,180,935,707,562,1131,1699,427,354,483,338
"SAR0462",53,89,65,492,432,348,629,993,246,154,236,198
"SAR0463",353,284,249,1557,2188,1888,1341,2350,622,498,614,404
"SAR0464",1195,924,874,4890,7138,6882,1191,2011,1953,7556,10632,7831
"SAR0465",346,320,323,209,227,254,438,443,333,427,358,421
"SAR0466",77,169,128,180,234,257,227,242,216,277,331,273
"SAR0467",185,338,250,421,451,492,445,469,404,527,556,466
"SAR0468",223,234,217,792,1048,1048,1666,1350,2030,1641,1871,2257
"SAR0469",86,80,68,326,540,469,589,523,685,608,995,961
"SAR0470",21,43,30,119,114,117,100,100,80,90,197,147
"SAR0473",7973,22376,17312,23072,41808,43790,57851,111762,48132,15759,10718,9125
"SAR0474",917,1537,1138,3621,4599,5107,6281,15096,3711,1797,2244,1835
"SAR0475",454,833,650,1637,1781,2209,2530,6208,1619,924,1165,1065
"SAR0476",144,206,141,263,265,325,415,467,496,496,665,504
"SAR0478",1296,2774,2260,3887,4684,5181,4029,4641,4387,5116,3582,3190
"SAR0480",32,57,55,81,283,0,91,438,637,323,25,191
"SAR0481",99,673,29,18,308,22,381,600,380,316,150,149
"SAR0482",158,310,316,604,854,923,732,756,634,474,734,666
"SAR0484",2508,4648,3936,4933,5114,6599,4192,4258,5513,6153,4121,4101
"SAR0486",722,1412,1098,1165,960,968,1544,1455,1467,1629,1222,1362
"SAR0487",387,447,403,294,308,326,662,626,611,560,421,424
"SAR0488",137,166,126,114,76,93,252,331,306,249,259,262
"SAR0489",34,46,33,40,31,31,69,71,83,59,70,71
"SAR0490",85,224,162,192,163,121,483,512,515,423,446,405
"SAR0492",1653,3122,2596,3932,3531,3879,4208,5470,5260,7372,5591,5764
"SAR0493",178,381,273,757,803,747,748,1165,1157,1091,1029,1047
"SAR0503",125,279,202,537,872,1016,977,1185,863,1032,1254,1326
"SAR0504",1224,1516,1215,5598,7409,7053,7080,8281,6557,10560,9894,9842
"SAR0505",671,681,576,3411,3757,3540,3884,3581,4064,6488,5276,5323
"SAR0506",978,965,831,3190,3808,3622,4483,4047,4566,6107,5037,5194
"SAR0507",251,430,339,974,979,858,1065,931,1099,1466,1108,1046
"SAR0508",575,1203,821,2721,2248,2107,2268,2110,2365,3538,2755,2686
"SAR0509",1718,3194,2502,4220,5222,5323,5359,5836,4823,6181,4916,5048
"SAR0510",71,140,111,238,220,234,681,660,972,373,1047,978
"SAR0514",8111,12655,10644,30490,23377,25879,19368,21730,11568,15303,14340,13904
"SAR0519",33,0,0,0,0,0,0,1,0,0,0,5
"SAR0520",0,0,0,0,0,0,0,0,0,1,0,0
"SAR0521",42,47,52,77,102,83,147,163,165,224,276,266
"SAR0522",2467,4303,3479,7078,7127,7027,7518,10472,11243,8262,2583,2282
"SAR0523",1741,2844,2222,4756,5003,5303,5592,7976,8030,5888,2046,1652
"SAR0525",743,2376,1890,2593,3695,3034,8918,7578,5443,2186,3599,6096
"SAR0526",986,3168,2462,3257,4539,3496,12038,9412,7401,3000,4992,8879
"SAR0527",1027,2660,2253,2547,4904,3471,17800,13236,10653,3488,7372,12878
"SAR0530",606,821,727,1562,1226,1526,2408,2574,3081,2441,3099,3251
"SAR0534",582,785,601,1772,2261,2202,2793,2891,1659,2894,1765,1706
"SAR0536",991,1372,1052,2108,2543,2545,3212,3162,2024,2963,1837,1702
"SAR0546",493,629,506,857,972,921,1451,2092,3018,1778,3958,3195
"SAR0549",1997,2598,2095,6737,5804,6685,9205,15192,24451,13354,14745,15517
"SAR0554",299,656,550,1097,2166,2208,1508,1689,1139,1164,1516,1511
"SAR0556",5958,4835,4126,34305,35317,35250,7824,5535,4206,11209,10123,8913
"SAR0557",117,200,203,296,316,399,509,789,398,257,379,344
"SAR0558",11594,17649,15488,15511,14897,17084,11762,11820,11605,11678,3458,3087
"SAR0559",2605,5960,4834,8634,8704,9987,9569,10192,9647,11623,8303,8384
"SAR0560",215,415,327,786,952,1109,1268,1475,1444,1364,1205,1214
"SAR0561",308,303,210,453,545,682,691,686,832,1031,723,873
"SAR0562",0,5,8,19,20,28,51,24,75,12,82,74
"SAR0563",47,81,55,124,189,221,152,141,178,151,229,214
"SAR0564",74,119,89,152,195,196,246,228,352,261,689,669
"SAR0565",324,410,328,314,348,394,583,669,703,1259,1524,1936
"SAR0568",443,526,489,484,713,790,1117,1246,963,894,832,845
"SAR0569",1833,2453,1868,2441,3205,3597,3981,4422,4492,2803,1892,1819
"SAR0570",763,1003,877,2276,3888,3919,4186,4325,3300,3460,4120,4060
"SAR0571",257,401,348,955,2013,2121,1625,1612,1196,1229,1614,1581
"SAR0572",158,276,211,766,1516,1453,1017,976,728,675,907,870
"SAR0573",352,462,383,540,662,694,867,755,684,868,905,836
"SAR0574",3636,4348,3594,6507,4983,5769,3804,3154,4108,5924,4872,5097
"SAR0575",3672,5690,4866,7224,5213,5718,3245,3041,3434,6066,4390,4598
"SAR0576",7,47,27,91,73,87,83,75,49,26,72,65
"SAR0578",0,5,6,1,1,0,5,7,12,8,16,8
"SAR0580",46,93,53,105,158,178,186,203,241,121,228,213
"SAR0581",162,393,356,485,424,459,661,747,709,364,507,489
"SAR0582",17,54,24,65,49,54,129,174,140,51,89,65
"SAR0583",28,44,35,62,58,53,133,155,168,59,97,72
"SAR0584",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0585",1166,1853,1536,3061,3969,4245,3329,3618,3222,4584,4059,3919
"SAR0587",58,85,80,265,300,364,648,623,917,534,598,635
"SAR0588",231,471,406,600,427,503,718,887,1056,1076,928,893
"SAR0589",15841,15880,13080,76140,58998,63886,30490,31411,25964,44830,36348,34120
"SAR0590",256,284,203,1075,1192,1143,750,737,952,1124,912,915
"SAR0591",293,269,176,1005,1509,1423,721,800,811,1249,1179,1153
"SAR0592",1860,2065,1828,4210,5783,6735,4400,2551,2612,1248,1062,1337
"SAR0593",1064,2154,1803,1857,2344,2983,5128,4971,5369,2971,2912,3287
"SAR0595",11816,14840,12963,11214,10580,11926,11492,11560,10503,17701,9254,10017
"SAR0599",117,220,186,244,140,156,199,208,128,214,697,519
"SAR0600",119,142,132,337,686,712,568,629,642,1262,2236,2419
"SAR0601",10,25,21,42,49,51,74,91,44,121,321,265
"SAR0602",407,776,502,1253,1346,1423,1069,1379,1138,1891,1312,1247
"SAR0603",110,187,120,406,406,397,384,429,354,432,377,425
"SAR0604",36,52,34,139,133,113,120,134,120,130,83,132
"SAR0605",80,124,67,267,287,290,377,428,314,366,410,318
"SAR0607",57,83,47,239,249,226,290,303,260,214,256,284
"SAR0608",1055,2081,1724,1937,2211,2153,1729,1884,1720,2906,2183,2168
"SAR0609",1818,3267,2900,3716,4370,4594,2838,3073,2052,2780,2058,2118
"SAR0610",79,46,39,116,275,246,332,323,148,298,372,554
"SAR0611",925,1590,1293,2902,4166,4035,3494,3718,2250,4286,3557,3613
"SAR0612",561,830,681,1356,1698,1787,1679,1869,1293,2010,1596,1559
"SAR0614",55,94,72,63,87,95,162,158,169,174,239,234
"SAR0617",56,146,96,102,84,79,93,96,105,100,138,126
"SAR0618",71,190,165,84,72,145,534,616,1154,303,315,317
"SAR0619",105,130,118,281,439,511,599,690,657,455,531,618
"SAR0620",129,238,178,346,466,503,743,832,763,709,658,725
"SAR0621",403,518,436,635,876,904,1503,1586,1306,1404,1104,1147
"SAR0622",26395,55058,44835,17910,16495,17691,26038,23200,26749,35402,15796,16873
"SAR0623",2122,3094,2475,1250,1325,1189,2853,2516,2233,2488,2225,2557
"SAR0624",9946,9259,7640,12560,9363,12221,8241,5764,5146,17821,14053,14781
"SAR0626",199,169,164,299,407,416,273,284,357,437,630,679
"SAR0627",21,10,18,7,24,29,46,20,11,30,50,42
"SAR0628",14,3,3,4,12,10,21,9,9,8,27,21
"SAR0629",94,74,52,99,89,115,214,139,145,126,286,310
"SAR0630",2981,2183,1710,5951,4412,5071,4598,3007,3777,4553,4436,4631
"SAR0631",824,466,381,1612,1149,1312,975,710,819,1082,1039,1029
"SAR0632",653,439,337,1432,1020,1124,753,585,665,859,715,858
"SAR0633",3603,2014,1507,5887,5133,5652,4512,2917,3468,4264,4461,4793
"SAR0634",704,370,292,1045,785,912,859,492,593,720,762,908
"SAR0635",456,150,149,342,381,489,384,243,305,382,441,463
"SAR0636",1890,1099,883,2389,1834,1962,1304,883,1095,1597,1530,1587
"SAR0637",1463,2758,2227,3324,4617,4520,4538,3464,2958,2475,2591,2465
"SAR0638",151,269,159,406,567,589,417,343,407,300,362,389
"SAR0639",40,59,41,157,335,278,195,207,175,65,122,151
"SAR0641",1855,4345,3710,6934,256,5584,2696,8609,2416,476,498,406
"SAR0642",573,2287,1849,6217,354,4582,1946,5673,2221,344,538,484
"SAR0643",336,1518,1091,5283,592,5076,2431,6527,2462,230,671,538
"SAR0645",117,158,128,189,255,265,616,730,960,350,570,601
"SAR0650",980,1263,1095,1012,1118,1253,3749,4173,3197,1772,1946,1759
"SAR0653",4236,5003,4365,10031,10349,10411,9148,9898,8266,6614,6152,6179
"SAR0655",2932,3464,2921,4470,5572,5950,7582,8202,10382,10240,5829,5950
"SAR0656",271,525,448,365,443,379,862,958,811,759,839,804
"SAR0660",835,2772,1928,3939,4019,3891,3566,4883,2612,3427,3282,2779
"SAR0661",635,1610,1242,1756,1916,1882,1988,2470,1307,1486,1202,909
"SAR0662",249,552,457,440,613,638,693,864,453,518,427,330
"SAR0663",2788,4472,3724,4947,4650,7194,5632,5043,5848,4984,3102,3416
"SAR0664",394,623,574,1742,1887,2146,2970,4214,6644,2583,11163,8962
"SAR0665",74,66,79,198,296,333,603,501,1222,381,1499,1429
"SAR0666",513,597,457,197,248,324,460,424,746,514,675,692
"SAR0667",744,1331,1106,1639,3062,3395,3089,2450,2357,1505,1382,1508
"SAR0668",187,532,411,1688,1814,1838,1170,1023,916,1072,1561,1411
"SAR0669",247,339,316,938,1332,1348,1038,985,692,996,1130,1121
"SAR0670",647,884,677,2209,2819,2773,2509,2313,1822,2234,2318,2461
"SAR0671",361,386,266,1303,2166,1841,2152,1831,1596,1767,1748,1801
"SAR0672",1422,976,794,3220,4405,4222,5303,4444,5197,5055,4705,5174
"SAR0673",1159,923,807,1086,1571,1832,3163,3116,4745,2446,3874,3562
"SAR0674",2817,4814,4173,5330,4982,5529,8291,9980,13759,8319,11560,10271
"SAR0675",734,825,845,2870,5635,7151,1381,2173,2807,7361,8196,5590
"SAR0676",415,581,471,902,1086,1281,2003,1834,1616,1044,936,1112
"SAR0677",163,253,189,485,444,580,1007,910,918,318,872,830
"SAR0679",32,22,22,12,25,44,105,107,95,56,125,121
"SAR0680",2513,4821,3946,4786,3954,4291,4973,5473,5307,5952,4277,4283
"SAR0681",1768,3389,2699,3173,2521,2733,3457,3710,3253,3813,2361,2556
"SAR0682",504,964,706,1122,2079,2310,2524,2284,2009,2295,2528,2506
"SAR0683",1797,2274,2094,2534,4382,4584,5227,4842,3891,3832,3360,3135
"SAR0684",498,626,563,941,961,958,2631,2583,1974,1437,2521,2231
"SAR0687",21,83,91,79,162,118,65,46,66,124,199,179
"SAR0688",14,60,43,50,55,57,51,56,93,36,88,103
"SAR0689",7,2,7,12,10,17,9,8,12,10,98,70
"SAR0693",0,0,0,0,0,0,0,0,0,0,2,0
"SAR0694",197,107,111,157,134,188,280,235,575,378,175,161
"SAR0695",41,37,46,70,64,89,151,196,293,114,214,261
"SAR0696",13,5,1,3,7,6,42,58,94,31,62,56
"SAR0697",40,41,38,57,81,68,131,199,317,120,150,179
"SAR0698",0,8,0,0,0,0,0,0,0,0,3,0
"SAR0699",48,183,137,144,194,185,739,676,701,305,515,598
"SAR0702",1,0,1,2,4,0,9,4,4,0,4,14
"SAR0703",29,72,40,79,99,126,386,287,300,138,353,346
"SAR0704",24,60,52,63,105,99,222,209,225,162,266,243
"SAR0705",0,0,0,0,2,0,0,0,0,0,0,1
"SAR0706",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0707",64,136,99,182,250,252,365,386,357,159,291,293
"SAR0710",1,5,2,0,1,1,0,2,0,0,6,1
"SAR0711",1475,3175,2123,2020,1863,2289,4565,4699,2733,3276,3165,3389
"SAR0713",54,160,122,67,67,65,188,171,121,121,91,71
"SAR0714",101,376,239,324,156,222,88,117,162,278,88,108
"SAR0715",125,159,132,170,147,202,207,172,180,243,142,170
"SAR0716",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0717",507,628,543,464,1019,966,1002,1133,1116,680,874,785
"SAR0718",125,179,157,286,328,354,454,487,555,361,542,464
"SAR0719",60,83,60,73,48,59,102,125,100,70,272,210
"SAR0720",650,1164,903,1104,1197,1291,586,518,762,792,1723,1465
"SAR0721",1400,1776,1621,2422,2621,2838,1430,974,1589,1689,2188,1910
"SAR0722",397,343,358,928,1209,1265,701,508,505,781,1099,1082
"SAR0725",112,134,113,105,144,135,147,159,193,133,200,172
"SAR0726",190,199,157,184,231,315,265,270,274,195,457,371
"SAR0728",93,176,137,137,152,245,295,380,276,209,351,350
"SAR0729",15,19,16,20,22,13,27,33,17,48,102,80
"SAR0730",46,137,108,85,61,103,422,397,511,116,241,228
"SAR0731",1222,2219,1648,6144,5753,6347,2162,1796,2518,2385,1710,1808
"SAR0732",82,222,147,323,264,321,274,229,320,257,411,401
"SAR0733",2250,4076,3133,9109,9638,10754,5587,4732,5024,7226,4513,4078
"SAR0734",1009,1145,998,2711,4369,4848,3087,2417,2912,3360,2419,2174
"SAR0735",9713,16804,13524,26778,33511,32761,13806,10542,15444,25659,16005,14125
"SAR0737",1807,2015,1544,1413,1679,1727,7585,5918,5377,4524,5881,7266
"SAR0738",2504,4295,3401,3823,3491,3900,11810,9664,8340,9366,8377,8918
"SAR0739",5491,4160,4038,5063,9732,10485,9219,9186,14778,15935,11810,12339
"SAR0740",324,312,255,414,499,590,1058,967,953,640,499,568
"SAR0741",195,505,378,957,957,1264,1752,1867,1931,1041,1165,1122
"SAR0742",104,99,81,133,164,225,450,412,379,209,266,294
"SAR0743",1535,3242,2594,1622,1385,1420,2947,2296,2137,2155,1486,1345
"SAR0744",6591,9596,8780,5808,5539,5598,4598,3859,3060,5636,4676,4071
"SAR0745",320,486,481,518,736,720,770,658,937,854,1051,1026
"SAR0746",772,1042,837,1066,1304,1343,1640,1381,1618,1477,1843,1869
"SAR0747",761,1249,1103,981,1514,1618,1371,1380,1432,1385,1090,1107
"SAR0749",104,149,118,280,616,886,557,347,673,676,1211,1250
"SAR0750",133,249,240,276,324,344,245,247,314,549,513,409
"SAR0751",1409,2957,2490,1635,961,1034,4593,2338,5504,13685,10053,10726
"SAR0752",2444,6797,5634,2863,1553,1748,7768,3952,6969,19757,12477,13078
"SAR0754",263,665,473,820,644,746,1128,1246,781,843,1177,1095
"SAR0755",1385,1617,1316,2640,3802,4334,6695,6092,8513,4840,5290,6285
"SAR0756",4233,4852,4318,11672,13869,16885,4052,2946,3475,8041,5127,5085
"SAR0757",7509,8909,7705,16786,20247,23539,5865,4531,4241,10237,6848,6639
"SAR0760",2659,2207,1612,2373,1975,1859,517,849,774,331,864,702
"SAR0761",2703,1964,1887,1218,1704,1521,271,348,267,145,468,374
"SAR0762",235,314,208,296,367,375,934,732,932,372,1114,1127
"SAR0763",475,543,441,943,960,903,421,552,654,999,3160,2572
"SAR0764",162,121,110,232,329,326,147,188,252,473,1413,1200
"SAR0765",30,49,38,72,83,65,86,117,170,219,1427,1200
"SAR0766",20,21,15,30,41,40,94,110,50,79,191,144
"SAR0767",133,151,107,219,287,312,614,688,519,541,740,679
"SAR0768",114,81,90,114,176,181,388,418,387,368,462,523
"SAR0769",29,29,24,50,53,76,124,138,92,106,182,165
"SAR0770",246,267,217,434,473,384,956,1126,972,978,1248,1214
"SAR0771",423,592,440,940,1071,1053,1647,2206,1688,1789,2373,2174
"SAR0772",11376,10409,9225,9300,9662,12266,42873,35982,49475,18789,24005,25655
"SAR0773",680,914,641,1454,1466,1410,2623,2455,1864,2811,4085,3885
"SAR0774",1540,1967,1580,4502,4127,3932,5806,5133,5261,6917,7633,6897
"SAR0775",1545,2357,1893,8068,9576,10121,2419,2518,1887,4461,3832,3534
"SAR0776",4045,6101,4969,16232,20098,20065,7498,8224,5980,9244,8355,7759
"SAR0777",810,1265,1028,1968,2794,2895,2398,3175,1600,2393,1608,1510
"SAR0778",617,506,536,983,1754,1887,1669,1780,1354,1615,1391,1390
"SAR0779",6,9,8,14,16,35,10,16,22,15,20,23
"SAR0780",4907,4107,3539,8341,13318,14325,5862,4595,4510,12590,10832,11723
"SAR0781",3711,3483,3128,11071,19848,20092,22011,25544,26307,40297,22049,21984
"SAR0782",271,198,150,209,363,424,768,645,629,1082,1350,1400
"SAR0783",291,273,270,394,516,514,757,747,698,1357,2052,1983
"SAR0791",99,151,96,104,162,186,337,363,370,257,281,291
"SAR0793",7,7,19,29,57,76,143,108,143,67,246,228
"SAR0794",178,268,214,142,195,257,821,736,808,480,598,665
"SAR0795",357,351,298,589,619,866,843,651,769,659,985,1093
"SAR0796",1111,2510,1987,3129,2727,2803,3011,2941,2136,2444,2836,2817
"SAR0798",158,292,255,381,491,553,738,827,787,695,831,777
"SAR0799",90,243,168,254,380,446,668,673,536,376,609,574
"SAR0800",567,552,487,414,710,727,1787,2169,2839,964,3039,3120
"SAR0801",478,560,498,835,894,903,2308,2213,2438,1360,1754,1695
"SAR0802",288,809,591,583,1039,1043,1622,1824,1162,1004,1201,1120
"SAR0803",1361,2844,2121,2590,2634,2934,4146,5456,4941,4547,5316,5232
"SAR0804",49,119,85,127,129,92,178,252,136,163,265,215
