"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"rplE",13758,15117,12560,25363,30644,31293,30902,65746,90591,68796,83137,79769
"rplF",11861,11112,9356,16124,23116,24262,25969,53139,70398,53110,65734,64518
"rplI",2059,2809,2327,3807,4288,4538,9045,9895,8476,7819,5083,4532
"rplJ",11755,6154,5838,10935,15214,19830,23656,39726,48134,49598,57979,61574
"rplK",12693,17175,15045,21805,19051,23714,35684,61462,73006,60282,65215,63996
"rplL",10900,6861,6556,8563,10094,13037,15591,25589,30298,31691,34627,37386
"rplM",4211,4643,4161,4097,5507,5544,10855,12778,22369,16043,26880,21819
"rplN",9885,13176,10260,20671,22740,23315,20566,45816,58549,48200,56147,52641
"rplO",10149,19270,15243,22350,21303,22051,19862,43103,50787,38099,43326,38749
"rplP",9693,11749,9468,24560,25440,26023,24119,51034,70033,59258,70358,66688
"rplQ",10668,11301,10206,12932,15935,16742,17953,32545,29979,23676,30656,28951
"rplR",8418,8204,7404,10786,16049,16591,17969,37065,48226,36012,43302,41077
"rplS",5421,7753,6566,6484,4993,7354,9446,15817,19868,17596,19486,20691
"rplT",842,896,860,1413,1627,2435,2346,4170,8687,3588,6900,5417
"rplU",4877,7149,5967,7748,5865,6914,11602,16249,20688,21109,28288,22952
"rplV",8750,5799,4963,11646,16287,16829,18627,32502,51701,40634,50457,49177
"rplW",4789,6068,5106,11127,11271,11632,10723,17806,30427,28326,29645,28828
"rplX",7108,7844,6496,12847,15882,16236,15950,34050,44045,35347,40897,38733
"rplY",16790,8033,7386,11830,15036,18090,21397,29590,41479,33622,36282,33975
"rpmA",6276,7968,7091,8862,7708,8300,8775,12662,16066,16441,18327,15779
"rpmB",33942,21810,17392,34088,22237,47222,7286,9033,10919,22865,6847,9532
"rpmC",3695,2835,2442,5339,7106,7247,8351,16474,22808,16777,21097,20004
"rpmD",1203,2420,1795,3420,2897,2932,2332,5539,6594,5076,6164,5975
"rpmE2",3975,3816,3790,3140,4337,4979,4495,5565,8106,9349,8896,9280
"rpmF",673,527,467,434,648,666,829,1080,2052,1332,2150,1924
"rpmG_1",35,33,29,40,51,66,96,99,99,70,85,73
"rpmG_2",239,816,578,921,618,911,327,720,519,636,401,475
"rpmG_3",329,288,211,242,154,292,357,401,819,577,388,415
"rpmH",346,160,109,222,302,385,451,514,1052,694,1372,1326
"rpmI",669,703,597,1211,1364,1816,1846,3206,6489,3672,5692,4745
"rpmJ",85,42,39,66,129,145,194,237,329,188,271,293
"rpoA",27664,30938,28034,35528,43757,44874,50406,90748,87243,72662,88057,82888
"rpoB",42305,53596,46930,75214,72422,75594,51029,78186,79344,126974,148161,136178
"rpoC",77223,94776,86346,125097,139488,146843,88169,139823,149079,213496,219339,206815
"rpoD",6855,6243,5701,12466,12667,14117,10697,10187,8435,12971,12530,11967
"rpoE",664,1465,1207,1046,737,800,1522,1685,2116,2280,2532,2502
"rpoZ",268,310,257,484,771,849,670,740,494,1086,717,686
"rpsA",14613,29966,24430,40716,35227,42464,17847,17097,16218,15914,8932,10055
"rpsB",6910,3409,3059,8651,8431,10706,13222,15251,26219,19236,40285,37598
"rpsC",15528,12985,11151,26459,33225,33908,35481,66711,100267,81327,100000,97585
"rpsD",6542,5528,5272,9595,11688,13260,15488,25000,32748,36153,41685,39175
"rpsE",16544,27461,22960,36628,38728,39199,33816,75672,92850,74409,82051,74002
"rpsF",2902,2102,1862,5902,7861,8384,7592,13689,24152,24039,24065,24386
"rpsG",17491,15857,14291,30245,37035,38925,43260,73720,105661,84398,86205,85489
"rpsH",9602,9584,8216,14205,19695,20268,21665,44222,59713,45594,53535,52337
"rpsI",5949,6654,6346,6100,8426,8574,13250,18457,26952,21850,28907,24806
"rpsJ",3567,1839,1714,5029,7669,7903,10489,14338,28967,22450,24595,25040
"rpsK",11085,12122,11174,13464,18555,19017,20799,37494,38352,31644,38629,35657
"rpsL",10550,6171,6053,12520,22707,23595,36445,56615,89848,60880,68886,72008
"rpsM",12099,13926,12486,19790,21108,21512,23056,42674,43898,36422,43148,40447
"rpsN_1",20,30,26,26,22,34,65,144,69,55,125,98
"rpsN_2",1988,1795,1441,3116,3836,4082,4273,8670,12089,9198,11138,11350
"rpsO",5647,5163,5156,4679,7676,9174,10934,17874,20452,14512,14711,14671
"rpsP",937,764,609,707,785,1163,1497,1820,3041,3346,3061,3026
"rpsQ",6180,6732,5168,12998,13707,13556,14203,28929,39257,31255,38102,36714
"rpsR",1823,948,886,2025,1865,1894,2469,3664,6717,4956,4975,6025
"rpsS",4102,4340,3531,8747,8948,9213,10010,17431,28516,23308,26418,24699
"rpsT",4476,1607,1476,1256,2647,3415,3548,4734,8818,5108,3589,4862
"rpsU",2237,3745,3104,3565,1854,3141,2227,2407,2189,4683,1785,2012
"rsbU",784,1117,829,1706,2279,2246,3506,3681,3223,4032,3737,3552
"rsbV",1248,1732,1227,6279,3998,4772,2370,2453,2354,4011,3057,2759
"rsbW",812,1274,1011,5878,4705,5926,3457,3563,3208,3791,3434,3194
"ruvA",504,477,403,541,745,842,1721,2519,2432,1622,2770,2418
"ruvB",846,1393,1087,2043,1806,1933,3576,5962,5384,3433,6375,5135
"saeR",3395,1625,1376,1539,2282,2077,1899,2176,2507,1172,1940,2193
"saeS",6305,2226,2084,2100,3464,3315,3428,3892,4727,2165,3613,3691
"sak",230,472,362,205,243,251,195,229,314,255,2256,2023
"SAR0003",939,1798,1357,2268,1766,2052,1839,1936,1655,1634,1276,1253
"SAR0007",408,733,650,654,717,803,572,760,728,1059,5613,3529
"SAR0010",54,74,66,354,366,411,251,247,189,389,367,295
"SAR0011",38,49,36,267,316,380,178,184,126,378,236,181
"SAR0012",147,280,213,597,811,696,729,1130,515,763,1250,778
"SAR0013",687,870,659,1325,1975,1952,6898,7468,6597,3023,3964,3923
"SAR0014",3608,5343,4714,9960,11426,11849,28458,32345,27910,18529,16776,15398
"SAR0024",240,468,353,225,183,175,436,674,584,224,208,196
"SAR0025",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0026",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0027",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0030",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0031a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0031b",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0034",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0035",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0036",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0038",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0042",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0044",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0046",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0047",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0048",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0049",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0055",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0056",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0057",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0058",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0061",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0062",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0063",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0064",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0066",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0067",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0069",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0070",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0071",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0072",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0074",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0075",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0075a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0076",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0077",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0078",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0079",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0080",190,359,233,236,158,183,1330,1758,1294,327,429,478
"SAR0081",60,84,69,63,80,71,443,570,396,218,151,176
"SAR0082",193,230,196,161,230,218,1405,1763,1071,605,521,499
"SAR0083",25,3,9,4,11,6,63,80,49,19,13,14
"SAR0084",125,242,166,177,158,158,697,834,562,358,293,337
"SAR0085",765,720,496,376,746,581,2281,3006,1571,1380,630,694
"SAR0086",20,18,13,24,33,19,133,181,97,51,80,64
"SAR0087",32,72,58,58,32,50,172,240,116,56,254,215
"SAR0088",14,20,14,11,17,22,51,73,53,34,109,125
"SAR0089",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0090",0,0,6,2,0,3,3,8,1,8,4,10
"SAR0091",2,2,2,3,1,0,0,0,0,2,0,1
"SAR0092",1914,3211,2900,2394,2948,3165,1909,2137,1860,3356,3025,2766
"SAR0093",73,69,87,114,133,126,97,77,163,157,200,176
"SAR0094",336,428,411,623,704,762,451,427,546,726,1144,909
"SAR0095",46,36,26,73,75,70,122,123,116,104,467,372
"SAR0097",159,280,216,440,405,483,547,720,484,614,801,691
"SAR0098",94,104,63,165,201,158,383,385,243,243,383,397
"SAR0099",1200,1729,1503,2005,2017,2152,1152,1371,1060,1839,2420,1929
"SAR0100",0,1,2,7,2,8,5,4,5,8,12,3
"SAR0101",14,41,26,109,100,98,79,71,68,79,205,169
"SAR0102",69,96,49,153,159,242,196,188,203,221,463,374
"SAR0103",726,1319,1140,1967,1965,2029,1539,1923,1432,2234,1816,1347
"SAR0104",251,250,257,330,408,468,405,482,454,562,365,368
"SAR0106",67,127,133,51,45,39,35,52,34,70,63,30
"SAR0107",844,1283,1069,2482,3869,3568,3486,3387,2877,3072,3032,2549
"SAR0108",1481,1259,1097,1332,1479,1393,754,665,490,1573,1448,1296
"SAR0109",1620,2574,1896,2541,2005,1865,1424,1006,883,1967,1323,1349
"SAR0110",955,1547,1185,918,990,1004,946,896,2582,906,6683,4670
"SAR0111",12225,21109,17503,9078,5524,5688,2269,1454,603,5122,3947,3977
"SAR0112",574,555,362,1583,1459,1659,685,489,565,1407,1475,1369
"SAR0115",2252,1524,1323,1429,2315,2982,5579,5338,4878,5701,3003,3356
"SAR0119",4,23,16,43,54,36,11,16,29,78,285,127
"SAR0120",11,28,41,109,103,83,48,33,57,369,373,232
"SAR0121",50,96,83,277,241,268,87,89,111,784,788,484
"SAR0122",36,77,64,410,254,292,94,71,120,798,600,408
"SAR0123",71,101,58,432,390,382,121,126,200,1082,1030,711
"SAR0124",139,172,125,620,541,614,255,179,329,1280,1144,780
"SAR0125",92,99,100,418,342,353,130,123,152,774,580,413
"SAR0126",149,215,162,566,530,582,278,237,342,1270,975,668
"SAR0127",155,194,147,477,454,421,239,159,266,1031,710,518
