"gene_id","Q12SA014A0_20211014141226__2109SHr1014_2_S14_R1_001.bam","Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam","Q12SA013AQ_20211014141226__2109SHr1013_1_S13_R1_001.bam","Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam","Q12SA017AO_20211014141226__2109SHr1017_5_S17_R1_001.bam","Q12SA018AW_20211014141226__2109SHr1018_6_S18_R1_001.bam","Q12SA016AG_20211014141226__2109SHr1016_4_S16_R1_001.bam","Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam","Q12SA015A8_20211014141226__2109SHr1015_3_S15_R1_001.bam"
"ACCFDFCE_00363",31,16,44,17,17,16,25,12,9
"ACCFDFCE_00364",85,55,111,34,66,56,86,36,44
"ACCFDFCE_00365",31,27,82,29,20,40,41,19,24
"ACCFDFCE_00366",39,24,67,27,46,35,45,17,16
"ACCFDFCE_00367",79,39,174,30,82,63,105,28,53
"ACCFDFCE_00368",1701,1659,1945,2011,1599,1763,1856,1205,714
"ACCFDFCE_00369",1284,1590,1458,1589,1248,1307,1598,954,462
"ACCFDFCE_00370",26,10,31,6,15,9,28,7,10
"ACCFDFCE_00371",144,114,199,70,120,93,159,77,79
"ACCFDFCE_00372",710,1111,1009,1675,10975,8732,15640,9909,388
"ACCFDFCE_00373",392,434,558,234,677,657,857,348,219
"ACCFDFCE_00374",561,834,841,366,919,901,1062,732,324
"ACCFDFCE_00375",4581,6465,7227,2139,8985,7202,10612,5620,2529
"ACCFDFCE_00376",8181,12814,12076,4554,14690,13451,17208,12054,4783
"ACCFDFCE_00377",2629,3813,3749,1381,4132,3787,5397,3920,1426
"ACCFDFCE_00378",2174,3243,2546,1070,3181,2377,4410,3097,864
"ACCFDFCE_00379",375,261,548,299,428,395,540,255,222
"ACCFDFCE_00380",197,27,293,99,54,57,55,45,106
"ACCFDFCE_00382",4129,2052,4674,3628,2793,2965,3929,424,1937
"ACCFDFCE_00383",15434,9178,19386,14413,10939,12336,14901,2344,7784
"ACCFDFCE_00384",5239,2933,6531,3623,3425,3592,4717,977,2452
"ACCFDFCE_00385",1417,1182,2010,1071,1127,1190,1392,518,694
"ACCFDFCE_00386",1624,1268,2444,1262,1209,1244,1457,671,907
"ACCFDFCE_00387",9,3,9,5,2,6,7,0,1
"ACCFDFCE_00388",107,55,130,77,67,77,91,66,47
"ACCFDFCE_00389",155,238,235,78,164,164,161,63,112
"ACCFDFCE_00390",279,399,339,138,188,176,211,117,137
"ACCFDFCE_00391",106,84,157,115,113,115,123,91,60
"ACCFDFCE_00392",59,42,76,63,63,53,67,58,27
"ACCFDFCE_00393",162,160,245,239,219,219,257,177,77
"ACCFDFCE_00394",1607,3991,1081,1935,618,590,810,2049,467
"ACCFDFCE_00395",316,136,382,125,133,138,219,85,143
"ACCFDFCE_00396",516,322,667,476,444,415,541,354,267
"ACCFDFCE_00397",1279,828,2019,1177,1039,1190,1332,900,798
"ACCFDFCE_00398",755,2055,1150,760,709,753,914,708,408
"ACCFDFCE_00399",833,1633,1202,758,982,890,1152,597,417
"ACCFDFCE_00400",337,260,480,279,333,311,420,174,164
"ACCFDFCE_00401",310,407,503,492,349,319,331,356,167
"ACCFDFCE_00402",193,229,338,203,164,199,227,136,139
"ACCFDFCE_00404",8048,5188,16585,10882,9653,10818,10940,2290,6109
"ACCFDFCE_00405",2889,2024,5367,3628,3009,3287,3529,1059,1876
"ACCFDFCE_00406",1647,1034,3014,1647,1422,1432,1820,651,1084
"ACCFDFCE_00408",912,471,1609,508,867,814,1001,283,539
"ACCFDFCE_00409",3726,3519,5242,3284,3471,3392,3993,2893,1986
"ACCFDFCE_00410",4664,4197,5455,3906,4232,3708,5341,3327,1888
"ACCFDFCE_00411",5797,4832,7264,5189,5096,4991,6080,4341,2874
"ACCFDFCE_00415",986,797,1533,873,1090,1216,1235,468,581
"ACCFDFCE_00416",695,545,1037,517,632,569,729,363,356
"ACCFDFCE_00417",7275,3183,10863,4107,5600,5978,6436,3188,3824
"ACCFDFCE_00418",3580,2421,5026,2040,3938,3690,4632,1577,1883
"ACCFDFCE_00419",2632,1991,3833,1751,2968,2799,3543,1251,1360
"ACCFDFCE_00420",941,668,1382,639,1007,1060,1159,394,571
"ACCFDFCE_00421",300,108,428,178,152,129,234,89,163
"ACCFDFCE_00422",89,44,98,49,42,45,72,36,44
"ACCFDFCE_00423",441,252,584,247,235,214,332,161,223
"ACCFDFCE_00424",6258,7561,7552,6592,5318,5189,5931,5286,2967
"ACCFDFCE_00425",2443,2764,2955,2277,1710,1879,2145,1911,1200
"ACCFDFCE_00426",960,1148,1112,965,889,903,984,757,394
"ACCFDFCE_00427",1228,1580,1414,1185,1108,1014,1286,953,576
"ACCFDFCE_00428",17947,5018,23134,4547,7190,8354,11593,4541,8279
"ACCFDFCE_00429",3086,4211,4273,3489,3697,3829,4632,2133,1469
"ACCFDFCE_00430",3689,5609,4767,4443,4243,4085,4807,2508,1842
"ACCFDFCE_00431",3744,4922,6105,3726,4952,4548,5163,2624,2353
"ACCFDFCE_00432",3155,3687,4299,3098,3163,3403,3583,1894,1823
"ACCFDFCE_00433",7193,4776,8773,4590,5099,5569,6388,3560,3574
"ACCFDFCE_00434",7827,5220,10649,4984,5808,5161,7113,4815,4224
"ACCFDFCE_00435",5979,5040,7025,4080,3438,3401,4300,3704,3043
"ACCFDFCE_00436",853,665,1084,670,753,702,936,412,366
"ACCFDFCE_00437",4521,6368,6246,5515,4212,4390,4720,4054,2338
"ACCFDFCE_00438",1757,2534,2585,2059,1492,1680,1841,1368,1043
"ACCFDFCE_00439",1905,2562,2753,1937,1577,1811,1901,1326,1139
"ACCFDFCE_00440",506,606,742,489,538,414,575,397,275
"ACCFDFCE_00441",1136,1286,1762,1116,983,1164,1141,653,666
"ACCFDFCE_00442",5072,2819,8173,2551,4097,4361,5666,1511,2585
"ACCFDFCE_00443",695,478,732,471,534,570,673,343,318
"ACCFDFCE_00444",912,535,948,519,500,534,709,431,350
"ACCFDFCE_00445",10189,13973,12408,7517,6751,6696,8160,9321,4854
"ACCFDFCE_00446",975,968,1050,646,562,569,812,508,381
"ACCFDFCE_00447",12437,13842,16252,10443,8135,7901,9534,9275,6236
"ACCFDFCE_00448",457,1312,476,651,517,501,595,701,196
"ACCFDFCE_00449",205,485,156,267,139,176,197,294,63
"ACCFDFCE_00450",560,1085,690,665,427,466,550,758,280
"ACCFDFCE_00451",5730,8456,7125,6697,4464,4410,5156,5456,2776
"ACCFDFCE_00468",194,687,283,250,211,186,222,342,102
"ACCFDFCE_00469",16205,34235,21710,27880,15003,14773,18259,24042,8207
"ACCFDFCE_00470",17757,33948,27895,29791,18323,18848,19327,27096,10947
"ACCFDFCE_00471",11195,7122,12170,8633,8687,9213,10707,3951,4761
"ACCFDFCE_00472",1598,2431,3502,1518,2041,1829,2366,1301,1129
"ACCFDFCE_00473",2863,4423,6921,2650,4053,3517,4526,2645,2154
"ACCFDFCE_00474",3972,5199,8932,3114,4816,4348,5453,3205,2984
"ACCFDFCE_00475",15847,20316,31289,12943,16987,16248,18855,11827,12005
"ACCFDFCE_00476",1890,2836,3187,2069,2654,2701,3211,1666,1210
"ACCFDFCE_00477",1714,2372,2716,1673,2219,2068,2504,1256,1140
"ACCFDFCE_00478",5008,6164,6129,4955,4097,3832,4810,4278,2377
"ACCFDFCE_00479",914,1489,1468,1093,1324,1162,1587,925,451
"ACCFDFCE_00480",2600,4751,4126,3626,3884,3646,4524,3122,1574
"ACCFDFCE_00481",954,1763,1484,1298,1543,1393,1750,1200,534
"ACCFDFCE_00482",1452,2518,2367,1861,2199,2371,2534,1603,973
"ACCFDFCE_00483",1363,2271,2115,1726,2104,1861,2568,1456,791
"ACCFDFCE_00484",1190,1572,1904,1318,1580,1584,1960,872,706
"ACCFDFCE_00485",1756,1445,2400,1208,1643,1541,1878,1208,838
"ACCFDFCE_00486",6754,5317,9334,4672,5589,5128,6234,4033,3579
"ACCFDFCE_00487",6155,5400,8278,4565,4398,4853,5112,3921,3390
"ACCFDFCE_00488",4658,3642,5143,2917,2411,2514,2905,2789,2224
"ACCFDFCE_00490",2226,3724,2629,2651,1652,1584,1886,2776,996
"ACCFDFCE_00491",1716,2605,1837,1867,970,1030,1226,1779,692
"ACCFDFCE_00492",653,574,997,499,607,602,731,324,381
"ACCFDFCE_00493",45673,55412,59346,36714,27807,30362,33730,43275,24964
"ACCFDFCE_00494",35914,43962,46785,27225,18924,22122,23808,32596,20428
"ACCFDFCE_00495",999,700,1019,537,439,560,583,661,486
"ACCFDFCE_00496",12338,8478,12776,6998,6248,6467,7827,9779,5184
"ACCFDFCE_00497",12151,8981,12975,7435,6341,6491,7752,10115,5656
"ACCFDFCE_00498",40398,31597,44253,24483,19684,22589,24943,32804,19516
"ACCFDFCE_00499",71221,67270,86390,51800,41520,46168,50386,57888,37155
"ACCFDFCE_00500",1565,2538,2145,1507,1500,1508,1824,1183,727
"ACCFDFCE_00501",28836,10751,37476,20112,18738,17731,22798,13361,13896
"ACCFDFCE_00502",4870,21161,8852,4879,7274,6157,7864,3481,2833
"ACCFDFCE_00503",1846,2263,2376,1871,1761,1756,2206,1665,848
"ACCFDFCE_00504",36899,27088,83849,46118,44109,43608,50368,21769,29346
"ACCFDFCE_00505",8610,8299,11154,7473,6764,7189,8547,6937,4176
"ACCFDFCE_00506",2770,3523,3489,3373,2641,2706,3089,3505,1376
"ACCFDFCE_00507",828,684,1013,383,612,634,752,357,364
"ACCFDFCE_00508",378,258,473,154,269,278,339,176,152
"ACCFDFCE_00509",567,244,638,317,437,373,538,219,220
"ACCFDFCE_00510",4459,2692,5380,1960,3053,3084,3790,1572,2125
"ACCFDFCE_00511",2686,1808,2794,1628,1636,1608,2191,1302,1019
"ACCFDFCE_00512",84642,94486,86824,36979,75553,86168,108892,123918,37628
"ACCFDFCE_00513",197575,82047,251569,171939,60231,71173,82417,101661,93200
"ACCFDFCE_00514",13728,3525,16717,10316,6957,7694,8439,8593,6414
"ACCFDFCE_00515",7965,5422,13979,5379,8769,8524,9978,3573,5340
"ACCFDFCE_00516",3554,3925,5371,2878,2856,3150,3631,2040,1703
"ACCFDFCE_00517",2342,2658,3588,2153,2320,2494,2978,1476,1214
"ACCFDFCE_00518",1438,1533,2477,1213,1777,1550,2203,961,766
"ACCFDFCE_00519",705,543,1070,370,485,542,586,334,423
"ACCFDFCE_00520",1183,1277,1744,782,1053,916,1096,1013,709
"ACCFDFCE_00521",935,847,1256,548,652,658,853,674,473
"ACCFDFCE_00522",1780,844,1760,1221,1349,1201,1707,549,629
"ACCFDFCE_00523",1543,4744,2246,1773,5884,6796,6340,3338,961
"ACCFDFCE_00524",47,87,72,55,75,71,98,68,25
"ACCFDFCE_00525",238,344,328,276,310,270,344,275,108
"ACCFDFCE_00526",56,65,60,46,60,42,60,59,18
"ACCFDFCE_00527",43,75,63,37,51,50,63,50,24
"ACCFDFCE_00528",2063,2136,3518,1840,1693,1768,2000,1335,1294
"ACCFDFCE_00529",3374,3321,4224,2735,3182,3120,3987,1745,1526
"ACCFDFCE_00530",700,272,858,319,543,525,688,268,273
"ACCFDFCE_00531",755,437,884,393,578,531,710,336,317
"ACCFDFCE_00532",747,467,836,495,573,595,733,405,357
"ACCFDFCE_00533",787,644,1066,515,615,638,741,365,435
"ACCFDFCE_00534",354,387,452,417,296,389,349,282,170
"ACCFDFCE_00535",396,493,548,468,479,529,522,283,202
"ACCFDFCE_00537",5134,4552,6724,2676,3371,3640,4076,2345,2542
"ACCFDFCE_00538",6434,9308,6978,6263,4528,4940,5811,5054,2908
"ACCFDFCE_00539",6964,9870,7850,6986,4815,5388,5917,6011,3410
"ACCFDFCE_00540",366,222,416,224,262,232,323,142,156
"ACCFDFCE_00541",357,317,384,283,217,226,266,175,177
"ACCFDFCE_00542",289,194,324,206,163,191,198,138,146
"ACCFDFCE_00543",49,38,70,27,27,36,50,21,22
"ACCFDFCE_00544",456,831,651,558,602,541,624,625,244
"ACCFDFCE_00545",85,146,125,84,141,112,126,116,39
"ACCFDFCE_00546",3488,4358,5023,3488,9710,8219,11214,6091,1873
"ACCFDFCE_00547",670,690,1042,634,1720,1720,2258,957,441
"ACCFDFCE_00548",889,920,1421,909,2095,2070,2587,1306,583
"ACCFDFCE_00549",850,923,1194,691,1857,2000,2173,1000,506
"ACCFDFCE_00550",678,687,988,473,1532,1496,1847,771,386
"ACCFDFCE_00551",611,619,818,407,1251,1168,1540,677,367
"ACCFDFCE_00552",438,414,649,284,893,939,1090,452,254
"ACCFDFCE_00553",179,157,291,95,376,384,472,185,123
"ACCFDFCE_00554",125,117,178,73,214,304,286,89,119
"ACCFDFCE_00555",187,126,225,84,211,210,291,88,86
"ACCFDFCE_00556",272,208,358,190,402,495,520,133,163
"ACCFDFCE_00557",162,190,207,106,250,248,330,123,86
"ACCFDFCE_00558",279,264,385,168,374,454,496,146,202
"ACCFDFCE_00559",1027,1630,1183,835,1293,1452,1651,996,472
"ACCFDFCE_00560",2166,4731,2709,1701,2339,2170,3035,2099,1068
"ACCFDFCE_00561",742,1763,1005,743,1289,1287,1441,884,373
"ACCFDFCE_00562",3830,10264,5364,5128,5548,5611,6220,5462,2109
"ACCFDFCE_00563",1544,3334,1987,1811,1827,1980,2048,1772,780
"ACCFDFCE_00564",309,5220,310,1113,808,490,364,2675,133
"ACCFDFCE_00565",1,6,1,1,0,0,0,2,1
"ACCFDFCE_00566",321,349,341,169,188,199,245,304,107
"ACCFDFCE_00567",3665,4149,4666,3577,2284,2219,2732,2775,1840
"ACCFDFCE_00569",72,84,59,51,59,70,100,69,36
"ACCFDFCE_00570",1256,1179,1217,1109,1187,1131,1420,830,449
"ACCFDFCE_00571",1556,1136,2080,1250,1638,1585,1859,881,805
"ACCFDFCE_00572",2255,1582,3608,1532,2311,2258,2638,869,1338
"ACCFDFCE_00573",3425,2271,5330,2356,3425,3365,3847,1383,1976
"ACCFDFCE_00574",36942,17230,65003,21693,29404,24744,32729,14798,24561
"ACCFDFCE_00575",2644,954,4361,1387,2622,2232,2949,1524,1606
"ACCFDFCE_00576",540,140,967,117,239,230,307,78,373
"ACCFDFCE_00577",2010,1123,2371,933,925,1063,1434,715,800
"ACCFDFCE_00579",250,367,317,168,218,268,286,270,126
"ACCFDFCE_00580",16,2,8,7,14,5,19,3,6
"ACCFDFCE_00581",11,14,18,11,8,8,16,8,6
"ACCFDFCE_00582",151,104,247,112,150,113,159,98,94
"ACCFDFCE_00583",563,321,885,294,415,424,527,332,394
"ACCFDFCE_00584",88,46,133,44,55,59,98,57,51
"ACCFDFCE_00585",50,23,75,21,41,30,37,31,32
"ACCFDFCE_00586",347,215,467,173,216,242,230,172,195
"ACCFDFCE_00587",65,45,123,32,45,47,48,32,41
"ACCFDFCE_00588",48,43,76,27,29,40,38,21,26
"ACCFDFCE_00589",155,95,207,68,80,87,121,63,84
"ACCFDFCE_00590",9563,20477,19638,6658,13481,14420,16677,4731,7395
"ACCFDFCE_00592",175072,191460,232292,154927,235555,219802,269801,174761,88989
"ACCFDFCE_00593",110458,107450,155203,86386,138713,146984,164771,97284,57951
"ACCFDFCE_00594",134499,135494,176344,106982,173100,169422,200714,120532,65443
"ACCFDFCE_00595",4882,1747,8285,1699,3271,2830,4675,1099,2844
"ACCFDFCE_00596",280,133,452,143,179,199,216,82,161
"ACCFDFCE_00597",2181,955,3214,889,1946,1717,2487,699,939
"ACCFDFCE_00598",4437,3035,7088,1893,3450,3531,4290,1431,2504
"ACCFDFCE_00599",3922,1670,6367,1598,2768,2867,3552,1176,2225
"ACCFDFCE_00600",2063,1443,3593,1156,1918,1747,2233,1612,1213
"ACCFDFCE_00601",1884,1205,3028,960,1623,1457,1970,1195,1120
"ACCFDFCE_00602",439,279,691,188,386,305,507,255,220
"ACCFDFCE_00603",616,805,682,395,444,482,597,503,238
"ACCFDFCE_00604",25567,17724,50209,8997,32804,33079,39549,21388,19848
"ACCFDFCE_00605",12817,5836,15549,9953,8842,9831,11134,4673,6207
"ACCFDFCE_00607",1533,953,2232,949,1302,1141,1641,1226,735
"ACCFDFCE_00608",1330,1516,2911,1323,2149,2117,2642,823,930
"ACCFDFCE_00609",365,556,621,476,436,461,520,315,230
"ACCFDFCE_00610",807,1004,1336,894,806,903,1044,693,513
"ACCFDFCE_00611",2279,5443,3291,1914,2593,2352,2919,2717,1218
"ACCFDFCE_00612",1295,2896,1546,964,1298,1219,1560,1484,593
"ACCFDFCE_00613",856,1998,1214,725,995,1024,1175,1035,492
"ACCFDFCE_00614",3964,4060,5624,2118,3991,3336,5145,2656,1865
"ACCFDFCE_00615",3130,2761,4488,1641,2329,2468,2858,1493,1730
"ACCFDFCE_00616",378,394,483,278,284,335,372,294,174
"ACCFDFCE_00617",781,397,1487,749,550,540,714,253,448
"ACCFDFCE_00618",2844,2165,5055,1097,2317,1989,2894,1102,1545
"ACCFDFCE_00619",2513,1292,4111,1286,2151,1888,2512,1223,1459
"ACCFDFCE_00620",1647,851,2530,919,1117,1349,1382,618,980
"ACCFDFCE_00621",2174,1165,3528,1167,1496,1608,1905,755,1309
"ACCFDFCE_00622",1896,1060,2908,1021,1536,1546,1787,787,1137
"ACCFDFCE_00623",3368,2123,5455,1560,2496,2500,2948,1599,2124
"ACCFDFCE_00624",2604,1448,4100,1797,2007,1882,2227,1439,1547
"ACCFDFCE_00625",4424,1791,6570,2322,2748,3216,3464,1934,2637
"ACCFDFCE_00626",2171,2269,1273,1586,1296,1382,1682,3177,639
"ACCFDFCE_00627",2639,1625,4223,859,1602,1886,2008,858,1679
"ACCFDFCE_00628",2927,2171,3736,1104,1668,1729,2184,982,1528
"ACCFDFCE_00629",25238,11693,40332,4499,21371,22577,26487,9522,14699
"ACCFDFCE_00630",5581,5351,7336,3334,4717,4903,5933,3322,2790
"ACCFDFCE_00631",3510,3399,4659,2237,2597,2957,3230,2058,1902
"ACCFDFCE_00632",5486,5208,9304,4252,6936,5853,7235,2998,3246
"ACCFDFCE_00633",5730,5255,9563,4363,6406,6121,7300,2996,3588
"ACCFDFCE_00634",2734,1981,4491,1560,2576,2643,3061,893,1806
"ACCFDFCE_00635",1042,821,1791,701,970,1042,1131,440,747
"ACCFDFCE_00636",378,153,493,179,325,276,460,249,177
"ACCFDFCE_00637",85,65,99,30,107,84,129,31,44
"ACCFDFCE_00638",489,293,596,202,436,250,520,210,150
"ACCFDFCE_00639",1025,542,1322,424,881,677,1050,397,482
"ACCFDFCE_00640",474,235,500,146,340,332,485,122,220
"ACCFDFCE_00641",369,357,494,231,211,255,248,243,187
"ACCFDFCE_00642",194,206,291,160,147,133,183,139,100
"ACCFDFCE_00643",927,837,1340,599,837,620,1100,619,371
"ACCFDFCE_00644",374,232,536,248,301,263,333,252,186
"ACCFDFCE_00645",762,839,1082,453,1117,1115,1185,817,400
"ACCFDFCE_00646",691,687,975,384,663,664,787,540,409
"ACCFDFCE_00647",15603,16044,19086,25744,16182,16234,18912,16692,7990
"ACCFDFCE_00648",1353,691,2141,707,849,928,1064,435,857
"ACCFDFCE_00649",3751,2299,5763,2371,2962,2885,3436,1647,2073
"ACCFDFCE_00650",558,287,799,307,342,417,451,212,359
"ACCFDFCE_00651",4813,2131,7370,3396,4898,5148,5660,3109,3050
"ACCFDFCE_00652",5754,2557,9615,3641,5953,5729,6962,3595,3777
"ACCFDFCE_00653",287,218,351,320,234,293,303,291,146
"ACCFDFCE_00654",497,460,694,717,513,611,704,590,331
"ACCFDFCE_00655",760,846,1039,1311,1010,1098,1079,1137,349
"ACCFDFCE_00656",670,315,842,426,521,533,670,494,325
"ACCFDFCE_00657",1323,563,1024,532,865,693,1120,753,476
"ACCFDFCE_00658",335,251,337,202,233,172,274,190,115
"ACCFDFCE_00659",142,101,252,166,85,92,92,65,96
"ACCFDFCE_00660",208,316,386,313,239,229,259,103,147
"ACCFDFCE_00661",1555,2729,3614,2319,1950,1872,1806,674,1288
"ACCFDFCE_00662",1567,2630,2232,991,1399,1267,1694,799,705
"ACCFDFCE_00663",8148,6670,12317,6228,6617,6900,8548,4708,4136
"ACCFDFCE_00664",1184,2234,2267,868,1489,1411,1590,828,761
"ACCFDFCE_00665",1867,3409,3528,1516,2231,2166,2360,1470,1302
"ACCFDFCE_00666",5055,5696,6669,5221,10543,8238,13390,8856,2569
"ACCFDFCE_00667",3037,3237,4270,3131,8121,6669,8821,5800,1549
"ACCFDFCE_00668",609,661,831,1008,2459,2393,3146,1880,366
"ACCFDFCE_00669",1769,1009,1892,2779,5814,4411,7908,4752,765
"ACCFDFCE_00670",739,356,1304,187,423,402,601,165,470
"ACCFDFCE_00671",110,180,148,80,76,96,97,86,50
"ACCFDFCE_00672",46,81,75,51,52,39,51,38,35
"ACCFDFCE_00673",67,52,86,49,56,44,45,18,19
"ACCFDFCE_00674",112,88,171,106,104,149,130,36,77
"ACCFDFCE_00675",593,525,723,574,601,604,630,436,267
"ACCFDFCE_00676",454,523,642,435,531,415,565,355,239
"ACCFDFCE_00678",970,761,1426,771,916,813,1051,390,573
"ACCFDFCE_00679",1183,941,1672,852,910,1020,1086,534,617
"ACCFDFCE_00680",13789,7607,17930,6794,7996,7731,9897,7376,7077
"ACCFDFCE_00681",2099,2421,3141,1941,1894,1780,2108,1657,1204
"ACCFDFCE_00682",2523,3248,3940,2272,2197,2149,2611,2014,1488
"ACCFDFCE_00683",726,1820,1045,639,1370,1225,1626,706,351
"ACCFDFCE_00684",1211,3842,1930,1427,2032,1888,2328,2232,641
"ACCFDFCE_00685",329,389,464,478,477,449,496,489,172
"ACCFDFCE_00687",827,910,1483,1075,1180,1140,1264,643,580
"ACCFDFCE_00688",280,437,477,294,268,236,296,253,167
"ACCFDFCE_00689",15076,39087,17197,32220,17004,19198,19839,14687,6709
"ACCFDFCE_00690",368,428,504,325,282,322,379,184,195
"ACCFDFCE_00691",481,596,660,484,435,433,480,280,248
"ACCFDFCE_00692",5012,18589,7577,6626,5851,5542,5891,4448,2783
"ACCFDFCE_00693",23464,75559,35735,33014,22590,23728,24022,18036,13614
"ACCFDFCE_00694",11516,32122,16069,13095,9837,10132,11231,7146,6130
"ACCFDFCE_00695",99,65,208,253,124,119,154,57,56
"ACCFDFCE_00696",29,16,47,86,22,31,31,25,20
"ACCFDFCE_00697",14,5,34,63,19,32,32,23,12
"ACCFDFCE_00698",74,33,97,106,44,49,64,50,33
"ACCFDFCE_00699",784,566,1029,481,611,636,775,498,392
"ACCFDFCE_00700",1196,772,1549,746,993,1090,1261,529,650
"ACCFDFCE_00701",51,14,76,25,58,44,59,16,27
"ACCFDFCE_00702",1650,1037,2721,1114,1548,1296,1740,781,834
"ACCFDFCE_00703",1375,622,2193,643,898,891,1167,527,754
"ACCFDFCE_00704",1650,1381,2185,945,1205,1210,1534,902,814
"ACCFDFCE_00705",6848,3777,10194,4262,4925,5409,5948,3654,3954
"ACCFDFCE_00706",504,498,732,452,490,533,586,377,277
"ACCFDFCE_00707",539,461,742,326,588,594,695,271,277
"ACCFDFCE_00708",1069,962,1486,775,1093,1143,1391,933,570
"ACCFDFCE_00709",707,609,1048,620,721,842,868,535,419
"ACCFDFCE_00710",1610,842,3429,514,1409,1220,1949,402,950
"ACCFDFCE_00711",1191,335,1322,493,709,941,970,290,567
"ACCFDFCE_00712",101,52,114,115,113,97,110,82,50
"ACCFDFCE_00713",44,32,50,42,33,38,36,32,22
"ACCFDFCE_00714",46912,46044,72685,44135,44018,37324,51587,39678,24105
"ACCFDFCE_00715",31989,18927,53506,32674,37901,38821,42909,28291,19645
"ACCFDFCE_00716",3456,3006,4761,4297,4759,4697,5405,3480,1601
"ACCFDFCE_00717",259,200,416,475,501,546,594,281,152
"ACCFDFCE_00718",1106,1291,1693,747,1495,987,1505,1220,528
"ACCFDFCE_00719",471,549,533,271,406,336,526,393,174
"ACCFDFCE_00720",3717,3390,4994,2874,3641,3533,4212,3025,1911
"ACCFDFCE_00721",4731,4399,7054,3533,4325,4396,4971,3748,2825
"ACCFDFCE_00723",4905,3511,7335,2594,4402,3760,5105,2965,2641
"ACCFDFCE_00724",2771,2109,4023,1549,2067,2031,2708,1702,1466
"ACCFDFCE_00725",1315,951,1974,734,994,1084,1209,684,780
"ACCFDFCE_00726",2352,1292,2914,1083,1483,1405,1694,1150,1215
"ACCFDFCE_00727",9522,17778,12254,8456,8247,7871,9656,7472,4754
"ACCFDFCE_00728",14,10,13,13,17,14,11,7,5
"ACCFDFCE_00730",3127,2601,5138,1554,2840,2521,3087,1876,1770
"ACCFDFCE_00731",3785,2824,5670,1758,2559,2702,3116,1968,2048
"ACCFDFCE_00732",3950,2646,6435,1648,2664,2656,3022,1813,2495
"ACCFDFCE_00734",7547,9286,11125,5760,6909,6281,9104,5331,3821
"ACCFDFCE_00735",2924,1258,4769,1715,2193,2221,2716,1013,1823
"ACCFDFCE_00737",408,306,317,120,198,162,364,177,90
"ACCFDFCE_00739",1273,739,1940,853,918,815,1066,1194,709
"ACCFDFCE_00740",2874,4460,3667,3886,2985,2904,3387,4215,1471
"ACCFDFCE_00741",1974,3224,2561,2830,2369,2377,2588,2728,1038
"ACCFDFCE_00742",2120,3640,3160,2945,2814,2836,3029,2800,1294
"ACCFDFCE_00743",3233,5600,4570,4328,3862,3933,4236,3895,1783
"ACCFDFCE_00744",43905,45344,63172,40628,40482,43156,45676,40712,26277
"ACCFDFCE_00745",2548,825,3618,1275,1418,1436,1945,821,1248
"ACCFDFCE_00746",1468,1008,1801,909,987,732,1336,784,515
"ACCFDFCE_00747",1695,1770,2404,1327,1495,1531,1860,1122,858
"ACCFDFCE_00748",5142,6198,7301,4598,5080,5227,5851,3940,2933
"ACCFDFCE_00749",833,905,1023,679,723,730,969,598,413
"ACCFDFCE_00751",10824,16230,16396,12472,21710,17788,23544,9461,5823
"ACCFDFCE_00752",6856,8823,9851,5915,12728,10915,16227,4361,3019
"ACCFDFCE_00753",17,37,18,29,34,40,46,33,11
"ACCFDFCE_00754",71,94,107,74,78,85,121,70,44
"ACCFDFCE_00755",1640,2281,2718,2221,2016,2355,2546,1838,1142
"ACCFDFCE_00756",39,65,61,27,58,42,48,18,23
"ACCFDFCE_00757",290,93,314,122,132,127,154,91,113
"ACCFDFCE_00758",9,5,10,7,7,4,8,7,3
"ACCFDFCE_00759",1238,3026,1583,1468,10241,9024,11846,5338,713
"ACCFDFCE_00760",20033,4745,26414,6580,18403,15676,24144,3892,9943
"ACCFDFCE_00761",127,113,250,61,136,127,139,102,70
"ACCFDFCE_00762",94,74,141,46,128,97,144,89,62
"ACCFDFCE_00763",101,67,138,65,151,137,198,131,57
"ACCFDFCE_00764",1389,942,2691,695,1764,2116,2492,687,1037
"ACCFDFCE_00765",1237,683,2494,422,1858,2086,2447,539,721
"ACCFDFCE_00766",106,35,96,64,134,115,161,75,39
"ACCFDFCE_00767",154,113,287,49,141,121,187,66,98
"ACCFDFCE_00768",240,283,278,142,340,264,411,456,125
"ACCFDFCE_00769",990,530,1408,735,1321,1547,1696,1132,500
"ACCFDFCE_00770",512,651,797,715,1254,1207,1585,572,285
"ACCFDFCE_00771",46,28,63,69,48,51,73,27,25
"ACCFDFCE_00772",452,536,549,336,376,336,460,268,225
"ACCFDFCE_00773",1143,1089,1770,857,1140,977,1599,823,563
"ACCFDFCE_00774",3184,2939,4858,1721,3370,3732,4646,1324,1603
"ACCFDFCE_00775",4771,4114,7042,3774,4642,3988,5427,3994,2329
"ACCFDFCE_00776",20526,13212,23346,17287,17698,15439,21031,21729,8660
"ACCFDFCE_00777",1492,615,1930,988,1610,1353,1934,1339,678
"ACCFDFCE_00778",8574,3454,9896,6010,7879,7572,9115,7219,3730
"ACCFDFCE_00780",2934,1107,3552,1820,2298,2252,2708,1893,1439
