"gene_id","Q12SA014A0_20211014141226__2109SHr1014_2_S14_R1_001.bam","Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam","Q12SA013AQ_20211014141226__2109SHr1013_1_S13_R1_001.bam","Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam","Q12SA017AO_20211014141226__2109SHr1017_5_S17_R1_001.bam","Q12SA018AW_20211014141226__2109SHr1018_6_S18_R1_001.bam","Q12SA016AG_20211014141226__2109SHr1016_4_S16_R1_001.bam","Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam","Q12SA015A8_20211014141226__2109SHr1015_3_S15_R1_001.bam"
"ACCFDFCE_00088",5589,6620,10059,5725,5587,5223,5974,3819,3918
"ACCFDFCE_00089",173,117,210,306,74,93,94,89,84
"ACCFDFCE_00090",155,115,222,296,72,66,78,87,74
"ACCFDFCE_00091",238,177,318,543,128,119,131,155,128
"ACCFDFCE_00092",536,280,768,972,218,230,298,224,248
"ACCFDFCE_00093",94,103,127,120,76,74,83,122,49
"ACCFDFCE_00094",1078,701,1644,730,759,787,897,439,629
"ACCFDFCE_00095",0,0,0,0,3,0,0,0,1
"ACCFDFCE_00096",7,5,20,4,7,9,6,6,7
"ACCFDFCE_00097",2,7,8,1,9,7,16,5,4
"ACCFDFCE_00099",29,7,29,9,24,15,37,14,7
"ACCFDFCE_00100",297,642,413,207,406,298,345,263,166
"ACCFDFCE_00101",24,337,55,47,325,302,342,144,16
"ACCFDFCE_00102",34,382,75,59,401,365,488,204,45
"ACCFDFCE_00103",56,501,138,87,700,548,772,300,55
"ACCFDFCE_00104",51,604,124,97,644,621,687,291,37
"ACCFDFCE_00105",38,290,79,48,302,276,326,166,30
"ACCFDFCE_00106",31,334,71,45,337,307,405,148,43
"ACCFDFCE_00107",47,445,91,71,396,363,420,175,35
"ACCFDFCE_00108",29,225,51,41,200,180,225,99,24
"ACCFDFCE_00109",57,401,100,66,330,287,365,150,35
"ACCFDFCE_00110",52,282,93,48,248,200,221,81,24
"ACCFDFCE_00111",52,216,101,34,165,153,183,80,38
"ACCFDFCE_00112",100,424,165,76,278,322,338,141,77
"ACCFDFCE_00113",48,229,86,50,212,170,167,80,44
"ACCFDFCE_00114",102,421,186,110,259,237,258,148,99
"ACCFDFCE_00115",222,760,369,260,498,469,564,293,136
"ACCFDFCE_00116",409,798,613,330,544,562,626,285,246
"ACCFDFCE_00117",542,399,1356,471,714,671,799,185,429
"ACCFDFCE_00118",344,247,1206,208,509,445,615,138,279
"ACCFDFCE_00119",22447,65843,23993,35746,21877,22906,25765,55071,9268
"ACCFDFCE_00120",130,300,181,140,125,133,163,209,73
"ACCFDFCE_00121",40,32,52,40,72,62,121,54,28
"ACCFDFCE_00122",157,442,223,311,315,261,356,282,82
"ACCFDFCE_00123",8,32,20,13,28,16,17,23,7
"ACCFDFCE_00124",27,61,30,36,43,27,40,35,19
"ACCFDFCE_00125",38,66,54,36,34,44,43,25,17
"ACCFDFCE_00126",96,125,122,84,71,70,90,62,44
"ACCFDFCE_00127",8986,4191,21344,3245,9860,8894,12792,2385,5866
"ACCFDFCE_00128",2963,476,7312,1560,4893,4853,5991,2270,3032
"ACCFDFCE_00129",1481,1148,2619,788,1672,1750,1893,720,941
"ACCFDFCE_00130",11732,9216,20968,3761,10669,10744,12399,4846,8334
"ACCFDFCE_00131",1864,1377,3477,680,1595,1578,1863,685,1279
"ACCFDFCE_00132",429,1731,329,1180,845,1147,666,1927,247
"ACCFDFCE_00133",185,263,189,269,186,185,208,330,69
"ACCFDFCE_00134",263,428,285,431,316,349,354,714,113
"ACCFDFCE_00135",169,341,197,361,176,230,281,635,54
"ACCFDFCE_00137",118,232,116,300,155,195,186,560,52
"ACCFDFCE_00138",3188,1731,3009,2862,2430,2562,2922,2706,1285
"ACCFDFCE_00139",1435,3762,1710,1529,1048,1027,1177,3166,701
"ACCFDFCE_00140",5559,15378,7541,5882,5388,4787,5985,13323,2913
"ACCFDFCE_00141",2937,3441,3891,3039,3540,3766,4575,3477,1540
"ACCFDFCE_00142",8548,5655,9547,4993,11352,9651,12703,19849,3846
"ACCFDFCE_00143",4203,2918,3780,2373,4473,4062,5836,10024,1542
"ACCFDFCE_00144",8394,4874,7464,4439,7727,7901,9727,16307,3391
"ACCFDFCE_00145",4470,2147,4293,2123,3368,3681,4624,7081,1885
"ACCFDFCE_00146",42,67,77,76,59,46,66,84,30
"ACCFDFCE_00147",2196,1412,3020,1757,2289,2230,2566,1338,1132
"ACCFDFCE_00148",6395,3919,8852,4540,5730,5728,6448,3622,3469
"ACCFDFCE_00149",1940,1015,3105,1179,1652,1536,1925,897,992
"ACCFDFCE_00150",1746,969,2515,1110,1420,1399,1617,876,962
"ACCFDFCE_00151",1781,1000,2534,1127,1408,1248,1612,946,871
"ACCFDFCE_00152",400,292,534,261,272,303,321,194,213
"ACCFDFCE_00153",70,67,84,69,84,78,101,53,31
"ACCFDFCE_00154",93,72,101,107,87,80,109,69,45
"ACCFDFCE_00155",163,188,240,188,204,207,189,215,92
"ACCFDFCE_00156",246,364,385,292,261,296,304,238,172
"ACCFDFCE_00157",604,722,849,319,1201,1024,1591,532,339
"ACCFDFCE_00158",2684,931,3530,866,946,1039,1386,502,1195
"ACCFDFCE_00159",42,74,50,26,30,32,58,29,22
"ACCFDFCE_00160",637,753,718,936,1398,1335,1626,656,233
"ACCFDFCE_00161",686,1161,813,1767,1640,1530,1760,1565,296
"ACCFDFCE_00162",1060,1459,1517,2183,2566,2541,2645,1807,556
"ACCFDFCE_00163",740,1102,1180,1413,1856,1728,1968,1305,400
"ACCFDFCE_00164",1709,2189,2470,2594,3917,3374,3855,2520,871
"ACCFDFCE_00165",1373,1404,1927,1696,2643,2681,2871,1569,664
"ACCFDFCE_00166",2236,1877,3371,2595,4754,4627,4932,2112,1254
"ACCFDFCE_00167",10,7,19,8,11,11,16,14,10
"ACCFDFCE_00168",1976,977,2821,2204,3732,3795,4387,3573,1072
"ACCFDFCE_00169",789,781,1091,459,704,646,818,594,420
"ACCFDFCE_00170",1075,1140,1507,596,830,795,1003,738,514
"ACCFDFCE_00171",491,394,585,265,325,343,425,244,239
"ACCFDFCE_00172",1346,105746,1631,2426,7269,2331,2102,3118,770
"ACCFDFCE_00173",427,41656,632,465,2821,625,744,581,209
"ACCFDFCE_00174",209,269,298,205,233,268,295,123,112
"ACCFDFCE_00175",18,4,28,21,8,6,14,8,3
"ACCFDFCE_00176",84,90,111,45,59,71,97,52,42
"ACCFDFCE_00177",64670,2448,85346,21871,25861,27663,33814,37255,35289
"ACCFDFCE_00178",107648,5592,139120,40333,44568,48402,58452,60966,57850
"ACCFDFCE_00179",59752,3873,76729,24911,26713,30270,35037,34255,31588
"ACCFDFCE_00180",73877,5508,96628,32691,35610,38014,45432,41850,39210
"ACCFDFCE_00181",88764,7942,116806,41667,48132,49798,60110,52436,47114
"ACCFDFCE_00182",1001,1018,1203,879,863,830,989,602,394
"ACCFDFCE_00183",490,2547,953,527,844,864,1002,579,345
"ACCFDFCE_00184",118,845,261,131,287,213,334,146,105
"ACCFDFCE_00185",766,2207,1292,704,970,834,1084,606,523
"ACCFDFCE_00186",5958,16896,10609,4793,8799,7533,9781,4613,3924
"ACCFDFCE_00187",1224,4654,201,6346,2995,3391,1125,17814,611
"ACCFDFCE_00188",931,3350,2073,3976,1396,1347,1388,416,723
"ACCFDFCE_00189",868,690,900,405,673,635,782,669,392
"ACCFDFCE_00190",86,50,76,39,109,120,130,50,23
"ACCFDFCE_00191",6,14,9,5,15,19,27,8,1
"ACCFDFCE_00192",14,12,11,4,31,25,25,9,9
"ACCFDFCE_00193",66,63,98,26,97,141,137,49,45
"ACCFDFCE_00194",98,96,131,50,159,169,169,62,50
"ACCFDFCE_00195",5,1,4,0,3,4,2,2,0
"ACCFDFCE_00196",207,182,264,130,194,196,248,173,105
"ACCFDFCE_00197",6718,5129,9097,5257,5706,4787,6682,5064,3368
"ACCFDFCE_00198",6589,4791,9066,4855,4794,5066,5736,4053,3598
"ACCFDFCE_00199",12887,9441,18655,10263,9625,9118,10863,8398,7200
"ACCFDFCE_00200",379,333,474,249,314,274,394,295,170
"ACCFDFCE_00201",1885,1949,2767,1872,2325,2414,2802,1423,951
"ACCFDFCE_00202",3835,4985,5775,4429,5248,5114,6014,4229,2279
"ACCFDFCE_00203",8222,9127,13296,8124,10087,10443,11282,6734,5293
"ACCFDFCE_00204",12898,10704,20587,9608,12426,12494,14601,7568,8092
"ACCFDFCE_00205",358,656,550,314,279,240,299,214,195
"ACCFDFCE_00206",2645,2218,3928,1619,3384,3625,4321,1151,1608
"ACCFDFCE_00207",920,716,1352,475,1283,1110,1505,379,485
"ACCFDFCE_00208",243,483,249,91,141,100,160,45,129
"ACCFDFCE_00209",7705,4806,8870,6582,3950,3999,4366,3401,3545
"ACCFDFCE_00210",3862,1808,6470,2850,2442,2616,2957,788,2591
"ACCFDFCE_00211",852,646,1435,334,1254,1141,1321,342,529
"ACCFDFCE_00212",2020,1263,3265,808,2897,2716,3238,874,1273
"ACCFDFCE_00214",314,346,490,288,537,496,564,239,148
"ACCFDFCE_00215",1432,2631,1980,875,1935,1789,2236,1972,822
"ACCFDFCE_00216",657,1343,1019,470,1140,860,1181,1131,374
