"gene_id","HG001.rep1","HG001.rep2","HG001.rep3","UTI.89.mixed.with.HG001.rep1","UTI.89.mixed.with.HG001.rep2","UTI.89.mixed.with.HG001.rep3"
"SAOUHSC_00619",49,64,68,8,32,40
"SAOUHSC_00620",149,151,195,12,42,49
"SAOUHSC_00621",20,13,21,0,3,2
"SAOUHSC_00622",2,2,4,0,0,2
"SAOUHSC_00624",11,11,7,1,3,4
"SAOUHSC_00625",67,66,66,3,15,24
"SAOUHSC_00626",5,4,2,0,2,1
"SAOUHSC_00627",0,7,2,0,2,2
"SAOUHSC_00628",26,16,30,5,14,5
"SAOUHSC_00629",10,5,8,2,7,3
"SAOUHSC_00632",13,14,13,0,6,2
"SAOUHSC_00633",78,70,87,5,13,33
"SAOUHSC_00634",645,530,622,44,238,784
"SAOUHSC_00636",330,342,333,28,126,435
"SAOUHSC_00637",478,420,452,42,219,795
"SAOUHSC_00638",96,100,123,30,33,84
"SAOUHSC_00639",13,13,19,0,4,10
"SAOUHSC_00640",66,82,68,7,12,27
"SAOUHSC_00641",201,296,293,16,42,113
"SAOUHSC_00642",238,268,273,16,25,111
"SAOUHSC_00643",64,94,101,6,11,39
"SAOUHSC_00644",87,97,82,3,16,35
"SAOUHSC_00645",39,33,29,3,5,8
"SAOUHSC_00646",177,170,178,9,41,27
"SAOUHSC_00647",430,410,367,44,62,101
"SAOUHSC_00648",191,224,204,23,22,90
"SAOUHSC_00650",56,14,30,21,37,19
"SAOUHSC_00651",87,77,98,6,10,34
"SAOUHSC_00652",32,30,34,9,51,71
"SAOUHSC_00653",17,14,18,5,16,25
"SAOUHSC_00654",22,26,18,6,21,30
"SAOUHSC_00655",5,14,5,0,2,9
"SAOUHSC_00656",9,7,10,0,1,5
"SAOUHSC_00658",3,6,3,0,0,3
"SAOUHSC_00659",257,356,337,21,31,102
"SAOUHSC_00660",211,236,247,12,37,61
"SAOUHSC_00661",43,44,45,1,10,11
"SAOUHSC_00662",47,38,48,4,6,17
"SAOUHSC_00663",217,230,262,10,33,63
"SAOUHSC_00664",68,61,67,2,3,18
"SAOUHSC_00665",18,40,30,3,2,5
"SAOUHSC_00666",45,70,87,1,2,22
"SAOUHSC_00667",22,31,27,7,18,11
"SAOUHSC_00668",75,65,77,28,42,53
"SAOUHSC_00669",261,275,302,15,32,106
"SAOUHSC_00670",301,379,306,23,36,119
"SAOUHSC_00671",1593,1776,1786,132,396,465
"SAOUHSC_00672",34,46,37,1,4,15
"SAOUHSC_00673",52,53,53,3,18,15
"SAOUHSC_00674",52,70,83,7,4,29
"SAOUHSC_00675",123,156,161,12,15,58
"SAOUHSC_00676",44,83,64,4,12,24
"SAOUHSC_00677",0,0,1,0,0,1
"SAOUHSC_00678",100,81,98,4,8,46
"SAOUHSC_00679",80,125,122,24,30,47
"SAOUHSC_00680",3,5,1,0,0,2
"SAOUHSC_00681",58,84,53,5,14,20
"SAOUHSC_00682",38,31,37,2,6,12
"SAOUHSC_00683",22,50,40,0,2,5
"SAOUHSC_00684",2,1,1,1,0,0
"SAOUHSC_00685",88,107,114,6,13,40
"SAOUHSC_00686",118,142,137,7,27,38
"SAOUHSC_00687",19,38,50,2,4,20
"SAOUHSC_00688",46,47,48,6,3,21
"SAOUHSC_00689",15,31,31,1,2,15
"SAOUHSC_00690",141,250,202,21,20,62
"SAOUHSC_00691",148,180,181,10,10,26
"SAOUHSC_00692",18,23,35,2,3,12
"SAOUHSC_00693",34,42,35,2,3,14
"SAOUHSC_00694",689,855,896,38,48,259
"SAOUHSC_00695",45,39,50,2,13,25
"SAOUHSC_00696",101,101,114,4,16,63
"SAOUHSC_00697",19,34,31,4,6,14
"SAOUHSC_00698",28,39,34,5,4,18
"SAOUHSC_00699",48,55,58,5,7,27
"SAOUHSC_00700",38,38,35,5,2,14
"SAOUHSC_00701",52,42,49,1,7,9
"SAOUHSC_00702",62,62,62,6,9,30
"SAOUHSC_00703",60,68,76,1,22,15
"SAOUHSC_00704",218,124,149,16,91,29
"SAOUHSC_00705",11,8,9,1,0,3
"SAOUHSC_00706",265,193,254,0,12,16
"SAOUHSC_00707",163,168,183,0,3,4
"SAOUHSC_00708",501,643,565,4,25,32
"SAOUHSC_00710",65,67,66,7,6,38
"SAOUHSC_00711",327,380,384,30,70,116
"SAOUHSC_00712",63,58,65,6,10,21
"SAOUHSC_00713",82,81,80,7,14,38
"SAOUHSC_00714",319,397,348,10,19,82
"SAOUHSC_00715",175,220,226,3,5,42
"SAOUHSC_00716",112,161,174,3,6,15
"SAOUHSC_00717",135,109,153,0,11,17
"SAOUHSC_00718",78,88,73,7,13,24
"SAOUHSC_00719",15,31,31,2,0,6
"SAOUHSC_00720",10,8,11,0,0,1
"SAOUHSC_00721",19,20,20,0,0,2
"SAOUHSC_00722",5,3,6,0,1,3
"SAOUHSC_00723",11,11,16,0,2,10
"SAOUHSC_00724",6,18,14,0,2,6
"SAOUHSC_00725",8,12,19,0,3,6
"SAOUHSC_00726",24,46,49,1,8,14
"SAOUHSC_00727",62,65,86,7,7,28
"SAOUHSC_00728",976,1114,1171,66,103,377
"SAOUHSC_00729",76,86,106,11,28,43
"SAOUHSC_00730",82,83,99,12,16,42
"SAOUHSC_00731",101,101,84,2,16,22
"SAOUHSC_00732",152,151,173,5,34,41
"SAOUHSC_00733",14,9,19,1,6,5
"SAOUHSC_00734",34,46,35,5,13,14
"SAOUHSC_00735",5,5,8,0,1,1
"SAOUHSC_00736",54,71,81,8,10,27
"SAOUHSC_00737",0,0,0,0,0,0
"SAOUHSC_00738",694,745,819,41,36,145
"SAOUHSC_00739",23,26,30,2,6,9
"SAOUHSC_00740",47,71,61,5,7,18
"SAOUHSC_00741",98,96,109,24,38,62
"SAOUHSC_00742",502,594,605,153,288,419
"SAOUHSC_00743",466,519,523,145,237,374
"SAOUHSC_00744",1,0,0,0,0,0
"SAOUHSC_00745",0,0,0,0,0,0
"SAOUHSC_00746",1,2,4,5,17,58
"SAOUHSC_00747",2,2,7,3,4,22
"SAOUHSC_00748",1,1,1,6,9,21
"SAOUHSC_00749",18,20,23,26,19,59
"SAOUHSC_00751",39,67,53,3,6,22
"SAOUHSC_00752",156,176,175,16,17,57
"SAOUHSC_00753",31,35,46,3,2,9
"SAOUHSC_00754",48,47,59,3,9,15
"SAOUHSC_00755",67,114,86,1,6,19
"SAOUHSC_00756",139,144,139,8,24,49
"SAOUHSC_00757",186,290,265,22,15,86
"SAOUHSC_00758",8,11,18,1,1,9
"SAOUHSC_00759",20,37,33,0,2,15
"SAOUHSC_00760",121,139,144,13,7,53
"SAOUHSC_00762",72,76,97,6,9,17
"SAOUHSC_00763",29,30,33,2,2,10
"SAOUHSC_00764",74,77,90,10,8,44
"SAOUHSC_00765",4,3,1,0,0,4
"SAOUHSC_00766",0,1,2,0,0,1
"SAOUHSC_00767",197,238,251,19,23,78
"SAOUHSC_00769",333,402,402,26,72,139
"SAOUHSC_00770",2,2,1,0,1,1
"SAOUHSC_00771",55,60,39,6,8,19
"SAOUHSC_00772",1,1,0,0,1,1
"SAOUHSC_00773",19,19,10,3,2,2
"SAOUHSC_00774",36,39,38,2,7,12
"SAOUHSC_00775",11,6,4,0,1,2
"SAOUHSC_00776",60,69,50,74,75,104
"SAOUHSC_00778",0,0,0,4,3,7
"SAOUHSC_00779",88,79,80,70,85,186
"SAOUHSC_00780",175,221,242,199,228,442
"SAOUHSC_00781",105,97,101,6,2,34
"SAOUHSC_00782",45,51,36,10,4,21
"SAOUHSC_00783",25,23,22,2,1,8
"SAOUHSC_00784",75,99,104,8,13,27
"SAOUHSC_00785",107,117,102,8,16,26
"SAOUHSC_00786",15,19,22,1,2,12
"SAOUHSC_00787",47,48,58,1,6,16
"SAOUHSC_00788",60,79,78,4,14,26
"SAOUHSC_00789",103,92,114,6,33,40
"SAOUHSC_00790",172,248,250,12,33,64
"SAOUHSC_00792",71,66,68,3,6,31
"SAOUHSC_00793",121,124,128,12,28,44
"SAOUHSC_00794",1326,1711,1530,145,305,531
"SAOUHSC_00795",5415,7165,6836,564,582,2115
"SAOUHSC_00796",1852,2137,2169,222,181,794
"SAOUHSC_00797",1253,1439,1556,128,120,547
"SAOUHSC_00798",2339,2841,2886,276,189,1062
"SAOUHSC_00799",3294,4280,3967,334,274,1376
"SAOUHSC_00800",80,66,75,6,4,30
"SAOUHSC_00801",200,233,163,11,31,59
"SAOUHSC_00802",69,71,75,4,10,50
"SAOUHSC_00803",261,301,258,43,65,143
"SAOUHSC_00804",35,43,37,4,7,12
"SAOUHSC_00806",45,30,43,10,10,41
"SAOUHSC_00807",13,24,18,2,5,25
"SAOUHSC_00808",103,96,102,15,13,154
"SAOUHSC_00809",0,0,0,0,0,0
"SAOUHSC_00810",3,0,1,0,0,1
"SAOUHSC_00811",5,7,7,1,3,2
"SAOUHSC_00812",1076,1357,1308,183,463,611
"SAOUHSC_00816",11,15,7,1,2,4
"SAOUHSC_00817",3,11,8,0,0,1
"SAOUHSC_00818",3,1,4,0,0,3
"SAOUHSC_00819",759,693,733,156,178,333
"SAOUHSC_00820",8,21,15,1,7,1
"SAOUHSC_00821",11,13,20,1,3,2
"SAOUHSC_00822",6,9,12,1,1,0
"SAOUHSC_00823",14,16,13,1,2,5
"SAOUHSC_00824",9,15,18,0,0,11
"SAOUHSC_00825",60,54,58,1,9,15
"SAOUHSC_00826",35,35,27,0,2,4
"SAOUHSC_00827",13,11,22,2,3,2
"SAOUHSC_00828",19,9,21,0,0,2
"SAOUHSC_00830",105,141,126,5,10,51
"SAOUHSC_00831",19,28,26,0,7,13
"SAOUHSC_00832",22,27,16,1,2,8
"SAOUHSC_00833",32,39,45,12,43,81
"SAOUHSC_00834",62,83,59,2,5,15
"SAOUHSC_00835",127,98,104,2,7,24
"SAOUHSC_00836",309,336,293,16,26,124
"SAOUHSC_00837",0,0,1,0,1,0
"SAOUHSC_00838",88,87,111,6,4,78
"SAOUHSC_00839",20,15,8,0,2,11
"SAOUHSC_00840",27,27,21,3,0,20
"SAOUHSC_00841",10,20,20,0,4,6
"SAOUHSC_00842",16,16,16,2,1,1
"SAOUHSC_00843",6,7,7,1,2,1
"SAOUHSC_00844",17,13,29,1,5,4
"SAOUHSC_00845",505,573,593,65,195,131
"SAOUHSC_00846",129,142,148,5,15,15
"SAOUHSC_00847",482,573,545,37,40,76
"SAOUHSC_00848",567,727,683,27,61,78
"SAOUHSC_00849",432,603,510,26,41,68
"SAOUHSC_00850",156,189,172,5,14,29
"SAOUHSC_00851",582,755,753,47,106,102
"SAOUHSC_00852",0,0,1,0,0,2
"SAOUHSC_00853",3,0,4,0,2,0
"SAOUHSC_00854",16,27,19,0,4,12
"SAOUHSC_00855",12,24,12,2,7,0
"SAOUHSC_00857",0,1,0,0,0,0
"SAOUHSC_00858",97,112,99,10,12,32
"SAOUHSC_00859",48,49,65,3,12,23
"SAOUHSC_00860",124,125,143,6,16,52
"SAOUHSC_00861",378,445,436,40,53,137
"SAOUHSC_00862",82,77,93,5,5,38
"SAOUHSC_00863",21,33,29,2,3,3
"SAOUHSC_00864",84,113,125,5,10,43
"SAOUHSC_00865",101,155,132,11,10,58
"SAOUHSC_00866",153,190,187,17,22,77
"SAOUHSC_00867",3,0,0,0,1,0
"SAOUHSC_00868",9,11,15,4,4,8
"SAOUHSC_00869",225,272,268,35,146,160
"SAOUHSC_00870",171,199,196,40,81,118
"SAOUHSC_00871",17,22,23,5,3,8
"SAOUHSC_00872",229,303,273,52,75,165
"SAOUHSC_00873",138,104,120,10,9,55
"SAOUHSC_00874",51,33,42,4,7,18
"SAOUHSC_00875",145,202,159,17,21,90
"SAOUHSC_00876",15,25,13,2,3,4
"SAOUHSC_00877",23,25,21,0,2,11
"SAOUHSC_00878",992,1270,1211,108,119,414
"SAOUHSC_00879",128,118,112,8,19,98
"SAOUHSC_00880",15,24,21,26,4,63
"SAOUHSC_00881",25,20,22,4,1,27
"SAOUHSC_00882",3,3,6,0,0,3
"SAOUHSC_00883",81,73,112,5,11,18
"SAOUHSC_00884",8,16,26,2,0,1
"SAOUHSC_00885",107,135,134,8,7,17
"SAOUHSC_00886",332,426,450,20,21,58
"SAOUHSC_00887",42,75,73,4,4,11
"SAOUHSC_00888",54,75,80,4,8,7
"SAOUHSC_00889",752,961,861,32,80,146
"SAOUHSC_00890",40,35,32,3,1,13
"SAOUHSC_00891",264,304,283,14,21,76
"SAOUHSC_00892",66,55,99,3,8,31
"SAOUHSC_00893",20,21,33,0,2,8
"SAOUHSC_00894",137,137,156,22,27,101
"SAOUHSC_00895",267,275,282,32,41,154
"SAOUHSC_00896",10,9,11,1,1,11
"SAOUHSC_00897",21,28,28,6,5,17
"SAOUHSC_00898",899,1025,974,6,2,38
"SAOUHSC_00899",695,693,690,5,2,33
"SAOUHSC_00900",463,518,544,40,47,168
"SAOUHSC_00901",155,131,155,5,22,43
"SAOUHSC_00902",77,109,118,3,14,28
"SAOUHSC_00903",72,128,106,10,19,26
"SAOUHSC_00904",192,202,189,13,27,70
"SAOUHSC_00905",234,276,231,12,30,92
"SAOUHSC_00906",311,374,371,30,35,115
"SAOUHSC_00907",43,40,49,2,6,14
"SAOUHSC_00908",268,314,296,15,34,62
"SAOUHSC_00909",175,199,179,11,18,42
"SAOUHSC_00910",163,169,179,11,22,45
"SAOUHSC_00911",13,12,8,0,2,6
"SAOUHSC_00912",28,40,34,12,21,10
"SAOUHSC_00913",0,2,3,0,0,0
"SAOUHSC_00914",0,2,1,0,0,0
"SAOUHSC_00915",1,1,1,0,1,1
"SAOUHSC_00916",5,5,7,0,0,0
"SAOUHSC_00917",4,12,3,23,4,29
"SAOUHSC_00919",140,154,149,8,10,37
"SAOUHSC_00920",461,454,441,25,64,112
"SAOUHSC_00921",654,738,675,40,90,137
"SAOUHSC_00922",13,7,8,1,2,5
"SAOUHSC_00923",31,20,22,1,10,7
"SAOUHSC_00924",20,14,19,0,6,0
"SAOUHSC_00925",47,24,34,11,23,7
"SAOUHSC_00926",43,37,32,0,12,10
"SAOUHSC_00927",95,118,104,7,27,17
"SAOUHSC_00928",1,2,3,0,0,1
"SAOUHSC_00929",0,0,1,0,0,0
"SAOUHSC_00930",5,8,2,0,0,0
"SAOUHSC_00931",8,7,5,0,0,5
"SAOUHSC_00932",5,5,6,0,1,1
"SAOUHSC_00933",242,206,227,7,17,69
"SAOUHSC_00934",3299,3726,3716,357,330,1072
"SAOUHSC_00935",133,173,161,17,32,59
"SAOUHSC_00936",1,1,1,0,0,1
"SAOUHSC_00937",353,465,412,18,42,122
"SAOUHSC_00938",93,118,122,5,16,41
"SAOUHSC_00939",36,60,56,8,7,16
"SAOUHSC_00940",36,36,44,3,2,27
"SAOUHSC_00941",51,53,59,4,4,24
"SAOUHSC_00942",75,83,73,8,12,40
"SAOUHSC_00943",128,138,180,16,13,65
"SAOUHSC_00944",42,28,41,3,4,13
"SAOUHSC_00945",67,94,74,4,14,30
"SAOUHSC_00946",210,223,229,12,39,77
"SAOUHSC_00947",380,470,464,22,42,137
"SAOUHSC_00948",286,269,319,17,17,95
"SAOUHSC_00949",24,18,12,1,3,2
"SAOUHSC_00950",18,19,12,1,4,5
"SAOUHSC_00951",206,201,208,28,12,164
"SAOUHSC_00952",114,159,176,8,29,40
"SAOUHSC_00953",189,247,207,32,45,56
"SAOUHSC_00954",102,107,122,9,20,39
"SAOUHSC_00955",9,8,17,0,1,8
"SAOUHSC_00956",225,256,237,14,32,61
"SAOUHSC_00957",84,127,105,12,21,19
"SAOUHSC_00958",131,136,148,9,19,54
"SAOUHSC_00959",108,104,118,16,23,57
"SAOUHSC_00960",69,104,91,10,13,43
"SAOUHSC_00961",3,4,4,0,1,6
"SAOUHSC_00962",30,19,18,6,1,9
"SAOUHSC_00963",20,25,16,0,1,8
"SAOUHSC_00964",57,70,81,13,7,25
"SAOUHSC_00965",232,227,250,10,48,78
"SAOUHSC_00966",132,94,114,19,17,59
"SAOUHSC_00967",1,0,1,1,0,0
"SAOUHSC_00968",2,5,1,0,1,2
"SAOUHSC_00969",0,0,0,0,0,0
"SAOUHSC_00970",4,3,1,0,1,0
"SAOUHSC_00971",63,75,55,3,4,2
"SAOUHSC_00972",29,17,28,1,2,13
"SAOUHSC_00973",213,210,243,16,18,101
"SAOUHSC_00975",225,188,168,1,10,12
"SAOUHSC_00976",7,7,6,0,1,9
"SAOUHSC_00977",12,19,6,1,1,3
"SAOUHSC_00978",24,21,32,0,3,10
"SAOUHSC_00979",12,13,18,6,1,10
"SAOUHSC_00980",130,123,128,7,9,38
"SAOUHSC_00981",5,8,3,0,1,2
"SAOUHSC_00982",40,52,61,5,11,23
"SAOUHSC_00983",72,82,81,4,8,29
"SAOUHSC_00984",31,35,27,3,10,15
"SAOUHSC_00985",190,263,264,28,22,83
"SAOUHSC_00986",4,9,3,0,1,3
"SAOUHSC_00987",16,24,23,3,1,25
"SAOUHSC_00988",15,21,26,2,2,15
"SAOUHSC_00989",54,69,65,2,5,14
"SAOUHSC_00991",28,19,26,0,5,7
"SAOUHSC_00992",10,16,9,1,3,7
"SAOUHSC_00993",0,0,0,1,0,0
"SAOUHSC_00994",3464,3942,3714,315,787,1233
"SAOUHSC_00995",43,21,22,3,3,9
"SAOUHSC_00996",105,104,109,15,17,42
"SAOUHSC_00997",223,308,303,12,38,99
"SAOUHSC_00998",127,140,133,10,20,71
"SAOUHSC_00999",364,384,415,31,12,133
"SAOUHSC_01000",596,862,786,68,24,216
"SAOUHSC_01001",2925,3417,3428,284,176,1191
"SAOUHSC_01002",1989,2149,2041,199,84,814
"SAOUHSC_01003",1,0,0,0,0,0
"SAOUHSC_01005",90,91,84,7,9,40
"SAOUHSC_01007",141,154,146,12,16,89
"SAOUHSC_01008",14,15,7,0,0,5
"SAOUHSC_01009",30,35,33,1,1,16
"SAOUHSC_01010",13,12,13,1,2,5
"SAOUHSC_01011",4,3,4,3,0,0
"SAOUHSC_01012",8,8,11,1,0,3
"SAOUHSC_01013",51,46,55,5,5,28
"SAOUHSC_01014",42,45,33,7,8,23
"SAOUHSC_01015",40,46,25,8,5,18
"SAOUHSC_01016",20,21,14,3,2,9
"SAOUHSC_01017",49,38,51,6,5,25
"SAOUHSC_01018",60,56,56,8,1,30
"SAOUHSC_01019",15,30,28,1,2,3
"SAOUHSC_01021",39,55,59,1,2,23
"SAOUHSC_01022",29,26,21,1,0,3
"SAOUHSC_01023",0,1,1,0,0,0
"SAOUHSC_01024",42,65,59,10,25,17
"SAOUHSC_01025",352,401,382,40,35,198
"SAOUHSC_01026",81,61,77,12,7,17
"SAOUHSC_01027",91,100,83,8,18,20
"SAOUHSC_01028",468,477,480,56,39,174
"SAOUHSC_01029",1851,2747,2554,297,321,893
"SAOUHSC_01030",17,21,22,0,3,5
"SAOUHSC_01031",77,103,124,14,46,37
"SAOUHSC_01032",53,83,68,10,27,13
"SAOUHSC_01034",52,53,44,6,24,21
"SAOUHSC_01035",629,735,816,54,164,286
"SAOUHSC_01036",26,37,29,2,8,14
"SAOUHSC_01037",16,19,13,2,3,6
"SAOUHSC_01038",42,47,53,4,7,16
"SAOUHSC_01039",234,220,221,8,53,55
"SAOUHSC_01040",1731,2207,2010,235,209,811
"SAOUHSC_01041",994,1189,1165,123,141,412
"SAOUHSC_01042",1586,1772,1711,221,157,605
"SAOUHSC_01043",2112,2394,2565,256,226,961
"SAOUHSC_01044",23,18,20,1,3,7
"SAOUHSC_01045",33,21,32,1,2,11
"SAOUHSC_01046",28,37,39,3,5,19
"SAOUHSC_01047",10,18,25,1,3,7
"SAOUHSC_01048",27,31,33,0,0,9
"SAOUHSC_01049",48,51,54,4,8,15
"SAOUHSC_01050",510,553,542,22,86,131
"SAOUHSC_01051",106,118,93,8,28,30
"SAOUHSC_01053",37,46,50,5,9,19
"SAOUHSC_01054",124,141,133,5,17,42
"SAOUHSC_01055",157,123,148,16,9,60
"SAOUHSC_01055a",65,55,77,2,7,20
"SAOUHSC_01058",1000,1118,1144,63,105,340
"SAOUHSC_01060",60,57,65,7,6,19
"SAOUHSC_01061",95,115,129,4,16,39
"SAOUHSC_01062",112,82,82,7,12,35
"SAOUHSC_01063",174,190,221,11,46,42
"SAOUHSC_01064",312,408,384,13,73,177
"SAOUHSC_01065",408,526,436,41,38,203
"SAOUHSC_01066",513,520,540,24,35,166
"SAOUHSC_01067",253,276,276,17,15,87
"SAOUHSC_01068",2,2,6,0,0,0
"SAOUHSC_01069",131,159,180,7,21,48
"SAOUHSC_01070",53,55,58,4,9,26
"SAOUHSC_01071",27,39,33,3,12,6
"SAOUHSC_01072",30,34,28,1,6,17
"SAOUHSC_01073",30,41,32,2,5,20
"SAOUHSC_01074",37,46,32,0,4,15
"SAOUHSC_01075",41,43,47,2,3,19
"SAOUHSC_01076",77,97,100,9,11,29
"SAOUHSC_01077",751,1033,960,72,98,302
"SAOUHSC_01078",212,259,276,21,24,84
"SAOUHSC_01079",3,5,8,1,3,4
"SAOUHSC_01081",11,8,7,4,19,44
"SAOUHSC_01082",5,0,3,2,1,10
"SAOUHSC_01084",1,5,1,0,4,6
"SAOUHSC_01085",2,2,4,3,5,6
"SAOUHSC_01086",1,1,0,1,2,4
"SAOUHSC_01087",0,1,1,0,0,0
"SAOUHSC_01088",3,0,2,0,3,2
"SAOUHSC_01089",0,1,2,0,1,3
"SAOUHSC_01090",0,0,0,0,0,0
"SAOUHSC_01091",58,61,58,2,3,22
"SAOUHSC_01092",69,89,82,4,7,18
"SAOUHSC_01093",165,224,188,10,6,43
"SAOUHSC_01095",26,24,28,1,2,10
"SAOUHSC_01096",34,38,44,3,6,15
"SAOUHSC_01097",97,85,79,11,8,42
"SAOUHSC_01098",138,115,106,6,22,51
"SAOUHSC_01099",193,174,195,12,49,71
"SAOUHSC_01100",282,310,299,16,19,88
"SAOUHSC_01101",0,0,1,0,1,0
"SAOUHSC_01102",27,44,52,3,6,26
"SAOUHSC_01103",70,93,94,13,3,20
"SAOUHSC_01104",249,287,244,27,2,64
"SAOUHSC_01105",189,191,207,13,13,49
"SAOUHSC_01106",113,142,124,4,18,32
"SAOUHSC_01107",45,81,68,3,8,13
"SAOUHSC_01108",68,80,89,4,9,22
"SAOUHSC_01109",0,3,1,0,2,0
"SAOUHSC_01110",224,204,234,2,8,16
"SAOUHSC_01111",0,0,0,0,0,0
"SAOUHSC_01112",22,27,27,5,9,5
"SAOUHSC_01113",11,14,12,1,1,3
"SAOUHSC_01114",138,158,158,1,6,12
"SAOUHSC_01115",58,60,72,1,3,7
"SAOUHSC_01118",16,12,8,0,3,6
"SAOUHSC_01119",20,34,27,1,3,9
"SAOUHSC_01120",55,62,57,1,8,34
"SAOUHSC_01121",24,31,26,0,0,13
"SAOUHSC_01122",0,0,0,0,0,0
"SAOUHSC_01123",11,14,17,2,5,11
"SAOUHSC_01124",4,10,4,1,0,3
"SAOUHSC_01125",4,2,2,0,0,1
"SAOUHSC_01127",3,6,4,2,0,2
"SAOUHSC_01128",5,1,1,1,0,20
"SAOUHSC_01129",4,1,6,2,0,18
"SAOUHSC_01130",13,20,17,2,4,8
"SAOUHSC_01131",77,68,87,6,6,34
"SAOUHSC_01133",104,91,119,10,7,36
"SAOUHSC_01134",11,14,10,0,2,5
"SAOUHSC_01135",748,409,459,2,4,40
"SAOUHSC_01136",328,129,180,0,1,23
"SAOUHSC_01137",76,52,63,1,14,14
"SAOUHSC_01138",97,111,123,9,25,46
"SAOUHSC_01139",10,12,12,2,0,3
"SAOUHSC_01141",27,42,43,3,2,14
"SAOUHSC_01142",499,520,592,43,76,226
"SAOUHSC_01143",429,591,627,49,81,199
"SAOUHSC_01144",76,110,105,6,16,26
"SAOUHSC_01145",315,353,424,30,79,98
"SAOUHSC_01146",79,95,83,7,19,25
"SAOUHSC_01147",134,165,167,12,27,43
"SAOUHSC_01148",242,290,296,17,40,103
"SAOUHSC_01149",1001,1065,1219,80,121,351
"SAOUHSC_01150",1270,1414,1316,104,175,378
"SAOUHSC_01152",26,39,24,0,6,15
"SAOUHSC_01153",222,219,277,15,50,98
"SAOUHSC_01154",208,251,283,31,27,86
"SAOUHSC_01155",142,103,122,17,21,31
"SAOUHSC_01156",134,178,211,11,19,57
"SAOUHSC_01158",428,522,525,29,65,199
"SAOUHSC_01159",436,533,490,38,45,119
"SAOUHSC_01160",58,41,40,3,4,17
"SAOUHSC_01162",54,45,52,4,8,21
"SAOUHSC_01163",132,149,138,13,9,52
"SAOUHSC_01164",364,409,417,29,51,335
"SAOUHSC_01165",387,483,435,42,67,340
"SAOUHSC_01166",309,322,342,35,44,226
"SAOUHSC_01168",465,442,483,47,56,277
"SAOUHSC_01169",372,337,422,47,31,242
"SAOUHSC_01170",1158,1308,1280,112,76,691
"SAOUHSC_01171",204,202,208,20,6,136
"SAOUHSC_01172",112,160,138,16,9,82
"SAOUHSC_01173",81,84,87,7,1,38
"SAOUHSC_01174",84,94,100,6,4,27
"SAOUHSC_01175",132,163,162,11,19,46
"SAOUHSC_01176",253,278,238,7,28,74
"SAOUHSC_01177",69,70,85,5,9,18
"SAOUHSC_01178",79,82,91,11,10,26
"SAOUHSC_01179",188,205,217,16,50,72
"SAOUHSC_01180",76,96,111,19,16,103
"SAOUHSC_01181",197,216,196,18,45,71
"SAOUHSC_01182",40,51,48,4,8,18
"SAOUHSC_01183",94,105,99,12,20,33
"SAOUHSC_01184",138,154,162,11,29,60
"SAOUHSC_01185",146,168,188,15,23,76
"SAOUHSC_01186",69,92,88,6,17,33
"SAOUHSC_01187",343,333,359,33,57,124
"SAOUHSC_01188",137,164,152,12,16,56
"SAOUHSC_01189",76,103,93,9,18,24
"SAOUHSC_01190",102,112,140,10,16,40
"SAOUHSC_01191",1645,1736,1741,185,116,817
"SAOUHSC_01192",100,106,125,7,14,40
"SAOUHSC_01193",344,469,468,20,52,151
"SAOUHSC_01194",107,134,135,12,20,53
"SAOUHSC_01196",121,153,186,8,23,70
"SAOUHSC_01197",152,200,180,21,24,67
"SAOUHSC_01198",171,215,191,16,26,55
"SAOUHSC_01199",172,187,177,17,18,57
"SAOUHSC_01200",10,17,14,2,0,2
"SAOUHSC_01201",548,663,562,42,22,180
"SAOUHSC_01203",57,39,45,2,7,20
"SAOUHSC_01204",248,262,310,19,30,104
"SAOUHSC_01205",99,65,95,6,10,20
"SAOUHSC_01206",38,25,32,1,6,4
"SAOUHSC_01207",325,275,296,17,52,99
"SAOUHSC_01208",363,482,398,37,20,128
"SAOUHSC_01209",45,50,41,5,3,10
"SAOUHSC_01210",63,64,62,6,6,15
"SAOUHSC_01211",977,1163,1207,114,83,555
"SAOUHSC_01213",58,48,59,0,3,28
"SAOUHSC_01214",44,46,45,0,4,20
"SAOUHSC_01215",39,42,34,5,5,11
"SAOUHSC_01216",262,303,257,33,46,228
"SAOUHSC_01218",234,291,240,24,28,152
"SAOUHSC_01219",5,8,10,2,2,1
"SAOUHSC_01220",11,13,17,2,0,5
"SAOUHSC_01221",3,1,4,1,2,3
"SAOUHSC_01222",416,470,448,15,69,124
"SAOUHSC_01223",302,315,291,14,35,79
"SAOUHSC_01224",110,102,152,9,21,41
"SAOUHSC_01225",67,83,68,3,10,28
"SAOUHSC_01226",246,281,305,24,54,83
"SAOUHSC_01228",140,174,166,14,25,54
"SAOUHSC_01230",1,6,1,0,0,2
"SAOUHSC_01233",72,59,62,2,8,22
"SAOUHSC_01234",717,808,810,57,109,290
"SAOUHSC_01235",163,195,191,12,26,78
"SAOUHSC_01236",248,239,252,20,20,108
"SAOUHSC_01237",92,125,102,7,12,38
"SAOUHSC_01238",104,119,127,21,39,47
"SAOUHSC_01239",199,247,212,48,34,108
"SAOUHSC_01240",340,354,403,39,40,97
"SAOUHSC_01241",355,453,419,51,76,118
"SAOUHSC_01242",79,101,95,12,18,31
