"gene_id","N_A","N_B","N_C","N0A","N0B","N0C","N2A","N2B","N2C","N5A","N5B","N5C","N10A","N10B","N10C","N20A","N20B","N20C","N30A","N30B","N30C"
"gene-NWMN_RS04735",655,368,430,442,336,327,460,285,329,369,218,263,190,546,94,121,135,77,127,96,35
"gene-NWMN_RS04740",670,1058,1182,801,1568,868,852,951,854,606,798,466,244,660,184,245,266,201,192,209,91
"gene-NWMN_RS04745",256,378,398,294,530,290,310,328,299,198,220,131,95,189,51,81,72,43,74,81,18
"gene-NWMN_RS04750",2022,1678,1385,1851,1679,1131,1531,1047,1138,1019,836,660,484,649,283,367,289,260,288,250,107
"gene-NWMN_RS04755",115,61,60,76,58,49,68,53,55,30,34,24,22,55,11,28,18,12,36,15,9
"gene-NWMN_RS04760",252,248,559,346,379,421,402,292,331,352,285,412,284,444,270,371,267,372,383,253,299
"gene-NWMN_RS04765",13,6,13,8,6,5,10,6,9,6,5,2,4,10,1,2,8,0,4,3,2
"gene-NWMN_RS04770",9,1,6,3,2,4,5,2,7,5,1,3,2,9,1,9,5,2,0,1,2
"gene-NWMN_RS04775",6,4,3,5,6,3,5,3,4,5,1,1,3,2,0,2,3,0,1,1,1
"gene-NWMN_RS04780",35,26,29,15,19,11,28,25,18,8,8,5,8,23,5,7,4,3,6,8,2
"gene-NWMN_RS04785",74,69,60,66,83,41,73,60,54,29,27,33,13,38,11,21,17,8,14,19,4
"gene-NWMN_RS04790",142,94,116,104,115,74,138,68,88,64,51,42,34,85,21,49,48,33,34,28,14
"gene-NWMN_RS04795",991,808,627,737,693,439,956,528,543,623,496,314,372,602,187,311,256,167,205,146,71
"gene-NWMN_RS04800",1597,1003,1776,1851,1789,1144,1620,1191,1010,907,948,547,419,587,229,439,358,247,429,463,137
"gene-NWMN_RS04805",3413,2432,4612,4867,4079,2928,3726,2750,2576,2766,2823,1683,1244,1539,885,1269,1184,871,1207,1133,505
"gene-NWMN_RS04810",58,30,21,31,45,24,74,33,25,27,12,15,10,24,6,12,12,1,9,7,0
"gene-NWMN_RS04815",81,133,44,66,174,65,62,90,58,86,58,84,42,120,28,20,34,27,14,13,12
"gene-NWMN_RS04820",64,137,71,67,205,91,61,109,62,80,115,73,48,93,18,25,41,18,16,21,10
"gene-NWMN_RS04825",40,89,109,63,181,93,67,102,84,110,115,77,42,89,37,29,41,21,20,29,8
"gene-NWMN_RS04830",32,56,63,51,145,96,62,92,48,64,78,65,51,68,26,22,36,17,18,20,8
"gene-NWMN_RS04835",99,173,148,105,315,187,118,251,127,114,161,135,97,156,74,68,79,55,40,62,41
"gene-NWMN_RS04840",5,3,3,3,1,2,2,3,7,1,1,4,3,2,4,2,3,2,2,4,1
"gene-NWMN_RS04845",2,1,5,4,3,2,1,1,5,3,3,2,2,3,0,2,1,0,3,0,1
"gene-NWMN_RS04850",4,1,5,5,5,7,3,3,1,2,0,7,4,4,0,2,1,1,1,6,0
"gene-NWMN_RS04855",12,2,6,5,4,14,6,2,4,2,1,4,1,10,2,4,1,0,2,2,0
"gene-NWMN_RS04860",32,19,21,19,18,24,24,10,16,12,14,11,12,30,4,15,6,10,6,7,8
"gene-NWMN_RS04865",908,542,777,845,772,576,986,609,726,630,606,383,292,657,185,240,201,145,213,187,89
"gene-NWMN_RS04870",7264,7353,4894,4499,5900,3429,4441,3284,4056,3085,2516,3002,1878,3264,1673,2369,1427,2416,2119,1330,1019
"gene-NWMN_RS04875",2972,2259,1903,2255,2264,1421,1630,1131,1468,856,642,719,482,976,451,720,469,471,560,486,255
"gene-NWMN_RS04880",6,13,15,10,13,10,12,14,4,6,4,8,4,6,2,5,0,5,7,2,0
"gene-NWMN_RS04885",1421,1025,2012,1720,1911,1335,1850,1355,1219,998,1189,729,503,624,269,438,408,271,395,449,150
"gene-NWMN_RS04890",430,426,322,311,450,247,365,288,254,199,180,160,159,400,92,158,156,71,109,103,46
"gene-NWMN_RS04895",213,230,199,198,234,143,172,116,144,119,97,101,90,196,36,84,63,31,78,66,20
"gene-NWMN_RS04900",157,98,127,133,149,99,138,79,105,110,59,69,60,122,32,46,34,16,32,36,13
"gene-NWMN_RS04905",83,59,173,98,117,115,144,111,111,106,81,70,71,92,46,57,47,29,55,44,18
"gene-NWMN_RS04910",143,131,345,246,285,295,283,227,253,209,252,169,128,271,107,139,109,79,115,103,60
"gene-NWMN_RS04915",398,396,648,482,548,454,513,398,466,451,456,307,258,419,197,210,233,139,177,174,90
"gene-NWMN_RS04920",123,108,172,120,160,149,146,137,133,97,132,74,56,105,43,50,57,36,64,47,20
"gene-NWMN_RS04925",349,284,477,391,457,345,392,334,390,298,322,233,150,313,129,157,148,90,178,124,71
"gene-NWMN_RS04930",892,790,766,701,825,579,825,644,678,502,546,347,237,530,177,295,235,184,284,178,101
"gene-NWMN_RS04935",2633,2457,1709,2113,2286,1275,1977,1581,1502,1125,1203,701,505,1003,325,524,377,306,448,359,163
"gene-NWMN_RS04940",1321,1046,801,933,1250,678,1247,974,851,805,821,446,408,788,190,298,232,173,247,188,74
"gene-NWMN_RS04945",87,143,58,84,127,61,74,88,68,92,55,84,37,85,24,30,26,15,35,19,10
"gene-NWMN_RS04950",98,97,92,78,84,58,85,62,86,63,54,53,30,71,23,64,36,28,67,31,12
"gene-NWMN_RS04955",1625,1342,997,1275,1356,660,1348,941,939,1037,947,647,627,1537,346,522,587,390,339,291,185
"gene-NWMN_RS04960",1091,1029,624,715,1035,552,662,652,519,356,362,243,179,476,98,210,160,111,200,160,72
"gene-NWMN_RS04965",1015,1124,744,773,1055,585,609,608,548,441,419,244,230,484,126,245,210,103,202,207,64
"gene-NWMN_RS04970",471,386,825,715,795,663,690,613,661,514,664,320,218,348,160,279,188,141,298,216,103
"gene-NWMN_RS04975",59,46,107,79,128,88,110,102,87,53,83,60,17,45,28,42,23,21,43,33,14
"gene-NWMN_RS04980",795,688,1318,1123,1385,1009,1301,1053,993,722,1007,632,291,526,263,351,250,284,401,298,191
"gene-NWMN_RS04985",1041,1253,1057,923,1167,848,935,636,961,649,674,478,305,733,215,324,214,265,324,181,165
"gene-NWMN_RS04990",297,180,537,445,414,429,532,389,412,344,408,164,172,283,82,163,144,76,141,131,47
"gene-NWMN_RS04995",807,600,672,602,682,484,705,549,592,436,477,286,223,521,164,274,174,156,234,167,96
"gene-NWMN_RS05000",319,248,308,270,294,235,340,216,238,217,174,146,132,281,86,107,83,71,59,75,33
"gene-NWMN_RS05005",78,88,75,98,63,78,118,46,83,83,43,40,30,40,26,27,23,27,26,9,30
"gene-NWMN_RS05010",7,18,12,11,12,9,6,11,6,7,8,4,12,3,0,1,1,1,2,2,2
"gene-NWMN_RS05015",42,26,17,23,23,15,38,11,18,16,9,9,14,15,12,31,6,9,41,13,8
"gene-NWMN_RS05020",87,118,62,49,48,34,41,22,45,56,25,67,39,60,66,52,39,73,40,23,38
"gene-NWMN_RS05025",521,418,379,393,517,274,442,294,312,199,155,170,108,235,64,140,99,82,100,101,44
"gene-NWMN_RS05030",753,514,376,538,544,269,405,266,311,209,180,122,98,137,60,142,70,72,100,80,25
"gene-NWMN_RS05035",3216,1714,1428,1626,1872,1032,2554,1226,1275,749,659,565,415,817,261,477,303,288,338,333,110
"gene-NWMN_RS05040",705,960,418,461,1003,450,1239,1002,518,512,542,414,382,1357,347,471,553,501,427,536,356
"gene-NWMN_RS05045",0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"gene-NWMN_RS15260",2,3,3,4,5,3,2,3,1,2,4,2,2,5,1,1,0,1,2,1,0
"gene-NWMN_RS05050",18,9,6,16,6,12,12,9,10,12,9,5,7,16,6,11,7,8,7,2,4
"gene-NWMN_RS05055",3,3,1,3,3,0,0,2,1,1,0,1,1,3,4,2,2,2,3,3,0
"gene-NWMN_RS05060",26,23,21,21,15,13,18,8,12,11,6,18,16,11,4,5,4,6,21,6,7
"gene-NWMN_RS15265",211,121,159,167,144,114,404,128,125,250,134,52,132,215,32,104,68,44,100,55,14
"gene-NWMN_RS05070",57,33,54,34,50,33,88,59,63,41,40,35,19,60,14,21,17,19,14,7,5
"gene-NWMN_RS05075",537,354,497,446,576,401,891,531,500,431,468,257,215,576,132,174,156,109,175,149,70
"gene-NWMN_RS05080",706,377,448,602,412,291,739,328,322,443,381,130,149,257,44,146,84,47,151,91,19
"gene-NWMN_RS05085",35,25,55,47,34,39,51,38,37,34,29,25,19,18,12,23,14,16,40,20,12
"gene-NWMN_RS05090",111,132,73,79,112,57,81,58,57,63,42,68,48,130,29,39,40,26,30,22,10
"gene-NWMN_RS05095",104,68,38,41,72,29,47,58,28,24,24,28,17,37,7,18,12,13,11,13,8
"gene-NWMN_RS05100",49,47,130,73,91,92,80,67,67,52,37,45,38,37,22,29,39,19,26,29,11
"gene-NWMN_RS05105",1195,669,791,886,869,641,990,702,826,627,543,392,290,556,192,260,188,153,254,174,84
"gene-NWMN_RS05110",282,276,409,342,478,342,376,292,298,249,286,172,179,350,103,133,152,84,115,114,50
"gene-NWMN_RS05115",481,456,790,555,791,664,664,588,623,423,558,475,256,670,188,266,239,183,268,208,131
"gene-NWMN_RS05120",239,218,380,275,408,338,338,323,304,226,247,226,154,317,97,139,119,88,116,119,70
"gene-NWMN_RS05125",2865,3609,3547,3788,3878,2759,3068,2623,2751,2996,2822,2117,1484,2490,1023,1103,1148,772,962,837,527
"gene-NWMN_RS05130",8,1,7,9,17,14,19,12,6,16,9,10,9,8,8,8,6,9,16,4,5
"gene-NWMN_RS05135",46,9,54,48,33,29,56,17,29,38,42,18,26,31,14,24,18,20,35,28,15
"gene-NWMN_RS05140",32,5,38,24,21,17,43,16,30,31,26,24,22,14,10,30,12,9,35,14,9
"gene-NWMN_RS05145",369,269,224,248,295,178,241,202,181,167,151,107,70,138,48,78,53,55,80,62,24
"gene-NWMN_RS05150",591,244,225,295,252,189,318,198,233,105,85,85,69,157,38,120,58,44,79,78,29
"gene-NWMN_RS05155",66,38,51,34,36,20,34,22,20,26,14,19,19,24,10,45,21,13,30,14,8
"gene-NWMN_RS05160",3,1,2,4,3,0,2,5,2,4,3,1,0,3,0,6,2,1,3,0,1
"gene-NWMN_RS05165",696,718,1074,813,1043,1194,812,977,1242,739,851,918,428,833,511,574,349,522,793,402,362
"gene-NWMN_RS05170",24,13,32,34,43,18,35,25,29,15,31,18,9,23,6,12,7,5,17,7,9
"gene-NWMN_RS05175",595,489,528,488,642,376,446,415,348,260,251,173,145,299,91,156,126,108,150,121,54
