"gene_id","N_A","N_B","N_C","N0A","N0B","N0C","N2A","N2B","N2C","N5A","N5B","N5C","N10A","N10B","N10C","N20A","N20B","N20C","N30A","N30B","N30C"
"gene-NWMN_RS00005",1034,1309,1143,993,1772,969,1263,1280,882,776,817,507,386,854,257,356,368,244,383,267,158
"gene-NWMN_RS00010",1494,1538,1315,1181,1965,1079,1415,1492,1186,971,1098,649,517,1023,315,406,412,301,393,334,190
"gene-NWMN_RS00015",168,175,268,206,214,214,177,151,176,177,168,168,90,134,73,73,73,82,54,52,33
"gene-NWMN_RS00020",783,697,1360,933,1366,1128,882,971,1023,788,991,749,426,789,330,386,419,284,323,301,187
"gene-NWMN_RS00025",909,704,3186,1726,2444,2564,1722,1926,2018,1636,2184,1467,879,1310,797,740,993,756,748,668,484
"gene-NWMN_RS00030",2429,2351,6500,4511,5125,4916,3958,4147,4326,3813,5049,3362,1932,2407,1636,1492,1712,1371,1548,1267,871
"gene-NWMN_RS00035",1161,765,1196,1115,866,812,998,642,947,754,603,530,475,728,303,557,330,365,564,313,217
"gene-NWMN_RS00040",64,37,112,93,54,64,89,55,62,58,58,80,36,58,53,44,29,66,69,21,33
"gene-NWMN_RS00045",1433,1317,1463,1444,1670,1322,1699,952,1459,1456,1255,1454,1099,1831,668,615,676,427,360,363,213
"gene-NWMN_RS00050",86,83,74,53,86,64,45,44,51,50,44,38,23,46,18,28,19,12,22,10,10
"gene-NWMN_RS00055",40,28,26,24,43,27,23,21,30,23,24,18,11,20,8,7,9,7,10,6,1
"gene-NWMN_RS00060",87,87,75,82,79,63,58,68,67,75,56,46,54,72,37,45,32,28,46,26,22
"gene-NWMN_RS00065",919,738,754,705,830,591,694,541,605,504,455,307,250,424,136,268,197,130,259,197,87
"gene-NWMN_RS00070",1842,1692,2880,2431,2632,2426,2229,2085,2129,1719,2085,1307,863,1214,700,828,823,689,930,721,445
"gene-NWMN_RS00075",325,215,664,444,624,530,610,506,493,356,474,340,175,295,156,194,206,171,229,158,101
"gene-NWMN_RS00080",942,793,2089,1590,1864,1603,1468,1513,1404,1125,1492,979,571,752,503,518,485,430,590,429,291
"gene-NWMN_RS00085",263,242,564,422,434,460,360,362,386,605,457,235,373,541,164,285,380,155,251,223,100
"gene-NWMN_RS00090",3,2,0,1,1,5,3,0,1,2,3,1,4,0,2,0,2,2,0,2,3
"gene-NWMN_RS00095",53,49,98,83,36,60,83,27,58,87,30,20,34,21,21,18,12,17,17,8,24
"gene-NWMN_RS00100",336,301,576,428,506,478,413,344,387,414,444,317,248,335,164,198,223,143,172,148,80
"gene-NWMN_RS00105",436,417,1193,803,1050,963,840,846,790,747,960,675,453,583,376,387,469,281,349,297,187
"gene-NWMN_RS00110",435,378,1134,727,944,872,684,732,722,688,813,532,341,453,271,337,349,267,354,281,160
"gene-NWMN_RS00115",505,416,823,635,741,574,653,533,488,464,566,366,189,316,170,224,198,197,256,194,116
"gene-NWMN_RS00120",701,704,427,590,653,362,409,343,386,293,291,170,126,267,85,95,83,63,119,87,39
"gene-NWMN_RS00125",164,124,629,283,247,406,370,307,366,479,552,301,255,376,156,204,278,117,225,230,90
"gene-NWMN_RS00130",31,41,69,52,75,78,65,46,75,64,107,75,50,84,52,40,43,25,30,26,19
"gene-NWMN_RS00135",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"gene-NWMN_RS00140",18,15,14,6,12,15,28,16,13,5,4,5,2,16,5,7,6,2,3,6,0
"gene-NWMN_RS00145",228,307,269,206,365,236,289,230,190,165,155,135,125,333,63,91,112,52,56,66,33
"gene-NWMN_RS00150",129,114,122,107,74,96,99,61,107,89,62,64,76,95,42,123,43,74,135,47,34
"gene-NWMN_RS00155",5,0,4,0,5,1,10,3,5,4,1,1,1,6,1,4,3,2,4,2,1
"gene-NWMN_RS00160",166,95,122,105,86,82,148,74,82,99,76,61,55,106,51,138,58,50,130,54,38
"gene-NWMN_RS00165",53,28,43,19,23,35,30,19,23,32,16,23,28,34,18,50,23,16,38,20,10
"gene-NWMN_RS00170",127,70,169,154,109,121,158,86,143,122,81,94,100,91,66,264,76,81,279,120,75
"gene-NWMN_RS00175",171,90,259,190,165,165,237,114,185,164,106,151,139,119,103,277,94,129,385,146,97
"gene-NWMN_RS00180",262,182,333,241,212,304,292,120,242,276,137,362,211,681,194,358,189,165,418,146,136
"gene-NWMN_RS15840",140,67,119,118,99,96,111,96,106,55,71,33,25,48,25,29,27,29,35,22,8
"gene-NWMN_RS00190",603,529,761,784,610,561,678,529,568,461,512,248,233,352,180,188,139,174,212,148,89
"gene-NWMN_RS00195",19,9,9,4,13,4,16,8,2,3,2,4,1,6,2,3,3,4,1,6,4
"gene-NWMN_RS00200",63,65,49,56,54,33,39,41,36,24,19,18,19,49,11,15,15,7,10,12,8
"gene-NWMN_RS00205",52,22,21,21,24,20,38,18,18,11,18,14,8,23,2,16,7,9,11,8,4
"gene-NWMN_RS00210",11,8,3,5,5,8,11,12,5,2,8,1,1,8,0,9,1,1,7,2,2
"gene-NWMN_RS00215",96,59,74,67,54,44,78,47,58,45,21,34,36,55,26,37,28,26,31,18,12
"gene-NWMN_RS00220",37,18,16,8,22,16,28,6,17,17,4,11,11,36,7,12,4,4,15,5,4
"gene-NWMN_RS00225",76,39,40,28,43,37,39,32,32,33,21,9,18,31,16,22,7,4,21,17,11
"gene-NWMN_RS00230",135,108,69,83,67,60,92,86,66,48,50,34,34,54,21,64,16,25,47,17,15
"gene-NWMN_RS00235",103,97,216,131,173,168,202,145,140,157,182,126,78,179,78,78,77,51,71,50,34
"gene-NWMN_RS00240",75,59,100,60,88,72,77,68,57,71,64,52,32,71,23,31,22,21,38,19,17
"gene-NWMN_RS00245",27,57,44,42,54,47,42,39,34,35,34,26,29,63,16,25,20,12,33,16,11
"gene-NWMN_RS00250",2,2,6,5,2,6,3,3,2,2,3,1,4,2,2,1,2,2,1,1,1
"gene-NWMN_RS00255",4,1,13,4,5,5,7,10,12,5,5,5,2,9,3,7,4,2,11,5,1
"gene-NWMN_RS00260",3,4,19,8,17,11,13,7,14,9,10,18,5,18,4,11,5,4,9,3,2
"gene-NWMN_RS00265",9,4,15,12,10,20,18,8,15,16,13,9,9,17,4,19,6,3,3,8,6
"gene-NWMN_RS00270",282,308,338,292,345,277,314,261,239,257,245,166,123,304,67,122,86,75,95,80,45
"gene-NWMN_RS00275",29,35,66,42,40,55,39,21,56,86,31,91,80,283,73,104,116,41,52,50,29
"gene-NWMN_RS00280",69,72,115,70,82,103,60,39,81,94,31,136,111,410,110,129,184,51,66,62,36
"gene-NWMN_RS00285",1586,881,1823,1624,1224,1351,2626,1478,1454,2307,1850,692,738,1383,404,670,348,432,795,467,270
"gene-NWMN_RS00290",41,79,53,37,53,34,22,33,36,50,16,75,66,343,65,84,150,28,39,47,27
"gene-NWMN_RS00295",3,2,3,2,3,0,1,0,1,2,1,2,2,2,1,1,1,1,1,0,0
"gene-NWMN_RS00300",50,42,50,33,38,43,43,42,36,26,32,16,12,30,7,17,16,4,18,15,3
"gene-NWMN_RS00305",53,56,62,41,41,62,52,27,41,62,26,79,53,241,43,23,39,22,18,24,9
"gene-NWMN_RS00310",1354,782,1086,1007,738,834,1239,847,1079,935,743,647,565,1830,364,480,382,310,374,238,147
"gene-NWMN_RS00315",5655,3471,13483,10476,11391,11437,14164,10443,11131,13554,17140,8334,8125,12392,4160,4472,6687,2435,5505,4466,1903
"gene-NWMN_RS00320",2270,1052,1154,1227,1440,860,1774,999,995,1095,859,496,535,1113,228,352,272,206,301,245,81
"gene-NWMN_RS00325",531,611,508,385,406,518,288,209,458,492,205,677,370,851,367,347,252,423,302,177,172
"gene-NWMN_RS00330",44,28,79,53,32,55,61,24,41,51,39,23,12,23,9,15,6,6,18,9,10
"gene-NWMN_RS00335",150,53,223,163,78,109,220,71,105,129,120,42,44,63,14,34,21,24,50,23,20
"gene-NWMN_RS00340",8,4,6,8,5,6,4,3,4,2,1,3,2,3,4,3,2,0,4,3,0
"gene-NWMN_RS00345",3,4,5,5,2,7,4,1,3,4,2,4,3,4,5,2,2,2,3,1,3
"gene-NWMN_RS00350",2,6,20,3,6,10,10,3,7,3,2,7,5,4,2,2,4,8,2,5,2
"gene-NWMN_RS00355",8,3,13,10,11,6,9,5,13,8,6,11,4,13,5,10,6,6,7,2,3
"gene-NWMN_RS00360",11,10,14,11,11,13,9,15,18,13,9,10,12,9,7,13,5,3,6,6,9
"gene-NWMN_RS00365",13,9,39,22,23,21,26,11,21,14,24,19,14,17,5,12,8,7,20,7,12
"gene-NWMN_RS00370",16,12,16,17,11,17,11,6,14,11,10,14,5,7,10,8,7,5,10,5,4
"gene-NWMN_RS00375",40,11,28,22,35,29,22,18,32,21,22,21,13,16,15,17,8,15,19,4,10
"gene-NWMN_RS00380",52,28,51,47,36,34,35,13,50,32,19,31,17,28,15,27,14,24,31,10,10
"gene-NWMN_RS00390",26,13,16,21,24,20,29,13,12,14,13,13,6,20,3,4,6,5,10,3,1
"gene-NWMN_RS00395",44,30,40,37,31,27,50,44,26,27,29,22,14,44,5,8,13,7,12,11,0
"gene-NWMN_RS00400",711,1248,930,705,1117,692,538,560,617,636,433,796,830,1383,730,1133,1323,746,426,621,363
"gene-NWMN_RS00405",0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"gene-NWMN_RS00410",2,3,8,2,3,4,3,3,3,2,2,6,7,7,5,6,7,4,3,2,0
"gene-NWMN_RS00415",7,8,5,4,6,5,2,2,6,5,5,2,4,7,4,2,1,6,2,1,2
"gene-NWMN_RS00420",12,7,11,19,14,7,9,4,14,12,7,8,6,18,4,5,6,2,5,3,2
"gene-NWMN_RS00425",24,19,21,24,17,11,25,13,18,16,5,6,9,20,1,8,8,5,11,7,2
"gene-NWMN_RS00430",171,104,106,92,149,80,119,68,86,80,59,49,44,84,29,47,28,32,48,25,15
"gene-NWMN_RS00435",434,323,363,376,285,225,314,192,251,223,178,126,98,170,53,116,77,72,100,80,55
"gene-NWMN_RS00440",197,540,224,213,698,263,371,525,268,482,485,291,447,1159,200,390,799,203,173,241,92
"gene-NWMN_RS00445",85,76,101,69,79,61,87,58,89,73,65,46,43,90,26,34,43,25,40,22,17
"gene-NWMN_RS00455",26,30,43,28,27,45,35,12,52,57,38,65,109,151,67,62,127,47,37,59,44
"gene-NWMN_RS00460",107,83,235,98,119,167,133,80,134,143,79,186,161,373,129,170,199,130,141,140,84
"gene-NWMN_RS00465",237,200,606,373,430,476,300,279,351,340,329,382,218,393,187,199,242,154,189,133,92
"gene-NWMN_RS00470",572,582,1539,805,1283,1235,722,787,955,796,741,911,539,1355,454,548,846,430,473,424,275
"gene-NWMN_RS00475",7,9,17,20,12,27,16,12,10,12,11,10,10,7,5,6,9,4,9,12,5
"gene-NWMN_RS00480",4,1,10,5,12,5,7,4,3,7,8,4,2,5,1,6,4,3,4,1,0
"gene-NWMN_RS00485",6,2,7,3,2,9,2,2,6,6,5,4,4,4,2,3,3,6,2,2,0
"gene-NWMN_RS00490",8,7,13,5,10,10,18,8,7,11,11,12,3,14,1,3,7,7,3,5,1
"gene-NWMN_RS00495",13,9,34,25,15,20,17,19,15,16,14,22,7,14,12,27,10,18,32,5,7
"gene-NWMN_RS00500",75,82,114,98,105,89,109,90,98,115,104,84,56,130,54,62,49,41,53,40,28
"gene-NWMN_RS00505",5,0,1,4,3,0,0,1,4,3,0,0,0,6,0,1,0,1,3,2,0
"gene-NWMN_RS15665",11,9,14,5,8,7,6,4,9,6,2,5,2,5,4,5,4,2,3,1,0
"gene-NWMN_RS00520",17,8,6,7,10,5,10,3,6,6,7,3,5,10,1,5,2,0,2,0,3
"gene-NWMN_RS15845",8,4,3,7,2,4,6,6,8,5,7,2,0,6,3,3,2,1,0,0,0
"gene-NWMN_RS15850",4,6,7,7,13,4,13,5,5,3,6,2,3,8,0,2,2,2,4,1,0
"gene-NWMN_RS00530",57,128,118,63,171,111,52,68,73,100,69,94,149,184,80,271,397,61,66,183,31
"gene-NWMN_RS00535",7,3,22,6,5,16,5,4,22,5,7,16,6,13,12,10,5,11,12,2,12
"gene-NWMN_RS00540",13,3,35,19,4,27,6,5,27,15,8,18,11,20,22,15,8,23,10,5,21
"gene-NWMN_RS00545",8,5,37,13,5,28,14,8,30,13,5,31,8,20,21,17,9,25,8,5,17
"gene-NWMN_RS00550",20,16,101,25,22,87,28,22,50,18,18,80,30,38,50,36,19,66,24,15,50
"gene-NWMN_RS00555",9,7,73,24,14,63,15,8,44,20,19,65,9,25,34,24,18,51,31,12,26
"gene-NWMN_RS00560",20,8,63,21,20,60,23,8,52,24,7,57,21,23,48,32,15,49,22,14,25
"gene-NWMN_RS00565",20,11,74,27,19,50,15,7,47,27,21,47,13,29,50,33,16,37,25,17,26
"gene-NWMN_RS00570",15,8,41,13,8,38,9,8,35,10,5,26,12,11,15,12,7,10,11,4,6
"gene-NWMN_RS00575",36,16,56,20,19,58,27,21,65,15,16,38,19,30,39,24,7,31,22,5,16
"gene-NWMN_RS00580",30,26,40,31,21,36,34,12,49,19,8,34,22,37,24,17,9,23,21,10,11
"gene-NWMN_RS00585",49,22,45,22,22,33,26,17,48,21,10,40,20,20,24,24,8,15,21,10,18
"gene-NWMN_RS00590",71,53,113,57,51,90,62,34,96,48,28,71,25,54,53,56,18,42,54,25,34
"gene-NWMN_RS00595",26,26,55,46,21,39,20,24,34,12,13,29,9,21,26,22,16,28,22,6,16
"gene-NWMN_RS00600",41,23,75,45,59,70,43,35,52,25,30,56,20,29,57,29,26,46,44,14,26
"gene-NWMN_RS00605",48,42,162,72,80,113,71,61,109,58,52,113,40,75,79,50,39,69,74,30,48
"gene-NWMN_RS00610",132,116,216,172,161,182,147,100,165,147,105,144,57,118,105,84,52,90,99,44,60
"gene-NWMN_RS00615",62,22,43,40,22,18,43,22,25,20,22,23,14,23,6,8,9,11,12,8,2
"gene-NWMN_RS00620",14,10,14,19,11,18,21,7,24,11,7,8,10,11,5,10,1,3,5,2,1
"gene-NWMN_RS00625",201,134,332,345,295,213,400,211,167,251,234,158,99,140,81,79,69,85,83,81,41
"gene-NWMN_RS00630",79,87,91,78,86,70,63,58,55,57,30,72,50,204,43,39,49,29,26,13,12
"gene-NWMN_RS00635",17,8,24,14,17,17,23,5,16,25,9,41,26,108,26,12,25,4,7,4,2
"gene-NWMN_RS00640",148,257,98,111,505,104,190,398,118,86,268,82,59,216,39,54,46,46,24,27,15
"gene-NWMN_RS00645",6,58,11,13,94,13,10,105,17,9,85,4,5,18,2,8,9,1,2,4,3
"gene-NWMN_RS00650",15,69,10,20,109,22,19,131,20,11,78,9,10,16,1,3,5,8,2,3,3
"gene-NWMN_RS00655",15,58,10,15,94,14,21,98,26,15,65,4,4,18,5,6,7,6,4,3,1
"gene-NWMN_RS00660",28,121,24,41,183,39,48,162,44,47,149,38,21,114,27,23,19,14,20,16,10
"gene-NWMN_RS00665",321,293,300,276,293,210,271,210,262,167,159,142,123,160,84,165,70,134,153,79,81
"gene-NWMN_RS00670",19,31,31,31,36,23,12,23,20,20,19,13,7,15,9,16,7,10,20,10,2
"gene-NWMN_RS00675",247,149,197,165,164,148,159,128,141,92,92,67,56,131,46,54,44,31,64,43,36
"gene-NWMN_RS00680",1926,1512,3213,2123,1969,2190,1916,1356,1996,1766,1381,1589,1072,1572,927,1483,1038,809,1833,1076,690
"gene-NWMN_RS00685",360,222,316,299,273,224,244,156,248,209,135,167,125,231,101,185,97,132,188,118,71
"gene-NWMN_RS00690",189,468,134,99,469,170,88,203,158,197,159,217,155,405,93,137,175,81,55,98,35
"gene-NWMN_RS00695",23,37,16,24,23,17,29,13,25,15,16,24,10,13,10,15,12,7,19,4,7
"gene-NWMN_RS00700",18,31,46,21,27,23,17,20,29,21,20,15,10,22,7,7,4,9,15,5,1
"gene-NWMN_RS00705",2,7,10,14,5,16,6,3,8,6,7,7,4,7,5,12,4,5,11,4,0
"gene-NWMN_RS00710",10,14,12,9,11,11,5,9,15,9,7,12,5,7,5,8,2,1,14,1,1
"gene-NWMN_RS00715",474,357,329,293,483,309,379,291,292,308,302,208,180,309,80,65,84,58,69,54,32
"gene-NWMN_RS00720",139,64,135,97,71,61,122,35,79,104,56,89,59,86,41,33,35,34,28,17,24
"gene-NWMN_RS00725",318,177,302,294,157,173,306,133,174,240,133,121,93,125,80,57,41,64,54,30,37
"gene-NWMN_RS00730",1,0,1,1,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
"gene-NWMN_RS00735",2576,2352,2204,2128,2411,2154,2290,1594,3698,2355,1887,2341,1378,2594,963,1134,1217,844,939,816,509
"gene-NWMN_RS00740",52,51,159,88,91,107,132,50,109,133,126,160,87,145,69,55,74,60,54,37,46
"gene-NWMN_RS00745",39,34,147,84,97,107,110,76,90,115,138,129,58,98,75,59,75,50,68,44,49
"gene-NWMN_RS00750",137,196,306,205,243,254,218,148,207,310,267,312,246,383,222,178,265,167,134,148,92
"gene-NWMN_RS00755",126,191,167,112,142,123,139,94,105,195,90,158,145,281,113,113,152,92,78,91,54
"gene-NWMN_RS00760",14,9,8,5,9,5,11,4,4,1,3,2,4,3,3,5,1,1,1,1,1
"gene-NWMN_RS00765",321,270,614,428,588,448,593,511,437,476,562,302,246,497,138,178,211,105,162,152,57
"gene-NWMN_RS00770",202,187,225,190,312,154,280,215,169,161,161,124,78,256,60,80,80,46,53,50,32
"gene-NWMN_RS00775",88,83,122,103,176,120,143,125,119,91,124,104,62,202,58,38,76,38,35,45,14
"gene-NWMN_RS00780",59,66,90,67,137,81,88,102,65,75,78,102,48,183,34,59,73,35,28,22,15
"gene-NWMN_RS00785",64,66,81,66,113,76,53,102,61,37,83,38,38,64,34,43,33,33,31,15,21
"gene-NWMN_RS00790",6,14,5,7,21,9,7,10,10,11,9,5,4,3,0,7,1,1,1,0,0
"gene-NWMN_RS00795",12,21,9,4,25,7,8,7,10,5,15,7,6,11,2,2,3,2,4,3,2
"gene-NWMN_RS00800",10,21,33,12,35,18,27,20,13,24,27,12,15,17,6,9,9,8,8,8,0
"gene-NWMN_RS00805",51,80,82,102,110,66,68,85,62,48,80,42,41,76,35,41,36,37,36,27,25
"gene-NWMN_RS00810",55,41,55,26,43,42,51,33,32,25,21,27,15,30,11,25,12,18,30,10,15
"gene-NWMN_RS00815",304,142,215,195,178,161,241,106,215,160,93,133,108,136,95,222,66,141,238,84,75
"gene-NWMN_RS00820",64,54,46,63,40,36,32,21,29,22,19,15,18,12,15,28,8,14,18,19,7
"gene-NWMN_RS00825",60,22,137,107,89,54,229,85,86,109,180,49,49,89,17,16,26,11,19,14,7
"gene-NWMN_RS00830",43,42,147,95,92,58,246,105,98,140,200,49,51,64,20,36,23,19,29,21,10
"gene-NWMN_RS00835",106,85,145,151,111,82,273,114,103,227,245,93,72,124,32,40,58,27,41,31,25
"gene-NWMN_RS00840",82,55,124,73,64,81,189,62,57,155,135,75,73,101,27,26,40,16,23,32,15
"gene-NWMN_RS00845",101,97,294,193,152,184,297,134,111,359,264,171,99,187,62,66,118,56,80,63,34
"gene-NWMN_RS00850",120,89,255,182,181,169,256,108,100,280,223,129,107,200,64,79,104,45,74,47,31
"gene-NWMN_RS00855",172,183,244,210,191,182,283,131,134,320,180,126,159,226,61,83,101,50,79,68,38
"gene-NWMN_RS00860",3680,955,2581,2170,1561,1513,3748,1575,2010,1725,1399,590,807,1843,335,766,573,363,811,698,186
"gene-NWMN_RS00865",48,31,35,36,53,42,90,43,227,81,70,234,62,142,133,138,144,97,133,141,75
"gene-NWMN_RS00870",101,95,89,94,116,69,123,99,88,89,87,69,58,137,31,53,49,29,47,28,17
"gene-NWMN_RS00875",59,64,85,70,119,83,81,82,59,81,77,60,32,109,17,34,29,16,28,20,8
"gene-NWMN_RS00880",61,51,50,56,62,45,67,53,55,59,56,38,21,57,15,19,24,7,16,19,8
"gene-NWMN_RS00885",1334,5967,2552,1341,11349,2956,593,4229,1686,6756,4448,8692,11321,15952,6252,9118,15979,3505,4746,8533,1959
"gene-NWMN_RS00890",614,3753,963,581,4795,1095,268,1830,567,2101,1414,2230,3743,5894,1879,2931,5152,1010,1598,2772,571
"gene-NWMN_RS00900",412,456,280,248,425,243,295,321,217,234,201,91,184,363,63,119,114,60,103,81,30
"gene-NWMN_RS00905",1015,756,863,768,723,625,926,481,633,689,425,278,400,565,180,294,202,256,297,199,123
"gene-NWMN_RS00910",9948,3329,16447,17388,10017,9468,16656,11905,10504,6888,9081,3906,2415,2212,2099,4132,2145,2290,6544,3333,1731
"gene-NWMN_RS00915",1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"gene-NWMN_RS00925",25,37,22,15,26,25,13,17,26,33,17,8,10,19,14,10,9,8,15,10,10
"gene-NWMN_RS00930",5,7,20,12,17,4,12,5,8,12,13,10,14,12,2,5,10,7,7,5,0
"gene-NWMN_RS00935",0,2,3,1,1,2,1,1,1,0,4,1,2,2,2,0,1,3,0,0,0
"gene-NWMN_RS00940",5,4,6,4,6,5,2,4,2,6,2,1,3,5,1,3,1,2,4,2,0
"gene-NWMN_RS00945",6,3,7,5,3,5,5,2,8,6,6,7,2,1,2,2,2,3,0,1,0
"gene-NWMN_RS00950",300,145,268,231,186,166,295,174,203,204,134,88,110,212,43,70,60,35,83,78,20
"gene-NWMN_RS00955",76,102,110,64,174,109,96,94,105,68,71,87,52,132,45,56,57,33,30,44,24
"gene-NWMN_RS00960",6,33,13,7,36,10,4,15,6,6,7,5,6,20,8,14,21,4,4,4,3
"gene-NWMN_RS00965",85,237,46,48,225,47,49,92,44,25,38,52,48,142,26,58,77,25,19,53,13
"gene-NWMN_RS00970",516,1555,410,386,1471,398,265,613,362,365,411,347,434,925,228,527,554,194,207,375,126
"gene-NWMN_RS00975",1,4,2,0,0,1,1,3,6,0,0,1,2,1,0,0,0,0,2,0,0
"gene-NWMN_RS00980",7216,32019,5717,3997,29461,8792,1907,11918,7283,9994,8043,13420,11563,23085,7123,7766,10935,5001,2894,3852,2110
"gene-NWMN_RS00990",214,204,178,200,205,127,128,106,139,170,119,112,130,226,67,107,133,60,84,122,38
"gene-NWMN_RS00995",171,214,215,182,217,145,134,124,132,119,113,88,83,152,52,54,72,53,60,51,21
"gene-NWMN_RS01000",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"gene-NWMN_RS01005",7,4,6,3,10,10,4,3,8,8,9,2,4,6,2,3,2,1,5,2,2
"gene-NWMN_RS01010",2,0,3,1,1,2,4,1,0,0,0,2,0,0,0,0,2,0,0,0,1
"gene-NWMN_RS01015",0,0,0,1,2,1,2,5,3,1,0,0,0,1,0,1,0,1,2,0,0
"gene-NWMN_RS01020",10,4,15,7,11,3,7,3,7,4,8,8,3,6,1,4,2,4,3,3,3
"gene-NWMN_RS01025",7,4,6,14,11,6,9,6,10,12,4,5,4,7,3,7,6,7,5,3,2
"gene-NWMN_RS01030",2,1,0,0,0,1,6,0,1,0,0,2,1,0,1,0,0,0,0,2,0
"gene-NWMN_RS01035",40,38,33,42,26,30,28,21,33,29,24,19,24,22,11,15,20,9,10,13,7
"gene-NWMN_RS01040",86,102,163,75,201,120,115,111,91,113,100,107,67,105,45,54,83,38,48,55,14
"gene-NWMN_RS01045",140,198,329,178,351,260,188,184,170,206,220,223,125,217,97,128,155,55,87,85,28
"gene-NWMN_RS01050",381,517,515,365,674,443,363,372,355,405,359,319,243,484,125,222,274,83,123,182,59
"gene-NWMN_RS01055",221,223,361,258,419,291,254,235,228,145,179,111,78,160,65,88,76,61,89,74,29
"gene-NWMN_RS01060",419,294,467,409,436,342,464,315,362,266,311,206,194,254,125,156,155,88,135,125,76
"gene-NWMN_RS01065",707,607,1061,886,961,745,888,792,730,550,648,479,326,571,270,331,331,231,307,265,163
"gene-NWMN_RS01070",1333,1040,1894,1604,1917,1437,1673,1477,1443,946,1201,877,546,938,417,575,512,385,589,481,262
"gene-NWMN_RS01075",2261,2005,3021,2686,3228,2330,2928,2481,2286,1681,1923,1454,964,1579,710,1132,805,760,1137,744,501
"gene-NWMN_RS01080",120,200,108,114,207,94,114,104,88,136,85,93,128,317,48,146,174,55,85,102,36
"gene-NWMN_RS01085",926,613,1304,897,853,834,963,648,908,938,867,524,587,984,300,400,420,243,297,316,127
"gene-NWMN_RS01090",460,285,541,451,389,328,481,305,379,389,357,170,188,387,78,128,153,52,110,98,31
"gene-NWMN_RS01095",1388,897,926,1048,812,620,1092,244,523,1576,292,663,1184,652,250,314,180,197,196,73,112
"gene-NWMN_RS01100",5951,6910,3584,4683,5859,3053,4859,3176,2605,6551,2287,3100,5462,5025,1767,4456,2048,1940,3096,1465,1109
"gene-NWMN_RS01105",1892,2174,1034,1286,1733,583,1069,845,584,541,602,363,172,326,139,187,90,159,215,132,78
"gene-NWMN_RS01110",366,240,371,347,305,186,229,129,159,158,129,126,82,61,64,54,25,67,77,30,47
"gene-NWMN_RS01115",835,640,991,854,977,493,636,428,359,432,465,310,135,177,166,128,71,128,170,74,86
"gene-NWMN_RS01125",20,21,25,27,15,6,15,9,14,22,17,10,12,21,8,11,3,4,8,2,3
"gene-NWMN_RS01130",30,17,10,11,20,4,16,14,5,8,1,4,3,3,2,0,4,2,3,2,2
"gene-NWMN_RS01135",126,148,181,121,177,117,161,122,186,117,121,134,95,186,69,79,113,48,48,58,31
"gene-NWMN_RS01140",42,46,57,35,62,39,55,45,41,43,41,46,21,66,26,13,33,11,16,15,5
"gene-NWMN_RS01145",103,145,139,103,139,99,106,90,181,114,110,117,89,138,58,60,58,42,40,36,25
"gene-NWMN_RS01150",89,87,101,72,98,85,52,70,62,94,65,92,58,178,33,42,38,30,22,22,13
"gene-NWMN_RS15065",4,3,4,4,5,2,3,3,3,3,2,3,3,4,1,3,2,3,3,3,1
"gene-NWMN_RS01160",63,33,31,41,34,31,67,37,34,28,28,32,24,58,18,32,20,20,33,15,14
"gene-NWMN_RS01165",3,4,2,1,6,0,1,1,3,3,3,0,1,0,1,0,0,1,5,2,1
"gene-NWMN_RS01170",83,78,76,82,72,56,62,37,63,50,41,24,26,27,15,33,13,20,27,12,11
"gene-NWMN_RS01175",32,27,41,38,30,48,43,23,49,31,32,17,21,25,15,13,14,23,26,14,12
"gene-NWMN_RS01180",376,196,589,674,382,446,457,292,373,419,354,300,252,155,230,368,157,275,524,211,189
"gene-NWMN_RS01185",39,17,19,14,14,14,21,12,22,16,1,7,8,35,10,13,6,8,6,9,4
"gene-NWMN_RS01190",32,22,16,22,15,17,16,10,17,17,9,14,9,31,8,7,7,8,12,7,2
"gene-NWMN_RS01195",14,4,11,6,6,7,9,6,16,7,3,6,5,16,4,3,4,2,6,3,1
"gene-NWMN_RS01200",7,3,6,12,4,5,4,3,8,0,5,1,3,3,1,1,2,2,3,1,1
"gene-NWMN_RS01205",22,17,11,15,10,9,12,16,7,6,10,6,1,10,4,5,3,2,4,3,1
"gene-NWMN_RS01210",46,32,29,25,31,21,35,29,26,17,15,11,11,27,9,14,3,9,11,4,1
"gene-NWMN_RS01215",37,19,60,43,48,56,49,35,47,47,55,28,25,42,17,14,18,16,20,8,7
"gene-NWMN_RS01220",453,424,319,305,396,267,455,312,289,355,302,261,287,471,213,287,264,282,243,204,121
"gene-NWMN_RS01225",41,20,47,43,43,85,52,64,47,39,58,48,20,47,17,27,23,27,24,22,15
"gene-NWMN_RS01230",9,3,12,9,4,9,10,7,8,3,10,6,3,8,2,9,1,2,2,1,7
"gene-NWMN_RS01235",0,0,1,0,1,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"gene-NWMN_RS01240",4,0,8,5,9,14,7,5,10,7,7,12,3,14,2,7,4,1,5,0,5
