"gene_id","S1.ctr_1h.BR1","S2.trt_1h.BR1","S3.ctr_3h.BR1","S4.trt_3h.BR1","S5.ctr_1h.BR2","S6.trt_1h.BR2","S7.ctr_3h.BR2","S8.trt_3h.BR2","S9.ctr_1h.BR3","S10.trt_1h.BR3","S11.ctr_3h.BR3","S12.trt_3h.BR3"
"t145_t084_08110",12381,4446,10270,34695,12754,71690,9223,17264,32203,30256,5773,20340
"t145_t084_08120",27330,6826,20954,54157,22365,114306,27231,33389,51985,75520,16906,40960
"t145_t084_08130",41008,1114,21257,5489,35288,16711,18535,2937,87156,12224,13622,5897
"t145_t084_08140",104172,2904,44927,12687,96405,39787,41441,6245,228760,24892,32421,14392
"t145_t084_08150",11407,635,4977,5745,9724,9349,5166,3859,26518,6085,3672,4910
"t145_t084_08160",20638,5971,15344,50297,20478,76257,21344,32760,69911,35958,11181,32654
"t145_t084_08170",14094,6036,9889,40860,14597,77206,14745,17708,21610,38990,7093,19171
"t145_t084_08180",991,428,1192,3796,1136,5511,1817,2171,3137,3334,985,2214
"t145_t084_08190",653,255,994,3159,674,3832,1793,1791,1643,3782,1028,1853
"t145_t084_08200",1904,2482,301,2705,3200,39959,529,921,11089,5755,308,695
"t145_t084_08210",18574,3529,9448,29407,16460,83074,9218,20481,56439,45921,7713,16922
"t145_t084_08220",21515,2449,5997,7275,22121,59310,6146,6806,56649,32982,5517,5356
"t145_t084_08230",1503,107,368,401,1616,3516,357,353,3712,1477,272,285
"t145_t084_08240",6319,868,4986,3584,5890,11179,4977,2555,15779,7121,3100,3161
"t145_t084_08250",30711,3169,20831,13755,29797,41825,20372,8180,77754,27764,13972,12882
"t145_t084_08260",74208,25321,48875,150512,71533,230293,47662,21980,220449,97449,29384,29862
"t145_t084_08270",22275,12000,21533,89429,24611,151650,30940,42661,65102,79160,15187,40332
"t145_t084_08280",40341,18224,33823,140041,49427,290388,46665,64572,116459,135650,23441,63867
"t145_t084_08290",18198,9033,22096,67750,26820,120172,21810,29159,64731,66918,13307,34902
"t145_t084_08300",8787,395,5763,4188,7580,10146,5316,3353,24761,7209,3902,4087
"t145_t084_08310",25935,1061,13270,11477,23278,27885,14175,8189,72223,20053,10123,10028
"t145_t084_08320",39872,1473,10610,7231,37062,31110,11030,5508,116550,18583,8637,6784
"t145_t084_08330",27459,2988,11316,22236,26550,47222,16338,13807,80415,28376,10166,15355
"t145_t084_08340",33049,4578,13619,29568,34150,88983,15709,14888,82956,30598,9867,19117
"t145_t084_08350",419,161,257,2395,409,5571,266,1165,1261,2176,153,1471
"t145_t084_08360",456,169,149,2042,402,5104,179,903,1344,1629,86,1206
"t145_t084_08370",193,69,81,1084,147,1998,121,449,766,613,78,521
"t145_t084_08380",559,275,262,3205,433,8063,302,1255,2398,2656,142,1704
"t145_t084_08390",374,177,174,1700,226,4643,212,808,1421,1830,131,1106
"t145_t084_08400",452,227,336,1806,492,4853,305,886,1588,1388,193,1043
"t145_t084_08410",405,31,104,420,193,864,137,321,479,490,89,284
"t145_t084_08420",505,163,553,1347,1118,2316,378,789,1240,773,217,778
"t145_t084_08430",10758,570,7148,5343,11104,8430,7538,3878,33321,6914,4452,4011
"t145_t084_08440",16847,681,8789,7221,14119,11615,10884,5306,46075,8210,5850,4786
"t145_t084_08450",27299,1222,16298,9015,27336,16905,15257,6276,82689,12542,9729,6321
