"gene_id","SBAC317-PC1a.count","SBAC317-PC1b.count","SBAC317-PC1c.count","SBAC317-TSB1a.count","SBAC317-TSB1b.count","SBAC317-TSB1c.count"
"JYA73_RS03390",33,113,168,15,35,27
"JYA73_RS03415",38,34,157,13,27,25
"JYA73_RS03455",1630,1870,3003,527,876,940
"JYA73_RS03500",88,243,338,34,77,95
"JYA73_RS03505",821,718,1844,166,242,369
"JYA73_RS03510",332,240,639,46,62,104
"JYA73_RS03610",2259,1279,2213,398,702,597
"JYA73_RS03640",1105,1255,2839,306,463,604
"JYA73_RS03645",190,321,762,79,147,181
"JYA73_RS03650",361,346,1283,94,159,239
"JYA73_RS03690",8210,2238,1899,454,880,769
"JYA73_RS03695",24178,21542,19819,2520,4040,6106
"JYA73_RS03710",133,302,394,63,93,125
"JYA73_RS03715",1642,1090,1164,311,462,518
"JYA73_RS03720",1172,712,673,171,198,264
"JYA73_RS03740",2508,1301,2007,87,193,123
"JYA73_RS03760",995,1520,2531,267,422,622
"JYA73_RS03795",812,2433,2607,215,401,458
"JYA73_RS03800",537,1905,1909,203,347,323
"JYA73_RS03805",1268,4253,3812,567,898,1023
"JYA73_RS03850",49,28,44,10,4,20
"JYA73_RS03890",667,254,506,38,84,88
"JYA73_RS03985",71,114,161,24,40,33
"JYA73_RS04055",1293,1056,2200,187,346,328
"JYA73_RS04060",11566,21021,18717,153,217,288
"JYA73_RS04065",7212,9584,10972,78,125,135
"JYA73_RS04075",1440,1188,3051,500,784,830
"JYA73_RS04080",1643,1486,3895,523,852,898
"JYA73_RS04085",2832,2528,6018,798,1430,1600
"JYA73_RS04110",21,78,30,8,12,15
"JYA73_RS04130",308,422,564,72,167,131
"JYA73_RS04140",110,32,78,16,34,34
"JYA73_RS04185",424,99,341,14,29,30
"JYA73_RS04215",20,112,115,14,23,38
"JYA73_RS04245",238546,173855,121610,26370,38383,52253
"JYA73_RS04315",4852,3639,6996,1007,1819,1758
"JYA73_RS04335",2462,5631,4823,1129,1868,1753
"JYA73_RS04345",1290,2477,5507,544,1017,1053
"JYA73_RS04360",513,1135,731,170,321,341
"JYA73_RS04425",29,30,27,4,4,6
"JYA73_RS04430",144,534,458,43,67,88
"JYA73_RS04435",12,93,60,7,14,16
"JYA73_RS04440",58,222,188,22,16,28
"JYA73_RS04485",684,2812,3747,550,856,1044
"JYA73_RS04520",4542,4833,5946,389,649,629
"JYA73_RS04540",67796,88720,187883,16236,36543,18955
"JYA73_RS04545",203,208,583,31,51,53
"JYA73_RS04550",3555,6429,7938,1222,2065,2129
"JYA73_RS04555",3555,8263,12423,1911,2884,2968
"JYA73_RS04590",9680,2154,5700,803,1370,2090
"JYA73_RS04655",7300,9957,22878,213,381,330
"JYA73_RS04660",18035,24930,61655,582,1101,933
"JYA73_RS04665",8261,8126,22972,179,410,364
"JYA73_RS04700",127,44,195,26,25,41
"JYA73_RS04705",1054,2858,2121,295,459,591
"JYA73_RS04710",942,3517,1900,311,529,596
"JYA73_RS04725",1801,2221,3773,549,698,1452
"JYA73_RS04730",23,37,55,11,4,14
"JYA73_RS04735",582,1040,2031,201,327,436
"JYA73_RS04845",4667,6566,8776,1851,2716,2904
"JYA73_RS04890",176,89,494,38,39,99
"JYA73_RS04900",257,465,808,101,160,118
"JYA73_RS04925",18,48,46,6,9,22
"JYA73_RS04930",18757,25934,82720,7979,11716,16152
"JYA73_RS04935",970,1942,5268,213,342,268
"JYA73_RS04940",1830,3046,8830,523,791,756
"JYA73_RS04945",31,29,88,7,12,10
"JYA73_RS04965",266,139,294,63,72,94
"JYA73_RS04970",455,1022,1953,109,219,203
"JYA73_RS04975",1404,1917,4784,317,413,713
"JYA73_RS05010",1044,612,1495,149,219,292
"JYA73_RS05020",432,323,505,83,118,139
"JYA73_RS05065",365,575,2022,97,153,279
"JYA73_RS05070",49,78,296,13,28,32
"JYA73_RS05075",70,184,457,32,72,77
"JYA73_RS05080",44,223,427,41,62,93
"JYA73_RS05090",33,230,364,38,56,69
"JYA73_RS05095",49,127,224,24,24,45
"JYA73_RS05365",1129,4625,4221,488,825,738
"JYA73_RS05370",3496,7441,11166,1438,2454,2887
"JYA73_RS05375",5386,10740,17291,2487,3972,3958
"JYA73_RS05380",2355,3773,5368,592,888,847
"JYA73_RS05415",6658,228,14171,332,660,759
"JYA73_RS05470",3742,4211,10160,1054,1763,2225
"JYA73_RS05475",1804,2230,4251,457,848,786
"JYA73_RS05525",2476,6826,16139,1536,3372,2106
"JYA73_RS05615",4492,2051,4081,297,480,604
"JYA73_RS05740",1217,1281,3035,428,788,697
"JYA73_RS05785",792,445,928,202,302,455
"JYA73_RS05875",1066,853,2302,230,375,505
