"gene_id","SBAC317-PC1a.count","SBAC317-PC1b.count","SBAC317-PC1c.count","SBAC317-TSB1a.count","SBAC317-TSB1b.count","SBAC317-TSB1c.count"
"JYA73_RS01555",8047,10165,2262,12271,24290,55495
"JYA73_RS01585",14678,43397,62555,84599,138448,178502
"JYA73_RS01590",9017,20124,33882,55864,80483,125998
"JYA73_RS01595",762,1604,1757,3038,4266,8252
"JYA73_RS01600",1888,1963,1910,4786,10856,7958
"JYA73_RS01605",1,15,11,101,119,209
"JYA73_RS01620",9945,9189,3167,13604,18640,33032
"JYA73_RS01665",226,303,393,792,945,2062
"JYA73_RS01670",530,801,1036,1443,1957,3882
"JYA73_RS01730",15,14,34,35,48,81
"JYA73_RS01740",26033,6390,492,117518,259704,188145
"JYA73_RS01790",286,825,1432,964,1227,2359
"JYA73_RS01825",2,1,1,247,800,963
"JYA73_RS01830",1,0,0,41,192,58
"JYA73_RS01885",156,674,708,524,929,935
"JYA73_RS02100",11149,15347,6237,24024,43109,50202
"JYA73_RS02105",10350,14634,6862,17805,25782,61306
"JYA73_RS02185",5470,11276,9795,20864,34804,52677
"JYA73_RS02190",161,398,695,401,704,956
"JYA73_RS02195",142,297,552,384,556,820
"JYA73_RS02300",3811,2253,5067,5115,7665,12935
"JYA73_RS02305",5839,3605,6868,8459,13740,13719
"JYA73_RS02315",642,1526,1425,2501,3596,5835
"JYA73_RS02320",1078,3955,3273,6640,8928,14320
"JYA73_RS02325",1391,5463,4306,7865,10121,17239
"JYA73_RS02330",8670,27574,20026,32853,42119,70276
"JYA73_RS02450",29746,37083,81712,53296,109906,95367
"JYA73_RS02465",2823,16808,9277,15530,23188,40147
"JYA73_RS02470",354,639,1314,849,1325,1642
"JYA73_RS02475",549,1325,1937,2148,3515,4749
"JYA73_RS02555",205,319,645,392,693,792
"JYA73_RS02560",1385,3031,2518,5485,9901,13863
"JYA73_RS02565",1615,3691,2582,4111,7831,10000
"JYA73_RS02585",292,447,1097,597,1247,1112
"JYA73_RS02655",508,1263,1780,1285,1691,3872
"JYA73_RS02660",751,2275,2212,2685,4047,5576
"JYA73_RS02665",819,3098,2466,2632,4253,5078
"JYA73_RS02710",602,938,2081,4696,6122,9863
"JYA73_RS02715",1272,1682,2482,3067,4251,8481
"JYA73_RS02780",25743,16826,19356,56278,103487,133617
"JYA73_RS02785",1648,2694,3061,3450,4469,7135
"JYA73_RS02790",2408,4314,2079,24929,37543,76893
"JYA73_RS02815",1,3,0,40,56,48
"JYA73_RS02820",224,687,170,1258,2624,1849
"JYA73_RS02825",20,39,15,46,116,94
"JYA73_RS02835",538,1282,486,954,2406,1428
"JYA73_RS02900",719,1603,2391,2526,3995,5906
"JYA73_RS02920",4667,8043,14748,44642,103778,48426
"JYA73_RS02955",410,611,793,1186,1647,3137
"JYA73_RS02960",383,694,829,1404,1935,3564
"JYA73_RS02965",155,265,341,581,889,1123
"JYA73_RS03105",387,354,591,619,785,1366
"JYA73_RS03120",2052,2733,1974,4275,5751,13472
"JYA73_RS03160",1545,1608,1867,2332,4656,4042
"JYA73_RS03165",2465,3374,4005,4526,7403,8655
"JYA73_RS03180",180,220,457,349,540,592
"JYA73_RS03185",176,219,239,264,433,629
"JYA73_RS03200",224,328,369,1073,1720,2299
"JYA73_RS03205",268,297,504,819,1333,2406
"JYA73_RS03210",856,818,1198,1333,2133,3231
"JYA73_RS03225",1446,3672,1824,11877,18870,25627
"JYA73_RS03230",1932,5842,2499,7516,11585,15625
"JYA73_RS03235",12972,18942,4104,26604,45923,36294
"JYA73_RS03240",9518,13903,2737,21144,38083,26986
"JYA73_RS03245",4167,5870,365,9324,17024,12732
"JYA73_RS03440",172,325,431,357,633,629
"JYA73_RS03480",21843,10928,9867,22445,35037,85014
"JYA73_RS03545",3377,7299,10155,8375,12532,21514
"JYA73_RS03555",2072,6680,6198,6131,10207,13813
"JYA73_RS03580",2641,5299,4870,6852,11032,13052
"JYA73_RS03585",6660,11758,11429,37121,68561,71925
"JYA73_RS03590",1960,3428,4751,16925,32247,30239
"JYA73_RS03595",1554,3311,4326,12435,25367,22104
"JYA73_RS03600",2320,5003,6479,18449,38472,33073
"JYA73_RS03605",18506,33276,34350,70444,129220,126769
"JYA73_RS03660",27,86,78,79,123,226
"JYA73_RS03670",21818,66442,47796,56903,100792,147150
"JYA73_RS03700",158,235,232,421,573,888
"JYA73_RS03705",138,239,245,420,530,1167
"JYA73_RS03730",2145,1742,669,6682,10323,17692
"JYA73_RS03750",483,535,250,636,925,2093
"JYA73_RS03775",3078,3244,3867,5024,7401,14151
"JYA73_RS03780",284,714,1545,2675,4089,5889
"JYA73_RS03785",242,459,754,1256,2296,2804
"JYA73_RS03790",204,264,420,555,901,980
"JYA73_RS03810",19852,17548,2935,25773,34078,111358
"JYA73_RS03865",754,1792,3076,2155,3132,4529
"JYA73_RS03875",925,2995,4476,3006,4451,5530
"JYA73_RS03900",682,952,2558,1348,2200,2899
"JYA73_RS03965",3030,6842,9522,9353,15815,21580
"JYA73_RS03970",1501,2268,4153,7013,10363,13996
"JYA73_RS03975",677,696,1321,1798,2875,2940
"JYA73_RS03980",1240,811,1455,1541,2392,3110
"JYA73_RS04005",2856,5110,6013,5602,10743,8586
"JYA73_RS04010",1188,1967,2255,2792,5019,4700
"JYA73_RS04015",1048,1767,2030,2045,3633,3339
"JYA73_RS04045",3711,7843,6485,52625,72896,121948
"JYA73_RS04050",9317,21027,18803,97729,157611,230616
"JYA73_RS04270",1316,1529,3215,2177,3220,5418
"JYA73_RS04275",642,683,1334,1509,2315,3259
"JYA73_RS04305",8709,33519,15167,25410,41459,43284
"JYA73_RS04330",12838,6302,5997,23470,42564,58724
"JYA73_RS04400",308,527,859,1062,1321,2734
"JYA73_RS04415",9,6,7,20,28,35
"JYA73_RS04595",2360,5208,6015,13984,21819,26672
"JYA73_RS04600",28,196,105,349,583,851
"JYA73_RS04605",103,1768,491,2148,3089,4576
"JYA73_RS04620",86,1680,408,1367,1769,3016
"JYA73_RS04625",231,3806,1069,3861,6103,8815
"JYA73_RS04630",164,3062,905,4058,6478,8699
"JYA73_RS04635",139,2563,796,3106,5137,8140
"JYA73_RS04640",93,1389,385,1515,2876,3586
"JYA73_RS04645",472,5943,2295,7555,11872,16181
"JYA73_RS04650",482,4073,1714,3666,6919,8959
"JYA73_RS04685",1947,5641,2432,7002,9255,17653
"JYA73_RS04745",19322,32878,56054,36196,57683,71750
"JYA73_RS04790",289,666,829,2575,4460,6457
"JYA73_RS04815",2697,2890,2698,6199,11478,11046
"JYA73_RS05125",303,196,435,403,565,776
"JYA73_RS05140",769,3988,4706,3451,5253,6409
"JYA73_RS05155",342,1541,1258,1758,2747,4173
"JYA73_RS05160",2108,4198,4428,4905,7343,7853
"JYA73_RS05165",7790,24711,22787,24903,44234,44689
"JYA73_RS05170",5150,14785,12033,18169,32996,30249
"JYA73_RS05195",1169,1066,221,2063,3891,4349
"JYA73_RS05205",4,6,4,14,42,30
"JYA73_RS05215",11,90,10,286,702,544
"JYA73_RS05220",25,66,12,142,283,192
"JYA73_RS05225",3,2,5,21,13,19
"JYA73_RS05230",725,410,500,1114,1777,2647
"JYA73_RS05235",38727,33978,2460,76693,198659,102616
"JYA73_RS05285",667,346,182,833,1647,1526
"JYA73_RS05300",104,58,146,10103,22477,33364
"JYA73_RS05305",461,505,782,746,1121,1584
"JYA73_RS05310",3736,2767,2337,14460,19908,40905
"JYA73_RS05320",7673,6615,15348,17785,30839,40872
"JYA73_RS05325",6790,9782,24577,16723,27967,46285
"JYA73_RS05460",3018,1653,2474,4242,7979,7858
"JYA73_RS05495",935,725,367,2169,3984,6838
"JYA73_RS05585",2095,1488,2131,3051,7674,5133
"JYA73_RS05590",164,376,426,405,706,1489
"JYA73_RS05650",1823,5277,5377,18568,30387,48068
"JYA73_RS05655",3631,10024,8681,27107,49400,58230
"JYA73_RS05660",10,42,56,56,98,156
"JYA73_RS05790",468,1016,1009,1371,1509,2810
"JYA73_RS05855",290,939,1169,1052,1576,1941
"JYA73_RS05865",14207,38839,46174,42322,63524,97853
"JYA73_RS06040",64,49,126,106,155,215
"JYA73_RS06045",38,25,50,64,78,172
"JYA73_RS06050",49,63,35,131,181,451
"JYA73_RS06110",1849,3790,3508,4191,7615,5791
"JYA73_RS06115",1396,4048,2987,3832,7460,4784
"JYA73_RS06120",1358,4294,3097,3546,6864,3966
"JYA73_RS06125",1596,4065,3322,3606,6807,5613
"JYA73_RS06160",105,262,392,431,758,953
"JYA73_RS06225",9685,56890,18390,46223,70123,108560
"JYA73_RS06275",1545,2466,4024,3443,5910,6595
"JYA73_RS06300",736,1070,1554,2016,3632,3407
"JYA73_RS06305",1022,2297,2205,2395,3498,4118
"JYA73_RS06395",3430,4879,6633,9134,14035,15894
"JYA73_RS06400",47,79,189,124,261,222
"JYA73_RS06405",31,82,179,313,594,517
"JYA73_RS06410",21,46,109,382,693,535
"JYA73_RS06415",25,35,75,377,725,689
"JYA73_RS06420",30,55,165,5736,13135,9814
"JYA73_RS06490",116,257,251,226,275,889
"JYA73_RS06495",1024,3034,2415,3066,4841,4914
"JYA73_RS06525",2072,4911,3310,4547,8331,8936
"JYA73_RS06530",6793,18231,15467,22792,33170,45292
"JYA73_RS06535",18909,41919,36529,53602,83271,107160
"JYA73_RS06585",2563,5782,5015,4892,8406,10333
"JYA73_RS06590",985,3073,2989,3110,5128,6592
"JYA73_RS06595",2055,4991,5854,6165,10293,13968
"JYA73_RS06605",1249,3163,2769,3060,4433,5896
"JYA73_RS06705",1246,5170,5733,8781,13537,18651
"JYA73_RS06710",755,2249,2985,4580,6389,8599
"JYA73_RS06775",11728,10714,8290,17598,31056,45502
"JYA73_RS06835",33394,16277,20495,112824,213058,261554
"JYA73_RS06850",11898,21405,24482,25406,38876,51038
"JYA73_RS06865",532,681,1406,1259,2341,2222
"JYA73_RS06875",5611,19765,14380,39615,56250,99427
"JYA73_RS06970",866,1371,1769,4489,6524,9769
"JYA73_RS07005",482,1311,517,1520,2318,3101
"JYA73_RS07010",139,194,104,429,669,876
"JYA73_RS07035",6135,9773,14009,13521,20091,32693
"JYA73_RS07040",604,1358,1608,3231,4693,7978
"JYA73_RS07085",1447,1385,1739,2621,3641,4588
"JYA73_RS07155",550,2583,2257,23054,32687,42123
"JYA73_RS07160",308,1739,1644,12716,16652,21495
"JYA73_RS07165",161,806,794,5154,6114,10877
"JYA73_RS07235",1293,2359,3432,2875,4391,5339
"JYA73_RS07240",574,660,1185,1854,3322,3964
"JYA73_RS07255",12856,15377,14414,19336,27523,53062
"JYA73_RS07305",1305,2914,4129,2924,4382,5978
"JYA73_RS07310",861,1222,1904,1994,3122,4638
"JYA73_RS07340",1006,3390,2435,2817,4104,5883
"JYA73_RS07345",1505,4432,3086,4454,6890,12387
"JYA73_RS07350",5787,13945,14415,42271,74390,72631
"JYA73_RS07355",4716,10191,11058,38446,77811,68374
"JYA73_RS07360",2768,4335,4648,22065,44043,38977
"JYA73_RS07390",6072,22664,17986,22075,34349,47956
"JYA73_RS07395",1003,3481,3309,4902,6370,11695
"JYA73_RS07400",1444,4433,3590,6600,8283,11666
"JYA73_RS07590",508,1956,1498,6053,7583,14050
"JYA73_RS07610",2119,3391,4630,4779,8975,9832
"JYA73_RS07620",1,5,15,14,15,34
"JYA73_RS07860",540,1534,1135,1546,2307,3689
"JYA73_RS07915",2282,4553,7415,12738,19771,22612
"JYA73_RS07920",1045,1140,2741,8454,14337,19310
"JYA73_RS07925",3109,13578,12738,30781,43847,74481
"JYA73_RS07930",1495,5899,8226,16264,23085,35098
"JYA73_RS07980",6595,2923,3417,7603,14736,17629
"JYA73_RS07985",3407,3093,1811,5699,9789,15167
"JYA73_RS08000",2550,2871,6561,20286,37040,33992
"JYA73_RS08005",94558,55360,22349,117583,206580,297157
"JYA73_RS08015",1147,4512,3906,3803,5290,7924
"JYA73_RS08125",4156,8197,9523,27465,42868,55827
"JYA73_RS08130",1341,3228,2095,19097,24439,48650
"JYA73_RS08165",1818,9746,4457,11927,15835,30300
"JYA73_RS08170",18741,23928,10428,31942,47287,71054
"JYA73_RS08180",3622,12499,18510,12205,20965,21875
"JYA73_RS08185",524,1284,2398,1702,2552,3260
"JYA73_RS08195",728,1096,1190,1237,1840,3615
"JYA73_RS08200",1176,2016,2824,3473,5635,8651
"JYA73_RS08235",3973,5249,2804,6728,7508,16111
"JYA73_RS08300",1760,2500,1814,10674,16125,26606
"JYA73_RS08305",1130,2057,2357,5311,9326,7315
"JYA73_RS08310",3616,7280,9618,20315,35282,29764
"JYA73_RS08315",1942,3595,5070,10440,17525,14440
"JYA73_RS08320",4861,7732,11434,22773,40158,29982
"JYA73_RS08325",422,1222,605,1634,2241,3318
"JYA73_RS08395",837,1252,1231,3629,4850,8541
"JYA73_RS08410",8323,11337,8745,16939,30698,27100
"JYA73_RS08415",145,297,515,439,735,1023
"JYA73_RS08420",101,218,419,408,521,910
"JYA73_RS08430",294,703,903,1381,2132,2555
"JYA73_RS08435",533,1220,1720,1838,2642,3419
"JYA73_RS08445",48,307,429,5918,10958,14756
"JYA73_RS08450",174,1380,1471,18214,39853,29084
"JYA73_RS08455",2,43,35,294,458,517
"JYA73_RS08460",46,71,160,385,575,442
"JYA73_RS08465",117,168,345,516,974,625
"JYA73_RS08595",14,33,30,36,58,82
"JYA73_RS08600",42,75,98,164,239,333
"JYA73_RS08760",3275,3609,6278,5199,7754,10424
"JYA73_RS08775",5342,12509,5295,13302,15643,30905
"JYA73_RS09025",4458,5084,3332,7813,12015,17376
"JYA73_RS09065",2796,6627,2892,6237,9382,11825
"JYA73_RS09120",2694,2967,3170,7120,9918,16866
"JYA73_RS09135",341,522,777,747,1160,2185
"JYA73_RS09260",183,405,482,585,865,1185
"JYA73_RS09295",257,190,294,369,246,1488
"JYA73_RS09320",3488,2935,3640,9824,14444,23728
"JYA73_RS09340",1600,2179,4019,3477,6429,4172
"JYA73_RS09345",333,357,722,708,1031,1776
"JYA73_RS09415",600,1509,527,1165,1780,2355
"JYA73_RS09435",2061,4871,5238,3743,6455,8668
"JYA73_RS09465",108076,17013,33057,259768,630327,222428
"JYA73_RS09470",15063,13546,27407,41810,89501,40411
"JYA73_RS09475",2441,2836,5726,8078,17404,10082
"JYA73_RS09480",16065,22531,41617,58574,119845,57589
"JYA73_RS09485",11537,17305,32471,36299,90339,38425
"JYA73_RS09510",4,13,10,20,31,80
"JYA73_RS09515",23,53,76,79,100,117
"JYA73_RS09755",7751,4524,2733,30594,48607,70633
"JYA73_RS09765",66,57,256,113,163,435
"JYA73_RS09830",732,1311,1249,1628,2601,2955
"JYA73_RS09835",5799,8800,11691,9751,20334,15280
"JYA73_RS09840",14170,27957,37743,32018,67928,48864
"JYA73_RS09845",8821,17922,25186,21988,39937,29071
"JYA73_RS09850",10660,22661,32279,26601,50557,39074
"JYA73_RS09855",4239,9343,12617,11723,20423,15063
"JYA73_RS09860",3555,7472,10572,9194,17290,12427
"JYA73_RS09865",1105,1890,3056,2559,4865,5857
"JYA73_RS09870",6360,10268,13354,13561,27309,20355
"JYA73_RS09875",3060,4882,5437,6632,11106,10520
"JYA73_RS09880",6316,13879,11666,23436,40525,33995
"JYA73_RS09885",2291,5820,4868,8471,16631,12900
"JYA73_RS09890",7214,16701,15279,29550,52180,48698
"JYA73_RS09895",3320,6487,5701,11485,21059,18385
"JYA73_RS09970",238,529,973,562,921,1294
"JYA73_RS10000",2534,2672,2935,6076,10472,10643
"JYA73_RS10005",2728,4646,5514,11890,19675,27073
"JYA73_RS10010",733,1540,1982,3227,5924,9038
"JYA73_RS10045",920,1178,573,3508,4994,12602
"JYA73_RS10075",50,82,77,114,129,136
"JYA73_RS10095",70,119,182,133,217,259
"JYA73_RS10100",151,508,402,587,871,1101
"JYA73_RS10125",960,1289,1205,3565,5106,8760
"JYA73_RS10250",1125,3195,4010,3402,5043,6726
"JYA73_RS10265",21055,64243,12064,94907,146031,294594
"JYA73_RS10270",3685,13292,2265,28290,43719,72497
"JYA73_RS10275",10119,30339,5131,76834,117944,177854
"JYA73_RS10280",1450,6440,1388,5822,9616,11374
"JYA73_RS10290",2567,4315,4092,6636,11051,20294
"JYA73_RS10295",439,1307,1583,1294,1663,3247
"JYA73_RS10305",300,280,330,468,615,955
"JYA73_RS10310",36,42,52,60,67,140
"JYA73_RS10315",106,96,108,137,178,267
"JYA73_RS10320",99,101,81,149,177,368
"JYA73_RS10325",71,71,57,106,156,294
"JYA73_RS10330",69,63,50,107,136,332
"JYA73_RS10350",126,319,245,450,504,650
"JYA73_RS10355",67,154,168,243,279,529
"JYA73_RS10360",0,4,4,10,12,7
"JYA73_RS10365",1163,3942,3627,14325,21141,27675
"JYA73_RS10390",434,1300,2159,1793,2411,3352
"JYA73_RS10415",53,29,52,64,75,226
"JYA73_RS10450",2132,4491,6553,5052,9608,6860
"JYA73_RS10455",7510,16908,23148,20351,38217,30396
"JYA73_RS10460",2378,5216,6996,6956,12490,8853
"JYA73_RS10465",2360,5495,7494,6512,12321,11706
"JYA73_RS10470",651,1420,2194,1719,2620,5404
"JYA73_RS10475",935,1933,2463,2356,4249,3481
"JYA73_RS10480",4953,10867,14652,10428,21047,18265
"JYA73_RS10485",13842,23480,31838,27704,51754,41298
"JYA73_RS10490",2874,4478,6669,5881,11260,9573
"JYA73_RS10595",2252,2271,1500,16382,21752,34039
"JYA73_RS10770",217,561,559,566,855,2219
"JYA73_RS10820",1126,1381,1193,1827,3238,6105
"JYA73_RS10865",3885,3991,4713,9797,16310,18920
"JYA73_RS10890",15108,48971,36560,47782,81617,104718
"JYA73_RS10895",2218,3118,5805,3895,6043,9654
"JYA73_RS10900",456,709,1159,2910,4481,7778
"JYA73_RS10970",1136,1952,2024,1511,2353,5958
"JYA73_RS10995",616,1723,596,11567,20354,20822
"JYA73_RS11000",400,1254,355,10076,16378,25111
"JYA73_RS11005",207,212,252,390,529,855
"JYA73_RS11010",57,104,63,117,154,202
"JYA73_RS11015",1979,3657,917,10997,18850,40919
"JYA73_RS11085",584,829,1173,1079,1640,2409
"JYA73_RS11105",78,112,319,262,522,519
"JYA73_RS11110",18,20,64,77,134,156
"JYA73_RS11175",6631,12608,10256,13621,19946,33499
"JYA73_RS11190",6689,9513,5257,25576,37973,52922
"JYA73_RS11245",193,101,198,265,279,618
"JYA73_RS11255",963,828,408,3455,5205,6042
"JYA73_RS11410",643,2016,2168,1786,2832,3471
"JYA73_RS11415",661,2137,2412,1948,2740,3260
"JYA73_RS11420",441,1462,2058,1928,3030,3279
"JYA73_RS11425",867,1684,4153,2967,4875,5727
"JYA73_RS11450",1069,1696,169,3250,7992,5727
"JYA73_RS11455",296,292,87,6502,13625,8863
"JYA73_RS11460",193,188,36,673,1406,961
"JYA73_RS11465",490,366,175,1472,3334,1956
"JYA73_RS11525",2997,2791,6448,6311,11520,11708
"JYA73_RS11530",6347,5098,12759,11572,17883,24094
"JYA73_RS11555",958,2292,1453,1887,3693,3147
"JYA73_RS11595",2283,2999,4412,4380,8418,7551
"JYA73_RS11600",2517,5021,7235,6556,11639,11260
"JYA73_RS11605",875,1926,2844,2350,4135,4085
"JYA73_RS11625",234,315,748,423,649,1024
"JYA73_RS11645",473,698,352,810,1551,1884
"JYA73_RS11725",284,1089,500,1562,2486,5239
"JYA73_RS11735",2699,1908,498,7216,12258,13156
"JYA73_RS11745",458,1103,1091,4834,6041,18807
"JYA73_RS11750",163,178,122,320,462,854
"JYA73_RS11755",34,59,40,52,69,125
"JYA73_RS11860",942,1678,1050,1494,2751,2928
"JYA73_RS11870",136,231,157,226,426,482
"JYA73_RS11895",398,1000,1457,1986,4441,3390
"JYA73_RS11915",578,1810,1711,2028,3257,3521
"JYA73_RS11925",25,34,67,105,121,322
"JYA73_RS11930",17,14,40,85,133,391
"JYA73_RS11950",838,1629,2376,11545,14126,32759
"JYA73_RS11955",2335,2256,8336,12411,23718,16772
"JYA73_RS12000",33,22,43,406,1062,632
"JYA73_RS12025",274,514,418,2969,5055,6996
"JYA73_RS12030",4861,13597,20089,16088,29060,38575
"JYA73_RS12035",1642,4208,7493,9407,19295,20169
"JYA73_RS12050",19079,4374,9917,31590,54188,80797
"JYA73_RS12065",1146,1857,2693,2508,4290,4349
"JYA73_RS12070",680,994,1117,1626,2541,8268
"JYA73_RS12110",3436,5597,4409,10581,19926,21437
"JYA73_RS12130",601,925,288,1077,1541,2316
"JYA73_RS12150",2097,7819,2520,5894,10758,11378
"JYA73_RS12155",2402,8957,2753,10494,18022,24161
"JYA73_RS12160",2632,8810,2774,15241,22215,32754
"JYA73_RS12165",754,954,460,4450,5366,10394
"JYA73_RS12235",226,667,622,914,1315,1814
"JYA73_RS12240",965,2302,972,3014,5639,6729
"JYA73_RS12260",12,28,23,33,46,52
"JYA73_RS12265",2,27,10,27,30,76
"JYA73_RS12270",9,21,23,34,54,114
"JYA73_RS12275",1276,1597,467,1341,2490,4697
"JYA73_RS12295",2003,2219,2753,5347,9193,11859
"JYA73_RS12305",144,314,314,647,1283,987
"JYA73_RS12375",419,422,211,1608,2110,5294
"JYA73_RS12450",315,599,891,1254,2394,1870
"JYA73_RS12455",36,106,169,265,509,1228
"JYA73_RS12490",48,84,200,231,500,418
"JYA73_RS12535",149,218,563,502,959,1037
"JYA73_RS12550",25,92,130,213,346,570
"JYA73_RS12555",2600,5957,6909,20058,26739,71013
"JYA73_RS12590",1841,3362,3482,3915,6018,10295
"JYA73_RS12610",1794,3519,3658,6094,10307,14999
"JYA73_RS12655",579,643,330,997,1527,2366
"JYA73_RS12715",650,2927,2910,42467,96099,57038
"JYA73_RS12730",144,227,332,231,422,645
"JYA73_RS12735",61,93,135,91,178,237
"JYA73_RS12795",2262,4263,1193,8465,13912,19715
"JYA73_RS12800",316,231,404,742,1078,1769
"JYA73_RS12815",798,820,697,1254,1870,2405
"JYA73_RS12830",90,187,106,339,460,731
"JYA73_RS12880",532,293,530,6093,8267,16428
