"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS10060",1054,1076,837,971,1394,776,804,1225,951,610,1009,472
"NWMN_RS10065",1231,962,1213,1146,1936,1255,1492,1639,2192,821,1077,505
"NWMN_RS10070",6035,3218,6770,4731,6387,4732,3495,4104,4610,5118,3206,3728
"NWMN_RS10080",2670,1898,2845,1835,2801,2287,2918,2843,3149,2178,1607,1506
"NWMN_RS10085",5738,2948,5368,4081,5088,3909,4113,5332,4740,4078,3377,2747
"NWMN_RS10090",930,433,668,474,618,457,461,655,652,418,327,337
"NWMN_RS10095",2262,804,1934,752,789,623,858,1174,899,793,473,764
"NWMN_RS10100",2652,2345,2895,2818,3738,2648,3315,4091,3914,3679,2930,2709
"NWMN_RS10105",11196,6588,9177,13204,24049,11901,8738,10154,9165,21437,13039,15701
"NWMN_RS10110",477,342,446,442,540,320,334,442,472,384,470,397
"NWMN_RS15770",152,120,82,85,208,41,145,181,95,42,93,22
"predicted RNA",8664,5234,5169,5316,7364,3812,5521,8130,5881,2954,8184,2114
"NWMN_RS10115",4773,2012,1831,751,655,663,4538,4036,3755,1898,1297,1098
"NWMN_RS10120",141,73,73,22,19,17,222,177,140,67,45,37
"NWMN_RS10125",100,79,22,14,10,26,74,150,65,37,30,18
"NWMN_RS10130",1059,706,571,162,197,170,1448,1323,1099,594,360,337
"NWMN_RS10135",2649,1293,966,425,433,338,1683,1503,1024,676,467,457
"NWMN_RS10140",271,156,118,42,24,18,109,143,77,45,43,29
"NWMN_RS10145",20,12,0,0,0,0,0,8,6,3,2,0
"NWMN_RS10150",266,134,96,28,39,60,138,155,125,41,50,38
"NWMN_RS10155",4414,2382,2006,633,724,583,3782,3688,2949,1601,1041,977
"NWMN_RS10160",4340,2766,2365,747,719,638,3552,3390,3282,1578,794,1000
"NWMN_RS10165",3482,1593,1408,513,523,417,2402,2469,1867,1136,607,710
"NWMN_RS10170",1301,736,586,195,367,209,1178,1641,987,539,360,414
"NWMN_RS10175",7890,4451,4527,1949,2476,1874,5485,5119,4833,3206,1691,2365
"NWMN_RS10180",547,399,214,126,78,78,523,771,370,242,157,139
"NWMN_RS10185",603,381,266,167,146,117,385,448,188,206,105,155
"NWMN_RS10190",1230,663,466,280,282,213,914,1136,580,645,453,469
"NWMN_RS10195",445,285,217,115,98,73,940,1006,537,591,336,470
"NWMN_RS10200",1697,868,733,347,418,347,3305,3843,2772,1942,1075,1409
"NWMN_RS10205",1583,852,652,398,378,307,3106,3449,2845,1845,914,1380
"NWMN_RS10210",823,526,421,146,170,125,1843,2011,1515,935,540,733
"NWMN_RS10215",544,517,304,193,191,132,1239,2134,856,1068,525,860
"NWMN_RS10220",9461,4568,4503,2510,2559,2195,20330,22414,16268,12512,6654,8831
"NWMN_RS10225",885,628,296,174,172,90,1459,2783,850,1061,721,678
"NWMN_RS10230",16,20,15,1,2,1,54,30,13,17,8,8
"NWMN_RS10235",1773,906,723,417,475,323,2841,3466,2175,1664,848,1294
"NWMN_RS10240",2088,998,814,757,778,626,3794,4149,2925,2753,1519,1937
"NWMN_RS10245",653,370,350,299,368,296,1308,1457,1067,1164,756,821
"NWMN_RS10250",75,82,72,48,49,54,256,257,122,217,162,163
"NWMN_RS10255",291,254,143,183,162,81,375,514,312,279,218,222
"NWMN_RS10260",328,104,72,63,69,48,264,321,162,95,135,96
"NWMN_RS10265",126,68,53,27,28,8,62,143,63,42,34,45
"NWMN_RS10270",162,104,56,41,68,16,155,296,114,53,105,87
"NWMN_RS10275",11,18,8,1,1,4,7,36,12,6,6,6
"NWMN_RS10280",609,397,320,102,126,143,819,730,529,245,124,223
"NWMN_RS10285",2,25,6,0,0,4,21,41,11,0,1,3
"NWMN_RS10290",93,44,20,11,7,7,34,81,25,3,8,4
"NWMN_RS10295",228,137,65,23,48,24,147,274,86,64,77,59
"NWMN_RS10305",500,307,223,55,83,49,455,515,358,102,63,108
"NWMN_RS10310",504,190,141,38,46,36,346,452,222,157,90,88
"NWMN_RS10315",585,300,201,111,91,52,584,652,263,138,129,116
"NWMN_RS10320",278,124,67,35,27,12,199,305,147,51,54,53
"NWMN_RS10325",1068,616,671,143,173,122,1016,1294,890,252,180,234
"NWMN_RS10330",1390,641,485,196,143,148,1154,1338,820,400,265,329
"NWMN_RS10335",1800,649,578,188,246,172,897,1549,755,399,381,272
"NWMN_RS10340",164,132,70,22,17,24,159,288,118,56,51,30
"NWMN_RS10345",2216,1184,780,358,396,222,1653,2467,1301,641,390,492
"NWMN_RS10350",1371,782,615,200,275,190,1364,1485,1125,484,325,432
"NWMN_RS10355",16534,14252,18365,20497,25413,19122,19801,20645,27184,30920,16385,24220
"NWMN_RS10360",1777,1080,983,364,392,355,1887,1773,1594,873,481,652
"NWMN_RS10365",1428,797,701,251,381,245,1256,1759,1149,796,548,625
"NWMN_RS10370",1202,694,550,206,208,167,1161,1637,1081,565,332,507
"NWMN_RS10375",517,229,123,56,81,46,468,540,388,179,106,207
"NWMN_RS10380",316,164,112,24,51,36,305,378,274,127,77,177
"NWMN_RS15430",69,36,42,18,16,8,70,99,62,59,16,36
"NWMN_RS10385",395,162,165,102,93,68,482,588,353,264,199,320
"NWMN_RS10390",418,316,228,309,413,298,515,448,637,441,479,380
"NWMN_RS10395",3288,1648,1572,1205,1093,961,5105,5586,4574,3687,2014,3026
"NWMN_RS15435",95,182,57,68,114,56,415,628,212,351,273,239
"predicted RNA",68328,38642,48149,79414,79785,58162,57343,47427,63669,107095,79097,112401
"NWMN_RS10400",136,169,299,200,190,216,307,198,365,340,170,267
"NWMN_RS15885",73,48,36,30,46,28,154,166,136,132,76,120
"NWMN_RS10405",69,55,56,49,42,20,221,276,132,145,116,103
"NWMN_RS10410",2133,1632,1778,1725,1727,1530,2203,2694,2828,2282,1523,1928
"NWMN_RS10415",1519,1711,1348,1458,2113,1236,1290,2621,1690,1760,1974,1433
"NWMN_RS10420",16,8,4,2,4,0,4,5,7,5,7,3
"NWMN_RS10425",1284,1705,1334,986,1499,1243,1598,2132,1828,1049,776,943
"NWMN_RS10430",2752,1915,1772,1961,2930,1980,1921,2366,2015,1434,1654,1136
"NWMN_RS10435",19325,6363,11674,15139,20198,13457,7064,11917,7840,9823,15197,7194
"NWMN_RS10440",11877,5499,9651,9609,11867,8809,6055,8713,6642,6699,7902,4830
"NWMN_RS10445",444,201,295,324,406,255,251,377,200,220,379,179
"NWMN_RS10450",11503,5638,7877,10399,24995,10457,6376,12076,6719,15178,16602,9382
"NWMN_RS10455",1666,889,1347,1800,2987,1605,1210,1351,1202,2976,2774,1933
"NWMN_RS10460",10825,5379,9608,13196,27063,14155,5830,6502,6532,15317,9954,9985
"NWMN_RS10465",5021,2792,5112,3196,3826,2558,2374,3641,2493,1898,2452,1210
