"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS00005",9922,6145,6358,5441,5920,4584,6156,7723,6354,5447,4515,4808
"NWMN_RS00010",15246,9834,14940,10439,11997,10604,10740,12466,13643,9279,7035,7594
"NWMN_RS00015",457,309,345,267,355,234,253,429,308,362,429,299
"NWMN_RS00020",14038,9593,12456,9786,11601,9267,9623,12509,10519,8060,7662,5553
"NWMN_RS00025",48506,29381,36875,28244,35185,27467,27877,39436,29534,20359,23263,14750
"NWMN_RS00030",56519,33972,53095,37005,48013,40179,37389,42922,44796,25132,25445,18080
"NWMN_RS00035",2154,2316,1530,1965,3806,1683,2282,1737,2432,742,1166,454
"NWMN_RS00040",314,273,270,324,626,301,220,254,291,2903,314,3709
"NWMN_RS00045",5843,5097,5555,6098,8348,5992,5478,7395,7036,4156,5669,3485
"NWMN_RS00050",2800,1079,1791,2056,2046,1935,2753,3236,3401,1410,2301,710
"NWMN_RS00055",1740,666,1726,1352,1327,1203,1475,2240,2031,852,1477,383
"NWMN_RS00060",3385,1579,3070,1469,2350,1395,2453,3162,3110,1242,1541,674
"NWMN_RS00065",13331,9489,16972,10069,11094,9761,8140,10137,10772,6918,6999,4992
"NWMN_RS00070",36980,21628,41911,23055,24283,22185,20136,22719,23956,12684,14511,9287
"NWMN_RS00075",6425,4838,6947,4052,5311,3603,3265,5186,4165,2762,3712,1896
"NWMN_RS00080",45771,22955,44242,26325,28837,26090,22583,28426,26707,15651,17407,9705
"NWMN_RS00085",3321,3221,3676,3233,4144,3481,2294,2352,2859,1106,1538,834
"NWMN_RS00090",0,3,0,0,2,0,0,0,0,0,3,0
"NWMN_RS00095",0,3,0,3,8,0,0,0,0,3,1,2
"NWMN_RS00100",27019,10404,20431,13512,15090,12465,11997,19516,13491,12489,9815,8799
"NWMN_RS00105",19782,10764,19591,11949,12928,11138,12774,15566,15270,11869,7945,9524
"NWMN_RS00110",15168,8786,15317,8636,11735,8865,10368,12439,12770,8734,6402,7263
"NWMN_RS00115",10533,5632,9148,5615,7926,5385,6444,8854,7662,5540,4624,3801
"NWMN_RS00120",1569,1172,1482,1395,1773,1102,954,1265,1210,730,948,462
"NWMN_RS00125",2567,1446,1519,2814,4615,2342,674,775,501,790,995,747
"NWMN_RS00130",1413,693,778,818,799,729,1021,1022,773,770,495,763
"NWMN_RS00135",4,2,6,4,2,0,3,0,3,4,4,0
"NWMN_RS00140",4,7,8,18,4,7,11,13,18,11,3,4
"NWMN_RS00145",2485,1703,2730,1747,1985,1250,1804,1999,1739,1300,864,1076
"NWMN_RS00150",313,256,147,253,471,230,232,311,174,126,282,94
"NWMN_RS00155",11,14,7,24,38,13,11,8,11,10,13,2
"NWMN_RS00160",671,546,381,856,1254,910,623,949,617,368,884,302
"NWMN_RS00165",66,37,5,96,132,65,82,92,74,38,100,19
"NWMN_RS00170",145,134,130,161,377,192,140,270,130,62,149,53
"NWMN_RS00175",375,388,404,464,634,612,358,662,523,371,382,347
"NWMN_RS00180",1454,1082,1443,2015,3671,2277,1503,1640,1707,4672,2354,3760
"NWMN_RS15910",0,12,13,18,36,3,5,51,18,9,8,6
"NWMN_RS00190",5059,4099,3533,4432,7018,3835,4177,4212,5074,2633,3333,1721
"NWMN_RS00195",75,6,0,10,20,21,31,27,19,32,9,16
"NWMN_RS00200",387,266,316,428,445,324,196,477,302,212,325,266
"NWMN_RS00205",170,116,274,129,293,159,139,261,243,132,186,92
"NWMN_RS00210",78,72,106,70,82,33,74,106,69,32,52,36
"NWMN_RS00215",121,193,231,174,267,133,230,262,264,178,186,102
"NWMN_RS00220",86,127,138,89,346,131,168,222,167,219,235,181
"NWMN_RS00225",381,318,322,293,474,413,354,436,360,248,333,183
"NWMN_RS00230",308,172,131,123,248,110,153,232,161,98,191,49
"NWMN_RS00235",2708,1363,1807,1440,1751,1569,1499,2467,1868,1831,1196,1519
"NWMN_RS00240",676,307,462,347,622,341,303,655,340,333,522,226
"NWMN_RS00245",215,225,136,218,267,111,237,338,382,162,197,128
"NWMN_RS00250",0,19,16,7,10,0,17,27,8,1,6,6
"NWMN_RS00255",73,61,60,45,33,28,98,42,65,17,28,32
"NWMN_RS00260",54,50,85,26,28,23,35,82,34,17,11,11
"NWMN_RS00265",130,111,181,47,87,31,83,129,103,52,43,41
"NWMN_RS00270",15304,7125,11747,10027,15443,10369,9078,12136,12193,9231,9881,5951
"NWMN_RS00275",1381,676,648,1148,3474,927,1566,2281,1651,8097,3829,7564
"NWMN_RS00280",2392,1429,2766,2811,7618,2900,3571,4200,4119,19218,9450,18719
"NWMN_RS00285",17131,16418,13829,43383,72272,50995,18483,13734,21972,25643,34613,20076
"NWMN_RS00290",164,278,342,775,630,414,895,827,1306,2902,1195,2075
"NWMN_RS00295",7,26,48,19,19,20,43,78,61,42,37,30
"NWMN_RS00300",1519,734,743,855,1361,899,2188,3612,2836,1349,2443,868
"NWMN_RS00305",411,449,519,629,918,592,422,829,563,1193,1122,1045
"NWMN_RS00310",16609,9871,13246,12410,28359,13685,9684,14231,11101,15720,14818,13225
"predicted RNA",76,72,38,104,286,64,13,54,10,62,38,31
"NWMN_RS00315",41551,23827,22636,50512,91127,41429,7934,15235,7104,23861,13925,19361
"NWMN_RS00320",2425,2885,2274,3083,4355,2688,1386,1764,1495,1826,1927,1423
"NWMN_RS00325",3347,2719,2106,2704,6372,3484,1648,1842,1891,4376,2713,3814
"NWMN_RS00330",14640,4991,4615,3927,10227,7053,547,1383,572,454,557,236
"NWMN_RS00335",11070,5891,3459,4031,8781,6112,270,1063,174,190,216,176
"NWMN_RS00340",1740,422,369,340,778,819,1,26,2,5,2,5
"NWMN_RS00345",2853,568,698,399,1559,1111,6,81,19,38,26,24
"NWMN_RS00350",3596,1004,777,417,2465,1295,105,198,106,70,60,50
"NWMN_RS00355",1419,397,112,281,929,327,0,88,74,45,45,27
"NWMN_RS00360",1544,789,485,332,1878,578,111,226,86,79,137,60
"NWMN_RS00365",2794,1186,601,556,2589,771,200,429,197,152,221,135
"NWMN_RS00370",2023,707,413,389,1837,499,164,276,218,158,196,114
"NWMN_RS00375",2929,1144,514,660,3087,735,324,587,386,176,356,138
"NWMN_RS00380",1531,849,485,523,1806,518,194,420,300,159,268,103
"NWMN_RS00390",57,80,64,66,136,44,22,63,64,67,47,91
"NWMN_RS00395",181,224,239,266,456,213,117,213,128,229,229,169
"NWMN_RS00400",14543,6354,11069,12066,14788,9298,12275,16151,15600,24372,15644,16101
"NWMN_RS00405",0,1,4,2,0,0,0,0,2,0,0,3
"NWMN_RS00410",141,56,75,45,127,54,5553,6530,9939,3138,3862,1862
"NWMN_RS00415",137,72,12,58,130,59,4841,6737,7634,2120,4083,1481
"NWMN_RS00420",126,144,143,113,194,74,4907,6244,8169,1451,3225,1045
"NWMN_RS00425",123,151,160,106,180,98,2417,3020,4458,882,1650,455
"NWMN_RS00430",700,667,749,648,1124,748,4639,5373,7624,1832,2958,1148
"NWMN_RS00435",1339,610,593,593,986,468,278,561,289,128,456,115
"NWMN_RS00440",6372,2880,4818,2527,2638,1954,4644,6040,5533,8517,4050,6696
"NWMN_RS00445",971,756,635,1206,1551,983,864,982,958,1174,1096,856
"NWMN_RS00455",34,33,42,41,76,38,72,63,25,113,70,92
"NWMN_RS00460",1229,1092,1131,1016,2120,1066,994,1093,1091,1647,1086,1211
"NWMN_RS00465",5685,3625,5961,4897,6199,4854,2794,3847,3373,2967,3630,2488
"NWMN_RS00470",33182,16253,30028,25404,30926,24433,13749,19173,16993,15746,15418,11611
"NWMN_RS00475",137,96,127,82,172,152,342,473,558,323,283,200
"NWMN_RS00480",102,93,80,118,239,70,449,648,690,432,348,306
"NWMN_RS00485",22,33,41,70,86,42,300,515,455,256,208,201
"NWMN_RS00490",82,51,42,6,61,33,149,301,250,253,205,155
"NWMN_RS00495",242,195,110,161,305,202,357,491,415,319,421,192
"NWMN_RS00500",1223,741,877,1071,1205,825,1209,1469,1153,1045,1359,707
"NWMN_RS00505",0,12,8,18,15,35,27,42,56,44,12,19
"NWMN_RS15665",18,16,21,39,20,54,32,49,26,10,29,9
"NWMN_RS00520",0,0,11,0,2,0,3,9,9,0,0,0
"predicted RNA",25602,16825,17242,20431,24577,18069,17822,23940,19734,16695,14286,9434
"NWMN_RS15915",39,36,32,18,32,4,37,37,4,6,27,18
"NWMN_RS00530",567,843,547,1607,599,528,469,575,947,499,524,357
"NWMN_RS00535",36,29,31,55,79,4,8,8,4,41,4,62
"NWMN_RS00540",161,75,81,121,164,88,41,25,47,139,18,96
"NWMN_RS00545",145,82,38,100,214,70,24,29,25,100,24,107
"NWMN_RS00550",397,202,135,150,386,157,87,107,79,163,86,136
"NWMN_RS00555",254,143,164,119,251,109,55,55,58,80,51,79
"NWMN_RS00560",126,102,162,67,212,93,55,59,90,124,56,94
"NWMN_RS00565",291,182,224,168,507,230,92,167,133,231,123,193
"NWMN_RS00570",3,41,20,12,84,27,19,18,21,25,28,33
"NWMN_RS00575",145,107,89,73,164,96,73,85,66,131,63,145
"NWMN_RS00580",184,131,169,102,332,179,151,177,194,208,110,164
"NWMN_RS00585",102,139,84,108,248,111,144,133,113,104,116,120
"NWMN_RS00590",545,414,577,410,929,493,342,481,530,429,330,401
"NWMN_RS00595",348,290,296,208,568,309,317,324,183,255,277,256
"NWMN_RS00600",529,335,366,275,606,319,244,326,286,348,240,327
"NWMN_RS00605",964,717,899,728,1680,811,788,934,910,1078,717,704
"NWMN_RS00610",1209,745,814,827,1509,655,876,1128,893,936,849,639
"NWMN_RS00615",1528,785,476,752,1020,1151,206,548,316,205,310,242
"NWMN_RS00620",1248,754,500,614,947,1123,266,420,314,226,217,224
"NWMN_RS00625",915,442,2615,3714,9251,4088,388,647,282,75622,2532,47796
"NWMN_RS00630",646,439,656,584,886,531,444,654,651,926,579,663
"NWMN_RS00635",25,14,2,9,30,6,17,48,40,117,41,49
"NWMN_RS00640",124,80,88,35,54,36,99,96,30,51,53,31
"NWMN_RS00645",44,26,29,22,24,24,74,60,32,4,9,5
"NWMN_RS00650",77,66,55,36,128,66,71,154,68,63,95,56
"NWMN_RS00655",26,56,42,56,108,40,91,108,127,71,78,38
"NWMN_RS00660",554,276,287,441,1193,510,528,464,381,688,659,374
"NWMN_RS00665",2340,727,1257,1076,1905,842,1391,1744,1193,2741,2401,2311
"NWMN_RS00670",101,43,66,30,80,33,52,145,104,103,111,100
"NWMN_RS00675",2161,1418,1654,1031,1838,1025,359,588,515,349,446,287
"NWMN_RS00680",39753,26736,28309,26770,47535,27066,12395,14177,12638,8718,10661,5627
"NWMN_RS00685",3224,3469,2237,2955,5790,2570,1468,1954,1345,1518,1449,879
"NWMN_RS00690",2532,1739,3343,1807,599,832,6701,3969,12575,1770,2623,1197
"NWMN_RS00695",421,249,280,207,291,185,839,720,1446,234,303,133
"NWMN_RS00700",894,593,653,497,652,514,2651,2063,3581,444,807,326
"NWMN_RS00705",463,201,200,226,401,157,1509,1235,2021,305,510,207
"NWMN_RS00710",715,256,201,243,328,244,1646,1629,2552,291,698,206
"NWMN_RS00715",5140,3006,4578,5051,4487,4441,3016,4022,4460,3630,3319,2482
"NWMN_RS00720",121,124,154,582,1221,583,210,153,158,2029,375,1440
"NWMN_RS00725",1266,794,1338,6087,11780,5833,1271,1600,1684,21783,3352,17528
"NWMN_RS00730",0,1,0,0,1,1,0,0,4,1,0,0
"NWMN_RS00735",26578,31990,22744,7699,17216,10605,17966,17461,27293,4541,8053,2940
"NWMN_RS00740",242,133,193,454,1163,295,74,99,131,7045,234,6139
"NWMN_RS00745",56,31,62,155,544,75,36,40,18,1906,109,1725
"NWMN_RS00750",302,267,363,502,1437,485,186,283,370,5480,419,5311
"NWMN_RS00755",199,168,230,371,1286,434,199,267,206,4509,327,3311
"predicted RNA",42,39,68,82,301,55,32,58,30,753,56,740
"NWMN_RS00760",32,12,9,15,13,9,5,7,6,10,31,15
"NWMN_RS00765",7259,4343,4732,5819,7460,5342,4710,5808,5747,5807,4634,5031
"NWMN_RS00770",1227,1011,1672,1125,1257,1077,1209,1450,1277,1300,1266,1140
"NWMN_RS00775",962,613,953,638,611,492,880,752,971,781,493,589
"NWMN_RS00780",1787,1126,2225,1178,1027,821,1540,1855,1476,1239,938,1043
"NWMN_RS00785",299,197,127,136,221,98,378,395,338,168,154,152
"NWMN_RS00790",12,13,0,0,21,12,22,24,44,20,14,23
"NWMN_RS00795",63,40,23,11,56,31,89,56,86,35,22,42
"NWMN_RS00800",237,91,169,102,222,63,194,243,188,164,114,85
"NWMN_RS00805",547,449,456,505,849,373,558,653,600,558,536,339
"NWMN_RS00810",91,72,47,113,97,102,105,127,92,164,141,107
"NWMN_RS00815",399,375,399,389,762,330,390,533,379,488,511,402
"NWMN_RS00820",1182,361,737,342,531,247,429,664,398,290,441,96
"NWMN_RS00825",429,177,635,1076,1602,1088,79,127,162,12213,1000,6088
"NWMN_RS00830",426,263,666,1407,2480,1472,165,176,226,14732,1052,7532
"NWMN_RS00835",597,436,924,2333,5849,2690,231,271,304,22052,1938,12948
"NWMN_RS00840",839,405,685,1867,7115,2600,187,396,234,20818,2267,12878
"NWMN_RS00845",907,397,876,2524,8708,3302,255,409,330,23480,2980,14739
"NWMN_RS00850",604,298,429,1403,4520,1506,149,195,216,13435,1620,7866
"NWMN_RS00855",851,561,713,2019,8493,2790,451,378,483,18732,2262,11895
"NWMN_RS00860",2187,4795,2941,1577,5196,2172,1899,2359,2970,279,1634,253
"NWMN_RS00865",331,151,199,286,836,350,225,291,312,6625,504,6179
"NWMN_RS00870",1932,1401,1991,1964,2272,1736,1105,1755,1547,1008,1195,737
"NWMN_RS00875",3349,2295,3316,2281,3216,2808,1683,2871,2577,1224,1406,814
"NWMN_RS00880",2032,1282,1870,1708,1716,2004,1455,1351,2030,1082,1046,714
"NWMN_RS00885",8804,13655,13837,50689,10632,16330,4794,3971,12767,16591,12678,11098
"NWMN_RS00890",1873,3528,2820,12831,3068,3607,946,841,1336,4200,3865,2712
"NWMN_RS00900",3997,2653,3376,3542,4305,3096,1507,2065,1663,1045,1603,525
"NWMN_RS00905",982,1873,686,967,2472,824,754,1141,606,811,1129,507
"NWMN_RS00910",69791,121223,86188,28385,30320,28831,69064,84789,70698,8826,17932,3926
"NWMN_RS00915",0,0,4,0,0,0,0,0,0,0,0,0
"NWMN_RS00925",503,165,166,207,375,215,207,252,348,429,142,472
"NWMN_RS00930",96,103,91,96,220,126,100,133,159,318,128,374
"NWMN_RS00935",42,8,16,38,34,0,0,7,15,289,14,185
"NWMN_RS00940",14,39,86,30,64,58,28,21,34,313,43,296
"NWMN_RS00945",261,64,367,107,155,134,95,49,80,1764,147,1376
"NWMN_RS00950",8807,5041,7918,5591,11725,6354,4235,6128,5943,3382,4058,1952
"NWMN_RS00955",259,301,210,259,257,168,561,558,643,418,438,251
"NWMN_RS00960",227,245,215,240,83,176,443,416,629,175,245,136
"NWMN_RS00965",92,146,95,276,86,72,170,296,226,92,191,70
"NWMN_RS00970",4649,4096,2928,7031,2832,3020,6288,8707,9400,4027,8205,2622
"NWMN_RS00975",0,12,6,0,2,0,16,14,11,3,11,3
"predicted RNA",117,206,140,123,9,10,175,44,271,3,61,3
"NWMN_RS00980",43093,39589,57159,42824,2248,6187,51378,9291,108543,1458,6541,641
"NWMN_RS00990",1362,747,926,2433,3860,2018,2002,1973,1852,5783,3241,5501
"NWMN_RS00995",2961,1645,2421,1652,2403,1510,1072,1794,1163,1327,1426,1036
"NWMN_RS01000",0,0,0,0,0,0,0,0,0,0,0,0
"NWMN_RS01005",14,13,46,7,60,0,72,37,67,71,33,51
"NWMN_RS01010",21,0,17,0,3,1,0,9,16,0,1,3
"NWMN_RS01015",0,5,0,9,2,2,0,3,3,2,0,2
"NWMN_RS01020",71,38,61,27,71,47,5,13,14,16,13,18
"NWMN_RS01025",125,76,131,85,116,76,78,80,73,46,53,36
"NWMN_RS01030",0,1,0,0,2,4,0,1,0,0,1,0
"NWMN_RS01035",206,216,288,277,397,176,236,356,247,264,219,173
"NWMN_RS01040",5479,2388,5455,2819,2282,2291,2570,4196,3063,1958,2059,1783
"NWMN_RS01045",9701,3435,9560,4842,4427,4076,4352,6827,5149,3026,2453,2363
"NWMN_RS01050",14726,6339,19078,9475,9950,7373,8364,11968,10788,5727,5011,4624
"NWMN_RS01055",5786,3652,6460,3388,4057,3144,2365,3726,2688,1480,2277,972
"NWMN_RS01060",3431,2292,3611,2230,2544,2068,1629,2262,1906,1253,1278,1140
"NWMN_RS01065",4346,3220,4150,2792,3169,2319,1923,3071,2033,1694,1742,1587
"NWMN_RS01070",41965,21236,41455,18726,24811,23238,17065,23694,22100,12628,11644,10329
"NWMN_RS01075",18805,14042,19547,11312,14135,10979,9681,13881,11178,7796,8014,6064
"NWMN_RS01080",838,644,530,1118,721,573,926,1280,1111,821,1391,551
"NWMN_RS01085",9459,7609,7657,8930,11476,8523,1999,1830,2383,1813,1296,1415
"NWMN_RS01090",3159,2735,2241,2793,4024,2356,433,563,539,506,468,348
"NWMN_RS01095",7463,5446,10286,21771,12533,24983,248,120,352,1042,237,590
"NWMN_RS01100",15066,9204,17175,43130,28060,41349,357,331,660,2515,505,1316
"NWMN_RS01105",1941,1467,2066,3693,2902,4325,2034,2269,3051,10810,4199,7659
"NWMN_RS01110",182,115,77,535,348,406,81,78,68,821,369,485
"NWMN_RS01115",1059,597,719,2667,2124,3831,526,438,610,3855,1783,3111
"NWMN_RS01125",739,539,260,406,665,641,286,448,384,130,244,91
"NWMN_RS01130",12,0,0,16,8,28,2,6,4,13,9,2
"NWMN_RS01135",1735,868,1413,1087,2094,1138,872,1093,1053,893,1094,536
"NWMN_RS01140",408,250,351,396,425,180,134,290,273,223,336,126
"NWMN_RS01145",624,310,622,384,682,435,274,302,412,280,290,198
"NWMN_RS01150",1931,1305,1694,2298,2940,1982,1763,2035,1834,3610,2354,2653
"NWMN_RS15065",0,1,2,0,2,0,0,4,0,0,0,0
"NWMN_RS01160",131,61,57,29,99,25,35,25,44,41,39,22
"NWMN_RS01165",11,9,3,5,10,2,20,9,8,0,7,0
"NWMN_RS01170",5133,3329,2278,1885,2222,3174,624,1335,664,224,469,211
"NWMN_RS01175",1935,870,1150,717,1595,1215,674,936,857,391,474,350
"NWMN_RS01180",4359,2557,2731,5525,7026,4305,3257,5390,2300,1569,5222,686
"NWMN_RS01185",70,145,194,157,418,228,201,195,182,179,210,140
"NWMN_RS01190",81,57,58,105,92,75,62,49,92,85,83,53
"NWMN_RS01195",16,37,46,40,177,87,53,65,32,88,74,41
"NWMN_RS01200",68,21,50,9,25,16,7,18,2,8,17,8
"NWMN_RS01205",0,4,0,11,16,19,5,13,0,3,4,3
"NWMN_RS01210",79,95,128,75,207,87,33,79,48,33,58,15
"NWMN_RS01215",476,266,259,504,711,437,100,139,124,107,150,74
"NWMN_RS01220",618,355,271,469,587,265,40,56,20,18,80,74
"NWMN_RS01225",282,247,309,94,99,70,85,129,89,46,43,18
"NWMN_RS01230",0,15,28,0,5,3,9,11,7,0,1,0
"NWMN_RS01235",21,6,23,5,0,4,0,9,0,0,0,0
"NWMN_RS01240",69,38,32,14,15,7,21,13,14,11,3,0
"NWMN_RS01245",435,389,370,215,297,214,232,314,227,188,148,126
"NWMN_RS01250",0,7,21,13,9,0,5,3,0,3,3,0
"NWMN_RS01255",78,21,21,30,15,7,22,33,15,23,17,8
"NWMN_RS01260",40,99,131,34,120,46,59,84,64,31,17,26
"NWMN_RS01265",70,26,66,21,65,11,55,24,41,8,9,21
"NWMN_RS01270",1312,706,742,819,1012,480,674,1042,507,615,938,506
"NWMN_RS01275",851,999,1110,1044,1237,745,867,964,735,897,941,671
"NWMN_RS01280",24,23,54,14,13,10,28,12,7,9,6,17
"NWMN_RS01285",170,201,327,157,300,151,170,218,182,117,102,109
"NWMN_RS01290",15,34,22,14,40,18,20,34,26,37,37,18
"NWMN_RS01295",35,8,8,0,7,5,1,8,5,4,7,12
"NWMN_RS01300",0,6,0,0,12,7,1,4,13,9,8,13
"NWMN_RS01305",206,81,91,130,203,95,118,249,82,120,112,78
"NWMN_RS01310",65,26,39,49,69,22,47,60,29,31,38,25
"NWMN_RS01315",471,356,384,281,539,297,427,432,458,292,234,278
"NWMN_RS15680",0,0,5,9,11,2,11,0,9,1,3,5
"NWMN_RS01320",19,27,27,15,27,1,25,71,8,3,20,3
"NWMN_RS01325",72,52,95,41,40,23,69,95,13,23,19,28
"NWMN_RS01330",57,39,99,37,34,34,49,50,39,36,9,21
"NWMN_RS01335",352,162,200,135,173,160,151,246,203,222,110,129
"NWMN_RS01340",116,53,75,42,83,40,107,118,90,81,64,56
"NWMN_RS01345",115,33,19,9,19,17,64,92,46,17,28,5
"NWMN_RS01350",15,26,33,8,10,9,17,8,15,13,4,10
"NWMN_RS01355",85,56,31,20,73,36,34,36,47,44,21,4
"NWMN_RS01360",71,102,115,94,88,49,106,67,105,85,102,70
"NWMN_RS01365",6362,5361,9566,5642,1078,1381,15022,3707,38518,1124,2447,685
"NWMN_RS01370",23304,11635,28257,14070,12575,14422,4693,5092,6844,2496,4004,1300
"NWMN_RS01375",2174,1543,1120,2575,4836,2236,233,463,226,330,533,255
"NWMN_RS01385",3200,1820,2691,3737,5393,3138,1698,2066,1563,8512,3921,7126
"NWMN_RS01390",4454,2012,3565,4580,6457,4613,2640,2659,2199,10689,4253,7936
"NWMN_RS01395",13064,6165,10361,9281,11847,8809,4949,6222,6448,6032,5288,4053
"NWMN_RS01400",66,14,10,7,59,12,10,31,39,142,36,85
"NWMN_RS01405",49,53,42,37,56,34,55,77,76,181,71,118
"NWMN_RS01410",38,89,61,60,156,110,110,142,94,247,108,242
"NWMN_RS01415",281,131,143,276,484,174,136,197,182,6280,304,9483
"NWMN_RS01420",67,21,20,218,307,125,24,77,52,5003,130,7535
"NWMN_RS01425",578,171,222,493,517,452,97,287,235,3561,474,2975
"NWMN_RS01430",3164,1746,2714,2351,2298,1952,900,1552,1175,1941,1597,1390
"predicted RNA",69,40,47,74,103,64,47,45,80,789,42,825
"NWMN_RS01435",892,619,565,940,1305,794,647,775,693,3058,832,2953
"NWMN_RS01440",83,73,153,60,146,98,58,151,108,66,58,40
"NWMN_RS01445",17375,11635,9711,9833,20429,9239,4200,4915,5367,4632,3771,3886
"NWMN_RS01450",699,1055,614,426,699,465,542,1206,644,441,483,428
"NWMN_RS01455",6,15,1,2,1,0,6,8,12,5,1,1
"NWMN_RS01460",1531,1671,1270,1449,2261,1161,1351,2645,1667,1755,2024,1478
"NWMN_RS01465",861,556,415,496,650,413,543,844,444,480,572,381
"NWMN_RS01470",515,357,262,462,484,337,257,554,225,323,524,252
"NWMN_RS01475",600,427,212,147,135,100,645,1043,620,269,321,228
"NWMN_RS01480",190,111,66,44,41,16,87,319,58,69,52,47
"NWMN_RS01485",192,226,451,375,390,374,382,370,376,337,296,195
"NWMN_RS01490",4919,2326,2282,1198,1324,1057,6199,6626,6606,3811,2103,2990
"NWMN_RS01495",288,140,45,27,47,18,231,229,120,127,42,73
"NWMN_RS01500",597,497,385,143,154,58,725,888,717,230,201,268
"NWMN_RS01505",74,37,40,23,19,4,81,114,56,52,14,32
"NWMN_RS01510",322,165,131,18,47,39,316,394,292,125,72,159
"NWMN_RS01515",542,229,177,50,76,35,467,504,320,179,116,217
"NWMN_RS01520",1165,722,581,195,209,144,1205,1545,1016,610,292,492
"NWMN_RS01525",740,449,351,116,220,135,660,966,597,433,290,343
"NWMN_RS01530",927,570,500,212,230,202,1005,1044,865,486,242,330
"NWMN_RS01535",8991,7612,9901,10823,13637,10386,10611,10989,14387,16591,8864,13067
"NWMN_RS01540",761,438,343,121,140,103,738,835,606,244,172,202
"NWMN_RS01545",1116,694,407,179,206,133,887,1354,687,363,204,283
"NWMN_RS01550",91,66,45,13,12,14,78,152,65,28,22,22
"NWMN_RS01555",967,354,293,95,125,72,500,841,394,195,194,150
"NWMN_RS01560",750,373,269,132,65,68,544,706,419,240,152,165
"NWMN_RS01565",559,319,347,86,77,79,514,672,469,131,115,112
"NWMN_RS01570",163,71,39,24,11,6,130,154,83,33,22,26
"NWMN_RS01575",317,150,103,53,46,22,320,321,149,77,74,42
"NWMN_RS01580",261,95,85,23,28,25,169,238,114,83,40,42
"NWMN_RS01585",271,163,140,26,43,27,245,305,181,45,46,51
"NWMN_RS01595",128,77,31,16,20,10,92,118,54,27,44,37
"NWMN_RS01600",50,22,5,10,2,2,16,42,9,8,2,9
"NWMN_RS01605",5,10,4,0,0,3,14,16,5,0,1,1
"NWMN_RS01610",322,219,179,48,74,64,395,403,298,129,53,92
"NWMN_RS01615",72,33,15,15,3,11,41,38,4,10,10,1
"NWMN_RS01620",206,84,65,7,10,6,104,156,88,14,7,12
"NWMN_RS01625",166,137,101,29,37,34,160,156,132,18,17,20
"NWMN_RS01630",130,83,46,32,16,10,82,101,65,24,19,15
"NWMN_RS01635",531,293,202,78,113,68,276,508,270,118,83,87
"NWMN_RS01640",1087,714,552,195,299,256,757,941,878,286,230,195
"NWMN_RS01645",1736,733,525,306,334,239,1154,1441,638,363,426,222
"NWMN_RS01650",1831,838,426,211,212,172,965,1004,852,313,349,182
"NWMN_RS01655",6127,2857,2325,801,691,592,4408,3369,4500,1331,975,896
"NWMN_RS01660",4349,2924,2051,696,969,823,3965,3500,4239,1646,1121,1227
"NWMN_RS01665",4167,2770,1590,512,612,448,3471,2683,3318,1345,672,798
"NWMN_RS01670",150,85,45,16,10,3,137,85,115,47,27,33
"NWMN_RS01675",5258,2897,1380,1194,1031,917,3242,3594,2808,1707,1525,1077
"NWMN_RS01680",17246,8746,6344,4454,3856,3612,11681,9874,11209,6646,4853,4424
"NWMN_RS15835",738,474,166,224,179,179,406,498,312,285,215,201
"NWMN_RS01685",5377,4140,1815,2073,1825,1295,3282,4497,2926,2885,2570,1674
"NWMN_RS01690",8025,4334,2679,1926,1959,1624,5301,5605,5260,2978,2480,2002
"NWMN_RS01695",10674,6122,4072,2572,2453,2482,7570,6491,7970,3977,2754,2843
"NWMN_RS01700",4944,3648,2239,1496,991,1144,4144,3029,3394,2657,1077,1572
"NWMN_RS01705",5319,2754,1591,1263,1064,766,3392,3098,2638,1574,1388,1080
"NWMN_RS01710",1727,1093,683,256,217,231,1224,1494,1160,360,338,186
"NWMN_RS01715",1070,508,270,126,94,83,517,536,436,182,163,130
"NWMN_RS01720",31322,14907,12774,4563,4779,4358,23273,16476,22077,8022,4322,5228
"NWMN_RS01725",5708,3097,2286,705,670,452,3861,3252,3697,1347,847,787
"NWMN_RS01730",10631,5682,4596,1150,1299,1123,7686,6056,7264,2308,1414,1638
"NWMN_RS01735",7556,4345,3403,923,966,865,6250,5027,5433,1982,1038,1386
"NWMN_RS01740",10238,4899,3773,1203,1200,905,9196,8955,7196,3486,2178,2265
"NWMN_RS01745",781,381,165,48,90,98,758,759,511,186,190,159
"NWMN_RS01750",72,37,0,5,0,1,116,142,42,32,33,19
"NWMN_RS01755",58,51,12,24,13,15,234,263,120,98,109,78
"NWMN_RS01760",3294,1104,904,392,477,393,4669,5780,3153,2137,1729,1486
"NWMN_RS01765",1195,888,620,176,233,193,2049,1638,1454,764,428,454
"NWMN_RS01770",80,76,17,7,11,18,77,148,63,38,26,23
"NWMN_RS01775",127,81,74,29,15,8,251,192,154,74,41,41
