"gene_id","WT_T6_Rep1_S62","WT_T6_Rep2_S63","WT_T6_Rep3_S64","walR_T6_Rep1_S71","walR_T6_Rep2_S72","walR_T6_Rep3_S73","tunR_T6_Rep1_S80","tunR_T6_Rep2_S81","tunR_T6_Rep3_S82"
"SA_RS07825",49.5,8,453,12,331.5,260.5,463,133.5,420
"SA_RS07830",139.5,0,733,2,434,459,803.5,249,661
"SA_RS07835",67,12,753,30,432.5,471.5,556.5,147.5,557
"SA_RS07840",454.5,51.5,2645.5,83,1592.5,1805.5,2031,1037.5,2097
"SA_RS07845",625.5,146.5,4844.5,191,3219.5,3718.5,4326,1790.5,4938
"SA_RS07850",381.5,65,2122.5,111,1412,1694.5,1296.5,1134.5,1797.5
"SA_RS07855",101.5,16,671.5,46,486,614.5,542.5,334.5,736.5
"SA_RS07860",834,116,6985,180,4201,5364,4264,2089,6387
"SA_RS07865",1387,291,9947,342,5873,6986,7422,3684,8935
"SA_RS07870",433.5,71,3015,103,2004,2303,2297,1116,3383
"SA_RS07875",93.5,25,1126,32,746,947,902,221,1314
"SA_RS07880",1507,193,9365,433,7600,8898,7738,2763,7970
"SA_RS07885",1000,91,3466.5,190.5,3012,2858.5,3869,2834.5,3956
"SA_RS07890",1016.5,111.5,5460.5,252.5,4266,4407,5621.5,2332,6177.5
"SA_RS07895",390,63,1318,68.5,1014,972.5,1245.5,885.5,1300.5
"SA_RS07900",51.5,3,909,2.5,575,928.5,998.5,119.5,1098.5
"SA_RS07905",418,32.5,2363,41.5,1643.5,1918,2093.5,1128.5,2818
"SA_RS07910",1108,206,4327,374.5,3193.5,3939.5,4291,2708,5734.5
"SA_RS07915",1482.5,1240,16794.5,1460,11217,14724,17594.5,3076.5,23665.5
"SA_RS07920",2687,684.5,18288,967,12366,14476.5,15193,7339,21241.5
"SA_RS07925",2421.5,161.5,8732.5,274,6928,6983.5,7953.5,5388.5,9474
"SA_RS07930",183,15,1475,36,521,752,812,207,724
"SA_RS07935",817,75.5,4268.5,136,2967,3130.5,3447.5,1627,3657
"SA_RS07940",297,20.5,2309,48,1659.5,1876,2545,682,2550.5
"SA_RS07945",577.5,63,2997.5,119,2379,2291.5,2904,1310.5,2537.5
"SA_RS07950",698.5,154,4081,237,3445.5,3556,3948.5,1477.5,4328
"SA_RS07955",1955,472,13436,765,9775,10463,13016,4327,13998
"SA_RS07960",595.5,264,2860.5,375,2310,2288,3192.5,1250.5,3291.5
"SA_RS07965",698.5,61,3361.5,121,2280,2274,3136.5,1558.5,2838.5
"SA_RS07970",73,21,681,8,395,453,552,220,685
"SA_RS07980",819,129,6545,154,3953,4371,5117,2333,5917
"SA_RS07985",643,230,7575,372,5051,5770,6676,1239,7206
"SA_RS07990",47,10,860,20,414,447,544,127,543
"SA_RS07995",65,7,669.5,8,320.5,485.5,552,172,673.5
"SA_RS08000",178,25,533.5,55,281.5,302.5,408,544,539.5
"SA_RS08005",43,4,294,14,199.5,252.5,240.5,104,264
"SA_RS08010",346,7,3709.5,31,2698.5,3321,3344,886.5,2620.5
"SA_RS08015",265,62,1541,73,1063.5,1196.5,1214,527,1360.5
"SA_RS08020",351.5,81,3098,141.5,2273,2917,2489.5,847,3032.5
"SA_RS08025",600,92,2498.5,158.5,2285,2394.5,2468.5,1442.5,2774
"SA_RS08030",83.5,42.5,928.5,69,896.5,905,865,206.5,1011
"SA_RS08035",233,33.5,1933.5,81.5,1748.5,1846.5,1814,615,2082.5
"SA_RS08040",220,19,2118,66.5,1561,1635.5,1535.5,528.5,1648.5
"SA_RS08045",231,15,1519.5,32,1329,1416.5,1324,587,1641.5
"SA_RS08050",130,14,1597.5,36,1166.5,1386,1164,344,1405
"SA_RS08060",0,0,60,2,27,30,25,4,40
"SA_RS15135",14,0,120,4,51,94,95,29,153
"SA_RS08075",27,0,381,2,193,367,302,108,424
"SA_RS08080",178.5,62,1984.5,18,710.5,1119,1231,1457.5,2903
"SA_RS08085",264,26.5,1642.5,15,602,971,1011,1969,3241.5
"SA_RS08090",230,80.5,2797,30,830.5,1610.5,1324.5,2300,5151
"SA_RS08095",151.5,36,901,25,320.5,568,532,1829.5,2022.5
"SA_RS08100",87,28,1620.5,16,459.5,961.5,746,1051,3127.5
"SA_RS08105",141,52,1483.5,28,352,743,507.5,1994,2643.5
"SA_RS08110",387,104,2907.5,145.5,1952.5,1936,2103.5,1127,2362
"SA_RS08115",464,56,3405.5,63.5,2081.5,2440.5,2479.5,1110.5,3326.5
"SA_RS08120",469,85.5,3562,112,1947.5,2263.5,2413.5,1300,3022.5
"SA_RS08125",305.5,38.5,2473,14,1456,1804,1938.5,854.5,2646.5
"SA_RS08130",69.5,8,954,8,541.5,638,644,180,779.5
"SA_RS08135",692,239.5,3620.5,195,2269.5,2448.5,4205,1958.5,4288.5
"SA_RS08140",820,198.5,7570,257.5,4659.5,5891.5,9331.5,1980,11383.5
"SA_RS08145",603,83,3908.5,126.5,2306,2814,4378.5,1621.5,5581
"SA_RS08150",1160,193,6175,367,5071,4683,6422,2492,6184
"SA_RS08155",605,137,4245.5,97,2730,3362,3598,1412.5,4293
"SA_RS08160",84,28,1135.5,18,609,791,814,225.5,1068
"SA_RS08165",737,126,5136.5,222.5,3152,3983.5,4360.5,2030,4859.5
"SA_RS08170",830,220,5266.5,267.5,3390,3972.5,3953.5,2751,4477.5
"SA_RS08175",482,176,2975,158,1514,1766,1999,1570,2572
"SA_RS08180",89.5,88,1446.5,191,1156,1731,619.5,190,1205
"SA_RS08185",95.5,100,1919.5,195,1426,2861,1051.5,192,2221
"SA_RS08190",340,53,1260,80,1022,833,1436,718,1234
"SA_RS08195",622,131,3857,93,2589,2679,3381,1754,4094
"SA_RS08200",386,34,2458,49.5,1545.5,1557.5,2338.5,1106.5,2494
"SA_RS08205",1,0,60,0.5,14.5,32.5,42.5,2.5,40
"SA_RS08210",1030,94,5346,213,3917,4413,5282,2455.5,6026
"SA_RS08215",430,50,2467,104,1902,2265,2354,1136.5,2966
"SA_RS08220",628.5,117.5,5427.5,145,3224.5,4062.5,3717.5,1458,5317.5
"SA_RS08225",816.5,111.5,5260,173,2775,3751.5,3775.5,1796,5192.5
"SA_RS08230",2060,413,14625.5,485,8514.5,10449,9721,5364,14219
"SA_RS08235",438,66.5,1899.5,86.5,1363.5,1101,1750.5,1281,1430.5
"SA_RS08240",612,90.5,5040.5,193.5,2950.5,3239,4121.5,1600,4014.5
"SA_RS08245",1322,187,8595,249,6070,6552,9850,3919,10488
"SA_RS08250",338,116,1387,77,1107,963,1112,788,1032
"SA_RS08255",1138,165.5,4453.5,252,3476,3624,4961,2477.5,4891.5
"SA_RS08260",770,159.5,4150,250.5,2624,3149.5,4189.5,1838,4578
"SA_RS08265",957,202,4611.5,258.5,2968.5,3408.5,4138,2384.5,4823.5
"SA_RS08270",172,32,2080,25.5,1403.5,1865,2162,388.5,2531.5
"SA_RS08275",113,10.5,1271,26,762.5,778.5,877.5,252,1021
"SA_RS08280",839,121.5,3632,172.5,2697.5,2535.5,3128,2238.5,3361.5
