"gene_id","WT_3H_R1_GE","WT_3H_R2_GE","pEPSA_Teg49_Comp_3H_R1_GE","pEPSA_Teg49_Comp_3H_R2_GE","Teg49_mutant_3H_R1_GE","Teg49_mutant_3H_R2_GE"
"SAOUHSC_00123",15962,19680,26002,33053,28886,28073
"SAOUHSC_00124",15958,19085,26450,35644,30632,30024
"SAOUHSC_00125",23585,29396,41248,48701,40793,40825
"SAOUHSC_00126",8454,11319,13492,15774,13652,13368
"SAOUHSC_00127",17353,22827,30900,36974,30629,30531
"SAOUHSC_00128",22565,29226,36416,40869,33329,33288
"SAOUHSC_00129",19039,23940,32414,37243,29925,30451
"SAOUHSC_00130",262,405,423,440,475,448
"SAOUHSC_00131",212,340,432,493,525,550
"SAOUHSC_00132",1818,2191,2865,4056,2697,2252
"SAOUHSC_00133",2870,3298,4844,5711,4864,4930
"SAOUHSC_00134",742,958,958,869,755,729
"SAOUHSC_00135",7198,10034,8480,8890,10746,11540
"SAOUHSC_00136",1381,2213,1522,1671,1711,1740
"SAOUHSC_00137",1881,2980,2113,2338,2305,2559
"SAOUHSC_00138",1258,1988,1292,1479,1384,1425
"SAOUHSC_00139",3973,5387,4811,5344,5026,5157
"SAOUHSC_00141",2903,4167,4354,4279,4697,4746
"SAOUHSC_00142",224,333,347,415,339,394
"SAOUHSC_00143",24854,40463,43313,49381,47518,42609
"SAOUHSC_00144",135186,228273,277020,328038,362438,335770
"SAOUHSC_00145",17014,24291,36051,44013,49698,45422
"SAOUHSC_00146",23013,36143,38516,41180,41064,42460
"SAOUHSC_00147",370,572,722,814,803,774
"argJ",448,840,832,911,928,903
"argC",238,456,487,631,573,557
"SAOUHSC_00150",219,432,342,458,443,393
"SAOUHSC_00151",3504,4452,5245,6031,4996,5011
"SAOUHSC_00152",1542,2030,2555,2791,2308,2554
"SAOUHSC_00153",2482,3189,3579,4074,3240,3268
"SAOUHSC_00154",1,1,0,0,1,1
"SAOUHSC_00155",28058,36037,42625,51913,33514,33265
"SAOUHSC_00156",3651,4775,5769,8977,5248,4922
"murQ",945,1427,1174,2330,899,847
