"gene_id","WT_3H_R1_GE","WT_3H_R2_GE","pEPSA_Teg49_Comp_3H_R1_GE","pEPSA_Teg49_Comp_3H_R2_GE","Teg49_mutant_3H_R1_GE","Teg49_mutant_3H_R2_GE"
"rpoB",131837,177830,200237,229414,192546,190778
"SAOUHSC_00525",199091,274614,310606,355381,295430,297122
"SAOUHSC_00526",20494,33141,34101,36636,24138,24370
"rpsL",72247,117465,130919,158312,112758,114845
"SAOUHSC_00528",72948,131915,120750,137474,101794,100111
"SAOUHSC_00529",441549,846509,784169,911469,668058,677536
"SAOUHSC_00530",428920,692710,743971,844019,638821,655831
"SAOUHSC_00531",2953,3178,4431,4635,3440,3577
"SAOUHSC_00532",9983,12253,15840,17579,14597,14908
"SAOUHSC_00533",63780,94312,92789,93972,88994,87224
"SAOUHSC_00534",719,919,1025,1205,906,818
"SAOUHSC_00535",4170,6315,7791,8919,7809,7137
"SAOUHSC_00536",8365,11142,12814,13147,13271,13692
"SAOUHSC_00537",634,759,849,848,816,829
"SAOUHSC_00538",1784,1987,2588,2642,2622,2719
"SAOUHSC_00539",2750,2690,4111,4174,3450,3581
"SAOUHSC_00540",594,459,759,905,697,757
"SAOUHSC_00541",951,1043,1350,1562,1212,1221
"SAOUHSC_00542",1759,1979,2407,2543,2112,2136
"SAOUHSC_00543",3873,4258,5939,5780,5273,5216
"SAOUHSC_A00526",3,0,2,4,5,5
"SAOUHSC_00544",4365,5838,6277,6934,6844,7047
"SAOUHSC_00545",7316,9134,10796,11696,12123,13086
"SAOUHSC_00547",3446,4026,5694,6213,5717,5831
"SAOUHSC_00548",7449,9767,12437,14505,11665,11844
"SAOUHSC_00549",9986,12357,16245,17875,14793,14806
"SAOUHSC_00550",3746,4967,6178,7028,5715,5595
"SAOUHSC_00551",2024,2873,3316,3559,2802,2786
"SAOUHSC_00552",1855,2165,3201,3592,3616,3794
"SAOUHSC_00553",11634,13617,16999,17305,15986,15826
"SAOUHSC_00554",21305,24915,29743,28450,24574,24828
"SAOUHSC_00555",168,233,222,249,190,182
"SAOUHSC_00556",12253,11820,18360,19990,16220,16950
"SAOUHSC_00557",197,282,299,380,279,274
"SAOUHSC_00558",725,1013,1186,1266,1030,1045
"SAOUHSC_00559",86,131,132,160,121,133
"SAOUHSC_00560",124,130,191,226,183,152
"SAOUHSC_00561",2009,2174,3775,4363,3315,2642
"SAOUHSC_00562",8623,11312,12617,13238,11160,11440
"SAOUHSC_00564",2630,3095,4088,4511,3486,3438
"SAOUHSC_00565",1407,1638,2388,2616,1974,2129
"SAOUHSC_00567",1913,2213,2851,3149,2555,2512
"SAOUHSC_00569",50312,71080,81748,96443,71592,73108
"SAOUHSC_00571",2390,3228,4296,4971,3980,4007
"SAOUHSC_00572",2976,3728,4730,5382,4235,4231
"SAOUHSC_00573",14211,14455,21755,23033,19023,19383
"eutD",26894,37698,41542,44148,36542,36904
"SAOUHSC_00575",27008,34863,42743,46605,39653,41043
"SAOUHSC_00577",5757,8002,8154,8848,7196,7488
"SAOUHSC_00578",12231,17310,21079,23718,20183,20607
"SAOUHSC_00579",14566,18979,24111,26936,22999,23359
"SAOUHSC_00580",574,734,766,768,673,647
"SAOUHSC_00581",1729,1773,2888,3205,2463,2478
"SAOUHSC_00582",121,135,200,251,154,159
"SAOUHSC_00583",0,1,1,0,0,0
"SAOUHSC_00584",3259,3893,4478,4799,3881,4061
"SAOUHSC_00585",456,516,619,763,709,766
"SAOUHSC_00586",1515,1729,2366,2754,2501,2641
"SAOUHSC_00587",755,1023,1002,1032,907,1039
"SAOUHSC_00588",1182,1532,1890,2467,2262,2273
"SAOUHSC_00589",206,254,385,417,424,442
"SAOUHSC_00591",920,1043,1483,1949,1936,1920
"SAOUHSC_00592",339,419,517,577,576,582
"SAOUHSC_00593",763,848,1196,1464,1495,1458
"SAOUHSC_00596",410,450,572,715,723,723
"SAOUHSC_00598",262,363,359,416,383,452
"SAOUHSC_00599",384,509,585,787,788,777
"SAOUHSC_00600",326,472,424,496,482,516
"SAOUHSC_00602",633,775,899,1183,1167,1172
"SAOUHSC_00603",3846,5219,6618,7393,7592,7624
"SAOUHSC_00604",4192,5200,6711,7844,6582,6633
"SAOUHSC_00605",1723,1747,2371,2661,2186,2300
"SAOUHSC_00606",9114,10619,13347,14497,12556,12580
"SAOUHSC_00607",1932,1785,2640,2544,2272,2188
"SAOUHSC_00608",52382,67443,72603,72119,61483,60976
"SAOUHSC_00609",20,26,28,34,29,16
"SAOUHSC_00610",861,1178,1115,1264,979,960
"argS",10508,11507,15954,16800,13292,13347
"SAOUHSC_00612",345,317,537,581,426,390
"SAOUHSC_00613",1190,1389,1775,1672,1479,1488
"SAOUHSC_00614",1552,1624,2167,2539,2004,2014
"SAOUHSC_00615",2086,2445,2947,3182,2715,2734
"SAOUHSC_00616",4294,4804,6338,7039,6386,6361
"SAOUHSC_00617",56435,51019,104574,97702,96315,95319
"SAOUHSC_00618",2933,3479,4853,5984,5700,5321
"SAOUHSC_00619",4435,4991,6556,6767,6355,6407
"SAOUHSC_00620",30173,24327,33400,35620,37228,36970
"SAOUHSC_00621",2035,2573,3699,4334,3264,3418
"SAOUHSC_00622",89,103,147,139,119,123
"SAOUHSC_00624",2597,3790,4200,4827,3891,4232
"SAOUHSC_00625",18589,27285,30279,35619,29810,31191
"SAOUHSC_00626",1708,2579,2058,2248,1907,1897
"SAOUHSC_00627",1345,2101,1984,2396,1968,2136
"SAOUHSC_00628",10792,16951,18109,21379,18515,18859
"SAOUHSC_00629",2583,3735,4681,6115,5624,5622
"SAOUHSC_00632",3883,5875,6880,7942,6853,7134
"SAOUHSC_00633",12933,14631,20317,22839,19870,20577
"SAOUHSC_00634",27466,27365,37006,38484,26063,24456
"SAOUHSC_00636",20217,19601,31135,37545,24156,22759
"SAOUHSC_00637",19900,20507,29572,33650,20758,20294
"SAOUHSC_00638",4626,5885,6787,7211,6553,6635
"SAOUHSC_00639",690,801,1101,1208,960,965
"SAOUHSC_00640",1263,1316,1681,1583,1443,1471
"SAOUHSC_00641",9806,9660,15387,15439,11592,11947
"SAOUHSC_00642",8228,9433,12968,14384,11030,11255
"SAOUHSC_00643",4210,5380,6320,6638,6301,6410
"SAOUHSC_00644",5629,7024,8793,9581,8429,8578
"SAOUHSC_00645",2635,3299,3857,4263,3778,3911
"SAOUHSC_00646",2693,3532,4169,4646,3257,3322
"SAOUHSC_00647",65441,91444,113600,130598,128888,128871
"SAOUHSC_00648",10558,12769,17098,18276,15334,15692
"SAOUHSC_00650",0,0,1,2,0,0
"SAOUHSC_00651",1610,1887,2458,2527,2054,2219
"SAOUHSC_00652",1244,1938,1864,2054,1895,1870
"SAOUHSC_00653",1186,1689,1853,2135,1946,1855
"SAOUHSC_00654",1127,1759,1621,1711,1612,1613
"SAOUHSC_00655",925,1551,1418,1606,1295,1318
"SAOUHSC_00656",633,1022,990,1296,937,930
"SAOUHSC_00658",235,359,282,362,243,296
"SAOUHSC_00659",12067,10825,18094,18589,12335,12578
"SAOUHSC_00660",17496,19994,26005,28594,21084,20429
"SAOUHSC_00661",1306,1330,2070,2226,1504,1509
"SAOUHSC_00662",829,909,1249,1271,1078,1029
"SAOUHSC_00663",4246,5325,6509,7200,6364,6526
"SAOUHSC_00664",2597,2822,3884,4401,3465,3586
"SAOUHSC_00665",2025,2340,2999,3138,2659,2792
"SAOUHSC_00666",3079,3372,4754,5456,4541,4674
"SAOUHSC_00667",2931,3439,4400,5079,4569,4352
"SAOUHSC_00668",6992,7807,10662,12488,10733,10773
"SAOUHSC_00669",7220,8040,12050,13927,11322,11400
"SAOUHSC_00670",9049,11992,15077,16846,13138,13609
"SAOUHSC_00671",24602,26881,36936,37098,31337,29159
"SAOUHSC_00672",1665,1716,2441,2786,2682,2750
"SAOUHSC_00673",1605,1546,2236,2480,2059,2210
"SAOUHSC_00674",1387,1178,1351,1214,1005,995
"SAOUHSC_00675",14539,19614,23536,24693,23399,23094
"SAOUHSC_00676",8663,10834,14063,15038,14242,14294
"SAOUHSC_00677",10,15,17,26,15,12
"SAOUHSC_00678",4429,5178,7115,8116,6937,6771
"SAOUHSC_00679",8547,9795,12813,14392,11633,11953
"SAOUHSC_00680",16,19,26,20,16,12
"SAOUHSC_00681",5194,6157,8305,9287,7784,7499
"SAOUHSC_00682",785,986,1217,1343,1286,1181
"SAOUHSC_00683",820,708,1248,1496,1138,1230
"SAOUHSC_00684",132,159,146,160,142,157
"SAOUHSC_00685",1458,2002,2668,2704,2161,2161
"SAOUHSC_00686",8541,11142,12952,13312,11133,11905
"SAOUHSC_00687",860,987,1096,1179,925,1066
"SAOUHSC_00688",6885,12078,12104,12829,12475,12741
"SAOUHSC_00689",7709,11479,14457,16809,17962,18672
"SAOUHSC_00690",26693,34972,42863,44805,46463,48832
"SAOUHSC_00691",6244,7266,9628,10279,7839,8101
"SAOUHSC_00692",7235,8953,11354,12396,10051,10043
"SAOUHSC_00693",8980,10432,13925,15077,12486,12468
"SAOUHSC_00694",39735,45605,60571,64972,52186,52041
"SAOUHSC_00695",4671,4881,7658,8286,7180,7383
"SAOUHSC_00696",4609,4513,7140,7516,6616,6785
"SAOUHSC_00697",1086,786,1759,2194,2195,2148
"SAOUHSC_00698",4163,6089,7448,8302,7925,7913
"SAOUHSC_00699",6365,8438,10481,11781,10557,10914
"SAOUHSC_00700",1424,1605,2312,2610,2267,2255
"SAOUHSC_00701",1317,1500,2088,2496,2301,2267
"SAOUHSC_00702",1274,1336,1987,2058,1771,1803
"SAOUHSC_00703",2279,2682,3424,3527,2996,3073
"SAOUHSC_00704",2720,2124,3969,4375,3084,3196
"SAOUHSC_00705",508,657,735,686,610,625
"SAOUHSC_00706",9208,15139,15060,17799,13453,13626
"SAOUHSC_00707",15410,26941,25278,28705,21926,22071
"SAOUHSC_00708",59677,96140,95606,106356,78859,79945
"SAOUHSC_00710",6315,7362,8854,9445,7846,7909
"SAOUHSC_00711",20369,22699,31019,33474,26652,26520
"SAOUHSC_00712",9013,10568,13723,15920,14894,15278
"SAOUHSC_00713",12550,15299,18202,20815,19195,19382
"SAOUHSC_00714",16787,21570,28484,32690,32166,33365
"SAOUHSC_00715",5675,7904,7909,8208,7961,8276
"SAOUHSC_00716",1607,2330,2264,2589,2770,2784
"SAOUHSC_00717",2089,3026,3147,3201,3215,3273
"SAOUHSC_00718",3588,3849,7124,10476,7561,6997
"SAOUHSC_00719",4349,6157,7364,9782,7184,6527
"SAOUHSC_00720",1293,1955,1990,2440,1795,1600
"SAOUHSC_00721",1718,2342,2737,3647,2245,2052
"SAOUHSC_00722",248,308,359,353,269,237
"SAOUHSC_00723",1356,1888,2291,2570,2290,2196
"SAOUHSC_00724",725,904,1065,1181,1070,1050
"SAOUHSC_00725",444,560,801,943,882,832
"SAOUHSC_00726",2616,3530,4307,5115,4502,4569
"SAOUHSC_00727",3365,4953,5386,5761,5211,5038
"SAOUHSC_00728",70581,77385,116881,132068,99614,98906
"SAOUHSC_00729",7075,8542,10850,12318,10054,9944
"SAOUHSC_00730",9506,12482,15130,16749,14438,14087
"SAOUHSC_00731",5735,6910,7309,8091,5914,6155
"SAOUHSC_00732",18258,20684,25765,28327,22007,22037
"SAOUHSC_00733",412,534,643,642,499,545
"SAOUHSC_00734",1251,1312,2206,2453,1915,1860
"SAOUHSC_00735",9,2,13,10,6,9
"SAOUHSC_00736",10535,13427,17758,20519,19887,20570
"SAOUHSC_00737",3,8,6,8,7,10
"SAOUHSC_00738",35672,45889,60223,66981,57138,58873
"SAOUHSC_00739",3041,3934,5119,6176,4891,4833
"SAOUHSC_00740",3902,4727,7235,8194,6232,6293
"nrdI",7322,10130,12485,14481,13411,12721
"SAOUHSC_00742",84952,106416,153218,176392,159737,153737
"nrdF",43150,49428,70661,75322,67128,65401
"SAOUHSC_00744",6,8,8,12,7,6
"SAOUHSC_00745",4,2,11,9,9,3
"SAOUHSC_00746",477,637,664,759,928,942
"SAOUHSC_00747",370,568,595,688,771,812
"SAOUHSC_00748",375,566,551,576,696,806
"SAOUHSC_00749",1396,1957,1950,1984,2751,3043
"SAOUHSC_00751",2193,3069,3507,3954,3514,3541
"murB",5205,7467,8104,9254,7305,7692
"SAOUHSC_00753",409,379,529,642,470,508
"SAOUHSC_00754",2770,2827,4469,4852,4063,4076
"SAOUHSC_00755",2453,1868,3723,3676,3073,3191
"SAOUHSC_00756",5014,6150,7659,8151,6254,6778
"SAOUHSC_00757",9315,11892,14835,16276,14301,14559
"SAOUHSC_00758",886,1214,1440,1617,1309,1354
"SAOUHSC_00759",674,927,1121,1289,1017,1074
"SAOUHSC_00760",4906,6227,8510,9706,7205,7123
"SAOUHSC_00762",3736,4100,6053,7084,5472,5826
"SAOUHSC_00763",1748,1800,2546,2427,2057,2202
"SAOUHSC_00764",3485,3163,5619,4812,3644,3581
"SAOUHSC_00765",268,352,452,577,384,403
"SAOUHSC_00766",262,355,381,508,364,388
"SAOUHSC_00767",30325,30060,44546,41156,45538,46568
"secA",32408,43596,50550,55840,44918,45953
"SAOUHSC_00770",3,6,16,13,6,11
"SAOUHSC_00771",4484,5913,7016,6902,6039,6065
"SAOUHSC_00772",11,17,22,25,15,23
"SAOUHSC_00773",367,482,556,631,456,498
"SAOUHSC_00774",966,1029,1341,1478,1095,1177
"SAOUHSC_00775",160,222,176,202,157,177
"SAOUHSC_00776",4187,5998,6500,6890,6272,6328
"SAOUHSC_00778",0,0,0,0,0,0
"SAOUHSC_00779",6705,9093,10849,12252,11369,11721
"uvrA",28581,38666,47099,52560,50309,49333
"SAOUHSC_00781",7759,10949,13112,14083,12921,13064
"SAOUHSC_00782",7205,9197,12104,13962,12784,12940
"SAOUHSC_00783",3001,3559,5125,6279,5782,5752
"SAOUHSC_00784",8233,10234,13872,15975,13871,13871
"SAOUHSC_00785",20786,28868,31945,32576,26845,26273
"SAOUHSC_00786",317,316,477,521,347,385
"SAOUHSC_00787",4862,7268,7283,8221,6896,6723
"SAOUHSC_00788",26193,34655,43434,50570,43414,42488
"SAOUHSC_00789",21038,26697,34056,39113,33678,33682
"SAOUHSC_T0005",35,13,46,40,44,29
"clpP",22428,26686,35026,35203,32856,33770
"SAOUHSC_00792",8496,12381,13819,16473,14823,15386
"SAOUHSC_00793",19192,29372,37248,44055,36693,37105
"SAOUHSC_00794",128195,158492,219432,215201,233873,243351
"SAOUHSC_00795",319325,404054,506917,515116,479329,488878
"pgk",151541,224213,243517,279731,245317,252336
"tpiA",104335,155192,164621,186140,155834,159133
"SAOUHSC_00798",199931,298040,311427,359047,290010,290182
"eno",260269,363726,406162,452179,373155,378548
"SAOUHSC_00800",3260,3908,5846,6903,6312,6319
"secG",3840,4202,5622,5349,4913,4623
"SAOUHSC_00802",5226,6679,8776,10029,7788,7661
"SAOUHSC_00803",33492,41685,53196,58080,46002,46204
"smpB",5213,6447,8329,8582,6717,6590
"SAOUHSC_00806",2534,2485,3575,4006,3821,4009
"SAOUHSC_00807",641,800,838,875,819,907
"SAOUHSC_00808",4653,4792,6071,6904,6323,6398
"SAOUHSC_00809",2,4,1,4,2,1
"SAOUHSC_00810",239,310,276,389,348,358
"SAOUHSC_00811",1136,1722,1734,2064,1880,1897
"SAOUHSC_00812",97855,152327,170310,205392,166072,168933
"SAOUHSC_00816",388,592,778,927,936,936
"SAOUHSC_00817",234,304,292,316,287,252
"SAOUHSC_00818",32,39,40,41,42,36
"SAOUHSC_00819",25621,20144,34194,26524,18774,18605
"SAOUHSC_00820",2504,3183,3994,4607,4785,5144
"SAOUHSC_00821",2177,2857,3790,4467,4779,4981
"SAOUHSC_00822",524,688,750,885,735,741
"SAOUHSC_00823",1280,1747,2369,2882,2796,2756
"SAOUHSC_00824",1180,1372,2253,3096,3091,2852
"SAOUHSC_00825",4822,6178,10241,12302,11234,11704
"SAOUHSC_00826",3557,4895,5669,5615,5164,5331
"SAOUHSC_00827",2501,3575,4215,4407,3714,3607
"SAOUHSC_00828",1377,1575,2195,2312,2047,2001
"SAOUHSC_00830",14896,15449,21882,21553,16319,16745
"SAOUHSC_00831",4026,4897,6551,6871,7998,7826
"SAOUHSC_00832",970,1063,1526,1801,1564,1693
"SAOUHSC_00833",2549,2952,3997,4234,4318,4188
"SAOUHSC_00834",2916,3725,4719,4894,7790,8175
"SAOUHSC_00835",9822,13206,15385,16480,19225,19274
"SAOUHSC_00836",15439,20050,23155,21407,24760,25587
"SAOUHSC_00837",55,72,113,139,195,154
"SAOUHSC_00838",1486,2342,2144,2546,2458,2502
"SAOUHSC_00839",100,159,169,244,211,226
"SAOUHSC_00840",2900,3526,4671,5267,5390,5515
"SAOUHSC_00841",1246,1482,1539,1484,1450,1453
"SAOUHSC_00842",1257,1927,1975,2041,1875,1960
"SAOUHSC_00843",592,948,883,934,827,919
"SAOUHSC_00844",1436,1996,2321,2639,2470,2689
"SAOUHSC_00845",50487,64203,77247,61520,67401,70197
"SAOUHSC_00846",7696,11651,13723,16742,14558,14952
"SAOUHSC_00847",20012,26910,28847,33153,31812,33270
"SAOUHSC_00848",60322,83972,92639,107961,107891,110942
"SAOUHSC_00849",57194,81177,90338,102916,103237,105184
"SAOUHSC_00850",18444,25618,29241,33390,34681,34997
"SAOUHSC_00851",63472,82793,96345,104555,106831,109333
"SAOUHSC_00852",39,35,69,109,111,95
"SAOUHSC_00853",83,97,130,143,156,132
"SAOUHSC_00854",3955,5003,6034,7162,5660,5870
"SAOUHSC_00855",2818,3668,4376,4696,3743,4020
"SAOUHSC_00857",18,24,26,30,12,20
"SAOUHSC_00858",3040,3659,4900,5585,4253,4485
"SAOUHSC_00859",3975,4844,6468,7271,5991,5995
"SAOUHSC_00860",4794,6067,6616,6929,5845,5723
"SAOUHSC_00861",7134,9957,10523,10743,8945,8908
"SAOUHSC_00862",1323,1560,2122,2400,2162,2111
"SAOUHSC_00863",483,503,667,500,513,519
"SAOUHSC_00864",2045,2279,3145,3228,2950,3209
"SAOUHSC_00865",4848,5489,7440,7833,6984,7107
"SAOUHSC_00866",5856,6885,9115,9233,8385,8553
"SAOUHSC_00867",3,2,1,6,6,2
"SAOUHSC_00868",768,745,1287,1598,1343,1326
"SAOUHSC_00869",20144,23469,28123,30028,26754,25842
"SAOUHSC_00870",18152,19083,29499,33654,31243,30090
"SAOUHSC_00871",3124,3635,5092,5470,5151,5056
"SAOUHSC_00872",30137,35106,48816,52575,49112,49248
"SAOUHSC_00873",2348,2874,3360,3169,2980,3036
"SAOUHSC_00874",1179,1673,2061,2249,2005,1906
"SAOUHSC_00875",10157,14795,17668,19974,17232,17532
"SAOUHSC_00876",607,787,717,678,637,617
"SAOUHSC_00877",2585,2957,3502,2938,2576,2456
"SAOUHSC_00878",62235,76846,104826,113682,78930,81233
"SAOUHSC_00879",3203,3225,4748,5063,3968,4018
"SAOUHSC_00880",430,483,654,667,503,527
"SAOUHSC_00881",1218,1707,2015,2043,1936,1959
"SAOUHSC_00882",296,440,507,572,504,504
"SAOUHSC_00883",3127,4137,5365,5805,4985,4992
"SAOUHSC_00884",2595,3264,4500,5177,4434,4472
"SAOUHSC_00885",6984,8696,11630,14574,12183,12593
"SAOUHSC_00886",19885,26370,33493,40344,33500,33817
"SAOUHSC_00887",3044,4414,4996,5561,4689,4724
"SAOUHSC_00888",2898,3991,4620,5353,4553,4397
"SAOUHSC_00889",29531,38974,50541,61730,51547,52212
"SAOUHSC_00890",692,921,1020,991,898,943
"SAOUHSC_00891",10705,13203,15571,14520,11902,12362
"SAOUHSC_00892",3071,1703,5162,4682,5002,5071
"SAOUHSC_00893",3610,3910,4995,5278,5049,5134
"rocD",2873,4233,4270,4684,3879,4019
"SAOUHSC_00895",11566,19656,18673,21410,18189,18108
"SAOUHSC_00896",86,135,87,97,81,76
"SAOUHSC_00897",942,1385,1588,2144,1804,1787
"SAOUHSC_00898",1982,2640,2112,2482,1400,1374
"SAOUHSC_00899",1538,2401,1455,1674,909,853
"pgi",57999,63319,88688,91163,87131,90466
"SAOUHSC_00901",1606,1268,2429,2594,1986,1838
"SAOUHSC_00902",2513,1978,3682,3538,2548,2504
"SAOUHSC_00903",2886,2770,3961,3664,2712,2717
"SAOUHSC_00904",12399,15732,19387,21742,18984,19040
"SAOUHSC_00905",20361,27415,33026,37688,32080,32517
"SAOUHSC_00906",26445,39318,45492,50897,47537,49539
"SAOUHSC_00907",778,1082,998,970,789,766
"SAOUHSC_00908",12439,18628,19950,22016,20018,20042
"SAOUHSC_00909",4860,6755,7711,9203,7405,7608
"SAOUHSC_00910",8993,11254,14113,13563,12381,12656
"SAOUHSC_00911",409,480,608,680,573,581
"SAOUHSC_00912",22606,29908,35719,35899,35998,38255
"SAOUHSC_00913",75,65,63,86,94,110
"SAOUHSC_00914",36,48,69,81,74,71
"SAOUHSC_00915",69,57,107,129,100,96
"SAOUHSC_00916",120,122,213,262,204,164
"SAOUHSC_00917",109,137,148,149,132,115
"SAOUHSC_00919",1310,1356,1633,1209,1065,1093
"SAOUHSC_00920",26557,35634,36998,39783,34512,34962
"SAOUHSC_00921",44354,62194,61729,63557,54293,54111
"SAOUHSC_00922",191,254,305,380,308,363
"SAOUHSC_00923",807,1082,1129,1359,1539,1491
"SAOUHSC_00924",1313,1986,1824,2082,2131,2286
"SAOUHSC_00925",1985,3443,3246,3681,4219,4076
"SAOUHSC_00926",1642,2706,2608,2920,3034,3024
"SAOUHSC_00927",3426,4993,4936,5315,5699,5846
"SAOUHSC_00928",50,60,81,77,79,79
"SAOUHSC_00929",78,94,114,137,105,132
"SAOUHSC_00930",234,236,293,387,345,328
"SAOUHSC_00931",209,295,355,437,306,348
"SAOUHSC_00932",167,199,255,286,282,236
"SAOUHSC_00933",12212,13344,19276,19656,19892,19978
"spxA",103065,117799,181642,198565,188546,181319
"SAOUHSC_00935",6810,7027,8916,8986,7443,7322
"SAOUHSC_00936",67,90,112,123,93,108
"SAOUHSC_00937",15953,17670,21306,22853,19650,20231
"SAOUHSC_00938",8372,8531,13174,14814,14419,14501
"SAOUHSC_00939",2278,2485,3288,3317,3060,3215
"SAOUHSC_00940",2177,2505,3561,3765,3906,3857
"SAOUHSC_00941",568,653,837,773,695,750
"SAOUHSC_00942",3119,4048,5111,5502,4978,5122
"ppnK",5395,6816,8658,9440,8397,8405
"SAOUHSC_00944",2069,2680,3330,3664,3156,3159
"SAOUHSC_00945",2661,3533,4032,4282,3854,3874
"SAOUHSC_00946",8158,10400,12998,15052,12891,12598
"SAOUHSC_00947",11453,13922,16930,16955,14330,14561
"SAOUHSC_00948",10313,13447,17053,19564,15181,15533
"SAOUHSC_00949",422,619,605,700,643,723
"SAOUHSC_00950",710,1001,1239,1422,1177,1162
"SAOUHSC_00951",11156,15151,17991,18019,16246,15412
"SAOUHSC_00952",7729,9725,12958,15319,12776,13241
"SAOUHSC_00953",8441,9795,12749,13981,10946,11501
"SAOUHSC_00954",8059,9965,11342,12632,9880,9630
"SAOUHSC_00955",1382,1689,1798,1841,1484,1483
"prfC",14417,17458,21908,23886,19590,19221
"SAOUHSC_00957",2508,3141,4097,4522,3726,3925
"SAOUHSC_00958",4042,5053,5920,6384,5042,5120
"SAOUHSC_00959",8417,10101,14052,15824,13052,13336
"SAOUHSC_00960",3591,4154,5615,5832,5430,5671
"SAOUHSC_T00049",577,189,694,462,183,203
"SAOUHSC_T0008",409,121,478,433,167,173
"SAOUHSC_00961",951,1238,1793,2344,1958,1799
"SAOUHSC_00962",413,808,685,488,530,506
"SAOUHSC_00963",2348,2602,3270,3200,3037,3229
"SAOUHSC_00964",1562,1930,2279,2087,1690,1479
"SAOUHSC_00965",10403,9584,14900,16310,12367,11999
"SAOUHSC_00966",1107,507,1548,1057,745,656
"SAOUHSC_00967",1,0,3,3,4,1
"SAOUHSC_00968",171,193,236,305,268,268
"SAOUHSC_00969",34,52,60,84,76,62
"SAOUHSC_00970",92,124,149,169,147,132
"SAOUHSC_00971",758,991,1683,1789,1696,1748
"SAOUHSC_00972",660,881,1003,1033,1047,929
"SAOUHSC_00973",6513,6887,10911,11630,10105,10510
"SAOUHSC_00975",467,544,508,496,438,462
"SAOUHSC_00976",210,331,376,444,320,369
"SAOUHSC_00977",528,651,870,730,649,623
"SAOUHSC_00978",225,264,328,294,267,297
"SAOUHSC_00979",422,567,674,859,549,614
"SAOUHSC_00980",6743,8371,12016,13674,9001,8989
"SAOUHSC_00981",6,14,14,9,9,13
"SAOUHSC_00982",1888,2388,3083,3607,2974,2894
"SAOUHSC_00983",7198,9121,10156,11253,9041,9214
"SAOUHSC_00984",5736,6865,9058,10853,9174,8856
"SAOUHSC_00985",17433,21560,25746,24350,19627,20201
"SAOUHSC_00986",1753,2725,2298,3295,1205,1286
"SAOUHSC_00987",10027,16185,13463,19299,6973,7455
"SAOUHSC_00988",7649,13530,10315,14642,5022,5297
"SAOUHSC_00989",2435,2980,4146,4570,4252,4132
"SAOUHSC_00991",1627,1632,2678,3452,2721,2604
"SAOUHSC_00992",97,103,130,170,138,120
"SAOUHSC_00993",0,0,0,0,1,0
"SAOUHSC_00994",133015,173825,210997,254894,196894,191320
"SAOUHSC_00995",304,464,444,459,465,418
"SAOUHSC_00996",7155,8221,11653,12683,10758,10635
"SAOUHSC_00997",14463,17465,23081,26440,20640,19888
"SAOUHSC_00998",4207,4174,6791,7284,5439,5358
"SAOUHSC_00999",48612,82402,84521,99969,73432,74680
"SAOUHSC_01000",146359,272623,282667,354430,265242,269494
"SAOUHSC_01001",479556,902568,980598,1251750,926093,944119
"SAOUHSC_01002",269927,472992,523675,637755,476959,481874
"SAOUHSC_01003",4,0,5,4,0,5
"SAOUHSC_01005",8477,11105,13925,14726,11769,11760
"SAOUHSC_01007",10823,15097,18674,18306,18097,19069
"SAOUHSC_01008",936,1153,1621,1484,2066,2180
"SAOUHSC_01009",8754,10898,17506,19590,27755,28627
"SAOUHSC_01010",3783,5431,7850,8603,12732,12523
"SAOUHSC_01011",1346,2332,2915,3002,4733,4614
"SAOUHSC_01012",6984,11566,17705,18988,31259,31189
"SAOUHSC_01013",26968,47792,72863,73963,119542,123120
"SAOUHSC_01014",27577,48811,84974,89407,129990,134472
"SAOUHSC_01015",18364,32683,55242,57138,77727,81085
"SAOUHSC_01016",10496,18274,32288,35274,46849,48994
"purH",33476,57688,105207,112749,145387,150566
"SAOUHSC_01018",27326,45374,81635,79680,103057,104610
"SAOUHSC_01019",838,1144,1380,1769,1392,1396
"SAOUHSC_01021",2022,2826,2995,3652,2672,2818
"SAOUHSC_01022",466,711,658,803,595,552
"SAOUHSC_01023",1,3,7,3,2,5
"SAOUHSC_01024",6234,6158,10178,7310,8047,8315
"SAOUHSC_01025",31928,31546,49359,57528,45380,43352
"SAOUHSC_01026",3045,3944,4605,5173,4522,4441
"SAOUHSC_01027",12456,17573,18386,20435,18379,19122
"SAOUHSC_01028",21777,27784,33440,37060,33600,33899
"SAOUHSC_01029",150003,177651,218820,230276,200674,206417
"SAOUHSC_01030",274,328,378,392,314,287
"SAOUHSC_01031",4679,5329,7144,8132,6692,6752
"SAOUHSC_01032",5044,5944,7658,9018,7835,7659
"SAOUHSC_01034",4882,5499,7698,7895,7084,6961
"SAOUHSC_A00992",302,298,517,559,480,497
"SAOUHSC_01035",59510,74909,106357,122268,98801,98138
"SAOUHSC_01036",2652,3437,4328,4956,4090,4215
"SAOUHSC_01037",453,579,642,769,748,668
"def",2447,3365,3676,3552,3044,2962
"SAOUHSC_01039",3288,3564,4274,3478,3623,3743
"SAOUHSC_01040",62348,91148,110666,123577,118740,120441
"SAOUHSC_01041",65734,97673,114456,124796,115447,118706
"SAOUHSC_01042",99818,146476,165439,171448,153034,156139
"SAOUHSC_01043",147443,205043,247734,252398,222188,225102
"SAOUHSC_01044",562,617,843,831,720,659
