"gene_id","NRSA384.WT.1","NRSA384.WT.2","NRSA384.WT.3","NRSA384.389.4","NRSA384.389.5","NRSA384.389.6"
"SAUSA300_0070",1968,2005,2350,3252,2544,3348
"SAUSA300_0201",68,72,102,830,684,860
"SAUSA300_0337",350,341,515,3309,2998,3854
"SAUSA300_1215",2337,2758,1523,489,436,456
"SAUSA300_1450",2805,2831,3254,4419,3780,4859
"SAUSA300_2460",1069,1198,866,310,413,349
"SAUSA300_0791",15423,17448,15155,14654,12257,16974
"SAUSA300_2417",428,453,613,4057,3616,4100
"SAUSA300_1975",2236,1749,3486,37149,35260,42747
"SAUSA300_0046",4334,4808,4559,4875,4547,5828
"SAUSA300_2395",607,633,878,5737,4684,5668
"SAUSA300_0204",256,288,327,2185,1880,2431
"SAUSA300_0236",153,156,246,1740,1543,1962
"SAUSA300_0725",1331,1424,1468,1892,1478,1803
"SAUSA300_0899",18036,17511,17462,18179,13839,21136
"SAUSA300_2493",364,276,250,121,103,132
"SAUSA300_0114",8875,10810,9149,8436,8033,9723
"SAUSA300_0234",8017,6731,9186,10304,8825,10865
"SAUSA300_0652",804,896,1055,1216,1140,1374
"SAUSA300_0277",202,258,266,2217,1812,2232
"SAUSA300_1874",19859,17211,17632,17749,14823,20069
"SAUSA300_2010",120,118,208,1675,1588,2159
"SAUSA300_2543",2690,3045,2300,1959,1629,1995
"SAUSA300_0135",1765,1793,1843,2425,2004,2585
"SAUSA300_1225",176,204,249,1679,1516,1811
"SAUSA300_1525",9123,9589,11852,15173,13238,16128
"SAUSA300_2307",142,161,182,180,142,167
"SAUSA300_0565",1417,1804,1567,935,1110,907
"SAUSA300_0991",6735,7432,6286,6779,4924,6455
"SAUSA300_1044",14281,16411,12510,8601,9234,11079
"SAUSA300_0187",53,52,52,574,550,637
"SAUSA300_1142",39,34,39,405,387,449
"SAUSA300_0427",4246,4194,3954,4426,3767,5179
"SAUSA300_1771",2086,2145,2138,2835,2336,2996
"SAUSA300_2013",42,41,64,578,627,676
"SAUSA300_0446",449,463,670,3845,3461,4332
"SAUSA300_0965",3930,4065,4915,6073,5873,7245
"SAUSA300_1057",1894,2042,1684,1754,1252,1625
"SAUSA300_1223",3505,3300,3649,5009,4232,4990
"SAUSA300_0777",33445,33587,32916,39923,32945,40689
"SAUSA300_0999",161,187,226,1728,1277,1699
"SAUSA300_0254",917,771,1108,7610,5843,7645
"SAUSA300_0903",1750,1982,2231,2208,2399,2436
"SAUSA300_0012",216,163,275,2018,1797,2241
"SAUSA300_1541",3828,3774,4514,6466,5165,7217
"SAUSA300_2186",302,235,431,4641,2960,4712
"SAUSA300_0950",598,513,1010,7907,6648,8830
"SAUSA300_1656",9053,10566,8873,9987,8369,9763
"SAUSA300_1685",42494,50970,45305,44098,41489,55017
"SAUSA300_1725",7023,6734,7315,9616,8567,11070
"SAUSA300_1991",11035,11281,17702,117227,105036,136434
"SAUSA300_2127",1401,1666,1540,1825,1581,1714
"SAUSA300_2624",922,961,899,918,935,1027
"SAUSA300_2353",756,746,802,930,927,1020
"SAUSA300_0216",85,156,214,3281,4406,5431
"SAUSA300_2053",1878,2209,1564,1355,1117,1313
"SAUSA300_2080",1739,2122,1660,1509,1482,1730
"SAUSA300_2506",2885,2977,3444,21305,18810,21178
"SAUSA300_0448",1716,1874,2690,17657,18842,27328
"SAUSA300_1606",1226,1403,1182,1187,897,1432
"SAUSA300_1001",254,217,321,2036,1668,2291
"SAUSA300_0172",345,404,315,285,232,256
"SAUSA300_0653",1478,1501,1501,2054,1767,2191
"SAUSA300_0864",218,233,312,1889,1550,2249
"SAUSA300_0531",1724,1249,2158,18421,14123,21922
"SAUSA300_1004",10854,12319,9151,5987,5760,9359
"SAUSA300_2617",225,228,335,2121,1655,2144
"SAUSA300_1652",11050,10307,11105,15202,12708,15804
"SAUSA300_2195",1693,1547,2041,11192,10661,12950
"SAUSA300_1046",344,383,554,3314,2677,3726
"SAUSA300_0953",363,394,394,509,432,525
"SAUSA300_2529",2172,2377,2148,2475,2361,2931
"SAUSA300_0976",2653,2807,3884,23333,18224,22719
"SAUSA300_1227",536,503,796,4466,4004,5196
"SAUSA300_1513",11618,10689,12972,15523,15209,18764
"SAUSA300_1582",35185,34364,30215,26157,25602,35969
"SAUSA300_2035",222,209,323,1959,1831,2108
"SAUSA300_2091",11152,11858,13518,14751,15649,18314
"SAUSA300_0625",6915,7494,6151,6584,6029,6478
"SAUSA300_0619",8558,9077,12258,67403,58940,75235
"SAUSA300_1669",304,302,489,2888,2553,3145
"SAUSA300_1865",5150,4761,5689,7850,6805,9274
"SAUSA300_0041",638,737,665,694,704,835
"SAUSA300_1257",3225,3415,3203,4379,3656,4676
"SAUSA300_1041",772,1050,800,705,614,595
"SAUSA300_1708",8112,8545,7103,8196,6839,8748
"SAUSA300_2418",1860,2276,1974,1571,1870,1704
"SAUSA300_1660",73,65,87,677,514,735
"SAUSA300_0432",135,146,164,1078,1012,1206
"SAUSA300_0279",1205,1217,1776,9854,7935,10475
"SAUSA300_2100",17329,19069,18395,20513,20935,22166
"SAUSA300_2250",696,724,1083,6461,5592,6351
"SAUSA300_2254",5950,6204,7348,8968,8285,11765
"SAUSA300_2600",21,25,14,423,342,408
"SAUSA300_0156",34,32,35,322,258,364
"SAUSA300_1903",105,122,122,938,842,1002
"SAUSA300_1458",1552,1631,1540,1900,1755,1837
"SAUSA300_1565",52,63,85,690,523,824
"SAUSA300_1197",5435,6724,4912,5033,4341,4933
"SAUSA300_2252",3157,3824,2900,3044,2705,3004
"SAUSA300_1992",2196,2147,3916,28570,24962,30044
"SAUSA300_0009",8695,8506,10296,14888,12875,16949
"SAUSA300_1494",3480,3775,4288,6427,5628,6474
"SAUSA300_1808",207,251,223,1855,1599,2036
"SAUSA300_1056",752,669,820,4834,4179,5703
"SAUSA300_2502",477,646,526,534,492,577
"SAUSA300_1490",38266,41873,39903,54101,41265,53363
"SAUSA300_0697",66,53,90,875,580,873
"SAUSA300_1785",4940,5953,5692,7503,6892,8311
"SAUSA300_1920",1970,2344,1814,21962,24646,28384
"SAUSA300_2366",48,51,33,710,617,698
"SAUSA300_2448",462,422,754,4514,4217,5224
"SAUSA300_0224",113,139,167,1229,977,1146
"SAUSA300_1462",1664,1599,2020,3010,2604,3020
"SAUSA300_2146",745,826,909,1364,1150,1451
"SAUSA300_0609",481,627,509,568,481,566
"SAUSA300_0256",4047,4604,5717,30534,29781,40768
"SAUSA300_0763",633,621,845,5006,3648,5144
"SAUSA300_1100",1569,1714,1636,1856,1922,2357
"SAUSA300_0405",298.51,251.438,410.888,2398.58,2061.69,2820.85
"SAUSA300_0324",153,146,239,1436,1337,1852
"SAUSA300_0328",151,134,195,1278,967,1355
"SAUSA300_2574",557,681,749,979,870,1099
"SAUSA300_1216",2769,2504,3443,4790,3437,4898
"SAUSA300_2626",568,630,690,748,781,995
"SAUSA300_0566",1873,1749,2688,14105,13510,17654
"SAUSA300_1234",365,381,261,205,151,206
"SAUSA300_2093",1632,1589,1524,1583,1721,1671
