"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"KNNFDEDG_02309.t00",321,164,473,554,361,545,1195,494,464,935,864
"KNNFDEDG_00922.t00",84,135,139,85,112,133,184,84,85,188,123
"KNNFDEDG_00095.t00",1510,820,2208,1469,856,1945,1665,1781,908,2284,2031
"KNNFDEDG_01520",231,89,764,186,136,730,580,244,132,568,505
"KNNFDEDG_02591",96,166,107,126,284,127,259,144,241,127,305
"KNNFDEDG_01560.t00",1,7,19,7,16,18,38,3,17,20,12
"KNNFDEDG_00859.t00",290,143,21,365,88,18,40,314,118,18,44
"KNNFDEDG_01918.t00",330,240,359,403,229,404,676,304,223,586,286
"KNNFDEDG_02169",151,274,258,93,382,379,232,92,337,433,249
"Novel00247",3,1,5,14,2,3,1,21,2,3,8
"KNNFDEDG_02167",140,68,60,170,142,77,118,157,144,105,116
"KNNFDEDG_01003.t00",1009,595,1825,1111,823,1313,1323,946,1030,1632,1331
"KNNFDEDG_02165",447,265,345,383,326,388,302,350,328,321,299
"KNNFDEDG_00884",1247,1344,3427,1289,2138,3281,3999,1294,2067,4078,3296
"KNNFDEDG_02161",514,208,250,448,203,250,166,370,194,240,233
"KNNFDEDG_01152",24472,2015,7981,39315,2722,3909,2457,33964,3965,6129,1949
"KNNFDEDG_01222.t00",534,321,429,759,469,324,752,684,626,533,581
"KNNFDEDG_02493.t00",402,376,670,496,454,589,643,438,535,652,750
"Novel00245",0,0,0,0,0,0,1,0,0,0,0
"KNNFDEDG_01528",105,46,128,159,33,60,111,154,89,66,75
"KNNFDEDG_02737.t00",141,57,21,203,105,33,73,153,117,74,64
"KNNFDEDG_00882",569,292,1521,790,503,1378,1661,852,580,1994,1499
"Novel00243",1,0,2,1,0,10,0,0,3,0,1
"KNNFDEDG_00084.t00",274,5289,1237,232,6557,1716,5019,270,7369,1739,5468
"KNNFDEDG_02617",447,166,562,451,227,590,575,418,219,675,509
"KNNFDEDG_00429.t00",984,344,835,1096,500,837,864,1138,611,954,976
"KNNFDEDG_02611",5109,4751,7365,3639,4654,9908,7144,2897,4766,9413,5969
"KNNFDEDG_02610",2942,2103,13222,3947,3520,10819,14039,4023,3925,17345,11708
"KNNFDEDG_02613",759,615,1401,620,634,1593,1065,483,736,1313,989
"KNNFDEDG_02612",4534,3598,8658,4067,4656,9050,7182,3483,5021,9897,6503
"KNNFDEDG_00881",2190,606,1641,3385,954,1016,1336,3250,1482,1761,1211
"KNNFDEDG_02619",279,99,340,622,123,217,359,499,192,377,254
"KNNFDEDG_02618",1298,507,1859,1418,678,1983,1982,1299,782,2163,1782
"KNNFDEDG_02348",1025,131,581,1164,150,374,198,1131,198,464,230
"KNNFDEDG_02052.t00",586,504,1404,800,610,1080,1544,645,832,1407,1237
"KNNFDEDG_02743.t00",12,1,4,11,8,4,9,8,8,3,5
"KNNFDEDG_00915.t00",725,609,862,1409,1222,417,1465,1458,1838,997,1368
"KNNFDEDG_02769.t00",343,219,191,261,157,393,870,164,151,279,626
"KNNFDEDG_00214.t00",2,0,0,0,0,0,1,0,0,2,0
"KNNFDEDG_02290",14461,699,237,18460,571,221,141,19293,873,218,147
"KNNFDEDG_02292",5990,253,169,6234,216,158,164,6042,352,235,170
"KNNFDEDG_02295",5572,331,496,5826,429,432,391,5316,628,523,415
"KNNFDEDG_02294",8492,779,901,11539,926,712,773,10591,1113,1038,849
"KNNFDEDG_02296",5,4,23,11,15,1,32,11,34,25,19
"KNNFDEDG_00013.t00",321,221,559,354,414,1098,653,322,349,889,549
"Novel00248",0,3,0,6,0,0,0,0,0,2,0
"KNNFDEDG_00285",458,213,327,552,224,316,415,586,292,395,390
"KNNFDEDG_00889",3161,694,1297,2943,932,1246,974,2737,1109,1399,968
"KNNFDEDG_02510.t00",3151,1527,2708,3895,2007,2306,3311,3409,2635,3117,2420
"KNNFDEDG_01095.t00",297,303,699,209,253,1093,751,197,320,674,903
"KNNFDEDG_01236",5982,675,2746,8548,1180,1868,1905,8527,1457,2987,1431
"KNNFDEDG_01237",14915,3075,12362,18851,3801,9853,8042,20154,4489,11994,7064
"KNNFDEDG_01234",24,12,29,52,14,26,33,61,43,33,16
"KNNFDEDG_01235",93,27,55,82,41,41,34,100,54,56,24
"KNNFDEDG_01232",137,72,89,178,89,55,104,147,107,102,74
"KNNFDEDG_01233",51,16,41,63,44,36,15,80,28,18,15
"KNNFDEDG_01230",866,600,651,900,809,609,819,816,946,748,939
"KNNFDEDG_01580",761,958,2767,670,1139,2789,3095,632,1172,2975,3016
"KNNFDEDG_01581",7074,1126,14348,10966,1954,10871,19362,9191,2225,21376,13441
"KNNFDEDG_01582",35432,7264,44001,27360,7415,54268,47977,22442,6350,54688,38563
"KNNFDEDG_02789.t00",471,152,689,665,169,909,1122,474,221,1137,705
"KNNFDEDG_01238",793,180,1006,1539,254,604,810,1473,361,1038,576
"KNNFDEDG_00962",5433,3394,12537,6931,5253,8872,9149,7187,5826,11241,10028
"KNNFDEDG_01305.t00",3373,1686,1616,2544,2228,1588,1513,2649,2397,1555,1721
"KNNFDEDG_00965",66654,6849,20511,72420,10334,13242,8002,70956,12214,18939,8005
"KNNFDEDG_01028",2073,1075,3825,2748,1877,2448,3349,2619,1946,3781,3862
"KNNFDEDG_00964",34577,3853,9545,41104,5701,6075,4765,39304,6643,8856,4867
"KNNFDEDG_00722",3586,463,451,4905,1062,351,835,4478,1038,528,783
"KNNFDEDG_00721",24864,2960,2728,27571,4998,2332,3451,28882,5059,2773,3916
"KNNFDEDG_00727",281,132,238,333,208,158,274,433,311,201,312
"KNNFDEDG_00726",169,112,96,217,153,80,119,236,166,94,131
"KNNFDEDG_00725",171,275,647,301,256,463,540,208,314,512,618
"KNNFDEDG_00724",288,97,179,294,155,94,216,278,145,173,173
"KNNFDEDG_00729",2163,1130,2473,2582,1163,1903,1413,2393,945,2321,1596
"KNNFDEDG_00966",14262,1489,5415,16391,2348,3547,1894,16329,2856,4666,2014
"KNNFDEDG_02585",25956,8978,18704,23019,13465,22850,18296,22624,14069,21193,17251
"KNNFDEDG_02584",6938,2280,6840,9440,4724,5826,8291,9206,5944,9022,7094
"KNNFDEDG_01128",13,6,7,20,14,12,14,12,16,17,9
"KNNFDEDG_02586",7148,2965,4769,6039,3374,6491,4409,5852,3542,5354,4210
"KNNFDEDG_02581",9184,5561,6813,7279,5754,8769,7054,6964,5987,7761,6864
"KNNFDEDG_02580",2165,1210,1609,1836,1410,2252,1702,1810,1512,1744,1664
"KNNFDEDG_02583",14786,5412,12239,15829,9848,12305,13690,15831,11098,15198,12763
"KNNFDEDG_02582",3297,966,4234,4912,2604,2700,4922,4999,3523,5050,4033
"KNNFDEDG_00330",10635,4701,9653,11486,7520,6974,7060,11227,8219,8727,7853
"KNNFDEDG_01123",565,355,675,762,453,404,603,674,550,598,454
"KNNFDEDG_01120",894,484,666,1290,774,668,1121,999,846,858,949
"KNNFDEDG_02363.t00",425,257,661,675,178,533,574,464,284,640,483
"KNNFDEDG_02588",5563,1698,4481,6340,2153,3945,3496,7187,2715,4703,4160
"KNNFDEDG_01124",396,304,344,327,289,362,312,294,402,345,330
"KNNFDEDG_01125",407,316,435,447,303,416,358,330,399,431,326
"KNNFDEDG_01052",119,158,1590,290,299,648,1639,281,384,1542,1369
"KNNFDEDG_01050",2331,4766,2463,1414,3998,6975,6199,1404,3447,3943,6966
"KNNFDEDG_00298",152,69,351,257,109,139,356,300,184,392,228
"KNNFDEDG_01056",0,1,4,4,1,5,1,0,0,2,2
"KNNFDEDG_00293",546,298,612,772,418,444,420,733,610,550,512
"KNNFDEDG_00292",201,116,284,307,215,181,165,252,214,209,178
"KNNFDEDG_00291",2420,1947,2656,2787,2323,2993,3414,2226,2604,3803,3564
"KNNFDEDG_01059",2405,1389,17607,2430,1410,23562,24183,2107,1864,24099,14708
"KNNFDEDG_00297",26,14,40,37,42,37,34,55,46,41,20
"KNNFDEDG_00296",8235,2892,8800,10126,4839,6545,5792,10107,5076,8838,7219
"KNNFDEDG_00295",2114,1949,6680,2584,2588,5154,4889,2469,2639,5110,6717
"KNNFDEDG_00294",605,304,481,556,301,418,326,563,357,370,389
"KNNFDEDG_01830",3455,311,2061,3523,258,2268,1021,2834,298,1985,696
"KNNFDEDG_01831",4232,365,2929,4773,362,2767,1424,4325,425,2979,1051
"KNNFDEDG_01832",1346,108,1870,2654,203,921,1025,2521,284,1902,629
"KNNFDEDG_01833",1293,174,1614,2251,206,1190,834,2271,271,1740,490
"KNNFDEDG_01834",985,97,1515,2088,150,891,842,1953,265,1675,470
"KNNFDEDG_01835",724,39,62,827,38,86,85,989,53,57,95
"KNNFDEDG_01838",427,184,306,358,152,310,199,323,177,266,196
"KNNFDEDG_00619",820,856,889,837,1096,865,1150,887,1214,1053,1313
"KNNFDEDG_02722.t00",5,5,0,7,3,5,16,1,5,9,5
"KNNFDEDG_00617",5187,1878,1839,6219,1959,1516,1383,5383,2801,1523,1414
"KNNFDEDG_00615",32,53,109,40,97,136,172,45,101,144,197
"KNNFDEDG_01065.t00",132,39,102,135,33,143,88,120,29,106,71
"KNNFDEDG_00612",728,96,150,775,134,199,153,754,207,227,168
"KNNFDEDG_00610",133,47,218,302,52,163,252,321,79,351,119
"KNNFDEDG_01638.t00",147,185,129,174,242,100,131,160,248,122,199
"KNNFDEDG_01298.t00",413,362,1216,476,453,1061,1027,407,468,1231,1042
"KNNFDEDG_02533.t00",1002,699,3253,1487,1199,2686,3063,1681,1474,4521,2763
"Novel00505",0,0,2,6,0,1,1,3,0,2,1
"KNNFDEDG_00476",46,10,18,72,17,27,9,37,12,18,20
"Novel00507",2,1,1,5,3,3,4,2,0,0,0
"Novel00506",8,15,1,8,2,1,0,4,2,1,2
"KNNFDEDG_00473",1094,746,847,1310,881,805,833,1399,989,751,916
"Novel00500",167,108,60,60,60,93,38,43,60,63,60
"KNNFDEDG_00471",160,55,86,290,64,44,78,320,88,97,80
"KNNFDEDG_00470",147,75,114,276,114,106,126,212,170,130,153
"Novel00509",5,2,6,3,5,0,3,2,6,3,1
"Novel00508",1,10,0,1,3,1,0,0,3,0,1
"KNNFDEDG_00478",4,1,4,0,4,0,3,4,6,1,2
"KNNFDEDG_00184",70,56,92,124,41,55,84,93,58,136,119
"KNNFDEDG_00183",47,6,11,38,13,33,48,27,14,24,27
"KNNFDEDG_01909",6230,2168,13525,6511,4298,8278,4764,6363,4242,11372,4715
"KNNFDEDG_00180",34,3,7,58,11,3,1,44,7,7,4
"KNNFDEDG_01587.t00",19935,12472,13241,13757,6389,15486,5477,13439,7648,7501,7581
"KNNFDEDG_00816.t00",352,50,169,299,61,128,75,309,74,175,72
"KNNFDEDG_02729.t00",5,6,2,1,0,8,1,2,2,2,3
"KNNFDEDG_02478.t00",15,6,12,39,8,11,33,15,6,16,31
"KNNFDEDG_00532.t00",98,26,101,101,25,96,61,111,36,108,58
"KNNFDEDG_02311.t00",125,75,113,231,84,90,165,183,123,136,127
"Novel00167",0,0,0,0,7,0,1,0,1,0,0
"Novel00166",1,0,0,0,0,0,0,0,2,0,0
"KNNFDEDG_00509",6904,6272,8745,6986,8864,7031,8453,6030,8857,8599,9891
"KNNFDEDG_00508",743,535,2024,800,639,1622,1286,595,667,1691,1671
"Novel00163",32,28,8,3,6,20,1,10,7,8,13
"KNNFDEDG_00597.t00",109,1641,348,136,2102,384,1611,103,2604,438,1925
"KNNFDEDG_02206.t00",1151,699,1631,1142,769,1447,1365,918,988,1325,1657
"Novel00160",2,7,0,1,0,0,2,0,0,0,0
"KNNFDEDG_00503",1564,697,1420,1871,1122,1112,1425,1891,1310,1507,1267
"KNNFDEDG_00502",2355,1512,2306,1961,1643,2429,1972,2041,1694,2142,1973
"KNNFDEDG_00053",3938,1883,1893,3896,2029,2030,1799,4207,2287,1985,1853
"KNNFDEDG_00500",3746,2288,4503,3785,2236,3724,3945,3638,2800,4486,3551
"KNNFDEDG_00055",982,290,329,980,365,260,409,953,481,338,411
"KNNFDEDG_00054",494,141,254,656,261,176,307,564,310,363,294
"KNNFDEDG_00057",1357,1231,2189,1236,1549,2161,1879,1231,1669,2293,2084
"KNNFDEDG_00056",743,780,1063,829,953,1161,1306,889,1030,1359,1345
"Novel00439",31,21,10,1,10,11,3,2,3,12,8
"Novel00438",13,3,4,37,7,7,6,16,13,7,7
"KNNFDEDG_00989",215,262,257,159,179,438,406,143,254,380,308
"KNNFDEDG_00988",46,28,30,59,36,17,26,48,33,17,29
"Novel00431",2,5,3,0,2,5,1,1,0,2,2
"Novel00430",8,11,5,11,3,8,5,6,7,9,3
"Novel00433",21,11,15,25,23,9,21,21,32,28,31
"KNNFDEDG_00984",474,243,222,460,394,350,383,551,451,333,433
"KNNFDEDG_00983",577,115,367,644,161,310,278,649,142,433,268
"KNNFDEDG_00982",2099,429,1187,1793,503,1321,763,1884,506,1171,694
"Novel00437",8,1,3,4,4,2,3,5,2,10,2
"KNNFDEDG_00980",5306,3430,4633,4890,3848,4411,3163,4079,3847,3839,3705
"Novel00189",1,0,0,0,0,0,0,1,0,0,0
"Novel00188",34,61,26,29,19,15,27,45,32,13,22
"sRNA00036",1,0,9,0,1,1,4,6,4,7,11
"KNNFDEDG_01924.t00",0,0,0,0,0,0,0,0,0,0,0
"sRNA00031",91,100173,15610,330,93134,10176,105948,178,144037,24389,80291
"KNNFDEDG_01935.t00",22,19,17,23,13,13,28,18,10,38,9
"Novel00181",0,2,1,0,1,0,0,0,3,0,1
"Novel00180",4,0,0,2,1,0,5,0,5,3,1
"Novel00183",7,11,11,14,12,14,35,8,17,8,24
"Novel00182",3,0,0,10,3,3,3,1,9,0,11
"Novel00185",79,59,30,17,40,54,11,18,23,28,16
"Novel00184",5,8,0,6,2,3,4,5,0,2,0
"Novel00187",51,32,37,5,13,51,8,3,4,15,12
"Novel00186",1,9,1,0,1,6,2,0,0,2,3
"KNNFDEDG_00255.t00",6,0,0,3,2,0,3,3,3,6,2
"KNNFDEDG_00601",868,443,849,1109,617,830,1015,1176,714,1108,1102
"KNNFDEDG_01421.t00",4099,3046,4388,5356,4421,2906,4325,4878,5230,3972,5241
"KNNFDEDG_01306.t00",1028,489,895,1595,964,521,1085,1296,1182,1091,927
"KNNFDEDG_02767.t00",75,35,126,73,52,113,67,72,72,111,58
"KNNFDEDG_02691.t00",70,57,102,167,76,57,150,147,104,89,115
"KNNFDEDG_01827.t00",1366,104,868,2275,104,534,605,2058,127,1046,350
"KNNFDEDG_00019.t00",5,6,29,17,17,33,46,17,12,56,27
"KNNFDEDG_00696.t00",4,3,16,5,7,10,13,4,5,15,13
"KNNFDEDG_00747.t00",845,572,558,745,640,643,622,702,673,649,567
"KNNFDEDG_01021.t00",336,165,687,474,419,454,784,501,488,752,733
"KNNFDEDG_00822.t00",828,437,984,1217,991,492,1112,1141,1273,908,1159
"KNNFDEDG_01723.t00",24,0,88,31,5,38,49,49,13,70,52
"KNNFDEDG_00337",2463,1716,5910,3421,2571,3953,5127,3166,3115,5837,5044
"KNNFDEDG_02237.t00",222,478,653,252,532,799,1328,221,626,1008,929
"Novel00233",4,5,10,7,7,11,15,7,5,11,8
"Novel00232",6,16,6,4,7,17,11,17,9,20,21
"KNNFDEDG_00879",12402,4429,9500,14813,6415,6977,6139,14159,7206,8923,6007
"Novel00230",4,13,1,6,3,2,4,4,2,0,1
"Novel00237",2,0,0,0,0,0,0,0,0,0,1
"Novel00236",4,0,3,2,5,2,0,1,2,2,1
"Novel00235",0,4,3,1,4,2,3,0,0,1,7
"Novel00234",5,5,3,0,2,0,2,6,11,2,5
"KNNFDEDG_00873",33,79,78,51,138,60,113,66,179,139,56
"KNNFDEDG_00872",74,374,197,73,233,228,164,45,227,224,97
"Novel00239",1,0,0,0,0,0,2,0,0,0,0
"KNNFDEDG_02139.t00",103,12598,4139,86,19701,4215,18124,88,25666,5214,20145
"KNNFDEDG_01077",8686,6688,15808,8777,7893,11589,10222,8436,8645,12601,13262
"KNNFDEDG_01379.t00",2007,660,785,2345,1060,799,792,2674,1329,871,780
"KNNFDEDG_02018",66,18,100,32,24,83,99,30,23,114,62
"KNNFDEDG_01989.t00",192,118,3264,201,133,3030,792,232,139,2810,990
"KNNFDEDG_00468",4094,3515,18300,6407,5645,11140,16074,6362,7166,17632,15830
"KNNFDEDG_00998.t00",237,321,752,280,397,520,832,249,477,731,869
"KNNFDEDG_02783.t00",766,470,1208,1281,504,841,1625,1357,573,1353,1003
"KNNFDEDG_00469",3071,2204,2097,3332,3286,2154,2974,2848,3566,2619,3669
"KNNFDEDG_01915.t00",0,0,0,1,0,4,1,0,1,4,1
"Novel00514",24,17,11,16,14,14,22,7,25,20,19
"KNNFDEDG_02324.t00",32,35,53,36,23,20,35,30,47,31,33
"KNNFDEDG_01545.t00",3,2,4,5,0,8,3,4,1,11,3
"KNNFDEDG_01526.t00",86,56,252,176,165,217,387,131,189,381,347
"KNNFDEDG_02156",9856,4736,7167,11725,6655,5951,7201,12614,7707,6707,7937
"KNNFDEDG_02405",320,71,93,249,60,109,62,247,57,102,66
"KNNFDEDG_01741.t00",161,157,120,178,188,125,199,163,185,155,175
"KNNFDEDG_01991.t00",992,108,283,1323,136,167,134,1172,190,209,81
"KNNFDEDG_02407",336,221,1016,465,294,895,1177,425,392,1242,1076
"KNNFDEDG_02400",0,5,6,1,8,6,18,1,4,8,12
"KNNFDEDG_00008.t00",26,28,94,53,59,121,129,46,42,192,120
"KNNFDEDG_00716.t00",4,0,1,8,1,0,1,5,5,3,2
"KNNFDEDG_01728",90,16,394,108,39,324,265,128,24,393,279
"KNNFDEDG_02402",117,57,182,140,63,180,111,115,77,151,130
"KNNFDEDG_00870.t00",425,216,202,488,182,148,179,355,139,185,157
"KNNFDEDG_00466",378,153,125,337,206,183,251,346,242,188,186
"KNNFDEDG_02557.t00",380,219,316,415,176,336,392,388,247,340,256
"KNNFDEDG_00467",90,41,65,140,69,46,149,104,79,81,93
"KNNFDEDG_01729",263,44,1196,396,112,955,841,394,117,1281,1034
"KNNFDEDG_00212.t00",14,2,8,11,6,5,10,9,5,4,11
"KNNFDEDG_01291.t00",90,60,45,152,127,45,131,105,171,68,140
"KNNFDEDG_02417",70,36,222,112,78,102,204,148,112,235,204
"KNNFDEDG_01670.t00",452,80,284,438,100,263,145,426,70,309,134
"KNNFDEDG_01897.t00",36,11,1,41,13,5,15,37,21,18,7
"KNNFDEDG_01093.t00",10232,2852,8477,9814,3642,8783,10897,9182,3819,9800,9767
"KNNFDEDG_00811",2069,719,969,2666,1298,809,1208,2465,1537,1080,1131
"KNNFDEDG_00438",155,57,152,188,84,136,177,162,118,167,166
"KNNFDEDG_00812",1879,800,815,2035,1279,692,919,2093,1349,902,922
"KNNFDEDG_02072.t00",59,68,45,67,55,59,68,42,58,42,59
"KNNFDEDG_02118",90,70,231,81,57,215,202,97,63,251,169
"KNNFDEDG_00506.t00",719,402,675,915,487,691,1198,757,606,929,954
"KNNFDEDG_00372.t00",67,30,77,105,33,48,106,92,69,114,70
"KNNFDEDG_00860.t00",531,86,260,545,100,215,182,510,86,269,104
"KNNFDEDG_02111.t00",14,12,10,27,6,16,6,24,1,9,14
"KNNFDEDG_01014.t00",219,69,110,140,88,66,99,190,72,118,93
"KNNFDEDG_01717.t00",70,16,33,96,38,34,49,140,42,41,38
"KNNFDEDG_00971.t00",158,68,114,157,75,148,77,134,78,95,103
"KNNFDEDG_00088.t00",845,260,1123,1659,390,570,755,1559,563,1021,632
"KNNFDEDG_00676.t00",8,8,35,9,3,63,101,18,8,109,49
"KNNFDEDG_00539.t00",165,142,49,176,224,122,308,156,238,129,249
"KNNFDEDG_02620",544,147,403,903,274,373,502,723,304,608,412
"KNNFDEDG_02333",197,112,108,192,137,101,111,208,115,120,97
"KNNFDEDG_02622",1593,432,480,1235,254,691,500,1186,266,536,378
"KNNFDEDG_02331",543,504,670,733,636,471,787,663,685,735,592
"KNNFDEDG_02336",254,122,661,200,140,973,639,177,165,1005,464
"KNNFDEDG_02337",1076,548,3576,829,742,5133,3715,853,796,5167,2690
"KNNFDEDG_01907.t00",54,11,25,69,44,7,34,69,42,24,82
"KNNFDEDG_00804.t00",859,429,285,589,450,400,439,567,455,334,457
"KNNFDEDG_00767.t00",2336,2924,2340,2298,4513,2430,3904,2214,5065,2918,4022
"KNNFDEDG_02201.t00",25,8,24,47,12,40,40,37,28,44,35
"KNNFDEDG_00494.t00",1512,1509,1181,1342,1785,1346,1663,1366,1727,1212,1671
"KNNFDEDG_01584.t00",500,240,306,831,482,176,268,827,492,337,257
"KNNFDEDG_01017.t00",1886,449,648,2988,873,294,566,2628,1197,693,511
"KNNFDEDG_02744.t00",187,110,237,328,110,184,220,289,109,315,206
"KNNFDEDG_00995.t00",9,12,24,22,25,14,34,15,12,26,15
"KNNFDEDG_01090.t00",456,138,305,398,194,260,712,427,317,437,618
"KNNFDEDG_00488.t00",22,44,87,105,52,47,102,71,69,104,100
"KNNFDEDG_00209.t00",177,81,206,325,104,128,186,202,140,187,142
"KNNFDEDG_02026",29,38,21,32,27,22,33,44,47,25,35
"KNNFDEDG_02027",0,1,4,4,6,2,1,1,3,5,5
"KNNFDEDG_02024",45,26,134,72,50,101,117,64,55,120,104
"KNNFDEDG_02386.t00",111,32,35,137,29,21,35,138,57,29,36
"KNNFDEDG_02334.t00",0,0,0,0,0,0,0,0,0,2,0
"KNNFDEDG_01954.t00",1034,395,637,1094,439,473,648,959,565,670,478
"KNNFDEDG_02020",25,8,30,2,6,32,34,10,15,26,22
"KNNFDEDG_02753",358,102,531,521,146,480,622,576,175,717,418
"KNNFDEDG_01510.t00",838,435,1398,1373,522,831,1044,1183,767,1159,1030
"KNNFDEDG_01190",36202,21738,43965,36898,32346,30734,37705,37958,36336,38738,42366
"KNNFDEDG_02028",0,0,10,1,0,7,1,1,0,2,2
"KNNFDEDG_02029",1,0,9,3,3,4,9,0,0,2,0
"KNNFDEDG_01225",1482,960,2709,2177,1703,1471,2858,1916,2059,2617,2668
"KNNFDEDG_01595",8049,536,2574,8125,1225,2224,2241,6969,1314,2848,1814
"KNNFDEDG_01594",16498,1595,4794,12627,1987,4991,3538,10099,2419,4695,2976
"KNNFDEDG_01221",771,596,556,940,751,490,964,944,936,701,949
"KNNFDEDG_02248",2114,1889,1721,2585,2332,768,841,2322,2437,1070,1364
"KNNFDEDG_02249",21,19,92,40,28,132,101,49,22,87,61
"KNNFDEDG_02712.t00",10,2,26,15,10,35,50,12,15,40,36
"KNNFDEDG_02247",637,291,612,1030,417,417,755,1056,507,627,765
"KNNFDEDG_02245",352,210,713,639,468,340,642,599,612,626,643
"KNNFDEDG_02242",1588,1133,3787,1408,1075,4171,3805,1291,1087,3855,3613
"KNNFDEDG_02243",727,270,1046,476,246,1395,1008,546,206,1122,726
"KNNFDEDG_01599",102,202,165,181,300,142,349,165,353,210,328
"KNNFDEDG_02241",120,54,533,131,78,721,750,171,111,773,556
"KNNFDEDG_02497.t00",30532,3430,66382,57645,5730,27005,27417,63484,7882,59983,25187
"KNNFDEDG_01375.t00",283,140,154,250,147,160,146,276,130,177,169
"KNNFDEDG_01274.t00",541,184,721,554,239,373,516,541,329,519,567
"KNNFDEDG_01138",346,484,1160,449,706,967,1364,420,744,1302,1530
"KNNFDEDG_01720",37543,2562,952,46175,2057,826,584,39908,2485,1190,669
"KNNFDEDG_02187.t00",189,114,212,285,155,263,456,238,230,345,234
"KNNFDEDG_00334",566,607,803,543,446,668,578,454,449,495,784
"KNNFDEDG_02602.t00",8,9,3,13,12,12,8,8,12,2,8
"KNNFDEDG_01131",0,0,0,0,1,0,0,0,3,0,0
"KNNFDEDG_00518",599,140,154,595,247,131,163,561,268,172,201
"KNNFDEDG_01133",0,0,0,0,0,0,0,0,0,1,0
"KNNFDEDG_01134",0,0,0,0,0,0,0,0,0,0,1
"KNNFDEDG_01137",322,392,1031,690,561,772,1460,580,645,1228,1330
"KNNFDEDG_01136",3695,1438,4572,4896,1565,3345,2997,3974,1882,3734,3215
"KNNFDEDG_00266",386,118,706,528,225,649,1312,479,263,1116,1088
"KNNFDEDG_01040",74,29,27,86,102,38,43,60,107,30,65
"KNNFDEDG_00264",1628,1347,2906,1718,1443,1874,1882,1660,1598,2739,1789
"KNNFDEDG_00265",1954,622,2363,2922,432,1742,1294,2340,582,1926,871
"KNNFDEDG_01045",2785,1169,2129,2652,1485,1414,1048,2851,1625,1510,1138
"KNNFDEDG_01044",2412,970,1728,2275,1045,1180,849,2458,1225,1264,882
"KNNFDEDG_01047",2470,1554,1462,2110,1465,1218,934,2069,1483,1064,932
"KNNFDEDG_01828",3514,269,1839,3947,253,1775,1065,3612,295,2124,749
"KNNFDEDG_01049",3090,3090,4863,3399,5291,6423,9677,3220,5097,7000,10166
"KNNFDEDG_01825",666,31,285,933,49,206,205,767,71,322,113
"KNNFDEDG_01822",873,39,352,961,66,421,274,907,79,463,207
"KNNFDEDG_01821",1622,58,915,2091,141,768,614,1921,147,1128,449
"KNNFDEDG_00269",2280,949,2621,2435,1434,2706,2008,2447,1316,2979,1889
"KNNFDEDG_01894.t00",9,7,10,34,8,10,11,27,6,17,7
"KNNFDEDG_00514",578,501,2569,665,791,2044,3020,624,951,3791,2585
"KNNFDEDG_00289.t00",3678,841,10359,7166,1583,5304,5143,7787,2156,8714,4520
"KNNFDEDG_00515",2779,3276,9514,2082,3641,11857,8901,2078,3517,12184,9037
"KNNFDEDG_00668",14313,2204,982,10821,2189,1331,1206,9596,2311,1195,1080
"KNNFDEDG_00669",289,167,243,216,76,318,173,225,87,250,144
"KNNFDEDG_02752.t00",52,16,64,122,21,89,116,108,27,100,54
"Novel00452",12,8,25,27,12,13,24,23,8,17,12
"KNNFDEDG_00662",2883,734,2153,2961,1159,2352,2795,2765,1292,2979,2445
"KNNFDEDG_00663",1731,594,962,1781,746,1319,1632,1833,886,1555,1617
"KNNFDEDG_00660",122,97,374,199,94,275,465,181,154,479,344
"KNNFDEDG_00661",4298,1628,1242,3333,1372,1880,1430,3101,1492,1665,1224
"KNNFDEDG_00667",32307,15888,31820,38531,19816,13287,10355,39085,21534,16477,14822
"KNNFDEDG_00664",1850,1483,1099,2213,2178,913,1339,2006,2747,1045,1279
"KNNFDEDG_01745.t00",28,7,144,136,42,26,168,73,71,205,70
"KNNFDEDG_00450.t00",1027,604,1040,1323,645,809,831,1130,814,917,819
"KNNFDEDG_00402",295,95,184,410,137,87,172,434,220,168,144
"KNNFDEDG_00403",2516,967,984,2655,1357,1077,946,2591,1507,1132,883
"KNNFDEDG_00400",1210,382,1011,1272,563,1131,929,1290,636,1236,876
"KNNFDEDG_00401",1941,650,1540,2024,842,1821,1409,2030,840,1890,1284
"KNNFDEDG_00406",2692,2229,5283,2951,2819,5055,6300,2581,2674,5716,5639
"KNNFDEDG_01370.t00",161,68,67,100,72,123,87,129,75,90,100
"KNNFDEDG_00404",4074,1542,2809,3858,1686,2572,2236,3751,1912,2716,2050
"KNNFDEDG_00505.t00",435,231,427,404,370,453,477,383,361,426,535
"KNNFDEDG_00408",139,39,79,196,44,80,149,210,65,168,93
"KNNFDEDG_00409",644,274,492,603,283,712,564,680,327,749,567
"KNNFDEDG_00757",828,870,1506,1042,1486,1093,1737,956,1506,1559,1896
"KNNFDEDG_01108.t00",86,18,58,176,79,47,134,195,86,127,106
"KNNFDEDG_02054.t00",3516,1180,2123,3665,1790,2026,1802,3756,2059,2295,2046
"KNNFDEDG_02508.t00",1679,1441,1061,3632,2341,1131,2619,3802,3962,1868,2466
"KNNFDEDG_00678.t00",153,506,366,278,1202,233,1090,375,1446,443,952
