"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"Novel00305",5,10,1,8,0,5,4,2,6,1,6
"Novel00304",0,3,0,0,0,0,0,0,1,1,1
"KNNFDEDG_00943",4071,1158,8843,6463,2252,4550,7258,6636,3026,8565,6503
"KNNFDEDG_00942",35523,11732,60195,43557,19989,40450,44553,43242,23936,57630,43562
"Novel00309",62,23,16,36,18,56,18,19,20,18,27
"KNNFDEDG_00940",499,210,314,627,155,427,716,774,228,569,606
"KNNFDEDG_00945",1115,1316,1353,1049,1480,1190,1244,1101,1693,1365,1180
"KNNFDEDG_02625",1393,572,800,1420,825,1158,1236,1533,765,1151,990
"KNNFDEDG_01546.t00",68,57,241,167,37,151,285,157,72,349,204
"KNNFDEDG_00197.t00",505,163,181,440,253,176,148,472,239,297,184
"KNNFDEDG_02434.t00",341,380,2315,617,508,1948,3928,552,584,3402,2087
"KNNFDEDG_02312.t00",221,217,733,178,229,637,340,142,228,623,435
"KNNFDEDG_00319.t00",389,716,2126,577,1155,1422,2657,645,1432,2365,2713
"KNNFDEDG_00559.t00",236,127,152,264,111,221,273,240,132,214,205
"KNNFDEDG_00156.t00",693,528,1305,1694,924,870,2429,1207,1295,1584,2059
"KNNFDEDG_00554",592,293,418,534,257,416,467,524,334,544,454
"KNNFDEDG_01239.t00",267,106,120,342,126,144,196,309,174,182,180
"KNNFDEDG_00543.t00",1823,1620,2108,1627,1948,2445,2995,1265,1990,2168,3076
"KNNFDEDG_00875.t00",933,3340,2294,1038,3191,2084,1863,972,3766,2304,1462
"KNNFDEDG_01350.t00",6,5,1,4,4,2,9,8,4,2,2
"KNNFDEDG_01202.t00",949,653,1605,1286,788,1212,1418,1339,990,1619,1417
"KNNFDEDG_00837",3236,651,1145,3544,1015,1051,1131,3467,1034,1402,1026
"KNNFDEDG_00835",427,244,246,415,284,149,207,361,359,178,201
"KNNFDEDG_00834",242,46,53,252,97,73,130,215,115,84,86
"KNNFDEDG_00833",1652,539,415,1362,684,607,787,1351,738,538,791
"KNNFDEDG_00832",1092,45,52,1085,44,26,47,725,74,53,61
"KNNFDEDG_00831",2636,34,54,1693,57,35,41,1221,62,40,65
"KNNFDEDG_00830",2028,41,86,1543,58,62,73,1078,82,73,80
"KNNFDEDG_02068.t00",113,63,308,105,124,298,204,99,129,306,207
"KNNFDEDG_01175.t00",67,20,20,63,31,36,42,36,42,17,22
"KNNFDEDG_02597",78,109,80,98,156,103,150,103,148,95,167
"KNNFDEDG_01000.t00",4,0,1,16,0,1,6,16,2,5,5
"KNNFDEDG_00492",767,651,409,987,1230,382,1065,1032,1551,601,984
"KNNFDEDG_01808.t00",397,270,946,689,519,543,1055,518,716,921,1027
"KNNFDEDG_01266.t00",2911,1942,5352,3272,2488,5012,6749,3137,2881,6157,5904
"KNNFDEDG_01901.t00",25,6,28,47,19,7,29,63,13,35,13
"KNNFDEDG_02758.t00",54,34,50,59,18,123,56,52,22,93,67
"KNNFDEDG_02773.t00",0,0,0,0,0,0,0,0,0,0,0
"KNNFDEDG_02207.t00",321,223,499,267,203,406,433,222,284,437,518
"KNNFDEDG_01359.t00",214,100,174,255,146,105,196,239,182,161,237
"KNNFDEDG_02301.t00",231,104,119,446,107,125,170,460,186,128,133
"KNNFDEDG_01013.t00",210,73,83,237,96,66,123,206,81,107,62
"KNNFDEDG_01352.t00",143,42,30,223,57,33,54,274,59,51,68
"KNNFDEDG_02210.t00",16,6,4,19,5,4,10,7,6,11,5
"KNNFDEDG_01228.t00",142,157,161,187,170,157,304,163,235,244,224
"KNNFDEDG_00613.t00",1200,1850,8106,1680,3964,5374,9693,1641,5231,9328,8669
"KNNFDEDG_02700.t00",66,82,244,112,112,164,324,96,138,252,206
"KNNFDEDG_01393.t00",78,103,16,73,6,26,22,80,18,7,17
"KNNFDEDG_02293.t00",5109,600,535,7028,590,498,486,6734,765,579,502
"KNNFDEDG_00555",766,306,610,698,384,701,600,723,343,672,682
"KNNFDEDG_01589.t00",1205,906,4132,2206,955,2774,3446,1982,1277,4246,3342
"Novel00441",49,9,55,52,42,24,26,73,50,35,43
"KNNFDEDG_01430",786,174,376,870,215,320,407,919,262,515,306
"KNNFDEDG_02574.t00",12321,8426,11790,8611,6590,13871,8502,7731,6478,10733,8639
"KNNFDEDG_01432",8373,629,4766,12648,1196,3827,5359,11588,1628,6168,3114
"KNNFDEDG_00155.t00",188,44,146,306,98,128,311,305,116,287,221
"KNNFDEDG_01433",15740,2969,5159,16172,4654,5567,7012,13778,5452,6068,5535
"KNNFDEDG_01394.t00",88,17,11,54,11,38,16,48,8,13,9
"KNNFDEDG_02205.t00",996,307,1162,1176,364,758,627,1125,455,866,732
"KNNFDEDG_02189.t00",3417,3954,3004,3750,6300,2287,6294,3241,6914,3170,6909
"KNNFDEDG_00578.t00",92,19,4,131,24,8,17,114,39,6,21
"KNNFDEDG_02094.t00",162,42,319,359,22,70,187,355,37,233,139
"KNNFDEDG_00338",821,573,1972,1087,975,1312,1709,1092,1060,1899,1521
"KNNFDEDG_02713",3,7,18,10,2,18,20,11,9,39,20
"KNNFDEDG_00199.t00",14,2,7,12,7,18,7,23,3,12,3
"Novel00396",0,2,0,2,3,2,2,2,0,1,0
"Novel00397",12,3,6,14,17,3,12,6,18,12,16
"KNNFDEDG_01042.t00",0,0,0,0,0,0,0,0,1,0,0
"Novel00390",67,27,14,47,43,9,31,50,67,8,36
"KNNFDEDG_01012.t00",4136,1863,4346,6440,2515,2500,3955,5628,3207,3732,4105
"Novel00463",8,13,4,15,2,11,5,3,9,1,4
