"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS04970",0,1,2,0,0,1,41,20,18
"KQU62_RS04975",14,35,15,100,138,104,364,319,345
"KQU62_RS04980",43,99,68,194,188,186,140,66,76
"KQU62_RS04985",4,12,6,31,23,17,5,4,3
"KQU62_RS04990",1,4,3,2,4,8,2,1,2
"KQU62_RS04995",0,0,1,0,0,0,0,0,1
"KQU62_RS05000",0,0,0,1,0,0,0,0,0
"KQU62_RS05005",1,2,0,0,0,0,1,0,0
"KQU62_RS05010",0,6,1,38,29,31,9,3,9
"KQU62_RS05015",0,3,4,15,16,18,6,5,4
"KQU62_RS05020",2,4,6,4,6,8,0,1,0
"KQU62_RS05025",7,13,2,25,17,14,7,0,0
"KQU62_RS05030",0,1,0,0,0,2,0,1,0
"KQU62_RS05035",2,3,3,12,20,11,3,9,6
"KQU62_RS05040",3,4,6,36,36,26,20,8,10
"KQU62_RS05045",0,0,0,3,3,0,0,1,0
"KQU62_RS05050",52,106,70,96,118,94,45,27,31
"KQU62_RS05055",177,344,256,161,125,144,87,96,92
"KQU62_RS05060",5489,12246,7981,8300,8681,7894,7134,4277,4338
"KQU62_RS05065",14,33,25,58,44,42,82,30,38
"KQU62_RS05070",8,16,20,32,45,35,36,18,24
"KQU62_RS05075",228,452,288,467,527,532,354,169,168
"KQU62_RS05080",245,574,342,406,557,483,369,254,200
"KQU62_RS05085",35,84,29,130,137,126,94,52,47
"KQU62_RS05090",215,386,247,193,263,246,96,47,42
"KQU62_RS05095",2738,6059,3472,5232,6846,6164,5047,2658,2817
"KQU62_RS05100",217,407,253,1067,1281,1263,763,296,349
"KQU62_RS05105",116,222,131,792,852,769,349,178,215
"KQU62_RS05110",357,824,487,2611,2995,2685,1494,1014,879
"KQU62_RS05115",575,1216,650,4352,5120,4169,2787,1734,1805
"KQU62_RS05120",609,1465,820,6014,6772,5807,3527,2035,2212
"KQU62_RS05125",2307,4909,2959,7027,8293,7865,5575,2977,3137
"KQU62_RS05130",97,220,116,445,540,539,436,269,344
"KQU62_RS05135",9,18,9,36,39,55,45,7,12
"KQU62_RS05140",9476,21148,12690,40766,43572,38119,34138,19077,20080
"KQU62_RS05145",7944,17370,11498,24482,23299,22864,18704,11066,11244
"KQU62_RS05150",2208,4358,3012,5231,5540,5111,4053,2925,3114
"KQU62_RS05155",57,84,68,73,93,63,42,35,40
"KQU62_RS05160",890,1840,1440,678,1146,1049,504,300,240
"KQU62_RS05165",2785,5795,3762,1945,3298,2603,1538,835,846
"KQU62_RS05170",3998,8122,5412,10587,11362,9779,8475,5681,5765
"KQU62_RS05175",348,719,443,130,129,108,61,43,41
"KQU62_RS05180",53,109,66,52,59,56,34,24,24
"KQU62_RS05185",60242,129902,80819,114017,142288,128290,110478,66088,69911
"KQU62_RS05190",687,1721,1045,1955,2810,2801,1444,631,531
"KQU62_RS05195",2,11,10,21,30,20,10,5,7
"KQU62_RS05200",830,1715,1159,1652,2143,2048,988,624,609
"KQU62_RS05205",661,1411,915,982,1211,1046,499,307,289
"KQU62_RS05210",2727,6035,3889,4039,5324,4636,2640,1464,1494
"KQU62_RS05215",3473,8345,4637,9727,11170,11397,8738,4018,4029
"KQU62_RS05220",21740,45170,29148,51221,68859,58819,25538,14793,14879
"KQU62_RS05225",9438,20177,13341,33742,39669,36054,20378,12035,12950
"KQU62_RS05230",875,1842,1213,1945,2207,2137,1173,583,624
"KQU62_RS05235",238,393,300,315,357,344,195,131,161
"KQU62_RS05240",3232,6849,4547,15046,18131,15373,9288,5942,6642
"KQU62_RS05245",8721,18138,12455,10125,12474,10962,8098,4337,4307
"KQU62_RS05250",19877,41897,29179,22219,28154,24063,18064,10470,10644
"KQU62_RS05255",11582,25204,16922,24199,28390,25450,14477,8278,8403
"KQU62_RS05260",536,1114,693,1027,1150,1022,670,396,424
"KQU62_RS05265",80,169,116,169,194,173,145,54,56
"KQU62_RS05270",7581,16881,10409,15983,18778,17510,12838,7029,7293
"KQU62_RS05275",9229,20156,13235,18605,21862,18774,13105,7496,7629
"KQU62_RS05280",322,657,481,587,743,684,450,286,270
"KQU62_RS05285",3112,6635,4153,4116,5569,5014,2695,1441,1463
"KQU62_RS05290",12,30,14,37,67,47,18,12,8
"KQU62_RS05295",65,190,80,148,172,205,174,94,122
"KQU62_RS05300",550,1045,727,358,402,399,193,129,150
"KQU62_RS05305",343,649,390,747,846,765,355,233,237
"KQU62_RS05310",1676,3393,2300,1579,1923,1795,1262,918,915
"KQU62_RS05315",167,432,240,237,244,235,157,71,66
"KQU62_RS05320",96,202,113,127,126,113,63,49,46
"KQU62_RS05325",142,327,178,233,257,242,177,105,121
"KQU62_RS05330",99,150,110,155,179,155,136,74,95
"KQU62_RS05335",46,100,60,76,83,97,69,33,41
"KQU62_RS05340",65,120,94,172,154,147,106,87,75
"KQU62_RS05345",170,374,210,357,389,343,293,116,161
"KQU62_RS05350",7752,15904,10783,7902,9748,9696,5718,3198,3094
"KQU62_RS05355",14505,30765,20759,14657,18504,17993,13045,7237,7640
"KQU62_RS05360",311,642,391,889,975,841,458,225,282
"KQU62_RS05365",298,625,376,929,1170,1034,662,394,463
"KQU62_RS05370",350,797,450,709,867,775,520,332,359
"KQU62_RS05375",223,440,254,235,360,337,227,135,119
"KQU62_RS05380",311,714,412,431,639,557,444,225,232
"KQU62_RS05385",196,403,260,339,462,442,283,147,148
"KQU62_RS05390",2,7,7,9,8,13,3,3,2
"KQU62_RS05395",274,644,383,425,443,409,188,104,95
"KQU62_RS05400",881,1965,1125,1258,1487,1445,743,428,459
"KQU62_RS05405",1,1,1,1,3,1,0,0,0
"KQU62_RS05410",1190,2737,1627,2425,2942,2860,2262,1153,1191
"KQU62_RS05415",66,151,112,137,156,141,120,66,75
"KQU62_RS05420",38,145,77,98,120,123,92,48,55
"KQU62_RS05425",51,141,78,110,111,120,116,58,84
"KQU62_RS05430",42,86,56,80,81,62,90,47,47
"KQU62_RS05435",33,54,53,61,49,61,68,29,35
"KQU62_RS05440",4476,9165,6464,12053,14432,12937,7978,4082,4571
"KQU62_RS05445",9744,19713,13523,19190,22994,20251,15206,8396,8217
"KQU62_RS05450",1869,4207,2436,24618,19242,16207,21044,12963,13504
"KQU62_RS05455",952,2075,1283,13608,11404,9861,12993,7810,7764
"KQU62_RS05460",1370,3184,1786,19144,16935,14456,17840,10743,11755
"KQU62_RS05465",1009,2369,1438,13084,11709,9766,11712,8350,9968
"KQU62_RS05470",799,1816,1097,9998,9550,8483,9175,5670,6166
"KQU62_RS05475",803,1797,974,9753,8871,7792,7186,4405,5021
"KQU62_RS05480",843,1811,1123,9674,9897,8702,7735,4638,5406
"KQU62_RS05485",2182,4867,2878,12462,13631,12249,10327,6017,6006
"KQU62_RS05490",21,22,5,99,80,101,39,16,20
"KQU62_RS05495",4034,7216,5646,13189,14208,12597,9538,6840,7999
"KQU62_RS05500",18,46,28,70,63,59,30,15,18
