"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS06290",821,1617,1192,951,1450,1298,559,332,377
"KQU62_RS06295",1584,3253,2304,2545,3348,2917,1358,833,863
"KQU62_RS06300",794,1793,1208,1469,1935,1819,727,361,367
"KQU62_RS06305",4043,7991,5683,6879,8700,7703,4126,2896,2917
"KQU62_RS06310",4345,9078,6313,7384,8999,8542,3945,2450,2458
"KQU62_RS06315",1835,3724,2454,3146,3873,3397,1866,1096,1037
"KQU62_RS06320",965,2080,1489,1988,2551,2310,1051,490,458
"KQU62_RS06325",8745,18551,12825,14173,19288,17123,8777,5198,5435
"KQU62_RS06330",6501,13522,8783,12621,15795,14737,8979,4735,4735
"KQU62_RS06335",2626,5339,3598,5403,6320,5569,4722,3008,2902
"KQU62_RS06340",615,1277,821,1507,1713,1669,1165,786,804
"KQU62_RS06345",35432,75220,52958,32366,39137,34048,29228,16450,17033
"KQU62_RS06350",3175,6676,4558,6518,7197,6049,4872,3385,3379
"KQU62_RS06355",3102,6314,4376,6855,7764,7418,5734,3244,3339
"KQU62_RS06360",741,1531,1001,1719,2084,1891,1488,760,661
"KQU62_RS06365",1006,2427,1481,2914,3097,2756,2188,1033,1103
"KQU62_RS06370",741,1487,976,1585,1699,1608,1438,934,988
"KQU62_RS06375",763,1482,1040,2619,2972,2829,2280,1480,1336
"KQU62_RS06380",6874,13491,8496,15891,20888,16752,12331,9783,9392
"KQU62_RS06385",6059,12803,7831,17340,22799,19277,13726,8882,9635
"KQU62_RS06390",2889,6216,3837,10472,13006,11415,7616,4780,4866
"KQU62_RS06395",6533,12226,8288,10401,12997,11489,8311,5461,5875
"KQU62_RS06400",7879,16030,11324,11582,14065,12518,8671,4935,4954
"KQU62_RS06405",2803,5160,3999,2591,3011,2420,1546,1258,1333
"KQU62_RS06410",18940,40612,23079,5608,8050,7339,4076,2402,2354
"KQU62_RS06415",14475,29739,17610,3605,5087,4534,2401,1556,1557
"KQU62_RS06420",104165,220995,116820,28210,42665,36940,21663,13212,14178
"KQU62_RS06425",9508,20835,10437,2651,3793,3672,2225,1120,1166
"KQU62_RS06430",20670,43467,21736,7522,9799,8407,5854,3421,3642
"KQU62_RS06435",592,1285,881,936,1219,1101,576,309,300
"KQU62_RS06440",6131,12865,8318,12999,16811,15166,8884,4651,4668
"KQU62_RS06445",4905,8609,6428,7272,9527,8361,4409,3589,4020
"KQU62_RS06450",491,956,742,1105,1393,1302,693,350,398
"KQU62_RS06455",321,594,372,541,637,513,260,158,159
"KQU62_RS06460",237,480,313,328,355,308,231,194,203
"KQU62_RS06465",411,782,477,693,706,707,456,218,243
"KQU62_RS06470",4281,9043,6385,5854,7034,5905,3711,2240,2243
"KQU62_RS06475",499,1043,678,627,816,676,481,297,265
"KQU62_RS06480",2810,5517,3946,3862,4855,4058,2531,1734,1587
"KQU62_RS06485",1950,3796,2677,2868,3599,3335,1904,1219,1101
"KQU62_RS06490",1284,2681,1924,1862,2464,2061,1286,773,831
"KQU62_RS06495",2376,5630,3551,4752,6222,5616,3368,1601,1522
"KQU62_RS06500",3864,8281,5579,6679,8993,8173,4648,2632,2496
"KQU62_RS06505",801,1719,1120,1265,1633,1466,842,542,425
"KQU62_RS06510",1164,2200,1467,1493,2086,1962,879,518,493
"KQU62_RS06515",147,313,196,195,226,167,88,58,60
"KQU62_RS06520",56,122,70,43,89,49,15,23,13
"KQU62_RS06525",338,716,382,481,615,609,338,158,162
"KQU62_RS06530",317,706,342,1778,1944,1656,1079,701,633
"KQU62_RS06535",120,294,178,801,966,897,445,217,197
"KQU62_RS06540",212,459,244,1175,1398,1172,608,380,413
"KQU62_RS06545",65,148,60,352,460,438,220,87,105
"KQU62_RS06550",166,364,206,1111,1410,1278,496,275,315
"KQU62_RS06555",40,150,79,392,483,408,171,94,107
"KQU62_RS06560",4261,8963,6139,6408,8186,7240,4765,3031,3154
"KQU62_RS06565",4119,8160,5793,6656,9132,7791,3685,2479,2415
"KQU62_RS06570",3490,7168,4930,5435,7711,7104,3035,2096,1929
"KQU62_RS06575",1597,3360,2315,2603,3942,3477,1452,890,811
"KQU62_RS06580",616,1214,861,1057,1433,1271,524,221,236
"KQU62_RS06585",2808,6353,4030,5497,6839,7165,5816,2366,2350
"KQU62_RS06590",4205,9320,6006,8593,10061,9487,7924,3704,3631
"KQU62_RS06595",2019,4338,2752,3379,4159,3944,3068,1477,1477
"KQU62_RS06600",13349,27650,19408,22590,27113,22937,17312,11216,11155
"KQU62_RS06605",5212,10751,7020,9515,11664,10597,6078,3195,3159
"KQU62_RS06610",920,1888,1210,1300,1554,1308,551,328,337
"KQU62_RS06615",6220,13486,8719,8132,10458,9391,6670,4200,4123
"KQU62_RS06620",4073,8260,5615,5222,6423,5403,3469,2229,2288
"KQU62_RS06625",1084,2252,1510,948,995,938,764,506,534
"KQU62_RS06630",14,39,17,18,25,14,11,12,13
"KQU62_RS06635",131,265,177,210,271,229,136,92,85
"KQU62_RS06640",404,875,578,591,667,651,438,285,297
"KQU62_RS06645",2669,5398,3567,6625,7781,6720,4917,3273,3499
"KQU62_RS06650",1636,3271,2173,2181,2765,2272,1261,759,824
"KQU62_RS06655",43,85,64,85,102,122,34,18,15
"KQU62_RS06660",7265,13535,9557,13876,15367,12685,14726,8648,10533
"KQU62_RS06665",9775,19510,13879,11042,14418,12272,7875,5535,5266
"KQU62_RS06670",3466,7193,5177,3778,5283,4554,2567,1516,1540
"KQU62_RS06675",2782,5909,3680,7540,8888,8163,5768,2840,2996
"KQU62_RS06680",2635,5282,3519,6615,7947,6525,5014,3572,3791
"KQU62_RS06685",5873,12734,8318,21305,25228,22832,17081,9298,9405
"KQU62_RS06690",1252,2575,1755,2121,2690,2504,1345,813,816
"KQU62_RS06695",3689,8200,5311,6998,8990,8138,4318,2523,2545
"KQU62_RS06700",14464,29775,19863,33892,43617,36967,22203,12895,13398
"KQU62_RS06705",674,1338,938,1427,1934,1728,882,559,601
"KQU62_RS06710",5723,11457,8322,7883,10210,9482,4740,2551,2622
"KQU62_RS06715",3143,5917,4425,6858,8693,7210,4178,2974,2795
"KQU62_RS06720",3181,6520,4623,8368,10192,8882,5853,3772,3862
"KQU62_RS06725",1779,3747,2495,4900,5765,5597,3875,2054,1924
"KQU62_RS06730",1788,3598,2593,4933,5721,4932,3473,2353,2216
"KQU62_RS06735",3105,6818,4725,9742,11614,10962,7225,3941,3494
"KQU62_RS06740",9960,20657,14329,16890,21814,20589,12056,6951,7621
"KQU62_RS06745",11705,24764,16725,20375,25443,21677,12753,6201,6433
"KQU62_RS06750",16294,30861,24017,23170,28822,25291,15017,10417,10236
"KQU62_RS06755",2008,4468,2825,3212,4391,3504,1962,1126,1215
"KQU62_RS06760",2191,4746,3170,3321,4583,4355,2162,1110,1050
"KQU62_RS06765",88,195,100,169,255,259,121,72,57
"KQU62_RS06770",79,178,97,417,704,622,254,126,178
"KQU62_RS06775",43,77,57,163,232,155,50,60,52
"KQU62_RS06780",80,197,126,150,193,186,94,55,60
"KQU62_RS06785",28,52,41,135,122,133,60,34,20
"KQU62_RS06790",29,50,26,118,135,93,28,13,17
"KQU62_RS06795",8543,17251,12433,13755,16663,14365,10412,6585,6761
"KQU62_RS06800",17336,35283,25027,31496,39595,34971,24233,14371,14004
"KQU62_RS06805",934,1819,1237,2876,3276,3010,1691,1008,1051
"KQU62_RS06810",513,1171,736,1280,1548,1368,1063,648,762
"KQU62_RS06815",12,21,8,21,32,44,38,22,12
"KQU62_RS06820",4,12,9,12,14,17,9,7,19
"KQU62_RS06825",9714,20651,13048,20736,33998,30148,18061,12445,12990
"KQU62_RS06830",4297,9124,5923,10738,14928,13101,9123,6758,6781
"KQU62_RS06835",965,2122,1300,2899,4082,3802,2415,1491,1257
"KQU62_RS06840",4966,9922,6451,17994,22854,20680,14752,8573,8577
"KQU62_RS06845",3527,7622,4428,19165,21232,20447,15213,8012,7791
"KQU62_RS06850",7528,15365,9933,46859,54406,49999,37139,21958,21733
"KQU62_RS06855",952,2109,1529,1100,1507,1229,571,328,305
"KQU62_RS06860",30395,63165,43732,22153,29852,26393,14396,8304,8775
"KQU62_RS06865",33660,70033,48412,39512,54640,52056,24149,12024,12170
"KQU62_RS06870",356,699,440,397,432,442,303,175,154
"KQU62_RS06875",3148,6878,4349,3880,4560,4208,2956,1799,1659
"KQU62_RS06880",333,693,434,361,462,420,244,126,119
"KQU62_RS06885",5005,9615,6352,7845,9629,8315,3984,2912,2950
"KQU62_RS06890",3835,8063,5142,6655,8750,9015,3669,1816,1789
"KQU62_RS06895",6998,13949,9194,11391,15171,13912,5699,3310,3681
"KQU62_RS06900",19992,42389,29392,36997,38273,35333,37825,19670,19952
"KQU62_RS06905",13242,29093,18079,31229,40251,35366,29141,17984,17885
"KQU62_RS06910",698,1497,943,2032,2473,2329,1732,1024,1043
"KQU62_RS06915",2969,6430,4113,7935,9661,8832,7644,4471,4611
"KQU62_RS06920",4425,9885,6380,13981,15806,14524,12388,6606,6925
"KQU62_RS06925",1080,2207,1434,3455,3822,3666,3013,1755,1683
"KQU62_RS06930",786,1606,1061,1535,1529,1245,2295,1232,1674
"KQU62_RS06935",1026,2382,1499,1200,1678,1761,1233,521,504
"KQU62_RS06940",3517,7777,5091,4128,5054,5036,3533,2058,1987
"KQU62_RS06945",10229,21821,14492,13702,16031,14861,11850,6752,6830
"KQU62_RS06950",420,868,475,1601,1965,1851,1014,525,466
"KQU62_RS06955",2597,5792,3650,5888,7090,6535,5352,2686,2991
"KQU62_RS06960",301,702,428,780,910,812,631,361,360
"KQU62_RS06965",4817,10367,7105,5317,6686,6451,3194,1761,1933
"KQU62_RS06970",1909,3829,2677,2276,2799,2775,1495,893,1000
"KQU62_RS06975",17494,36270,24248,42023,47869,43945,28168,15900,17249
"KQU62_RS06980",65574,140617,91283,112833,140182,120465,132140,78637,81846
"KQU62_RS06985",14301,30694,20329,22775,28958,26250,26798,15230,13318
"KQU62_RS06990",8917,18525,12234,9965,12881,11851,7561,4596,4761
"KQU62_RS06995",9876,21164,13768,13456,17319,15287,9572,6376,6508
"KQU62_RS07000",6748,14068,9237,10924,14079,12095,7112,5521,5446
"KQU62_RS07005",9531,20953,13442,20042,23851,22462,15112,8677,8887
"KQU62_RS07010",1811,3844,2498,3634,4437,4208,3098,1934,1810
"KQU62_RS07015",1354,3036,1949,3335,3922,3716,2504,1341,1320
"KQU62_RS07020",4338,9304,5270,8125,10431,9542,9502,5473,5320
"KQU62_RS07025",1876,4222,2462,4128,5554,5231,4917,2336,2463
"KQU62_RS07030",3620,8005,5035,3489,4491,3957,3600,2298,2228
"KQU62_RS07035",12,15,13,13,22,12,6,6,8
"KQU62_RS07040",999,1989,1533,1654,2012,2050,1143,622,836
"KQU62_RS07045",6322,13784,8267,21342,26254,23678,35254,23064,24311
"KQU62_RS07050",21656,43977,31014,51728,63177,56852,44473,28491,29936
"KQU62_RS07055",3510,7495,5629,2662,2847,2806,2258,1286,1218
"KQU62_RS07060",18979,37229,25118,11871,13043,11752,9452,6004,6848
"KQU62_RS07065",1613,3368,2370,2091,2830,2384,1789,1023,1017
"KQU62_RS07070",2584,5243,3574,3123,4277,3844,2542,1471,1593
"KQU62_RS07075",1193,2344,1607,1635,2154,1889,1143,692,643
"KQU62_RS07080",0,1,0,1,0,0,0,0,1
"KQU62_RS07085",14786,32787,20884,35038,41870,39071,33855,17491,18128
"KQU62_RS07090",2052,4560,2755,2270,2715,2422,1706,902,923
"KQU62_RS07095",27883,58447,39405,38532,51911,46039,22768,13275,13707
"KQU62_RS07100",520,1173,734,456,538,540,335,203,205
"KQU62_RS07105",722,1487,955,1099,1316,1153,695,430,399
"KQU62_RS07110",421,985,527,2601,2873,2499,1931,1109,1174
"KQU62_RS07115",936,2054,1124,4861,5225,4379,4026,2491,2534
"KQU62_RS07120",0,0,0,0,2,0,1,0,0
"KQU62_RS07125",1200,2985,1649,6663,7272,6630,4634,2386,2457
"KQU62_RS07130",4559,9603,6337,15020,19027,16806,12638,7707,8034
"KQU62_RS07135",1611,3348,2050,4095,5293,4737,2805,1794,1803
"KQU62_RS07140",5872,12707,7563,4984,7052,6079,4139,2195,2356
"KQU62_RS07145",3255,6924,4443,5919,7849,6826,4539,2982,2950
"KQU62_RS07150",444,977,566,1331,1526,1284,990,582,557
"KQU62_RS07155",165,330,227,79,100,93,59,61,41
"KQU62_RS07160",1,2,0,0,0,0,0,0,0
"KQU62_RS07165",3554,7404,5005,4385,5407,5309,2889,1795,2026
"KQU62_RS07170",140,215,147,542,566,526,713,407,613
"KQU62_RS07175",47,112,54,1288,1503,1317,838,442,429
"KQU62_RS07180",77,184,124,1258,1471,1398,1026,632,753
"KQU62_RS07185",7022,15382,9053,7365,9561,8946,5787,3309,3422
"KQU62_RS07190",3,10,3,10,3,14,9,0,1
"KQU62_RS07195",5568,12427,7454,16094,17903,15676,12323,7449,7970
"KQU62_RS07200",23,60,34,56,50,43,27,9,10
"KQU62_RS07205",2430,5121,3528,4934,5962,6169,4882,2825,2861
"KQU62_RS07210",12561,26757,18521,25423,31521,30874,24720,12459,13477
"KQU62_RS07215",12412,25228,17934,11791,14996,13133,8163,4752,4877
"KQU62_RS07220",19526,39141,27955,20318,28608,25402,13856,8332,8339
"KQU62_RS07225",2359,5175,3537,2728,3681,3570,1899,1106,1131
"KQU62_RS07230",2418,4954,3288,2793,3818,3548,2068,962,1090
"KQU62_RS07235",634,1397,923,753,944,920,777,440,313
"KQU62_RS07240",3033,6587,4327,4074,4853,4487,3658,2163,2410
"KQU62_RS07245",921,2326,1247,2679,3195,3351,1848,849,828
"KQU62_RS07250",624,1242,841,1114,1347,1291,863,516,521
"KQU62_RS07255",5051,10916,6861,13147,16405,14424,9543,5312,5323
"KQU62_RS07260",6773,14592,9343,19398,22824,20683,13512,7933,7019
"KQU62_RS07265",7671,16243,10494,17178,20034,17235,13110,8046,7856
"KQU62_RS07270",8026,17047,11161,18567,20762,19107,11339,6403,6041
"KQU62_RS07275",2069,4160,2859,2916,3542,3109,2561,1647,1367
"KQU62_RS07280",3297,7628,4803,6032,7650,7127,5509,2660,2650
"KQU62_RS07285",7243,14832,9914,13632,16445,14928,9912,6102,6578
"KQU62_RS07290",977,1959,1306,1802,2450,2065,1152,755,703
"KQU62_RS07295",303,614,528,840,1012,853,467,290,341
"KQU62_RS07300",1958,4509,2505,3344,4301,4081,3171,1740,1733
"KQU62_RS07305",11071,23403,14553,19059,24256,22182,15870,9515,9693
"KQU62_RS07310",1177,2518,1725,3129,3879,3482,1794,1073,1130
"KQU62_RS07315",3124,6360,4242,3084,3966,3141,1957,1202,1182
"KQU62_RS07320",2308,4351,3078,2468,2987,2472,1660,1097,1075
"KQU62_RS07325",1685,3679,2236,4775,6439,6357,4649,2826,2888
"KQU62_RS07330",2748,5814,3726,2897,3706,3127,1668,940,1063
"KQU62_RS07335",6,10,5,2,4,5,2,0,0
"KQU62_RS07340",122,227,132,1059,1077,784,2491,1830,2121
"KQU62_RS07345",736,1598,790,521,670,590,363,234,214
"KQU62_RS07350",1613,3568,1775,1071,1410,1189,755,533,470
"KQU62_RS07355",1077,2457,1211,702,951,823,543,274,269
"KQU62_RS07360",2669,6070,3168,2018,2497,2090,1081,709,635
"KQU62_RS07365",304,597,442,388,507,468,261,178,166
"KQU62_RS07370",66,126,88,147,189,185,89,61,71
"KQU62_RS07375",425,968,543,1458,1844,1605,836,382,446
"KQU62_RS07380",7002,14176,9462,11327,17009,14266,5224,2832,3223
"KQU62_RS07385",441,1171,687,798,943,935,613,226,332
"KQU62_RS07390",25,52,33,37,40,44,16,8,9
"KQU62_RS07395",19,42,21,41,54,38,8,9,5
"KQU62_RS07400",992,2346,1440,859,1006,918,450,210,243
"KQU62_RS07405",259,529,295,572,717,616,480,255,273
"KQU62_RS07410",673,1419,846,3167,3721,3026,1899,1208,1259
"KQU62_RS07415",6218,13364,8093,9395,9510,8865,6974,4092,4593
"KQU62_RS07420",409,775,432,371,375,327,171,83,140
"KQU62_RS07425",116,272,153,204,217,214,74,30,37
"KQU62_RS07430",84,182,107,180,247,196,84,72,60
"KQU62_RS07435",1336,2894,1725,1245,1626,1545,1345,900,964
"KQU62_RS07440",4318,9303,5912,9282,11346,10104,6697,3507,3623
"KQU62_RS07445",6490,12976,9422,13792,16353,13802,8148,5232,5453
"KQU62_RS07450",708,1428,925,1294,1579,1582,2304,1139,1761
"KQU62_RS07455",431,872,566,756,909,939,418,258,269
"KQU62_RS07460",196,443,240,353,456,440,209,88,77
"KQU62_RS07465",265,524,297,571,686,691,502,259,268
"KQU62_RS07470",1372,2743,1874,2301,2990,2664,1685,1125,1166
"KQU62_RS07475",1264,2520,1606,2149,2818,2575,1457,901,962
"KQU62_RS07480",5,12,11,9,14,20,7,0,5
"KQU62_RS07485",351,625,436,6301,8244,8341,3280,2441,2531
"KQU62_RS07490",1007,1985,1449,20822,28209,27454,10900,7045,8304
"KQU62_RS07495",28,62,45,415,550,580,139,67,82
"KQU62_RS07500",40,86,51,496,626,645,181,94,100
"KQU62_RS07505",114,208,161,1058,1416,1354,366,224,241
"KQU62_RS07510",866,1977,1165,4448,4603,4755,2886,1526,1555
"KQU62_RS07515",244,632,370,1530,1732,1579,1215,622,633
"KQU62_RS07520",20,33,13,19,26,35,24,21,12
"KQU62_RS07525",405,691,553,353,401,316,423,311,396
"KQU62_RS07530",18,26,24,15,15,13,3,3,11
"KQU62_RS07535",27,86,37,112,94,83,39,22,37
"KQU62_RS07540",23,73,42,118,97,111,63,27,33
"KQU62_RS07545",5,25,12,35,46,38,20,12,11
"KQU62_RS07550",102,178,131,413,530,401,320,179,191
"KQU62_RS07555",1023,2246,1403,2102,2268,2135,1625,922,933
"KQU62_RS07560",711,1522,996,1979,1959,2102,1376,701,733
"KQU62_RS07565",237,490,335,1559,1990,1972,1241,652,733
"KQU62_RS07570",18,42,39,128,169,140,132,77,81
"KQU62_RS07575",784,1967,1051,2861,2907,2810,1454,711,758
"KQU62_RS07580",768,1694,1032,2612,3038,2664,1871,1157,1105
"KQU62_RS07585",907,1895,1225,2931,3307,3087,2207,1424,1456
"KQU62_RS07590",0,2,1,0,0,0,0,0,0
"KQU62_RS07595",56,75,34,50,61,52,22,20,12
"KQU62_RS07600",3,8,2,7,9,7,2,2,2
"KQU62_RS07605",29,65,49,72,84,77,43,22,25
"KQU62_RS07610",44,111,76,65,117,112,67,35,35
"KQU62_RS07615",51,117,81,94,153,123,106,51,54
"KQU62_RS07620",60,128,65,125,161,166,115,56,57
"KQU62_RS07625",16,15,14,41,60,42,32,27,10
"KQU62_RS07630",28,59,39,70,72,61,25,13,9
"KQU62_RS07635",319,657,414,440,525,479,208,141,123
"KQU62_RS07640",142,365,188,236,279,227,101,64,57
"KQU62_RS07645",165,335,203,225,316,288,123,67,79
"KQU62_RS07650",603,1419,808,2212,2876,2535,1601,824,927
"KQU62_RS07655",381,911,602,1484,1579,1471,744,376,397
"KQU62_RS07660",140,281,230,550,511,543,237,116,112
"KQU62_RS07665",213,426,343,845,928,874,328,155,147
"KQU62_RS07670",91,193,147,433,486,447,137,72,57
"KQU62_RS07675",79,186,134,429,504,484,107,78,68
"KQU62_RS07680",105,214,168,390,385,388,61,23,35
"KQU62_RS07685",5,5,12,11,12,23,4,2,3
"KQU62_RS07690",1,1,1,5,2,3,0,0,3
"KQU62_RS07695",0,0,0,0,0,0,0,0,0
"KQU62_RS07700",12,22,12,15,14,6,3,1,8
"KQU62_RS07705",7,18,13,27,20,15,12,6,18
"KQU62_RS07710",37,67,68,78,95,72,32,13,21
"KQU62_RS07715",41,52,33,46,43,30,5,9,12
"KQU62_RS07720",16,26,13,19,14,16,8,0,3
"KQU62_RS07725",340,749,479,549,651,665,342,237,233
"KQU62_RS07730",4948,10143,7237,9576,12984,11199,7742,4944,5073
"KQU62_RS07735",3367,6980,4861,5829,7672,6788,5654,3764,3609
"KQU62_RS07740",1888,4015,2845,3293,4177,3926,2578,1629,1476
"KQU62_RS07745",39,92,51,70,87,73,42,13,22
"KQU62_RS07750",3513,7920,4381,5478,5630,5313,4641,2283,2447
"KQU62_RS07755",7718,16837,10545,6870,8238,8276,5495,3049,3015
"KQU62_RS07760",4314,9249,6270,3278,4078,3841,2180,1035,1128
"KQU62_RS07765",2211,4473,2888,5252,6128,5611,4737,3038,3222
"KQU62_RS07770",5224,11605,7626,12764,15436,14080,12716,6693,6750
"KQU62_RS07775",298,601,313,405,327,358,203,93,99
"KQU62_RS07780",7647,15923,10289,5206,6870,6096,3903,2453,2678
"KQU62_RS07785",10406,21047,14290,21119,25800,22947,18735,12470,13833
"KQU62_RS07790",20867,45202,29531,54620,63368,58725,53446,30603,32367
"KQU62_RS07795",3836,8385,5232,14462,16200,15236,12363,6073,6328
"KQU62_RS07800",4426,9385,6111,3514,4478,4379,3586,2342,2440
"KQU62_RS07805",1316,2739,1728,1387,1676,1461,914,504,484
"KQU62_RS07810",1406,2875,1902,1920,2467,2334,756,320,383
"KQU62_RS07815",390,837,523,603,773,712,527,318,280
"KQU62_RS07820",777,1635,1026,1724,1881,1602,1082,590,628
"KQU62_RS07825",2531,5255,3593,5459,6350,5768,3212,1804,1898
"KQU62_RS07830",2873,6224,4113,7251,8231,7620,5373,3489,4165
"KQU62_RS07835",477,1014,714,763,883,902,505,256,299
"KQU62_RS07840",1424,3201,2013,3469,3897,4018,3138,1682,1870
"KQU62_RS07845",2824,6367,3957,6719,8316,7557,6200,3509,3696
"KQU62_RS07850",78,168,116,276,415,404,327,187,134
"KQU62_RS07855",884,1856,1252,3682,4836,4415,3603,2048,2141
"KQU62_RS07860",227,462,273,2548,2912,2769,4929,3448,3481
"KQU62_RS07865",426,847,498,6303,6858,6676,10533,6881,6904
"KQU62_RS07870",968,1973,1290,2579,3262,2862,1439,856,932
"KQU62_RS07875",198,384,303,1188,1185,974,423,157,263
"KQU62_RS07880",200,457,314,743,971,869,278,114,141
"KQU62_RS07885",0,0,0,0,4,0,0,0,0
"KQU62_RS07890",1,0,1,1,1,0,0,0,0
"KQU62_RS07895",1,0,0,2,0,0,0,0,2
"KQU62_RS07900",0,2,6,0,3,4,2,3,1
"KQU62_RS07905",8,31,17,29,44,30,14,9,15
"KQU62_RS07910",0,1,0,4,3,4,1,0,0
"KQU62_RS07915",4,12,8,12,18,15,1,3,4
"KQU62_RS07920",53,102,97,178,160,147,55,34,45
"KQU62_RS07925",1,3,4,3,3,4,0,0,0
"KQU62_RS07930",396,619,533,1042,1270,868,214,218,279
"KQU62_RS07935",384,741,521,1096,1266,960,271,157,251
"KQU62_RS07940",107,190,165,197,156,137,50,43,62
"KQU62_RS07945",37,71,63,70,85,95,25,16,34
"KQU62_RS07950",102,210,168,237,233,210,69,50,61
"KQU62_RS07955",55,81,85,140,155,129,39,19,47
"KQU62_RS07960",145,281,223,396,423,308,117,86,82
"KQU62_RS07965",81,101,111,92,87,71,17,53,80
"KQU62_RS07970",84,153,94,214,288,277,87,59,70
"KQU62_RS07975",1,0,0,0,0,1,0,1,0
"KQU62_RS07980",2,3,0,0,1,0,1,0,2
"KQU62_RS07985",0,2,1,1,2,1,0,1,0
"KQU62_RS07990",0,0,0,0,0,0,0,0,0
"KQU62_RS07995",0,1,0,0,0,1,0,0,0
"KQU62_RS08000",0,0,0,0,0,0,0,0,0
"KQU62_RS08005",33,56,42,76,66,66,59,39,15
"KQU62_RS08010",1242,2248,1784,2167,3105,2845,1349,913,997
"KQU62_RS08015",20,19,16,32,49,39,14,9,13
"KQU62_RS08020",22,68,63,61,71,61,37,9,16
"KQU62_RS08025",4825,10915,6659,16730,18666,18664,13788,6319,6663
"KQU62_RS08030",2876,6345,3742,2727,3279,3081,2369,1407,1437
"KQU62_RS08035",534,1069,661,473,560,556,443,245,259
"KQU62_RS08040",4423,8905,6223,5201,6120,5764,3962,2512,2698
"KQU62_RS08045",2231,4881,3055,5684,6805,5916,4141,2563,2772
"KQU62_RS08050",3929,7936,5578,2993,3978,3569,1633,990,1154
"KQU62_RS08055",902,1845,1186,947,1209,1141,643,405,413
"KQU62_RS08060",703,1437,902,1330,1703,1392,866,496,478
"KQU62_RS08065",2411,5050,3058,4776,5770,5343,4511,2672,3151
"KQU62_RS08070",2085,4459,2859,4056,4921,4456,3057,1612,1841
"KQU62_RS08075",2262,4883,2858,4423,5103,4786,2852,1612,1800
"KQU62_RS08080",316,795,496,670,728,758,407,230,262
"KQU62_RS08085",520,1135,757,637,747,775,557,254,282
"KQU62_RS08090",739,1590,1049,3768,4252,3609,2422,1441,1681
"KQU62_RS08095",3446,7416,4939,3745,4689,4208,2969,1584,1687
"KQU62_RS08100",244,457,337,283,324,295,176,118,153
"KQU62_RS08105",1404,2926,1880,2713,3503,2764,2125,1337,1281
"KQU62_RS08110",2174,4344,2803,1908,2230,2064,1930,1256,1182
"KQU62_RS08115",4421,9514,6258,4153,4731,4653,3587,2234,2208
"KQU62_RS08120",19,30,17,17,16,17,5,6,6
"KQU62_RS08125",301,711,408,620,727,759,621,356,312
"KQU62_RS08130",478,937,604,976,1132,1214,946,544,608
"KQU62_RS08135",2732,5879,3785,7386,8614,8353,5470,2851,2828
"KQU62_RS08140",1379,2896,1971,2243,2771,2631,1607,1200,1086
"KQU62_RS08145",2675,5781,3651,4901,6662,5985,3526,2055,2125
"KQU62_RS08150",940,2098,1344,1807,2435,2273,1260,737,697
"KQU62_RS08155",645,1405,835,1257,1532,1371,650,360,360
"KQU62_RS08160",2330,4905,3154,2861,3575,3335,1938,1124,1130
"KQU62_RS08165",250,452,262,752,963,799,424,231,250
"KQU62_RS08170",137,359,200,119,156,147,109,38,38
"KQU62_RS08175",0,5,4,3,1,2,1,0,0
"KQU62_RS08180",2582,5434,3812,2437,2991,2936,2385,1285,1316
"KQU62_RS08185",4530,9100,6524,4485,5359,4822,3149,1920,2032
"KQU62_RS08190",996,1955,1302,24220,22309,21250,20071,16070,16493
"KQU62_RS08195",7,8,1,13,18,15,6,2,6
"KQU62_RS08200",823,1713,1022,803,971,950,382,225,260
"KQU62_RS08205",257,515,331,456,602,546,308,217,230
"KQU62_RS08210",752,1577,1107,3603,4991,4442,1631,1111,1180
"KQU62_RS08215",1087,2066,1443,2706,3623,3268,1649,1000,1084
"KQU62_RS08220",1937,4208,2697,6427,7927,7437,5029,2538,2653
"KQU62_RS08225",30,62,30,45,67,62,30,5,7
"KQU62_RS08230",28492,60061,41118,37052,45282,40229,27957,17647,18177
"KQU62_RS08235",21005,43800,29330,27050,33012,28952,16776,10205,10539
"KQU62_RS08240",538,973,662,405,453,415,162,76,105
"KQU62_RS08245",1741,3786,2343,30719,33296,30323,18279,11147,11445
"KQU62_RS08250",5563,11304,7302,5678,7173,6591,4415,2809,2819
"KQU62_RS08255",9720,20703,13288,9288,12666,10834,6582,4320,4221
"KQU62_RS08260",6384,13358,8710,6285,8459,7836,4916,3041,2916
"KQU62_RS08265",946,2023,1391,1018,1337,1218,626,378,361
"KQU62_RS08270",1745,3840,2599,1682,1918,1958,1473,789,828
"KQU62_RS08275",8412,17841,12746,7718,9225,8295,5819,3250,3257
"KQU62_RS08280",485,1158,643,2442,2217,1945,1418,865,858
"KQU62_RS08285",184,346,204,714,789,647,512,311,326
"KQU62_RS08290",497,1136,733,847,1110,1120,867,445,457
